Index,Entry Word,Part of Speech,Affix,Definition
1,abi,interj,,na (drückt Verwunderung aus)
2,absolvento,n m,-i/-os-,Absolvent
3,abtajl,n m,-ča/-is-,Abteil
4,ačali del,v phr tr,,verwünschen
5,ačalinel,v tr,-č-/-in-,verwünschen
6,ačalino,adj m,,"verwünscht, verwunschen"
7,ačel,v itr,-l-/-il-,1. bleiben 2. wohnen
8,ačengere stakli,n phr,,"Augengläser, Brille"
9,ačengere vurci,n phr,,Augenbrauen
10,ačengeri cipa,n phr,,"Augenlid, Lid"
11,ačengero,adj m,,"Augen-, Aug-"
12,ačengero badari,n phr,,Augenarzt
13,ači,adj,,"soviel, so viel"
14,ačipe,n m,-ča/-es-,"1. Bleiben, Aufenthalt 2. Wohnen"
15,ačipeskero kher,n phr,,Wohnzimmer
16,ačipeskero verda,n phr,,Wohnwagen
17,ačival,adv,,"sovielmal, oftmals"
18,ačivar,adv,,"sovielmal, oftmals"
19,ačol,v itr,-ij-/-il-,1. bleiben 2. wohnen 3. sich aufhalten
20,ada,pron dem m,,dieser (emphatisch)
21,adaberš,adv temp,,"heuer, in diesem Jahr"
22,adaj,adv loc,,"1. da, hier 2. hierhin, hierher"
23,adala,pron dem pl,,diese (emphatisch)
24,adatar,adv loc,,"von hier, von da"
25,adeligi,adj,,adelig
26,adi,adv temp,,heute
27,adik,adv temp,,solange
28,adistar,adv temp,,von heute an
29,adiveseskero,n m,-e/-es-,Gegenwart
30,adiveseskero,adj m,,heutig
31,adiveskero,adj m,,heutig
32,adopcijona,n f,-i/-a-,Adoption
33,adrijatiko,adj m,,adriatisch
34,Adrijatiko Baro Paj,n phr,,Adria
35,advent,n m,—/-is-,Advent
36,adventiskeri keresuja,n phr,,Adventkranz
37,afka,adv mod,,so
38,afka,part grad,,1. so 2. ziemlich
39,afoxi,adj,,"einfach, unaufwändig"
40,afrikanitiko,adj m,,afrikanisch
41,aga,n f,-i/-a-,Ast
42,agentura,n f,-i/-a-,Agentur
43,agori,n f,-a/-a-,Zweig
44,agun,adv temp,,"früher, damals, ehemals"
45,aguno,adj m,,früherer
46,agunutno,adj m,,"ehemaliger, früherer"
47,aja,pron dem f,,diese (emphatisch)
48,ajarik,adv loc,,hierhin
49,ajgeni,adj,,eigener
50,ajgenšoft,n f,-ča/-a-,Eigenschaft
51,ajgentum,n m,-ča/-is-,Eigentum
52,ajipe,n m,-ča/-es-,1. Kommen 2. Ankunft
53,ak,interj,,"sieh da, siehst du"
54,akademija,n f,-i/-a-,Akademie
55,akademikeri,n m,-ča/-is-,Akademiker
56,akademikerkija,n f,-i/-a-,Akademikerin
57,akan,adv temp,,"1. jetzt 2. gleich 3. nun, dann"
58,akana,adv temp,,"1. jetzt 2. gleich 3. nun, dann"
59,akanak,adv temp,,"1. jetzt 2. gleich 3. nun, dann"
60,akaral,v tr,-č-/-d-,"rufen lassen, herbestellen, herbeizitieren"
61,akarel,v tr,-č-/-d-,1. rufen 2. nennen 3. locken
62,akaripe,n m,-ča/-es-,1. Ruf 2. Einladung
63,akcija,n f,-i/-a-,Aktie
64,akcijona,n f,-i/-a-,Aktion
65,akor,adv temp,,"dann, danach, hernach, hierauf"
66,akor,n m,-a/-es-,Nuss
67,akorengeri cefla,n phr,,Nussschale
68,akorengeri riteškija,n phr,,Nussstrudel
69,akoreskero,adj m,,Nuss-
70,akorin,n f,-ja/-ja-,Nussbaum
71,aktivi,adj,,aktiv
72,akto,n m,-i/-os-,Akt
73,al,v itr,-j-/-l-,"1. kommen, vorbeikommen 2. ejakulieren"
74,al,n m,-ča/-is-,Aal
75,alato,n m,-i/-os-,Lebewesen
76,alav,n m,-a/-es-,1. Wort 2. Name 3. Sprichwort
77,alavalo,adj m,,"1. wortreich, geschwätzig 2. eloquent, beredt"
78,alavaši,n m,-ča/-is-,"Wortreicher, Schwätzer"
79,alavengeri kenva,n phr,,Wörterbuch
80,alavengero,adj m,,"Wort-, Wörter-"
81,Albanija,n f,—/-a-,Albanien
82,albanitiko,adj m,,albanisch
83,aleagija,n f,-i/-a-,Allergie
84,aleagiši,adj,,allergisch
85,alergija,n f,-i/-a-,Allergie
86,alergiši,adj,,allergisch
87,algemajni,adj m,,"allgemein, generell"
88,Algerija,n f,—/-a-,Algerien
89,algeriši,adj m,,algerisch
90,alijanca,n f,-i/-a-,Allianz
91,alkoholiši,adj,,alkoholisch
92,altari,n m,-ča/-is-,Altar
93,amaro,pron poss 1 sg m,,unser
94,amen,pron pers 1 pl,,wir
95,Amerika,n f,—/-a-,Amerika
96,amerikanitiki lobda,n phr,,American Football
97,amerikanitiko,adj m,,amerikanisch
98,amoji,n m,-a/-is-,Amboss
99,amok,n m,—/-es-,Amok
100,amokeskero našipe,n phr,,Amoklauf
101,ampera,n f,-i/-a-,"Kübel, Eimer"
102,amslina,n f,-i/-a-,Amsel
103,amüsirinel,v,-č-/-im-,"amüsieren, unterhalten"
104,anal,v tr,-č-/-d-,"1. bringen lassen, holen lassen 2. anfordern, bestellen"
105,ananas,n f,-ča/-a-,Ananas
106,anav,n m,-a/-es-,Name
107,anavalo,adj m,,namentlich
108,anavestar,adv,,namentlich
109,andakaripe,n m,-ča/-es-,Einladung
110,andar,prep,,"von, aus"
111,andastaripe,n m,-ča/-es-,"1. Einfangen, Gefangennahme 2. Gefangenschaft, Haft"
112,andbičajipe,n m,-ča/-es-,"Einsenden, Einsendung"
113,andbučalinipe,n m,-ča/-es-,"Einarbeiten, Anlernen, Einarbeiten (z.B. Informationen), Einarbeiten, Nachholen"
114,andčapinipe,n m,-ča/-es-,"1. Einsperren 2. Verhaften, Verhaftung 3. Haft, Gefangenschaft"
115,ande,adv loc,,"1. drinnen, innen 2. hinein"
116,ande,part vb,,"Verbalpartikel basierend auf dem Adverb 'ande' [«ande čorel» - einschenken, einfüllen]"
