Index,Entry Word,Part of Speech,Affix,Definition
1,abi,interj,,expression of astonishment
2,absolvento,n m,-i/-os-,graduate
3,abtajl,n m,-ča/-is-,compartment
4,ačali del,v phr tr,,curse
5,ačalinel,v tr,-č-/-in-,curse
6,ačalino,adj m,,cursed
7,ačel,v itr,-l-/-il-,1. stay 2. live
8,ačengere stakli,n phr,,"eyeglasses, glasses"
9,ačengere vurci,n phr,,eyebrows
10,ačengeri cipa,n phr,,eyelid
11,ačengero,adj m,,eye-
12,ačengero badari,n phr,,"eye specialist, ophthalmologist"
13,ači,adj,,as much as
14,ačipe,n m,-ča/-es-,1. stay 2. residence
15,ačipeskero kher,n phr,,living room
16,ačipeskero verda,n phr,,caravan
17,ačival,adv,,"so often, so many times"
18,ačivar,adv,,"so often, so many times"
19,ačol,v itr,-ij-/-il-,"1. stay, remain 2. live 3. be in a place"
20,ada,pron dem m,,this (emphatic)
21,adaberš,adv temp,,this year
22,adaj,adv loc,,here
23,adala,pron dem pl,,these (emphatic)
24,adatar,adv loc,,from here
25,adeligi,adj,,noble
26,adi,adv temp,,today
27,adik,adv temp,,as long as
28,adistar,adv temp,,from today
29,adiveseskero,adj m,,today's
30,adiveseskero,n m,-e/-es-,presence
31,adiveskero,adj m,,today's
32,adopcijona,n f,-i/-a-,adoption
33,adrijatiko,adj m,,Adriatic
34,Adrijatiko Baro Paj,n phr,,Adriatic Sea
35,advent,n m,—/-is-,Advent (season)
36,adventiskeri keresuja,n phr,,Christmas wreath
37,afka,adv mod,,"so, this way, therefore, thus"
38,afka,part grad,,"so, as…as, rather, quite"
39,afoxi,adj,,"simple, plain"
40,afrikanitiko,adj m,,African
41,aga,n f,-i/-a-,bough
42,agentura,n f,-i/-a-,agency
43,agori,n f,-a/-a-,"branch, twig"
44,agun,adv temp,,"earlier, formerly, then, in former times"
45,aguno,adj m,,former
46,agunutno,adj m,,"ancient, former"
47,aja,pron dem f,,this (emphatic)
48,ajarik,adv loc,,over here
