Index,Entry Word,Part of Speech,Affix,Definition
1,adresa,n f,,Adresse
2,aduto,n m,,Trumpf
3,advokatinja,n f,,Rechtsanwältin
4,advokatka,n f,,Rechtsanwältin
5,advokato,n m,,Rechtsanwalt
6,agentka,n f,,"Agentin, Spionin"
7,agento,n m,,"Agent, Spion"
8,agregato,n m,,Aggregat
9,ajda,n f,,Buchweizen
10,ajmori,n m,,"Eimer, Kübel"
11,aka,adv loc,,hier
12,akademičarka,n f,,Akademikerin
13,akademija,n f,,Akademie
14,akademiko,n m,,Akademiker
15,ake,interj,,da(s) ist
16,akhari,v tr,,1. rufen 2. einladen
17,akhari pe,v itr,,heißen
18,akharibe,n m,,Ruf
19,ako,conj,,"wenn, falls"
20,akoši pe,v itr,,streiten
21,akoši pe,v itr,,1. fluchen 2. streiten
22,akošipe,n m,,Streit
23,aktovka,n f,,Aktentasche
24,ala,n m,,1. Wort 2. Rede
25,alačhi,v tr,,finden
26,alamno,n m,,Vielredner
27,alato,n m,,Werkzeug
28,alav,n m,,1. Wort 2. Rede
29,alavi,v tr,,anzünden
30,alavnumno,adj m,,redefreudig
31,alergično,adj,,allergisch
32,ali,conj,,"aber, oder, ob"
33,ali....ali,conj,,entweder…oder
34,alkoholi,n m,,Alkohol
35,ambulanta,n f,,Ambulanz
36,amen,pron pers 1 pl,,wir
37,ampak,conj,,"aber, doch"
38,ana,n m,,Name
39,ander,adv loc,,1. hinein 2. darin
40,ando,prep,,1. in 2. hinein
41,andre,adv loc,,1. hinein 2. innen
42,andrijal,adv loc,,1. innen 2. von innen
43,andrumno,adj m,,innerer
44,angara,n m pl,,Kohle
45,angel,adv,,1. nach vorn 2. früher
46,angelo,n m,,Engel
47,angle,adv,,1. weiter 2. noch 3. mehr
48,anglijal,adv,,1. vorn 2. früher
49,anglu,prep,,vor
50,anglumno dand,n phr m,,Schneidezahn
51,ani,v tr,,bringen
52,ansamblo,n m,,"Gruppe, Ensemble"
53,antena,n f,,(Zimmer)antenne
54,antulja,n f,,Handtuch
55,anu,prep,,1. in 2. hinein
56,aparato,n m,,Apparat
57,apetito,n m,,Appetit
58,apno,n m,,Kalk
59,apoteka,n f,,Apotheke
60,april,n m,,April
61,april,n f,,April
62,aprili,n m,,April
63,ara,n f,,Anzahlung
64,arakhi,v tr,,"schützen, hüten"
65,aravi,v tr,,1. umstürzen 2. verderben
66,aravibe,n m,,Zerstörung
67,arčoni,v tr,,schmieden
68,arčumno,adj m,,schmiede-
69,arnika,n f,,Arnika
70,aro,n m,,Mehl
71,arovdič,n,,Kamm
72,asakeri,v tr,,zum Lachen bringen
73,aščovi,v itr,,1. bleiben 2. wohnen 3. werden
74,asfalarini,v tr,,asphaltieren
75,asi,v tr,,auslachen
76,asi pe,v itr,,lachen
77,asibe,n m,,1. Lachen 2. Gelächter
78,asma,n f,,Asthma
79,aspirino,n m,,Aspirin
80,astari,v tr,,"1. fangen, ergreifen 2. nehmen 3. erreichen 4. umarmen"
81,astari pe,v itr,,"zusammenpassen, sich aneinanderfügen"
82,astaribe,n m,,Übereinstimmung
83,asvalto,n m,,Asphalt
84,aver,pron indef,,1. anderer 2. zweiter
85,aver,adv,,"anders, sonst"
86,averputo,adv temp,,ein andermal
87,avgust,n m,,August
88,avgust,n,,August
89,avgusto,n m,,August
90,avi,v itr,,kommen
91,avi paše,v itr,,näherkommen
92,avijono,n m,,Flugzeug
93,avreti,adv loc,,woandershin
94,avri,adv loc,,1. außen 2. hinaus
95,avrijal,adv loc,,von draußen
96,avto,n m,,Auto
97,avtocesta,n f,,Autobahn
98,avtogaraža,n f,,Garage
99,avtomato,n m,,Automat
100,avtomehanika,n f,,Autowerkstatt
101,avtoriteta,n f,,Autorität
102,avtostrada,n f,,Autostraße
103,azdi,prefv tr,,heben
104,azdi pe,v itr,,aufstehen
105,azdibe,n m,,"Hebung, Heben"
106,azdo,adv,,erhoben
107,babica,n f,,Hebamme
108,baja,adv,,anscheinend
109,bajka,n f,,"Sage, Geschichte"
110,bajna,n f,,"Wanne, Trog"
111,bajoneto,n m,,Bajonett
