Index,Entry Word,Part of Speech,Affix,Definition
1,adresa,n f,,address
2,aduto,n m,,trump
3,advokatinja,n f,,solicitor
4,advokatka,n f,,solicitor
5,advokato,n m,,lawyer
6,agentka,n f,,spy
7,agento,n m,,spy
8,agregato,n m,,aggregate
9,ajda,n f,,buckwheat
10,ajmori,n m,,"pail, bucket"
11,aka,adv loc,,here
12,akademičarka,n f,,academic female
13,akademija,n f,,academy
14,akademiko,n m,,academic male
15,ake,interj,,"there is, this is"
16,akhari,v tr,,1. call 2. invite
17,akhari pe,v itr,,be called
18,akharibe,n m,,call
19,ako,conj,,if
20,akoši pe,v itr,,quarrel
21,akoši pe,v itr,,"1. curse 2. argue, quarrel"
22,akošipe,n m,,quarrel
23,aktovka,n f,,brief-case
24,ala,n m,,1. word 2. speech
25,alačhi,v tr,,find
26,alamno,n m,,loquatious person
27,alato,n m,,tool
28,alav,n m,,1. word 2. speech
29,alavi,v tr,,"light, kindle, ignite"
30,alavnumno,adj m,,loquatious
31,alergično,adj,,allergic
32,ali,conj,,1. but 2. whether
33,ali....ali,conj,,either…or
34,alkoholi,n m,,alcohol
35,ambulanta,n f,,ambulatory
36,amen,pron pers 1 pl,,we
37,ampak,conj,,but
38,ana,n m,,name
39,ander,adv loc,,1. into 2. inside
40,ando,prep,,1. in 2. into
41,andre,adv loc,,1. into 2. inside
42,andrijal,adv loc,,1. inside 2. from inside
43,andrumno,adj m,,inner
44,angara,n m pl,,coal
45,angel,adv,,"1. to the front, forwards 2. earlier"
46,angelo,n m,,angel
47,angle,adv,,"1. further 2. still, yet 3. more"
48,anglijal,adv,,1. in front 2. earlier
49,anglu,prep,,"in front of, before"
50,anglumno dand,n phr m,,incisor
51,ani,v tr,,bring
52,ansamblo,n m,,music group
53,antena,n f,,antenna
54,antulja,n f,,towel
55,anu,prep,,1. in 2. into
56,aparato,n m,,aparatus
57,apetito,n m,,appetite
58,apno,n m,,lime
59,apoteka,n f,,pharmacy
60,april,n m,,april
61,april,n f,,april
62,aprili,n m,,april
63,ara,n f,,deposit
64,arakhi,v tr,,"protect, watch"
65,aravi,v tr,,1. overturn 2. spoil
66,aravibe,n m,,destruction
67,arčoni,v tr,,forge
68,arčumno,adj m,,"forge…, forging…"
69,arnika,n f,,Arnica
70,aro,n m,,flour
71,arovdič,n,,comb
72,asakeri,v tr,,make s.o. laugh
73,aščovi,v itr,,1. stay 2. reside 3. become
74,asfalarini,v tr,,pave
75,asi,v tr,,laugh at
76,asi pe,v itr,,laugh
77,asibe,n m,,1. laughing 2. laughter
78,asma,n f,,Asthma
79,aspirino,n m,,Aspirin
80,astari,v tr,,1. catch 2. take 3. grasp 4. reach 5. embrace
81,astari pe,v itr,,"fit together, join, agree"
82,astaribe,n m,,agreement
83,asvalto,n m,,asphalt
84,aver,pron indef,,1. other 2. second
85,aver,adv,,otherwise
86,averputo,adv temp,,another time
87,avgust,n m,,August
88,avgust,n,,August
89,avgusto,n m,,August
90,avi,v itr,,come
91,avi paše,v itr,,approach
92,avijono,n m,,airoplane
