Index,Entry Word,Part of Speech,Affix,Definition
1,adresa,n f,,naslov
2,aduto,n m,,adut
3,advokatinja,n f,,odvetnica
4,advokatka,n f,,odvetnica
5,advokato,n m,,odvetnik
6,agentka,n f,,vohunka
7,agento,n m,,vohun
8,agregato,n m,,agregat
9,ajda,n f,,ajda
10,ajmori,n m,,vedro
11,aka,adv loc,,"tu, tukaj"
12,akademičarka,n f,,"članica akademije, akademikinja"
13,akademija,n f,,akademija
14,akademiko,n m,,"član akademije, akademik"
15,ake,interj,,to je
16,akhari,v tr,,1. (po)klicati 2. povabiti
17,akhari pe,v itr,,imenovati (se)
18,akharibe,n m,,klic
19,ako,conj,,če
20,akoši pe,v itr,,prepirati se
21,akoši pe,v itr,,"1. kleti, preklinjati (koga) 2. prepirati se"
22,akošipe,n m,,prepir
23,aktovka,n f,,"aktovka, torba"
24,ala,n m,,1. beseda 2. govor
25,alačhi,v tr,,najti
26,alamno,n m,,"klepetulja, gobezdač"
27,alato,n m,,orodje
28,alav,n m,,"beseda, govor"
29,alavi,v tr,,prižgati
30,alavnumno,adj m,,zgovoren
31,alergično,adj,,alergičen
32,ali,conj,,ali
33,ali....ali,conj,,ali - ali
34,alkoholi,n m,,alkohol
35,ambulanta,n f,,ambulanta
36,amen,pron pers 1 pl,,mi
37,ampak,conj,,"ampak, toda, vendar"
38,ana,n m,,ime
39,ander,adv loc,,v
40,ando,prep,,v
41,andre,adv loc,,1. v 2. znotraj
42,andrijal,adv loc,,"1. notri, znotraj 2. od znotraj"
43,andrumno,adj m,,notranji
44,angara,n m pl,,premog
45,angel,adv,,1. naprej 2. prej
46,angelo,n m,,angel
47,angle,adv,,poleg tega
48,anglijal,adv,,1. spredaj 2. prej
49,anglu,prep,,pred
50,anglumno dand,n phr m,,sekalec
51,ani,v tr,,"nesti, prinesti"
52,ansamblo,n m,,"glasbena skupina, bend"
53,antena,n f,,(sobna) antena
54,antulja,n f,,brisača
55,anu,prep,,1. v 2. v
56,aparato,n m,,"naprava, aparat+C2028"
57,apetito,n m,,"tek, apetit"
58,apno,n m,,apno
59,apoteka,n f,,lekarna
60,april,n m,,april
61,april,n f,,april
62,aprili,n m,,april
63,ara,n f,,"predplačilo, predujem, polog"
64,arakhi,v tr,,varovati
65,aravi,v tr,,"prevrniti, pokvariti"
66,aravibe,n m,,uničenje
67,arčoni,v tr,,kovati
68,arčumno,adj m,,kovaški
69,arnika,n f,,arnika
70,aro,n m,,moka
71,arovdič,n,,glavnik
72,asakeri,v tr,,nekoga spraviti v smeh
73,aščovi,v itr,,1. ostati 2. stanovati 3. postati
74,asfalarini,v tr,,asfaltirati
75,asi,v tr,,smejati se (komu/čemu)
76,asi pe,v itr,,smejati se
77,asibe,n m,,smeh
78,asma,n f,,astma
79,aspirino,n m,,aspirin
80,astari,v tr,,"1. ujeti, uloviti 2. objeti"
81,astari pe,v itr,,ujemati se
82,astaribe,n m,,sporazum
83,asvalto,n m,,asfalt
84,aver,pron indef,,drugi
85,aver,adv,,"drugače, sicer"
86,averputo,adv temp,,(kdaj) drugič
87,avgust,n m,,avgust
88,avgust,n,,avgust
89,avgusto,n m,,avgust
90,avi,v itr,,priti
91,avi paše,v itr,,približati (se)
92,avijono,n m,,letalo
93,avreti,adv loc,,drugam
94,avri,adv loc,,"zunaj, ven"
95,avrijal,adv loc,,od zunaj
96,avto,n m,,"avtomobil, avto"
97,avtocesta,n f,,avtocesta
98,avtogaraža,n f,,garaža
99,avtomato,n m,,avtomat
100,avtomehanika,n f,,avtodelavnica
101,avtoriteta,n f,,avtoriteta
102,avtostrada,n f,,avtocesta
103,azdi,prefv tr,,dvigniti
104,azdi pe,v itr,,vstati
105,azdibe,n m,,dvig
106,azdo,adv,,dvignjeno
107,babica,n f,,babica
108,baja,adv,,menda
109,bajka,n f,,zgodba
110,bajna,n f,,"skleda, korito"
111,bajoneto,n m,,bajonet
112,bajt,n f,,sreča
113,bajtalo,adj m,,srečen
114,bakhrano,adj m,,ovčji
115,bakhri,n f,,ovca
116,bakhro,n m,,oven
117,bakhroro,n m,,jagnje
118,bakrenasto,adj,,bakren
119,bakri,n f,,ovca
120,bakrič,n f,,ovca
121,bakro,n m,,baker
122,bakro,n m,,oven
123,bal,n m,,las
124,balano,adj m,,svinjsko
125,balevas,n m,,"mast, slanina"
126,bali,n f,,svinja
127,balkono,n m,,balkon
128,balo,n m,,prašič
129,balono,n m,,balon
130,baloro,n m,,"prašiček, odojek"
131,balta,n f,,sekira
132,baltica,n f,,sekira
133,banana,n f,,banana
134,bandito,n m,,bandit
135,banka,n f,,banka
136,bar,n m,,kamen
137,baripe,n m,,veličina
138,baripe,n m,,višina
139,barjovi,v itr,,zrasti
140,baro,adj m,,velik
141,barovi,v itr,,zrasti
142,bartija,n f,,gostilna
143,barumno,adj m,,kamnit
144,barva,n f,,barva
145,barvindo,adj,,barven
146,barvito,adj,,barvit
147,baši,v itr,,"kvakati, lajati"
148,baso,n m,,bas
149,bataljono,n m,,bataljon
150,batine,n m,,"udarci, batine"
151,bato,n m,,"bat, kij"
152,bavko,n m,,pajek
153,bazeno,n m,,bazen
154,bedako,adj,,"butec, bedak"
155,bedef,adv,,1. boljše 2. več
156,bedevo,adj m,,lep
157,bedra,n f,,"bedro, stegno"
158,bedro,n,,"bedro, stegno"
159,belini,v tr,,(po)beliti
160,bencino,n m,,bencin
161,beng,n m,,"vrag, hudič"
162,berači,n m,,berač
163,beračica,n f,,beračica
164,berda,n f,,"sveženj, snop, zvitek"
165,bergla,n f,,bergla
166,berš,n m,,1. leto 2. poletje
167,beršano,adj m,,… let star
168,beršin,n m,,dež
169,bervalipe,n m,,bogastvo
170,bervalo,adj m,,bogat
171,beseda,n f,,beseda
172,besedilo,n m,,besedilo
173,beši,v itr,,1. sedeti 2. ostati
174,bešibe,n m,,"1. sedenje 2. obstanek (to, da ostaneš)"
175,bešlakeri,v tr,,pustiti sedeti
176,betica,n f,,glava
177,betica,n f,,rdeča pesa
178,betono,n m,,beton
179,bezeha,adv,,"žal, na žalost"
180,bezejaj,adv,,"žal, na žalost"
181,bezgavka,n f,,bezgavka
182,bičhali,v tr,,poslati
183,bijani,v tr,,roditi
184,bijanibe,n m,,rojstvo
185,bijav,n m,,"poroka, svatba"
186,bikeni,v tr,,prodati
187,bikini,v tr,,prodati
188,biko,n m,,bik
189,bilavi ,v tr,,začiniti
190,bilini,v tr,,"(pre)pleskati, (pre)barvati"
191,bilo kada,adv,,kakorkoli že
192,biseri,n m,,biser
193,bisero,n m,,biser
194,blagajna,n f,,blagajna
195,blago,n m,,tkanina
196,blago,n m,,blago
197,blagoslovini,v tr,,blagosloviti
198,blatniko,n m,,blatnik
199,blato,n m,,1. blato 2. močvirje
200,blazina,n f,,blazina
201,bledo,adj,,bled
202,bledost,n m,,bledost
203,blisko,n m,,1. strela 2. lesk
204,bloko,n m,,blok
205,bluza,n f,,bluza
206,bobni,n m,,boben
207,bojo,n m,,boj
208,bokh,n f,,lakota
209,bokhalipe,n m,,lakota
210,bokhaljovi,v itr,,1. postati lačen 2. stradati
211,bokhalo,adj m,,lačen
212,boksari,n m,,boksar
213,bolečina,n f,,bolečina
214,bolečo,adj,,boleč
215,bolnica,n f,,bolnišnica
216,bolničarka,n f,,medicinska sestra
217,bolniko,n m,,bolnik
218,bomba,n f,,bomba
219,bono,n m,,bon
220,bori,n f,,1. nevesta 2. snaha
221,borini pe,v itr,,"preipirati se, bojevati se"
222,boro,n m,,bor
223,borovica,n f,,borovnica
224,borovnica,n f,,borovnica
225,božansko,adj,,božanski
226,božanstvo,n m,,božanstvo
227,božiči,n m,,božič
228,brada,n f,,brada
229,bradale,adj,,bradat
230,brajda,n f,,vinska trta
231,bralco,n m,,bralec
232,bralka,n f,,bralka
233,branini,v tr,,varovati
234,branini,v tr,,braniti
235,bratanco,n m,,bratranec
236,brca,n f,,brca
237,brčkoni,v itr,,"riti (po), kopati (po)"
238,brdo,n m,,grič
239,brego,n m,,obala
240,brekh,n m,,prsi
241,breskva,n f,,breskev
242,brez,prep,,1. brez 2. ne da bi
243,brez razloga,adv,,brez vzroka
244,breza,n f,,breza
245,brezdomno,adj,,brezdomen
246,brezplačno,adv,,brezplačno
247,brezsramno,adj,,brez sramu
248,brezu,prep,,1. brez 2. ne da bi
249,bri(v)co,n m,,"frizer, brivec"
250,briga,n f,,skrb
251,brijači,n m,,"frizer, brivec"
252,brijani,v tr,,(o)briti
253,brijani pe,v itr,,briti se
254,brikini pe,v itr,,rigati
255,brisača,n f,,brisača
256,brišin,n m,,dež
257,briska,n f,,breskev
258,britafo,n m,,1. grob 2. pokopališče
259,britavo,n m,,grob
260,brkano,adj m,,"brkat, ki ima brke"
261,brki,n m pl,,brki
262,brojini,v tr,,"šteti, računati"
263,bronasto,adj,,"bronast, bronaste barve"
264,bršani kaplja,n phr f,,dežna kaplja
265,bršin,n m,,dež
266,brusini,v tr,,brusiti
267,bruso,n m,,"brus, brusilni kamen, osla"
268,bruso,n m,,"brus, brusilni kamen, osla"
269,bruzu,prep,,1. brez 2. ne da bi
270,brzo,prep,,1. brez 2. ne da bi
271,bubrego,n m,,ledvica
272,buča,n f,,buča
273,bučakerno,adj m,,"priden, marljiv"
274,bufeto,n m,,bife
275,buha,n f,,bolha
276,bukano,adj m,,"pljučji, pljučni"
277,buke,n m pl,,pljuča
278,bukengoro,adj m,,"pljučji, pljučni"
279,bukhalipe,n m,,lakota
280,bukhaljovi,v itr,,1. postati lačen 2. stradati
281,bukva,n f,,1. bukev 2. jesen
282,bul,n f,,zadnjica
283,bula,n f,,"buška, bula"
284,bulanta,n f,,ambulanta
285,bumblji,n m,,boben
286,bunda,n f,,krznen plašč
287,bunka,n f,,"1. grča 2. lupina, strok"
288,bura,n f,,veter
289,busa,n f,,avtobus
290,buščedel,v tr,,"klati, zaklati"
291,buso,n m,,avtobus
292,but,adv,,"mnogo, veliko, zelo"
293,but puti,adv,,velikokrat
294,butara,n f,,"palica, gorjača"
295,buteri,adv,,več
296,buti,n f,,1. delo 2. zadeva
297,butjakero,adj,,"deloven, marljiv"
298,butjano,adj m,,deloven
299,butjano,n m,,delavec
300,bužiči,n m,,božič
301,č,n,,smer
302,čačari,v tr,,ogreti
303,čače,adv,,"resnično, res"
304,čačibe,n m,,resnica
305,čačipe,n m,,resnica
306,čačka,n f,,čečkanje
307,čačo,adj m,,1. resničen 2. pravi
308,cagari,n m,,kazalec
309,čaj,n m,,čaj
310,cajho,n m,,1. stvar 2. posteljnina
311,cajtingo,n m,,časopis
312,cajto,n m,,čas
313,čalav,n m,,udarec
314,čalavi,v tr,,udariti
315,čalipe,n m,,sitost
316,čalo,adj m,,sit
317,čang,n f,,koleno
318,capata,n f,,copata
319,čar,n f,,trava
320,čar,n f,,zelišče
321,čaranje,n,,"čarovništvo, čaranje"
322,čarapa,n f,,nogavice
323,carina,n f,,carina
324,carinakeri,v tr,,ocariniti
325,čarjavi,v tr,,pasti
326,čarjavibe,n m,,pašnik
327,čaro,n m,,skleda
328,čarobno,adj,,čaroben
329,čarovnica,n f,,čarovnica
330,čarovniko,n m,,čarodej
331,časo,n m,,1. ura 2. čas
332,častini,v tr,,spoštovati
333,častno,adj,,spoštljiv
334,často,n m,,čast
335,čavlo,n m,,žebelj
336,če,conj,,če
337,čebela,n f,,čebela
338,čebelari,n m,,čebelar
339,čebro,n m,,"vedro, čeber"
340,čebula,n f,,čebula
341,cedilo,n m,,sito
342,čedno,adj,,čeden
343,čekat,n f,,čelo
344,cekeri,n m,,"koš, košara"
345,cekino,n m,,"cekin, zlatnik"
346,čelada,n f,,čelada
347,celini,v tr/itr,,zdraviti
348,celo,pron indef,,"cel, ves"
349,čen,n f,,uhan
350,cena,n f,,cena
