Index,Entry Word,Part of Speech,Affix,Definition
1,abo,conj,,nebo
2,abo...abo,conj,,buď…anebo
3,abscesis,n m,-a/-is-,absces
4,absin,n m,—/-es-,ocel
5,absiňalo,adj m,,ocelový
6,absiňarel,v tr,-ď-/-d-,kalit ocel
7,absinel,v tr,-ď-/-d-,kalit ocel
8,absiňiko,adj m,,ocelový
9,absuno,adj m,,ocelový
10,ačhaďipen,n m,-a/-as-,1. zastavení 2. stabilita
11,ačhado,adj m,,"1. postavený, vybudovaný 2. zastavený"
12,ačhaďol,v itr,-iľ-/-il-,"zastavit se, přestat"
13,ačhaduno,adj m,,"opozdilý, zaostalý"
14,ačhaduno vakeriben,n phr,,přerývaná/zajíkáva řeč
15,ačhaľiben,n m,-a/-as-,odpočinek
16,ačhavel,v tr,-ď-/-d-,"1. postavit, vybudovat 2. zastavit 3. přerušit, přerušovat 4. ustanovit"
17,ačhavel pes,v phr tr/itr,-ď-/-d-,"postavit se, zastavit se"
18,ačhavel peske,v phr itr,-dž-/-d-,"odpočinout si, relaxovat"
19,ačhaviben,n m,-a/-as-,"1. stavba, budova 2. výstavba, zástavba 3. postavení"
20,ačhavibnaskero,adj m,,stavební [«ačhavibnaskero ministerstvos» - ministerstvo stavebnictví]
21,ačhavibnaskero ministerstvos,n phr,,ministerstvo stavebnictví
22,ačhavindos,adj pp,,"se zastávkami, s pomlkami"
23,ačhavkerel,v tr,-ď-/-d-,"1. (postupné) postavit (si), (postupné) vybudovat (si) 2. stále přerušovat, zastavovat"
24,ačhavkerel motora (pro drom),v phr,,jezdit autostopem
25,ačhavkeriben,n m,-a/-as-,"1. stálé zastavování, nástavba 2. otálení 3. přerušování"
26,ačhel,v itr,-ď-/-d-,"1. zůstávat, zdržovat se, být, pobývat 2. zbýt, zůstat 3. nastat, povstat, vzniknout, strhnout se, nadejít, začít 4. trvat, odehrávat se 5. vyskytnout se 6. stát, stoupnout si 7. slušet, hodit se [«Ačh!» - Přestaň!, Nech!, Jen klid!, Toho!] [«Ačh čino!» - Počkej chvilku!] [«Ačh tire mujeha!» - Nemel pantem!]"
27,ačhel avri,partv tr/itr,,"1. zbýt, zůstat nazbyt 2. vytrpět, přestát"
28,ačhel barvalo,v phr,,zbohatnout
29,ačhel bidumakero,v phr,,oněmět
30,ačhel bije goďi,v phr,,pozbýt smyslů
31,ačhel bilaveskero,v phr,,odmlčet se
32,ačhel buteha,v phr,,"přebývat, být nazbyt"
33,ačhel čoro,v phr,,zchudnout
34,ačhel čoro,v phr,,osiřet
35,ačhel čučo,v phr,,zůstat s holýma rukama
36,ačhel dilino,v phr,,1. být ohromen/překvapen čím 2. zůstat paf z čeho
37,ačhel džido,v phr,,"zůstat naživu, přežít"
38,ačhel e rat,v phr,,noc se šeření
39,ačhel feder,v phr,,polepšit se
40,ačhel jakhaľibnaste,v phr,,být uhranut
41,ačhel jakhendar,v phr,,být uhranut
42,ačhel khabňi,v phr,,otěhotnět
43,ačhel londo,v phr,,"osolit, posolit"
44,ačhel murdardo,v phr,,být zabit
45,ačhel muršeder,v phr,,zmužnět
46,ačhel nango,v phr,,přijít o majetek
47,ačhel ňisavo,v phr,,nebýt schopen
48,ačhel opre,partv itr,,"1. trčet, tyčit se 2. vyčnívat"
49,ačhel pal varesoste,v phr,,hodit se
50,ačhel palal,partv itr,,"zůstávat pozadu, zdržovat se vzadu, opožďovat se"
51,ačhel pes,v phr itr,,"1. dít se 2. přihodit se, stát se"
52,ačhel peske,v phr itr,,mít se
53,ačhel pre,v phr,,1. schylovat se k čemu 2. zůstat na starosti
54,ačhel pre čhib,v phr,,chytat za slovo
55,ačhel pro čoripen,v phr,,1. octnout se v nouzi 2. osiřet
56,ačhel pro kham,v phr,,slunit se
57,ačhel romeha,v phr,,vdát se
58,ačhel romňaha,v phr,,oženit se
59,ačhel sár kašt,v phr,,zůstat jako opařený
60,ačhel vaš,v phr,,1. souhlasit 2. zastávat se koho
61,ačhel vaš varekaste,v phr,,"přimluvit se, zprostředkovat"
62,ačhiben,n m,-a/-as-,1. událost 2. pobyt 3. dějství 4. stanovisko
63,ačhilo pani,n phr,,stojatá voda
64,ačhkerel,v itr,-ď-/-d-,"postávat, otálet"
65,ada,pron dem m,,1. tamten 2. tamto
66,adaberš,adv temp,,letos
67,adaberš,n m,-a/-es-,"letošek, letošní rok"
68,adaberšeskero,adj m,,letošní
69,adaďives,adv temp,,dnes
70,adaďives,n m,-a/-es-,"dnešek, dnešní den"
71,adaďiveseskero,adj m,,1. dnešní 2. současný
72,adaďiveseskero koter,n phr,,dnešní doba
73,adaďivesu(t)no,adj m,,dnešní
74,adaďivesu(t)no xaben,n phr,,dnešní jídlo
75,adaj,adv loc,,"1. zde, tady, tu 2. sem"
76,adaraťakero,adj m,,"dnešní noci, dnešního večera"
77,adarig,adv loc,,1. odsud 2. tudy
78,adarigutno,adj m,,zdejší
79,adarigutno,n m,-a/-es-,"domorodec, zdejší člověk"
80,adathaneskero,adj m,,zdejší
81,adathar,adv loc,,"1. odsud 2. tudy, v těchto místech"
82,adatharuno,adj m,,zdejší
83,adava,pron dem m,,"to, tamto"
84,adebor,adv,,1. tak(hle) velký 2. tak(hle) dlouhý 3. tak(hle) daleko
85,adebororo,adv,,1. (jenom) takhle velký 2. takhle malý
86,adeci viz ajci,adv phr,,"1. tolik, natolik, tak mnoho, tak 2. tolikrát 3. tak dlouho 4. "
87,adej,adv loc,,"1. zde, tady, tu 2. sem"
88,adi,pron dem f,,"ta, tamta"
89,adig,prep,,"1. dokud, pokud 2. do té doby 3. zatím"
90,adig...medig,prep,,dokud…potud
91,adijader,adv loc,,"opodál, o kousek dál"
92,adirat,n f,-a/-a-,"dnešní noci, dnešního večera"
93,adirat,n f,-a/-a-,"dnešní noci, dnešního večera"
94,adiraťakero,adj m,,"dnešní noci, dnešního večera"
95,adiraťakero xaben,n phr,,dnešní večeře
96,adopcia,n f,-i/-a-,adopce
97,adoptinel,v tr,-ď-/-imen,adoptovat
98,adošagos,n m,-i/-os-,"dluh, dluhy"
99,adžgar,n m,-a/-es-,"drak, saň"
100,agentura,n f,-i/-a-,agentura
101,agocis,n m,-a/-is-,"větévka, haluz, snílka"
102,agor,n m,-a/-es-,1. kraj 2. konec 3. cip 4. začátek
103,agor gaveske,adv phr loc,,na kraji vesnice
104,agora,n pl,,hranice
105,agoral,adv loc,,"1. u kraje, na kraji 2. zkraje 3. na kraj"
106,agoralo,adj m,,1. krajní 2. cípatý
107,agoraluno,adj m,,nejkrajnější
108,agoralutno,adj m,,nejkrajnější
109,agorarel,v tr,-ď-/-d-,končit
110,agore,adv loc,,1. na kraji 2. na kraj
111,agorestar,adv loc,,1. zkraje 2. od začátku
112,agorisaľol,v itr,-iľ-/-il-,končit (se)
113,agorisarel,v tr,-ď-/-d-,(za)končit
114,agororo,n m,-a/-es-,1. krajíček 2. cípeček 3. hrot
115,agoru(t)no,adj m,,1. krajní 2. poslední
116,agorutňi zastavka,n phr,,konečná stanice
117,agorutno,n m,-a/-es-,výsledek
118,agorutno,adj m,,konečný
119,agorutno ačhaben,n phr,,konečná stanice
120,agos,n m,-i/-os-,větev
121,aja,pron dem f,,"ta, tamta"
122,ajarat,n f,-a/-a-,"dnešní noci, dnešního večera"
123,ajci,adv,,"1. tolik, natolik, tak mnoho, tak 2. tolikrát 3. tak dlouho"
124,ajci pre kajciste,adv phr,,nakonec
125,ajci so,adv phr mod,,jen a jen
126,ajcici,adv,,"trošinku, jenom tolik"
127,ajcigori,adv,,"trošinku, jenom tolik"
128,ajcijori,adv,,"trošinku, jenom tolik"
129,ajsidžeňi,n f,-a/-a-,"osoba (žena), taková osoba"
130,ajsijoro,adj indef,,jen takhle malinký
131,ajso,adj indef m,,"1. takový, něco takového 2. tak (ve spojení s příd.jm.)"
132,ajso sar the,adj,,stejný jako
133,ajsodženo,n m,-e/-es-,"osoba (muž), taková osoba"
134,ajsoro,adj indef m,,jen takhle malinký
135,ak,adv loc,,"1. zde, tu 2. sem"
136,aká,pron dem m,,"ono, tamto"
137,aká,adj,,"minulý, bývalý"
138,aka svetos,n phr,,onen svět
139,akaj,adv loc,,"tamhle, onde"
140,akajcici,adv,,trošinku
141,akajso,adj indef m,,1. takový 2. tak (ve spojení s příd.jm.)
142,akalaraťakero,adj m,,z minulé noci
143,akaledženeskero,adj m,,onoho
144,akaleskero,adj m,,onoho
145,akana,adv temp,,"nyní, teď"
146,akanak,adv temp,,"nyní, teď"
147,akanake,adv temp,,"nyní, teď"
148,akanakes,adv temp,,"nyní, teď"
149,akanastar,adv temp,,"od nynějška, od této doby, od této chvíle"
150,akaňik,adv temp,,"nyní, teď"
151,akanutnes,adv temp,,prozatím
152,akanutno,adj m,,"1. nynější, současný 2. prozatímní"
153,akarig,adv loc,,1. až tam 2. až odtamtud 3. tamtudy
154,akava,pron dem m,,"ono, tamto"
155,akavka,adv mod,,"tak, takto, takovým způsobem, (teprve) pak"
156,ake,adv loc,,"1. zde, tu 2. sem"
157,akhaľiben,n m,-a/-as-,uhranutí
158,akharel ,v tr,-ď-/-d-,"volat, zvát, pojmenovat (křestním jménem)"
159,akharel avri,partv tr,-ď-/-d-,"vyhlásit, prohlásit"
160,akhariben,n m,-a/-as-,"volání, pozvání, provolání, vyhláška"
161,akhor,n m,-a/-es-,ořech
162,akhorin,n f,-a/-a-,vlašský ořešák
163,akhoruno,n m,-e/-es-,"ořechový strom, ořešák"
164,aki,adj,,"minulá, bývalá"
165,aki,pron dem f,,"ona, tamta"
166,akirat,adv temp,,minulé noci
167,akirat,n f,-a/-a-,minulá noc
168,akiraťakero,adj m,,z minulé noci
169,akor,adv temp,,"1. tehdy, v té době 2. v tom případě, tak"
170,akor the akor ,adv phr temp,,tehdy a tehdy
171,akorestar,adv temp,,od té doby
172,akorutno,adj m,,"tehdejší, stejný, podobný"
173,akorutno,n m,-a/-es-,vrstevník
174,ala,pron dem pl,,tito
175,ála,n f,-a/-a-,vousy
176,Alah,n m,-a/-os-,Alláh
177,alamoňiklo,adj m,,hliníkový
178,alamoňis,n m,-a/-is-,hliník
179,alapitišágos,n m,-a/-os-,ocenění
180,alaraťakero,adj m,,"dnešní noci, dnešního večera"
181,áláši,n f,-a/-a-,povýšení
182,alatos,n m,-i/-os-,"obluda, zvíře"
183,alavni keňva,n phr,,slovník
184,aleberšeskero ,adj m,,letošní
185,aleforoskero,adj m,,z onoho města
186,aleforoskero čhibalo ,n phr,,starosta onoho města
187,alegaveskere Roma,n phr,,Rómové z oné vesnice
188,alegaveskero ,adj m,,1. z oné vesnice 2. 
189,alergia,n f,-i/-a-,alergie
190,alergicko,adj,,alergický
191,alethaneskero,adj m,,z onoho místa/kraje
192,alethemeskero,adj m,,"z tohoto kraje, z tohoto státu"
193,alimentaris,n m,-a/-is-,"člověk, který platí alimenty"
194,alkodinel,v tr,-ď-/-imen,"zjednat, objednat (většinou se užívá ve významu zjednat si hudebníky na svatbu, zábavu aid)"
195,alkodišagos,n m,-i/-os-,dohoda (s hudebníky)
196,aludimo,n m,—/-es-,kvašení
197,amal,n m,-a/-es-,"přítel, kamarád"
198,amaro ,pron poss 1 sg m,,náš
199,amaro (manuš),n phr,,"náše, náš člověk/ přítel/spojenec/příslušník (etnické skupiny/komunity)"
200,ambora džuvľi,n phr,,fešanda
201,baba,n f,-i/-a-,1. babička 2. bábovka
202,babica,n f,-i/-a-,porodní bába
203,babilonos,n m,-i/-os-,mrakodrap
204,babka,n f,-i/-a-,1. panenka 2. porodní bába
205,bačis,n m,-a/-is-,strýc
206,bagažia,n f,-i/-a-,zavazadlo
207,báj,n f,,rukáv
208,bajašno,adj m,,"pečlivý, dbalý"
209,bajcin(ker)el,v itr,-ď-/-d-,1. klátit 2. plandat se
210,bajcin(ker)el le pindrenca,v phr,,klátit nohama
211,bajinel,v itr,-ď-/-imen,"1. litovat, mrzet 2. vadit"
212,bajinel pal (+Abl.),partv tr,-ď-/-men,"dbát o/na, starat se"
213,bajipen,n m,-a/-as-,"1. antikoncepce, ochrana 2. soucit"
214,bajlos,n m,-i/-os-,pohroma
215,bajoneta,n f,-i/-a-,bajonet
216,bajonetos,n m,-i/-os-,bajonet
217,bajta,n f,-i/-a-,vál (kuchyňský)
218,bajusato,adj m,,vousatý
219,bajusato,n m,-e/-es-,kníratý
220,bajusi,n pl,,knírek
221,bajusiči,n pl,,malý knírek
222,bajuzato,n m,-e/-es-,kníratý
223,bajuzato,adj m,,vousatý
224,baklažános,n m,-i/-os-,lilek
225,bakombra(n)di,n pl,,"licousy, kotlety"
226,bakraňi mľazga,n phr,,bryndza
227,bakrano,n m,-e/-es-,beraní
228,bakrano mas,n phr,,"skopové maso, ovčí maso"
229,bakri,n f,-a/-a-,ovce
230,bakrikano,adj m,,ovčí
231,bakro,n m,-e/-es-,beran
232,bakroro,n m,-a/-es-,beránek
233,baksa,n f,-i/-a-,1. pouzdro na housle/violu 2. plechová krabice
234,baksica,n f,-i/-a-,pokladnička
235,bakuľa,n f,-i/-a-,"hůl, sukovice"
236,bal,n m,-a/-es-,1. vlas 2. klas 3. osina
237,balado,adj m,,vlasatý
238,balaginel le mulenca,v phr,,být pronásledován duchy zemřelých
239,balamuta,n f,-i/-a-,"1. rámus 2. neplecha 3. problém, nesnáz"
240,balamutinel,v tr/itr,-ď-/-men,1. rámusit 2. vyvádět 3. znepokojovat
241,balanda,n f,-i/-a-,noclehárna
242,balaňi,n f,-a/-a-,1. koryto 2. okap 3. žlab
243,balano,adj m,,"prasečí, vepřový"
244,balano mas,n phr,,vepřové maso
245,balaňori,n f,,1. díže na zadělávání těsta 2. okap
246,balevas,n m,-a/-as-,slanina
247,balevaseskero,adj m,,slaninový
248,balevaseskero žiros,n phr,,sádlo vyškvařené ze slaniny
249,baľi,n f,-a/-a-,"1. svině, prasnice 2. kočka, hezká holka"
250,baličaňi xeroj,n phr,,vepřová kýta
251,baľičano,adj m,,1. prasečí 2. prasácký
