Index,Entry Word,Part of Speech,Affix,Definition
1,abo,conj,,oder
2,abo...abo,conj,,entweder…oder
3,abscesis,n m,-a/-is-,Abszess
4,absin,n m,—/-es-,Stahl
5,absiňalo,adj m,,"stählern, aus Stahl"
6,absiňarel,v tr,-ď-/-d-,Stahl härten
7,absinel,v tr,-ď-/-d-,Stahl härten
8,absiňiko,adj m,,"stählern, aus Stahl"
9,absuno,adj m,,"stählern, aus Stahl"
10,ačhaďipen,n m,-a/-as-,1. Stillstand 2. Stabilität
11,ačhado,adj m,,1. errichtet 2. stillgelegt
12,ačhaďol,v itr,-iľ-/-il-,"stillstehen, zum Stillstand kommen, innehalten, aufhören"
13,ačhaduno,adj m,,"zurückgeblieben, rückständig, veraltet"
14,ačhaduno vakeriben,n phr,,"abgehacktes Sprechen, stotterndes Sprechen"
15,ačhaľiben,n m,-a/-as-,"Rast, Entspannung"
16,ačhavel,v tr,-ď-/-d-,"1. bauen, errichten 2. stilllegen, anhalten, stoppen 3. unterbrechen 4. einsetzen, anstellen"
17,ačhavel pes,v phr tr/itr,-ď-/-d-,"sich hinstellen, stehenbleiben, anhalten"
18,ačhavel peske,v phr itr,-dž-/-d-,"sich ausruhen, entspannen, relaxen"
19,ačhaviben,n m,-a/-as-,"1. Bau, Gebäude 2. Aufbau, Errichtung, Bebauung 3. Stellung, Position"
20,ačhavibnaskero,adj m,,"baulich, Bau- [«ačhavibnaskero ministerstvos» - Bauindustrieamt]"
21,ačhavibnaskero ministerstvos,n phr,,Bauindustrieamt
22,ačhavindos,adj pp,,"mit Pausen, mit Unterbrechungen"
23,ačhavkerel,v tr,-ď-/-d-,"1. nach und nach bauen, schrittweise errichten 2. immerfort unterbrechen, ständig aufhalten"
24,ačhavkerel motora (pro drom),v phr,,"trampen, Auto stoppen"
25,ačhavkeriben,n m,-a/-as-,"1. ständiges Bauen, Anbau, Ausbau 2. Verzögerung 3. Unterbrechung"
26,ačhel,v itr,-ď-/-d-,"1. bleiben, verweilen, sich aufhalten, sein (an einem Ort) 2. überbleiben, übrigbleiben, verbleiben 3. werden, entstehen, erwachsen, anfangen, beginnen 4. dauern, andauern, bestehen bleiben 5. auftreten, aufkommen 6. still stehen, stehen (an einem Ort) 7. passen, passend sein [«Ačh!» - Warte kurz!, Lass!, Gib Ruhe!, Lass!] [«Ačh čino!» - Warte kurz!] [«Ačh tire mujeha!» - Sei still!]"
27,ačhel avri,partv tr/itr,,"1. überbleiben, übrigbleiben, im Überfluss übrig bleiben 2. aushalten, erleiden, durchmachen"
28,ačhel barvalo,v phr,,reich werden
29,ačhel bidumakero,v phr,,"verstummen, stumm werden"
30,ačhel bije goďi,v phr,,seine Sinne verlieren
31,ačhel bilaveskero,v phr,,verstummen
32,ačhel buteha,v phr,,Überschuss haben
33,ačhel čoro,v phr,,arm werden
34,ačhel čoro,v phr,,verwaisen
35,ačhel čučo,v phr,,"mit leeren Händen übrigbleiben, leer ausgehen"
36,ačhel dilino,v phr,,"platt sein, verwundert sein, baff sein"
37,ačhel džido,v phr,,"am Leben bleiben, überleben"
38,ačhel e rat,v phr,,"anbrechen (Nacht), hereinbrechen"
39,ačhel feder,v phr,,sich verbessern
40,ačhel jakhaľibnaste,v phr,,"verzaubert sein, betört sein, bezirzt sein"
41,ačhel jakhendar,v phr,,"verzaubert sein, betört sein, bezirzt sein"
42,ačhel khabňi,v phr,,schwanger werden
43,ačhel londo,v phr,,salzig werden
44,ačhel murdardo,v phr,,erschlagen werden
45,ačhel muršeder,v phr,,zum Manne werden
46,ačhel nango,v phr,,um das Eigentum kommen
47,ačhel ňisavo,v phr,,"unfähig sein, nicht können"
48,ačhel opre,partv itr,,"1. emporragen, hervorragen 2. hervortreten, heraustreten, hervorstehen"
49,ačhel pal varesoste,v phr,,"dazupassen, zusammenpassen"
50,ačhel palal,partv itr,,"zurückbleiben, hinten bleiben, sich hinten aufhalten"
51,ačhel pes,v phr itr,,"1. geschehen, sich ereignen, vor sich gehen, vorgehen 2. widerfahren, stattfinden, hereinbrechen"
52,ačhel peske,v phr itr,,"sich befinden (Gefühle, Gesundheit)"
