Index,Entry Word,Part of Speech,Affix,Definition
1,abo,conj,,or
2,abo...abo,conj,,either…or
3,abscesis,n m,-a/-is-,abscess
4,absin,n m,—/-es-,steel
5,absiňalo,adj m,,of steel
6,absiňarel,v tr,-ď-/-d-,temper steel
7,absinel,v tr,-ď-/-d-,temper steel
8,absiňiko,adj m,,of steel
9,absuno,adj m,,of steel
10,ačhaďipen,n m,-a/-as-,1. halt 2. stability
11,ačhado,adj m,,"1. built, erected 2. suspended, shut down"
12,ačhaďol,v itr,-iľ-/-il-,"be still, stand still, come to a halt, pause, stop"
13,ačhaduno,adj m,,"left behind, retarded, outdated"
14,ačhaduno vakeriben,n phr,,"stammering, hesitant speech"
15,ačhaľiben,n m,-a/-as-,"rest, relaxation"
16,ačhavel,v tr,-ď-/-d-,"1. build, erect 2. suspend, pause, stop 3. disrupt, halt 4. appoint, employ"
17,ačhavel pes,v phr tr/itr,-ď-/-d-,"place oneself, stand, stay, stop"
18,ačhavel peske,v phr itr,-dž-/-d-,"take a rest, relax"
19,ačhaviben,n m,-a/-as-,"1. building 2. construction, building, erection 3. setting, position"
20,ačhavibnaskero,adj m,,"architectural, building- [«ačhavibnaskero ministerstvos» - Ministry of Building Industry]"
21,ačhavibnaskero ministerstvos,n phr,,Ministry of Building Industry
22,ačhavindos,adj pp,,with breaks
23,ačhavkerel,v tr,-ď-/-d-,"1. build step by step, erect step by step 2. halt incessantly, pause incessantly, stop incessantly"
24,ačhavkerel motora (pro drom),v phr,,hitchhike
25,ačhavkeriben,n m,-a/-as-,"1. constant building, extension (constr.) 2. delay 3. break, halt"
26,ačhel,v itr,-ď-/-d-,"1. stay, be (in a place), linger 2. remain, be left 3. become, come into being, emerge, begin, start 4. continue, last, linger 5. occur, arise 6. stand still, stand (in a place) 7. fit, be suitable [«Ačh!» - Wait a second!, Leave it!, Be quiet!, This one!] [«Ačh čino!» - Hang on!, Wait a moment!] [«Ačh tire mujeha!» - Shut up!]"
27,ačhel avri,partv tr/itr,,"1. be left, remain, remain in abundance 2. suffer, stand, go through"
28,ačhel barvalo,v phr,,grow rich
29,ačhel bidumakero,v phr,,"become dumb, fall silent"
30,ačhel bije goďi,v phr,,lose one's senses
31,ačhel bilaveskero,v phr,,fall silent
32,ačhel buteha,v phr,,have surplus
33,ačhel čoro,v phr,,"grow poor, become poor"
34,ačhel čoro,v phr,,become an orphan
35,ačhel čučo,v phr,,"remain empty-handed, go away empty-handed"
36,ačhel dilino,v phr,,"be astonished, be dumbstruck (by surprise), be surprised"
37,ačhel džido,v phr,,"stay alive, survive"
38,ačhel e rat,v phr,,night draws on
39,ačhel feder,v phr,,improve oneself
40,ačhel jakhaľibnaste,v phr,,"be bewitched, be enchanted, be charmed"
41,ačhel jakhendar,v phr,,"be bewitched, be enchanted, be charmed"
42,ačhel khabňi,v phr,,become pregnant
43,ačhel londo,v phr,,get salty
44,ačhel murdardo,v phr,,"be beaten down, be struck down"
45,ačhel muršeder,v phr,,become a man
