Index,Entry Word,Part of Speech,Affix,Definition
1,abo,conj,,alebo
2,abo...abo,conj,,buď..alebo
3,abscesis,n m,-a/-is-,absces
4,absin,n m,—/-es-,oceľ
5,absiňalo,adj m,,oceľový
6,absiňarel,v tr,-ď-/-d-,kaliť oceľ
7,absinel,v tr,-ď-/-d-,kaliť oceľ
8,absiňiko,adj m,,oceľový
9,absuno,adj m,,oceľový
10,ačhaďipen,n m,-a/-as-,1. zastavenie 2. stabilita
11,ačhado,adj m,,"1. postavený, vybudovaný 2. zastavený"
12,ačhaďol,v itr,-iľ-/-il-,"zastaviť sa, prestať"
13,ačhaduno,adj m,,"oneskorený, zaostalý"
14,ačhaduno vakeriben,n phr,,prerývaná/zajakáva reč
15,ačhaľiben,n m,-a/-as-,odpočinok
16,ačhavel,v tr,-ď-/-d-,"1. postaviť, vybudovať 2. zastaviť 3. prerušiť, prerušovať 4. ustanoviť"
17,ačhavel pes,v phr tr/itr,-ď-/-d-,"postaviť sa, zastaviť sa"
18,ačhavel peske,v phr itr,-dž-/-d-,"odpočinúť si, relaxovať"
19,ačhaviben,n m,-a/-as-,"1. stavba, budova 2. výstavba, zástavba 3. postavenie"
20,ačhavibnaskero,adj m,,stavebný [«ačhavibnaskero ministerstvos» - ministerstvo stavebníctva]
21,ačhavibnaskero ministerstvos,n phr,,ministerstvo stavebníctva
22,ačhavindos,adj pp,,"so zastávkami, s prestávkami"
23,ačhavkerel,v tr,-ď-/-d-,"1. (postupne) postaviť (si), (postupne) vybudovať (si) 2. stále prerušovať, zastavovať"
24,ačhavkerel motora (pro drom),v phr,,jazdiť autostopom
25,ačhavkeriben,n m,-a/-as-,"1. stále zastavovanie, nadstavba, prístavba 2. otáľanie 3. prerušovanie"
26,ačhel,v itr,-ď-/-d-,"1. ostávať, zdržovať sa, byť, zvýšiť 2. nastať, povstať, vzniknúť, strhnúť sa, nadísť, začať 3. trvať, odohrávať sa 4. vyskytnúť sa 5. stáť, stúpnuť si 6. pristáť 7. slušať, hodiť sa [«Ačh!» - Prestaň!, Nechaj to!, Len pokoj!] [«Ačh čino!» - Počkaj chvíľku!] [«Ačh tire mujeha!» - Nemeľ hubou!]"
27,ačhel avri,partv tr/itr,,"1. zvýšiť sa, zostať navyše 2. vytrpieť, prestáť"
28,ačhel barvalo,v phr,,zbohatnúť
29,ačhel bidumakero,v phr,,onemieť
30,ačhel bije goďi,v phr,,"stratiť súdnosť, stať sa slabomyselným"
31,ačhel bilaveskero,v phr,,odmlčať sa
32,ačhel buteha,v phr,,"zvyšovať, byť nazvyš"
33,ačhel čoro,v phr,,"schudobnieť, stať sa chudobným"
34,ačhel čoro,v phr,,osirieť
35,ačhel čučo,v phr,,ostať s holými rukami
36,ačhel dilino,v phr,,1. byť ohromený/prekvapený čím 2. zostať paf z čoho
37,ačhel džido,v phr,,"ostať nažive, prežiť"
38,ačhel e rat,v phr,,nastáva noc
39,ačhel feder,v phr,,polepšiť sa
40,ačhel jakhaľibnaste,v phr,,byť uhranutý
41,ačhel jakhendar,v phr,,byť uhranutý
42,ačhel khabňi,v phr,,otehotnieť
43,ačhel londo,v phr,,"stať sa slaným, osoliť"
44,ačhel murdardo,v phr,,byť zabitý
45,ačhel muršeder,v phr,,zmužnieť
46,ačhel nango,v phr,,prísť o majetok
47,ačhel ňisavo,v phr,,byť neschopný
48,ačhel opre,partv itr,,"1. trčať, týčiť sa 2. vyčnievať"
49,ačhel pal varesoste,v phr,,"zodpovedať, hodiť sa"
50,ačhel palal,partv itr,,"ostávať pozadu, zdržovať sa (vzadu), oneskorovať sa"
51,ačhel pes,v phr itr,,"1. diať sa 2. prihodiť sa, stáť sa"
52,ačhel peske,v phr itr,,mať sa
53,ačhel pre,v phr,,1. schyľovať sa k čomu 2. ostať na starosti
54,ačhel pre čhib,v phr,,chytať za slovo
55,ačhel pro čoripen,v phr,,1. ocitnúť sa v núdzi 2. osirieť
56,ačhel pro kham,v phr,,"slniť sa, opaľovať sa"
57,ačhel romeha,v phr,,vydať sa
58,ačhel romňaha,v phr,,oženiť sa
59,ačhel sár kašt,v phr,,zostať ako oparený
60,ačhel vaš,v phr,,1. súhlasiť 2. zastavať sa koho
61,ačhel vaš varekaste,v phr,,"prihovoriť sa (za), sprostredkovať"
62,ačhiben,n m,-a/-as-,"1. udalosť, pobyt 2. dejstvo 3. postoj, stanovisko"
63,ačhilo pani,n phr,,stojatá voda
64,ačhkerel,v itr,-ď-/-d-,"postávať, otáľať"
65,ada,pron dem m,,1. tamten 2. tamto
66,adaberš,adv temp,,tohto roku
67,adaberš,n m,-a/-es-,tohtoročný
68,adaberšeskero,adj m,,tohtoročný
69,adaďives,adv temp,,dnes
70,adaďives,n m,-a/-es-,"dnešok, dnešný deň"
71,adaďiveseskero,adj m,,1. dnešný 2. súčasný
72,adaďiveseskero koter,n phr,,dnešna doba
73,adaďivesu(t)no,adj m,,dnešný
74,adaďivesu(t)no xaben,n phr,,dnešné jedlo
75,adaj,adv loc,,"1. tu, tuna, tu 2. sem"
76,adaraťakero,adj m,,"dnešnej noci, dnešného večera"
77,adarig,adv loc,,1. odtiaľ 2. tadiaľ
78,adarigutno,adj m,,"tunajší, domáci"
79,adarigutno,n m,-a/-es-,"domorodec, tunajší človek"
80,adathaneskero,adj m,,"tunajší, domáci"
81,adathar,adv loc,,"1. odtiaľ 2. tadiaľ, v týchto miestach"
82,adatharuno,adj m,,"tunajší, domáci"
83,adava,pron dem m,,"to, tamto"
84,adebor,adv,,1. tak(to) veľký 2. tak(to) dlhý 3. tak(to) ďaleko
85,adebororo,adv,,1. (iba) takto veľký 2. takto malý
86,adeci viz ajci,adv phr,,"1. toľko, natoľko, tak mnoho, tak 2. toľkokrát 3. tak dlho"
87,adej,adv loc,,"1. tuna, tu 2. sem"
88,adi,pron dem f,,"ta, tamta"
89,adig,prep,,"1. dokiaľ, pokiaľ 2. do tej doby 3. zatím"
90,adig...medig,prep,,dokiaľ...pokiaľ
91,adijader,adv loc,,"opodiaľ, o kúsok ďalej"
92,adirat,n f,-a/-a-,"dnešnej noci, dnešného večera"
93,adirat,n f,-a/-a-,"dnešnej noci, dnešného večera"
94,adiraťakero,adj m,,"dnešnej noci, dnešného večera"
95,adiraťakero xaben,n phr,,dnešná večera
96,adopcia,n f,-i/-a-,adopcia
97,adoptinel,v tr,-ď-/-imen,adoptovať
98,adošagos,n m,-i/-os-,"dlh, dlhy"
99,adžgar,n m,-a/-es-,"drak, saň???"
100,agentura,n f,-i/-a-,agentúra
101,agocis,n m,-a/-is-,"vetvička, haluz, krajček"
102,agor,n m,-a/-es-,1. kraj 2. koniec 3. cíp 4. začiatok
103,agor gaveske,adv phr loc,,na kraji dediny
104,agora,n pl,,hranice
105,agoral,adv loc,,1. na kraji 2. z kraja 3. na kraj
106,agoralo,adj m,,1. krajný 2. rožný
107,agoraluno,adj m,,najkrajnejší
108,agoralutno,adj m,,najkrajnejší
109,agorarel,v tr,-ď-/-d-,končiť
110,agore,adv loc,,1. na kraji 2. na kraj
111,agorestar,adv loc,,1. z kraja 2. od začiatku
112,agorisaľol,v itr,-iľ-/-il-,končiť (sa)
113,agorisarel,v tr,-ď-/-d-,(za)končiť
114,agororo,n m,-a/-es-,1. krajíček 2. cíp 3. hrot
115,agoru(t)no,adj m,,1. krajný 2. posledný
116,agorutňi zastavka,n phr,,konečná zastávka
117,agorutno,adj m,,konečný
118,agorutno,n m,-a/-es-,výsledok
119,agorutno ačhaben,n phr,,konečná zastávka
120,agos,n m,-i/-os-,vetva
121,aja,pron dem f,,"ta, tamta"
122,ajarat,n f,-a/-a-,"dnešná noc, dnešného večera"
123,ajci,adv,,"1. toľko, natoľko, tak mnoho, tak 2. toľkokrát 3. tak dlho"
124,ajci pre kajciste,adv phr,,nakoniec
125,ajci so,adv phr mod,,iba a iba
126,ajcici,adv,,"trošičku, iba toľko"
127,ajcigori,adv,,"trošičku, iba toľko"
128,ajcijori,adv,,"trošičku, iba toľko"
129,ajsidžeňi,n f,-a/-a-,"osoba (žena), takáto osoba"
130,ajsijoro,adj indef,,len taký maličký
131,ajso,adj indef m,,"1. takýto, niečo také 2. tak (v spojení s príd.m.)"
132,ajso sar the,adj,,rovnaký ako
133,ajsodženo,n m,-e/-es-,"osoba (muž), takáto  osoba"
134,ajsoro,adj indef m,,len taký maličký
135,ak,adv loc,,1. tu 2. sem
136,aká,pron dem m,,"ono, tamto"
137,aká,adj,,"minulý, bývalý"
138,aka svetos,n phr,,onen svet
139,akaj,adv loc,,tamto
140,akajcici,adv,,trošičku
141,akajso,adj indef m,,1. takýto 2. tak (v spojení s príd.m.)
142,akalaraťakero,adj m,,z minulej noci
143,akaledženeskero,adj m,,onoho
144,akaleskero,adj m,,onoho
145,akana,adv temp,,"teraz, hneď"
