Index,Entry Word,Part of Speech,Affix,Definition
1,abeceda,n f,,Alfabet
2,absolutno,adj,,absolut
3,adala,pron dem pl,,diese
4,adaleha,adv,,dabei
5,adau,pron dem m,,dieser (m.sg.)
6,adau,pron dem m,,dieser
7,adau berš,adv,,dieses Jahr
8,adau ďent,adv,,in diesem Winter
9,adau džent,adv,,in diesem Winter
10,adau ǧent,adv,,in diesem Winter
11,adau nilej,adv,,in diesem Sommer
12,adau uze,prep,,zu
13,adau uzu,prep,,zu
14,adauthar,adv,,von hier
15,adej,adv,,1. hier 2. hierher 3. hier lang
16,adej te udoj,adv,,gelegentlich
17,adij,adv,,heute
18,adij kerauti,adv,,heute abend
19,adijskro dij,adv,,heutzutage
20,advokaut,n m,,Rechtsanwalt
21,advokautkiňa,n f,,Rechtsanwalt
22,aja,pron dem f,,diese
23,aja,pron dem f,,diese (f.sg.)
24,aja rat,adv,,diese Nacht
25,akaun,adv,,jetzt
26,akaun menteš,adv,,sofort
27,akharibe,n m,,1. Ruf 2. Einladung
28,akhaurel,v tr,,rufen
29,akhora,n f,,Nussbaum
30,akhora,n f,,Walnuss
31,akhora,n m,,Walnuss
32,akhorengro,adj,,Nuss-
33,akhorin,n f,,Nussbaum
34,akhorošno,adj,,Nuss-
35,aǩi,adv,,"so sehr, so viel"
36,akur,conj,,nachdem
37,akur,adv,,"danach, dann"
38,ali,conj,,oder
39,amauro,pron poss 1 sg m,,unser
40,ambulanta,n f,,Ambulanz
41,amen,pron pers 1 pl,,wir
42,amut,adv,,"1. anders, auf andere Weise 2. übrigens"
43,anďali,n m,,Engel
44,anďauli,n f,,Schoß
45,andijk,prep,,während
46,andijk mejk,prep,,während
47,ando,prep,,in
48,ando,prep,,in (… hinein)
49,andro,prep,,von
50,andru,prep,,von
51,andru kher,adv,,aus dem Haus
52,andruno,adj,,innere
53,andruno,adv,,von drinnen
54,andu,prep,,in
55,andu,prep,,in (… hinein)
56,andu aunǧe,adv,,auch
57,andu cilo,adv,,"völlig, ganz"
58,andu glauvno,adv,,vor allem
59,andu sa,adv,,1. absolut 2. insgesamt
60,andžali,n m,,Engel
61,andžavibe,n m,,Fluch
62,anǧali,n m,,Engel
63,angara,n f,,1. Kohle 2. Glut
64,angari,n m,,Glut
65,anǧauli,n f,,Schoß
66,anǧavibe,n m,,Fluch
67,anǧisajaurel,v itr,,schmelzen
68,anglo,prep,,vor (zeitl.)
69,anglo,prep,,vor (lok.)
70,angrusti,n f,,(Finger)Ring
71,anǧu,prep,,vor (lok.)
72,anǧu,prep,,vor (zeitl.)
73,anǧu plaune,adv,,pred poldevom
74,anǧuno,adj,,vorig
75,anǧuplaune,n m,,Vormittag
76,angušto,n m,,Finger
77,aňidik,conj,,während
78,aňidik na,conj,,bis
79,aparaut,n m,,1. Instrument 2. Apparat
80,apetit,n m,,Appetit
81,april,n m,,April
