Index,Entry Word,Part of Speech,Affix,Definition
1,abeceda,n f,,alphabet
2,absolutno,adj,,absolute
3,adala,pron dem pl,,these
4,adaleha,adv,,thereby
5,adau,pron dem m,,this
6,adau,pron dem m,,this (m.)
7,adau berš,adv,,this year
8,adau ďent,adv,,this winter
9,adau džent,adv,,this winter
10,adau ǧent,adv,,this winter
11,adau nilej,adv,,this summer
12,adau uze,prep,,to
13,adau uzu,prep,,to
14,adauthar,adv,,from here
15,adej,adv,,1. here 2. this way
16,adej te udoj,adv,,occasionally
17,adij,adv,,today
18,adij kerauti,adv,,this evening
19,adijskro dij,adv,,nowadays
20,advokaut,n m,,lawyer
21,advokautkiňa,n f,,lawyer
22,aja,pron dem f,,this (f.)
23,aja,pron dem f,,this
24,aja rat,adv,,tonight
25,akaun,adv,,now
26,akaun menteš,adv,,"immediately, at once"
27,akharibe,n m,,1. call 2. invitation
28,akhaurel,v tr,,call
29,akhora,n f,,walnut tree
30,akhora,n f,,walnut
31,akhora,n m,,walnut
32,akhorengro,adj,,"nut-, of nut"
33,akhorin,n f,,walnut tree
34,akhorošno,adj,,"nut-, of nut"
35,aǩi,adv,,so much
36,akur,conj,,after
37,akur,adv,,"then, afterwards"
38,ali,conj,,or
39,amauro,pron poss 1 sg m,,our
40,ambulanta,n f,,dispensary
41,amen,pron pers 1 pl,,we
42,amut,adv,,1. otherwise 2. by the way 3. differently
43,anďali,n m,,angel
44,anďauli,n f,,lap
45,andijk,prep,,during
46,andijk mejk,prep,,during
47,ando,prep,,into
48,ando,prep,,in
49,andro,prep,,from
50,andru,prep,,from
51,andru kher,adv,,out of the house
52,andruno,adj,,"inner, internal, interior"
53,andruno,adv,,from inside
54,andu,prep,,in
55,andu,prep,,into
56,andu aunǧe,adv,,also
57,andu cilo,adv,,"wholly, completely"
58,andu glauvno,adv,,mainly
59,andu sa,adv,,1. absolutely 2. overall
60,andžali,n m,,angel
61,andžavibe,n m,,curse
62,anǧali,n m,,angel
63,angara,n f,,1. coal 2. embers
64,angari,n m,,embers
65,anǧauli,n f,,lap
66,anǧavibe,n m,,curse
67,anǧisajaurel,v itr,,melt
68,anglo,prep,,in front of
69,anglo,prep,,before
70,angrusti,n f,,ring (for finger)
71,anǧu,prep,,in front of
72,anǧu,prep,,before
73,anǧu plaune,adv,,before noon
74,anǧuno,adj,,previous
75,anǧuplaune,n m,,forenoon
76,angušto,n m,,finger
77,aňidik,conj,,while
78,aňidik na,conj,,until
79,aparaut,n m,,1. instrument 2. contrivance
80,apetit,n m,,appetite
81,april,n m,,April
82,arčič,n m,,lead
83,arďavo,adj,,cruel
84,arǧavo,adj,,cruel
85,armauňa,n f,,oath
86,arpa,n f,,barley
87,ašaribe,n m,,praise
88,ašaurel,v tr,,praise
89,asou,pron indef,,such a
90,astaribe,n m,,"prison, jail"
91,astaripe,n m,,touch
92,astaurdi,n f,,prisoner
93,astaurdo,n m,,prisoner
94,astaurel,v tr,,1. touch 2. grasp 3. catch
95,astaurel prik,v tr,,embrace
96,aučengri cipa,n phr f,,eyelid
97,aučhel,v itr,,"1. stay, remain 2. live"
98,aučhel živdo,v itr,,survive
99,auga,n f,,"branch, twig, bough"
100,augeder,adv,,earlier
101,augun,adv,,former
102,augun,conj,,before
103,augun,adv,,"1. before 2. previously, earlier 3. first"
104,auguneder,adv,,first
105,augutno,adj,,ancient
106,aukhora,n f,,walnut
107,aukhora,n m,,walnut
108,aul,v itr,,"come, arrive"
109,aul aunde,v itr,,enter
110,aul paul,v itr,,return (come back)
111,aulav,n m,,word
112,aunav,n m,,name
113,aunde,prep,,1. into 2. within
114,aunde,prep,,in
115,aunde,adv,,1. in 2. inside
116,aunde baungo,adv,,guilty
117,aunde fauščaulinel,v tr,,wrap up
118,aunde kejrel,v tr,,make dirty
119,aunde kindo,n phr m,,buyer
120,aunde kinibe,n phr m,,buying
121,aunde kinibe,n phr m,,buying
122,aunde pakejrinel,v tr,,"pack in, wrap"
123,aunde phaundel,v tr,,bandage
124,aundral,prep,,within
125,aundral,adv,,from inside
126,aunel,v tr,,bring
127,aunǧal,adv,,1. in front 2. at the front 3. forwards
128,aunǧal aunel,v tr,,curse
129,aunǧe,adv,,1. ahead 2. forwards
130,aunǧe aunel,v tr,,"curse, execrate"
131,aunǧe aunel,v tr,,execrate
132,aur,adj,,other
133,aur valaso,adj,,other
134,auri,adv,,out
135,auri andro kher,adv,,out of the house
136,auri andru,prep,,out of
137,auri čhikerdo,adj,,haughty
138,auri cidel,v tr,,extract
139,auri dikhel,v itr,,tell fortune
140,auri dikhibe,n phr m,,appearance
141,auri ďuminel,v tr,,squeeze (out)
142,auri džuminel,v tr,,squeeze (out)
143,auri ǧuminel,v tr,,squeeze (out)
144,auri irime,adj,,crooked
145,auri kedipe,n m,,selection
146,auri meklo,n m,,gap
147,auri mukel,v tr,,"release, set free"
148,auri phukaul,v tr,,betray
149,auri rikejrel,v tr,,celebrate
150,auridikhibe,n m,,look
151,ausaube,n m,,1. laughter 2. smile
152,ausel,v itr,,smile
153,ausel,v itr,,1. laugh 2. smile
154,ausibe,n m,,1. laughter 2. smile
155,ausvin,n f,,tear
156,auto,n m,,car
157,auvdžin,n f,,honey
158,auvǧin,n f,,honey
159,auvral,prep,,outside
160,auvral,adv,,1. outside 2. from outside
161,auvre thaun,adv,,elsewhere
162,auvripe,n m,,surface
163,auzdel,v tr,,1. raise 2. lift 3. go up
164,avgeder,adv,,previously
165,avǧin,n f,,honey
166,avgust,n m,,August
167,avgutno,adj,,"past, previous"
168,avibe,n m,,arrival
169,avka,adv,,"in this way, thus"
170,avka vej avka,adv,,anyway
