Index,Entry Word,Part of Speech,Affix,Definition
1,abeceda,n f,,abeceda
2,absolutno,adj,,absoluten
3,adala,pron dem pl,,te
4,adaleha,adv,,"s tem, na ta način"
5,adau,pron dem m,,ta (m.ed.)
6,adau,pron dem m,,"ta(le), to"
7,adau berš,adv,,letos
8,adau ďent,adv,,to zimo
9,adau džent,adv,,to zimo
10,adau ǧent,adv,,to zimo
11,adau nilej,adv,,to poletje
12,adau uze,prep,,k
13,adau uzu,prep,,k
14,adauthar,adv,,od tukaj
15,adej,adv,,"tu, tukaj"
16,adej te udoj,adv,,"tu in tam, občasno"
17,adij,adv,,danes
18,adij kerauti,adv,,"danes zvečer, drevi"
19,adijskro dij,adv,,dandanes
20,advokaut,n m,,"pravnik, odvetnik"
21,advokautkiňa,n f,,"pravnica, odvetnica"
22,aja,pron dem f,,ta (ž.ed.)
23,aja,pron dem f,,ta(le)
24,aja rat,adv,,nocoj
25,akaun,adv,,zdaj
26,akaun menteš,adv,,"takoj, nemudoma"
27,akharibe,n m,,1. klic 2. vabilo
28,akhaurel,v tr,,klicati
29,akhora,n f,,oreh
30,akhora,n f,,oreh
31,akhora,n m,,oreh
32,akhorengro,adj,,orehov
33,akhorin,n f,,oreh
34,akhorošno,adj,,orehov
35,aǩi,adv,,toliko
36,akur,adv,,"1. nato, potem 2. kasneje"
37,akur,conj,,potem
38,ali,conj,,ali
39,amauro,pron poss 1 sg m,,naš
40,ambulanta,n f,,ambulanta
41,amen,pron pers 1 pl,,mi
42,amut,adv,,"1. drugače, sicer 2. mimogrede"
43,anďali,n m,,angel
44,anďauli,n f,,naročje
45,andijk,prep,,medtem ko
46,andijk mejk,prep,,medtem ko
47,ando,prep,,v
48,ando,prep,,v
49,andro,prep,,"iz, od"
50,andru,prep,,"iz, od"
51,andru kher,adv,,iz hiše
52,andruno,adj,,notranji
53,andruno,adv,,od znotraj
54,andu,prep,,v
55,andu,prep,,v
56,andu aunǧe,adv,,"1. tudi, prav tako, poleg tega 2. nadalje"
57,andu cilo,adv,,"popolnoma, čisto, v celoti"
58,andu glauvno,adv,,v glavnem
59,andu sa,adv,,"1. popolnoma, absolutno 2. celoten 3. v celoti"
60,andžali,n m,,angel
61,andžavibe,n m,,kletev
62,anǧali,n m,,angel
63,angara,n f,,1. oglje 2. žerjavica
64,angari,n m,,žerjavica
65,anǧauli,n f,,naročje
66,anǧavibe,n m,,kletev
67,anǧisajaurel,v itr,,topiti
68,anglo,prep,,pred
69,anglo,prep,,pred
70,angrusti,n f,,prstan
71,anǧu,prep,,pred
72,anǧu,prep,,pred
73,anǧu plaune,adv,,before noon
74,anǧuno,adj,,prejšnji
75,anǧuplaune,n m,,dopoldan
76,angušto,n m,,prst
77,aňidik,conj,,medtem ko
78,aňidik na,conj,,dokler ne
79,aparaut,n m,,1. naprava 2. glasbilo 3. aparat
80,apetit,n m,,apetit
81,april,n m,,april
82,arčič,n m,,svinec
83,arďavo,adj,,krut
84,arǧavo,adj,,krut
85,armauňa,n f,,prisega
86,arpa,n f,,ječmen
87,ašaribe,n m,,hvala
88,ašaurel,v tr,,hvaliti
89,asou,pron indef,,takšen
90,astaribe,n m,,"zapor, ječa"
91,astaripe,n m,,dotik
92,astaurdi,n f,,zapornica
93,astaurdo,n m,,zapornik
94,astaurel,v tr,,1. dotakniti se 2. ujeti 3. prijeti
95,astaurel prik,v tr,,objeti
96,aučengri cipa,n phr f,,veka
97,aučhel,v itr,,ostati
98,aučhel živdo,v itr,,preživeti
99,auga,n f,,veja
100,augeder,adv,,prej
101,augun,conj,,preden
102,augun,adv,,1. prej 2. najprej
103,augun,adv,,bivši
104,auguneder,adv,,najprej
105,augutno,adj,,starodaven
106,aukhora,n m,,oreh
107,aukhora,n f,,oreh
108,aul,v itr,,"priti, prispeti"
109,aul aunde,v itr,,vstopiti
110,aul paul,v itr,,vrniti se
111,aulav,n m,,beseda
112,aunav,n m,,ime
113,aunde,adv,,1. v 2. notri
114,aunde,prep,,v
115,aunde,prep,,1. v 2. znotraj
116,aunde baungo,adv,,kriv
117,aunde fauščaulinel,v tr,,"zaviti, poviti"
118,aunde kejrel,v tr,,umazati
119,aunde kindo,n phr m,,nakupovalec
120,aunde kinibe,n phr m,,nakupovanje
121,aunde kinibe,n phr m,,nakupovanje
122,aunde pakejrinel,v tr,,"zaviti, zapakirati"
123,aunde phaundel,v tr,,obvezati
124,aundral,adv,,od znotraj
125,aundral,prep,,"znotraj, v"
126,aunel,v tr,,prinesti
127,aunǧal,adv,,1. spredaj 2. naprej
128,aunǧal aunel,v tr,,"kleti, preklinjati"
129,aunǧe,adv,,1. vnaprej 2. naprej
130,aunǧe aunel,v tr,,"kleti, preklinjati"
131,aunǧe aunel,v tr,,prekleti
132,aur,adj,,drug
133,aur valaso,adj,,drug
134,auri,adv,,ven
135,auri andro kher,adv,,iz hiše
136,auri andru,prep,,ven iz
137,auri čhikerdo,adj,,ošaben
138,auri cidel,v tr,,1. izločiti 2. izvleči
139,auri dikhel,v itr,,vedeževati
140,auri dikhibe,n phr m,,izgled
141,auri ďuminel,v tr,,iztisniti
142,auri džuminel,v tr,,iztisniti
143,auri ǧuminel,v tr,,iztisniti
144,auri irime,adj,,skrivljen
145,auri kedipe,n m,,izbor
146,auri meklo,n m,,vrzel
147,auri mukel,v tr,,osvoboditi
148,auri phukaul,v tr,,izdati
149,auri rikejrel,v tr,,proslavljati
150,auridikhibe,n m,,videz
151,ausaube,n m,,1. smeh 2. nasmeh
152,ausel,v itr,,1. smejati se 2. smehljati se 3. nasmehniti se
153,ausel,v itr,,1. smehljati se 2. nasmehniti se
154,ausibe,n m,,1. smeh 2. nasmeh
155,ausvin,n f,,solza
156,auto,n m,,avtomobil
157,auvdžin,n f,,med
158,auvǧin,n f,,med
159,auvral,prep,,zunaj
160,auvral,adv,,1. zunaj 2. od zunaj
161,auvre thaun,adv,,"drugod, drugje"
162,auvripe,n m,,1. površina 2. zunanjost
163,auzdel,v tr,,dvigniti
164,avgeder,adv,,prej
165,avǧin,n f,,med
166,avgust,n m,,avgust
167,avgutno,adj,,"pretekli, prejšnji"
168,avibe,n m,,prihod
169,avka,adv,,"tako, na ta način"
170,avka vej avka,adv,,kakor koli
171,avrikur,adv,,kdaj drugič
172,avruno,adj,,zunanji
173,avtobus,n m,,avtobus
174,avtoriteta,n f,,avtoriteta
175,baba,n f,,babica
176,babutka,n f,,"punčka, igrača"
177,baguji,n m,,uharica
178,baker,n m,,baker
179,bakreno,adj,,bakren
180,bakro,n m,,oven
181,bal,n m,,1. las 2. lasje
182,balano mas,n m,,svinjina
183,balevas,n m pl,,slanina
184,baličho,n m,,svinja
185,baličkiňa,n f,,svinja
186,balkon,n m,,balkon
187,balugno,adj,,levi
188,baňa,n f,,"kad, kopel"
189,banauna,n f,,banana
190,banka,n f,,banka
191,bara bujakro,adj,,debeloriten
192,barbi,n m,,zdravnik
193,barbikiňa,n f,,zdravnica
194,barbiskro,adj,,zdravniški
195,bare mujeskro,n phr m,,širokoustnež
196,bare nakheskro,adj,,z velikim nosom
197,bare pejreskro,adj,,trebušast
198,baripe,n m,,1. veličina 2. povečanje 3. velikost
199,barisajoul (povečati se),v itr,,povečati se
200,baru loj,n phr m,,bankovec
201,baru louj,n m,,bankovec
202,barvalipe,n m,,premožnost
203,barvalo murš,n phr m,,bogataš
204,barvaulo,adj,,"bogat, premožen"
205,bas,n f,,sreča
206,bastalipe,n m,,bogastvo
207,bastaulo,adj,,1. srečen 2. uspešen
208,baubasoňa,n f,,babica
209,bauča,n m,,stric
210,bauǩa,n m,,stric
211,baulo,n m,,prašič
212,bauňa,n f,,"kad, kopel"
213,baungo,adj,,"ukrivljen, upognjen, skrivljen"
214,baur,adv,,vsaj
215,baur,n m,,kamen
216,baur,n f,,1. vrt 2. ograja
217,baur klligoru,adv,,vsaj
218,baurdipe,n m,,povečanje
219,baurďol,v itr,,1. rasti 2. dvigniti se
220,baurdžol,v itr,,1. rasti 2. dvigniti se
221,baureskro,adj,,kamnit
222,baurǧol,v itr,,1. rasti 2. dvigniti se
223,baurisajaurel,v tr,,povečati
224,bauro,adj,,velik
225,baušel,v itr,,lajati
226,baušno,n m,,petelin
227,bauťa,n m,,stric
228,bauvjal,n f,,veter
229,bedro,n m,,"stegno, bedro"
230,bej,n f,,rokav
231,bejšel,v,,1. sedeti 2. usesti se
232,bejšel tejl,v itr,,usesti se
233,bendeha,n f,,lešnik
234,beng,n m,,"vrag, hudič"
235,bengauno,adj,,preklet
236,bengauno,adj,,peklenski
237,bengaušno,adj,,"hudoben, peklenski"
238,benzin,n m,,bencin
239,beŕa,n f,,čebela
240,berilo,n m,,berilo
241,berňa,n f,,čebela
242,berňengro pauň,n phr m,,čebelji panj
243,berš,n m,,*leto
244,beršeskri cejt,n phr m,,letni čas
245,beršeskro,adj,,leten
246,beršeskro,adv,,letno
247,besedilo,n m,,besedilo
248,bibas,adj,,"strašen, poreden"
249,bibas,n f pl,,"beda, nesreča"
250,bibasipe,n m,,nagajanje
251,bič,n m,,bič
252,bičaulinel,v tr,,bičati
253,bičhaul,v tr,,poslati
254,bijaunel,v tr,,znesti jajce
255,bijaurel,v tr,,1. topiti 2. cvreti
256,biknel,v tr,,prodati
257,biknipe,n m,,prodaja
258,biko,n m,,bik
259,birka,n f,,ovca
260,birkano mas,n phr m,,ovčetina
261,biš,num card,,dvajset
262,biser,n m,,biser
263,bišto,num ord,,dvajseti
264,bišuďek,num card,,enaindvajset
265,bišuduj,num card,,dvaindvajset
266,bišudžejk,num card,,enaindvajset
267,bišuǧek,num card,,enaindvajset
268,bišutrin,num card,,triindvajset
269,bišval,num mult,,dvajsetkrat
270,bišvar,num mult,,dvajsetkrat
271,blidnipe,n m,,bledost
272,blidnisajoul,v tr,,1. pobeliti 2. obledeti
273,blidno,adj,,bled
274,blisk,n m,,blisk
275,bliskaulinel,v itr,,1. zabliskati se 2. pobliskniti
276,bliskaulinel,v itr,,zabliska se
277,bloko,n m,,okno
278,blokoskro staklo,n phr m,,okensko steklo
279,blontno,adj,,svetlolas
280,bluza,n f,,bluza
281,bobo,n m pl,,fižol
282,bočkora,n f,,čevelj
283,bodoučo,adj,,bodoč
284,bogauri,n m,,hrošč
285,bok,n f,,lakota
286,bokhalipe,n m,,lakota
287,bolaudo,adj,,krščen
288,bolaul,v tr,,krstiti
289,bolavibe,n m,,krst
290,bomba,n f,,bomba
291,bombon,n m,,bombon
292,boroco,n m,,1. bor 2. smreka 3. jelka
293,borovnica,n f,,borovnica
294,borzo,n m,,jež
295,boučou,n m,,"*sejem, semenj"
296,boura,n m pl,,grmičevje
297,bouta,n f,,trgovina
298,boutoši,n m,,1. prodajalec 2. prodajni pomočnik
299,boutoškiňa,n f,,1. prodajalka 2. prodajna pomočnica
300,boužaulinel,v tr,,božati
301,božansko,adj,,božanski
302,božiťa,n f,,božič
303,božiťakro dij,n phr m,,božični dan
304,božitkakri kerauti,n phr f,,božični večer
305,bralec,n m,,bralec
306,bralka,n f,,bralka
307,brauninel,v tr,,braniti
308,breza,n f,,breza
309,brezvezno,adj,,dolgočasen
310,bri,prep,,1. brez 2. ne da bi
311,bri adau,adv,,razen tega
312,bri buťakro,adj,,nezaposlen
313,bri faurbi,adj,,brezbarven
314,bri khereskro,adj,,brezdomen
315,bri kiňa,adv,,zlahka
316,bri londo,adj,,nesoljen
317,bri pučimo,adv,,brezplačno
318,bri rauzlog,adv,,brez razloga
319,bri vejzno,adj,,dolgočasen
320,bri vouja,adv,,brez razloga
321,briga,n f,,"1. odgovornost 2. skrb 3. trpljenje, muka 4. stiska, žalost"
322,brigaulimo,adj,,zaskrbljen
323,brigaulinel,v tr,,skrbeti za
324,brigaušnibe,n m,,žalost
325,brigaušno,adj,,"1. žalosten, obupan 2. zaskrbljen, nemiren"
326,brijšindeskro,adj,,deževen
327,brisača,n f,,brisača
