Index,Entry Word,Part of Speech,Affix,Definition
1,aaga,n f,,"Ast, Zweig"
2,aagor,n m,,"Rand, Ende"
3,aakhor,n m,,Nuss
4,aakhoriko kašt,n phr,,Nussbaum
5,aalato,n m,,Tier
6,aam,part narr,,"gut, dann, aber"
7,aande,adv loc,,"innen, darin, innerhalb, hinein"
8,aande,prep,,1. in 2. nach
9,aande,part vb,,hinein-
10,aande kerel,partv tr,,schließen
11,aande lonďarel,partv tr,,einsalzen
12,aande mukel,partv tr,,hereinlassen
13,aande ňominel,partv itr,,hineindrücken
14,aande ňüvinel,partv itr,,hineindrücken
15,aande pajkerel,partv itr,,von draußen grüßen
16,aande palikerel,partv itr,,von draußen grüßen
17,aande paruvel,partv tr,,"umtauschen, eintauschen"
18,aande pašjol,partv itr,,sich hineinlegen
19,aande perel,partv itr,,hineinfallen
20,aande phenel ,partv tr,,anzeigen
21,aande sikavel,partv tr,,vorstellen
22,aanglal,prep,,vor
23,aanglal,adv loc,,"vorne, voran"
24,aanro hinel,v phr tr,,ein Ei legen
25,aari,part vb,,"hinaus-, aus-"
26,aari,adv loc,,draußen
27,aari akharel,partv tr,,"herausrufen, zur Türe rufen"
28,aari hirdetinel,partv tr,,"proklamieren, ausrufen"
29,aari kerel,partv tr,,öffnen
30,aari lel,partv tr,,herausnehmen
31,aari marel rupuneha,v phr tr,,mit Silber einfassen
32,aari mukel,partv tr,,"lockern, aufmachen, freilassen"
33,aari paruvel,partv tr,,"austauschen, auswechseln"
34,aari perel,partv itr,,herausfallen
35,aari phenel,partv tr,,"aussprechen, verlautbaren, ausplaudern"
36,aari pijel,partv tr,,austrinken
37,aari sasťarel,partv tr,,auskurieren
38,aať,n f,,Auge
39,aaťh,n f,,Auge
40,aatkozinel,v tr,,"verfluchen, verwünschen"
41,aaver,adj,,::::Parse Failure::::
42,aaver dive,adv phr,,"am nächsten Tag, am folgenden Tag"
43,aaver them,n phr,,Ausland
44,aavre thaneste,adv loc,,an einem anderen Ort
45,abodor,adj,,so groß
46,ačhel,v itr,,"1. bleiben 2. stehen bleiben, anhalten"
47,ačhel upe,partv itr,,wach bleiben
48,ada,pron dem m,,dieser
49,aďa,adv loc,,"1. ungefähr hier,  ungefähre Richtungsangabe 2. hierher, in diese Richtung"
50,aďa,adv loc,,"hierher, in diese Richtung"
51,adaa,pron dem f,,diese (f.sg.)
52,adaathar,adv loc,,von hier
53,adadive,adv temp,,heute
54,adaj,adv loc,,"hier, an diesem Ort"
55,adaleha,adv,,"danach, mit diesen Worten"
56,adar,prep,,"von, aus"
57,adar,adv loc,,"1. davon, daraus 2. von innen"
58,adi,pron dem f,,diese (f.sg.)
59,adig,adv temp,,solange
60,adig,adv loc,,soweit
61,afka,adv mod,,"so, auf diese Art und Weise"
62,akaarkon,pron indef,,wer auch immer
63,akaarsar,adv mod,,wie auch immer
64,akaarso,pron indef,,was auch immer
65,akaj,pron rel,,wo
66,akani,adv temp,,jetzt
67,akanik,adv temp,,jetzt
68,aǩarel,v tr,,seufzen
69,akastinel,v tr,,"1. hängen 2. unterbrechen, hemmen, blockieren"
70,akharel,v tr,,"rufen, holen"
71,akharen les,v itr,,"heißen, genannt werden"
72,akija,pron rel,,wohin
73,akiťi,adj,,so viel wie
74,ako,pron rel,,"der, welcher"
75,akor,adv temp,,"dann, damals"
76,ala,n m,,Wort
77,alav,n m,,Wort
78,amaro,pron poss 1 sg m,,unser
79,amen,pron pers 1 pl,,wir
80,amoni,n m,,"Amboss, Stück Eisenschiene"
81,anav,n m,,Name
82,anavel,v tr,,"bringen lassen, bestellen"
83,and',prep,,1. in (vor Vokalen) 2. nach (vor Vokalen)
