Index,Entry Word,Part of Speech,Affix,Definition
1,aaga,n f,,branch
2,aagor,n m,,"edge, end"
3,aakhor,n m,,nut
4,aakhoriko kašt,n phr,,nut tree
5,aalato,n m,,animal
6,aam,part narr,,"well, then, but"
7,aande,prep,,"1. in, into 2. to"
8,aande,part vb,,in
9,aande,adv loc,,"in, inside, within, into"
10,aande kerel,partv tr,,close
11,aande lonďarel,partv tr,,salt down
12,aande mukel,partv tr,,let in
13,aande ňominel,partv itr,,squeeze into
14,aande ňüvinel,partv itr,,squeeze into
15,aande pajkerel,partv itr,,greet from outside
16,aande palikerel,partv itr,,greet from outside
17,aande paruvel,partv tr,,exchange
18,aande pašjol,partv itr,,lie down into
19,aande perel,partv itr,,fall into
20,aande phenel ,partv tr,,denounce
21,aande sikavel,partv tr,,"introduce, present"
22,aanglal,adv loc,,"ahead, in front"
23,aanglal,prep,,"in front of, before"
24,aanro hinel,v phr tr,,lay eggs
25,aari,adv loc,,"outside, outdoors"
26,aari,part vb,,out
27,aari akharel,partv tr,,call to the door
28,aari hirdetinel,partv tr,,"proclaim, declare"
29,aari kerel,partv tr,,open
30,aari lel,partv tr,,take out
31,aari marel rupuneha,v phr tr,,frame with silver
32,aari mukel,partv tr,,"loose, undo, set free"
33,aari paruvel,partv tr,,exchange
34,aari perel,partv itr,,fall out
35,aari phenel,partv tr,,"speak out, declare, blab out"
36,aari pijel,partv tr,,drink up
37,aari sasťarel,partv tr,,cure perfectly
38,aať,n f,,eye
39,aaťh,n f,,eye
40,aatkozinel,v tr,,"damn, curse"
41,aaver,adj,,::::Parse Failure::::
42,aaver dive,adv phr,,"the next day, on the next day"
43,aaver them,n phr,,abroad
44,aavre thaneste,adv loc,,at another place
45,abodor,adj,,so big
46,ačhel,v itr,,"1. remain 2. stand, stop"
47,ačhel upe,partv itr,,keep awake
48,ada,pron dem m,,this (m.sg.)
49,aďa,adv loc,,"1. here,  vague indication of the direction 2. here, in this direction"
50,aďa,adv loc,,"here, in this direction"
51,adaa,pron dem f,,this (f.sg.)
52,adaathar,adv loc,,"from here, here"
53,adadive,adv temp,,today
54,adaj,adv loc,,"here, at this place"
55,adaleha,adv,,"after this, with these words"
56,adar,adv loc,,"1. from it, out of it 2. from inside"
57,adar,prep,,"from, out of"
58,adi,pron dem f,,this (f.sg.)
59,adig,adv temp,,as long as
60,adig,adv loc,,as far as
61,afka,adv mod,,"so, thus, in this way"
62,akaarkon,pron indef,,whoever
63,akaarsar,adv mod,,"anyhow, however"
64,akaarso,pron indef,,whatever
65,akaj,pron rel,,where
66,akani,adv temp,,now
67,akanik,adv temp,,now
68,aǩarel,v tr,,sigh
69,akastinel,v tr,,"1. hang, suspend 2. stop, block, check"
70,akharel,v tr,,"call, summon"
71,akharen les,v itr,,be called
72,akija,pron rel,,where
73,akiťi,adj,,as much as
74,ako,pron rel,,who
75,akor,adv temp,,then
76,ala,n m,,word
77,alav,n m,,word
78,amaro,pron poss 1 sg m,,our
79,amen,pron pers 1 pl,,we
80,amoni,n m,,"anvil, piece of iron rail"
81,anav,n m,,name
82,anavel,v tr,,"let bring, order"
83,and',prep,,"1. in (before vowels) 2. into (before vowels), to (before vowels)"
84,anďa,adv loc,,"here, in this direction"
85,andar,prep,,"from, out of"
86,andar,adv loc,,"1. from it, out of it 2. from inside"
87,andi daar,adv phr mod,,"for fear, in his alarm"
88,ando ňilaj,adv temp,,in summer
89,ando suno dikhel ,v phr itr,,dream
90,anel,v tr,,"bring here, take, take along"
91,angaali,n f,,"lap, embrace"
92,angaalidel,v tr,,embrace
93,angaar,n m,,coal
94,angara,n m pl,,coal
95,angaruno,adj m,,"of coal, coaly"
96,angl',prep,,"in front of (before a-), before (before a-)"
97,angla,prep,,"in front of, before"
98,angle,prep,,"in front of, before"
99,angle,part vb,,forward
100,angluno,adj m,,1. first 2. frontal
101,angrusti,n f,,ring
102,angušto,n m,,finger
103,aňin,n f,,honey
104,aňira,adv,,"so much, to such an extent"
105,arakel aari,partv tr,,"guess, make out"
106,arakhel,v tr,,"1. find 2. guard, take care of"
107,arakhel aari,partv tr,,"guess, make out"
108,arčič,n m,,lead
109,armin,n m,,cabbage
110,asar,part comp,,"as, like, than (after comparative)"
111,asar,conj,,"when, while"
112,asar,part comp,,as
113,asarel,v tr,,sigh
114,ašarel,v tr,,praise
115,asavo,pron dem,,"such, so"
116,asel,v itr,,laugh
117,asel aari,partv tr,,laugh at so.
118,aso,pron rel,,what
119,aso,pron dem,,"such, so"
120,aspin,n m,,steel
121,astarel,v tr,,"take, seize, catch"
122,astarkerel,v tr,,"handle, keep grasping"
123,asva,n m pl,,tears
124,athar,adv loc,,"from here, hence"
125,aťi,adj,,so many
126,auka,adv mod,,"so, thus, in this way"
127,avel,v itr,,"1. come 2. be (future tense, imperative, conditional) 3. become (past tenses uja)"
128,avka,adv mod,,"so, thus, in this way"
129,avka diťhol aari,v phr itr,,"it seems, that"
130,avral,adv loc,,"outside, from outside"
131,azir,adv caus,,therefore
132,azonal,adv temp,,"immediately, right away"
133,baaldo,n m,,"ball, dance"
134,baali,n f,,sow
135,baalo,n f,,pig
136,baanato,n m,,"grief, sorrow"
137,baantinel,v tr,,"1. hurt, harm 2. touch"
138,baar,n,,stone
139,baar,n f,,garden
140,baař,n,,stone
141,baare,adv mod,,very
142,baarimo,n m,,greatness
143,baaripe,n m,,greatness
144,baaro,adj m,,"great, big"
145,baaro raj,n phr,,mighty person
146,babo,n m,,beans
147,baja,n f,,"trouble, difficulty"
148,bajnel,v tr,,"regret, repent"
149,bakrano,adj m,,"of a sheep, sheep-"
150,bakrano mas,n phr,,mutton
151,bakri,n f,,sheep
152,bakro,n m,,sheep
153,bal,n m,,hair
154,baľaari,n m,,swine herd
155,balano,adj m,,"of a pig, pig-"
156,balano mas,n phr,,pork
157,balevas,n m,,"lard, bacon"
158,baličho,n m,,piglet
159,balogno,adj m,,left
160,balval,n f,,wind
161,banďal,v itr,,"be lame, hobble"
162,banďarel,v tr,,"make crooked, bend"
163,banďol,v itr,,become crooked
164,bango,adj m,,"1. crooked, bent 2. lame"
165,baraarel,v tr,,"1. make great, let grow 2. bring up"
166,baraarel upe,partv tr,,educate
167,baraari,n m,,1. bricklayer 2. gardener
168,bařaari,n m,,1. bricklayer 2. gardener
169,baraatkiňa,n f,,lady friend
170,baraato,n m,,friend
171,barbuľa,n f,,contrabass
172,baŕengero,n m,,gardener
173,barnavo,adj m,,brown
174,baro,adj m,,"great, big"
175,baŕol,v itr,,grow
176,baruno,adj m,,of stone
177,barvalipe,n m,,"wealth, riches"
178,barvarel,v tr,,make rich
179,bašaďi,n f,,"bell, cow-bell, fiddle"
180,bašavel,v tr,,"fiddle, play an instrument"
181,bašno,n m,,cock
182,bašol,v itr,,make a noise (animals and instruments)
183,bast,n f,,luck
184,bastalo,adj m,,lucky
185,baťuva,n f,,"bundle, pack"
186,beeng,n m,,devil
187,beero,n m,,ship
188,belga,adj m,,lisper
189,berš,n m,,year
190,beršiko,adj m,,-years old
191,beršuko,adj m,,-years old
192,berveli,n f,,"bee, wasp"
193,bešane,n pl,,chair
194,bešavel,v tr,,"set, make sit down"
195,bešel,v itr,,1. sit 2. live somewhere
196,bešel upo gra,v phr itr,,mount a horse
197,beťaari,n m,,"robber, highwaymen"
198,bi,prep,,without
199,bianel,v tr,,1. bear a child 2. lay an egg
200,bibastalo,adj m,,"unhappy, unlucky"
201,biboldi,n f,,Jew
202,biboldo,n m,,Jew
203,bibuuťako,adj m,,unemployed
204,bičaačo,adj m,,"false, perfidious"
205,bičavel,v tr,,send
206,bičhavel,v tr,,send
207,bidadeskero,adj m,,fatherless
208,bijav,n m,,wedding
209,bikinel,v tr,,sell
210,biknel,v tr,,sell
211,bikneskero,n m,,salesman
212,biľaarel,v tr,,"melt, thaw"
213,bilal,v itr,,"melt, thaw"
214,biľal,v itr,,"melt, thaw"
215,bilavel,v tr,,"melt sth., unfreeze sth."
216,bilondo,adj m,,unsalted
217,birili,n f,,"bee, wasp"
218,birinel,v mod,,"can, be able"
219,biromňakero,adj m,,unmarried
220,birta,n f,,"inn, tavern"
221,birto,n m,,"inn, tavern"
222,biš,num card,,twenty
223,bišengi,n f,,twenty Forint note (Hungarian banknote)
224,bišto,num ord,,twentieth
225,bistrel,v tr,,forget
226,bloka,n f,,window
227,bluuzo,n m,,blouse
228,boba,n f,,maize
229,bobi,n m,,maize
230,bobo,n m,,maize
231,bok,n f,,hunger
232,bokh,n f,,hunger
233,bokhajol,v itr,,"hunger, hunger for sth."
234,bokhalo,adj m,,hungry
235,bokoli,n f,,"a cake made of flour, fat, salt and with or without yeast"
236,boldines,adv mod,,"upside down, inside out"
237,bolel,v tr,,"dive, baptize"
238,bolta,n f,,shop
239,boodeeva,n f,,hut
240,boori,n f,,"1. daughter-in-law 2. bride, fiancée"
241,boov,n m,,"oven, stove"
242,börtön,n f,,prison
243,braana,n f,,"lock, door"
244,bravenca,n f,,ant
245,briiga,n f,,"grief, sorrow"
246,briižinel,v itr,,"sorrow, be worried"
247,brišind,n m,,rain
248,briźako,n m,,waistcoat
249,brunginel,v itr,,"hang down, hang loosely"
250,bubreško,n m,,"gizzard, kidney"
251,bučuma,n f,,"stump, block"
252,buhaja,n f,,trouble
253,buka,adj,,"a few, a little"
254,buka,adv,,"few, small, little"
255,buko,n m,,liver
256,bul,n f,,"buttocks, arse"
257,bule del,v phr itr,,have sexual intercourse
258,bulhaarel,v tr,,widen
259,bulho,adj m,,"broad, wide"
260,burňik,n f,,a handful
261,buro,n m,,"bush, thorn bush"
262,but,adj,,"much, many"
263,butaaig,adv temp,,"for long, a long time"
264,butavo,adj m,,stupid
265,buteder,adj,,more
266,buter,adj,,more
267,buťiskero manuš,n phr,,"working man, good worker"
268,butivar,adv mod,,"often, many times"
269,butvar,adv mod,,"often, many times"
270,buuti,n f,,"1. work, job 2. matter"
271,buxľaarel,v tr,,widen
272,buze,n m,,spur
273,buzex,n m,,spur
274,buzňaare,n pl,,penny
275,buzňi,n f,,she-goat
276,buzno,n m,,goat
277,ča,adv mod,,only
278,čaačo,adj m,,"right, true"
279,čaajol,v itr,,"eat one's fill, be sated"
280,čaaľol,v itr,,"eat one's fill, be sated"
281,čaar,n f,,grass
282,čaaŕalo,adj m,,grassy
283,čaarel,v tr,,lick
284,čaaro,n m,,"dish, plate"
285,čaaso,n m,,time
286,čačaarel,v tr,,"1. put right 2. assert, affirm"
287,čačipe,n m,,truth
288,čak,adv mod,,only
289,caklo,n m,,1. glass (material) 2. bottle
290,cakluni ďaara,n phr,,glassworks
291,cakluno,adj m,,"glass-, of glass"
292,čalaado,n m,,1. family 2. children
293,čalaďi,n m,,1. hour 2. watch
294,čalaďol,v itr,,hit against
295,čalavel,v tr,,"1. hit, beat, strike 2. shoe (horse)"
296,čamčaarel,v tr,,graze
297,čang,n f,,1. knee 2. leg
298,čanga del,v phr itr,,kneel down
299,čarda,n f,,"inn, tavern"
300,čavri,n f,,chicken
301,čehiko,adj m,,Czech
302,čekat,n m,,forehead
303,celo,adj m,,whole
304,čeňa,n pl,,earrings
305,čepo,n m,,drop
306,cerha,n f,,tent
307,Cerhaari,n m,,"Cerhari (Gypsy group), tent Gypsies (Gypsy group)"
308,cerhaki beeli,n phr,,tent pole
309,čerhen,n f,,star
310,čhaa,n m,,"son (Gypsy), boy (Gypsy)"
311,čhaavo,n m,,"son (Gypsy), boy (Gypsy)"
312,čhaj,n f,,"girl, daughter (Gypsy)"
313,čham,n m,,cheek
314,čhandel,v itr,,vomit
315,čhandel aari,partv itr,,vomit
316,čhandi,n,,"wardrobe, cupboard"
317,čhib,n f,,1. tongue 2. language
318,čhibaalo,n m,,"chief of the Gypsy community, village mayor"
319,čhidel,v tr,,throw
320,čhidkerel,v tr,,throw about
321,čhinalo,adj m,,sharp
322,čhinďol,v itr,,"break, tear"
323,čhinďol teele,partv tr,,"break off, collapse, tumble down"
324,čhinel,v tr,,cut
325,čhinel aari o kašt,v phr tr,,fell a tree
326,čhinel o kašt,v phr tr,,chop wood
327,čhingerel,v tr,,tear
328,čhingrel,v tr,,tear
329,čhito,n m,,prisoner
330,čhivel,v tr,,1. throw 2. put
331,čhivel pe,v itr,,"run away, elope"
332,čhivel pe teele,partv itr,,undress
333,čhivel teele,partv tr,,put off
334,čhon,n m,,"month, moon"
335,čhora,n pl,,"beard, moustache"
336,čhorďol,v itr,,flow
337,čhorďol aari,partv itr,,"overflow, flow out"
338,čhorel,v tr,,pour
339,čhorel aari,partv tr,,pour out
340,čhungar,n m,,"saliva, spittle"
341,čhungarel,v tr,,spit
342,čhungarel teele,partv tr,,spit on so.
343,čhuuri,n f,,knife
344,čibalo,n m,,smith
345,cidel,v tr,,"draw, pull"
346,cidel pe,v itr,,conceal oneself
347,cidel teele leskeri cipa,v phr tr,,skin sth.
348,cidkerel,v tr,,pull (frequentative)
349,cigareta,n f,,cigarette
350,cigareti,n f,,cigarette
351,čik,n f,,mud
352,čikalo,adj m,,muddy
353,čiken,n m,,"fat, grease"
354,čikenaalo,adj m,,fat
355,čiklel,v itr,,sneeze
356,čiklel pes,v phr itr,,sneeze
357,čikno,adj m,,fat
358,čil,n m,,butter
359,čila,adv temp,,"since long, long ago"
360,čilalo,adj m,,buttered
361,čilutno,adj m,,"old, earlier"
362,cipa,n f,,"skin, leather"
363,čiriǩano,adj m,,of a bird
364,čirikli,n f,,"bird, sparrow"
