Index,Entry Word,Part of Speech,Affix,Definition
1,aaga,n f,,ág
2,aagor,n m,,"vég, szél"
3,aakhor,n m,,dió
4,aakhoriko kašt,n phr,,diófa
5,aalato,n m,,állat
6,aam,part narr,,ám
7,aande,part vb,,be-
8,aande,prep,,"1. -ban, -ben 2. -ba, -be"
9,aande,adv loc,,"bent, be"
10,aande kerel,partv tr,,bezár
11,aande lonďarel,partv tr,,besóz
12,aande mukel,partv tr,,beereszt
13,aande ňominel,partv itr,,belenyom
14,aande ňüvinel,partv itr,,belenyom
15,aande pajkerel,partv itr,,beköszön
16,aande palikerel,partv itr,,beköszön
17,aande paruvel,partv tr,,becserél
18,aande pašjol,partv itr,,belefekszik
19,aande perel,partv itr,,beleesik
20,aande phenel ,partv tr,,feljelent
21,aande sikavel,partv tr,,bemutat
22,aanglal,adv loc,,elöl
23,aanglal,prep,,előtt
24,aanro hinel,v phr tr,,tojik
25,aari,part vb,,ki
26,aari,adv loc,,kint
27,aari akharel,partv tr,,kihív
28,aari hirdetinel,partv tr,,kihirdet
29,aari kerel,partv tr,,kinyit
30,aari lel,partv tr,,kivesz
31,aari marel rupuneha,v phr tr,,ezüsttel kiver
32,aari mukel,partv tr,,"kibont, kiold, elold, kienged"
33,aari paruvel,partv tr,,kicserél
34,aari perel,partv itr,,kiesik
35,aari phenel,partv tr,,"mond, megmond"
36,aari pijel,partv tr,,kiiszik
37,aari sasťarel,partv tr,,kigyógyít
38,aať,n f,,szem
39,aaťh,n f,,szem
40,aatkozinel,v tr,,átkoz
41,aaver,adj,,::::Parse Failure::::
42,aaver dive,adv phr,,másnap
43,aaver them,n phr,,külföld
44,aavre thaneste,adv loc,,máshol
45,abodor,adj,,akkora
46,ačhel,v itr,,1. marad 2. megáll
47,ačhel upe,partv itr,,"fennmarad, virraszt"
48,ada,pron dem m,,ez
49,aďa,adv loc,,ide
50,aďa,adv loc,,"1. erre, errefelé 2. ide"
51,adaa,pron dem f,,ez
52,adaathar,adv loc,,"innen, itt"
53,adadive,adv temp,,ma
54,adaj,adv loc,,itt
55,adaleha,adv,,"azzal, ézutan"
56,adar,prep,,"-ból, -ből"
57,adar,adv loc,,1. belőle 2. belülről
58,adi,pron dem f,,ez
59,adig,adv temp,,addig
60,adig,adv loc,,addig
61,afka,adv mod,,"így, úgy"
62,akaarkon,pron indef,,akárki
63,akaarsar,adv mod,,akárhogy
64,akaarso,pron indef,,akármi
65,akaj,pron rel,,ahol
66,akani,adv temp,,most
67,akanik,adv temp,,most
68,aǩarel,v tr,,sóhajt
69,akastinel,v tr,,1. akaszt 2. megakaszt
70,akharel,v tr,,hív
71,akharen les,v itr,,hívják vhogy
72,akija,pron rel,,ahová
73,akiťi,adj,,amennyi
74,ako,pron rel,,aki
75,akor,adv temp,,akkor
76,ala,n m,,szó
77,alav,n m,,szó
78,amaro,pron poss 1 sg m,,mienk
79,amen,pron pers 1 pl,,mi
80,amoni,n m,,üllő
81,anav,n m,,név
82,anavel,v tr,,hozat
83,and',prep,,"1. -ban (általában magánhangzók előtt), -ben (általában magánhangzók előtt) 2. -ba (általában magánhangzók előtt), -be (általában magánhangzók előtt)"
84,anďa,adv loc,,ide
85,andar,prep,,"-ból, -ből"
86,andar,adv loc,,1. belőle 2. belülről
87,andi daar,adv phr mod,,ijedtében
88,ando ňilaj,adv temp,,nyáron
89,ando suno dikhel ,v phr itr,,álmodik
90,anel,v tr,,hoz
91,angaali,n f,,öl
92,angaalidel,v tr,,megölel
93,angaar,n m,,szén
94,angara,n m pl,,szén
95,angaruno,adj m,,szén-
96,angl',prep,,előtt (a-előtt)
97,angla,prep,,előtt
98,angle,part vb,,elő-
99,angle,prep,,előtt
100,angluno,adj m,,1. első 2. elülső
101,angrusti,n f,,gyűrű
102,angušto,n m,,ujj
103,aňin,n f,,méz
104,aňira,adv,,annyira
105,arakel aari,partv tr,,kitalál
106,arakhel,v tr,,1. talál 2. őriz
107,arakhel aari,partv tr,,kitalál
108,arčič,n m,,ólom
109,armin,n m,,káposzta
110,asar,part comp,,ahogy
111,asar,conj,,"mialatt, ahogy, amint"
112,asar,part comp,,"ahogy, mint (középgok mellett)"
113,asarel,v tr,,sóhajt
114,ašarel,v tr,,dícsér
115,asavo,pron dem,,"olyan, ilyen"
116,asel,v itr,,nevet
117,asel aari,partv tr,,kinevet
118,aso,pron dem,,"olyan, ilyen"
119,aso,pron rel,,ami
120,aspin,n m,,acél
121,astarel,v tr,,"fog, megfog, hozzányúl"
122,astarkerel,v tr,,fogdos
123,asva,n m pl,,könny
124,athar,adv loc,,innen
125,aťi,adj,,annyi
126,auka,adv mod,,"így, úgy"
127,avel,v itr,,"1. jön 2. lenni (a lenni ige jövő idejét, felszólító és feltételes módját pótolja) 3. "
128,avka,adv mod,,"így, úgy"
129,avka diťhol aari,v phr itr,,"úgy néz ki, hogy"
130,avral,adv loc,,kívülról
131,azir,adv caus,,azért
132,azonal,adv temp,,azonnal
133,baaldo,n m,,bál
134,baali,n f,,koca
135,baalo,n f,,disznó
136,baanato,n m,,bánat
137,baantinel,v tr,,1. bánt 2. hozzányúl
138,baar,n,,kő
139,baar,n f,,kert
140,baař,n,,kő
141,baare,adv mod,,nagyon
142,baarimo,n m,,nagyság
143,baaripe,n m,,nagyság
144,baaro,adj m,,nagy
145,baaro raj,n phr,,nagy úr
146,babo,n m,,bab
147,baja,n f,,baj
148,bajnel,v tr,,bán
149,bakrano,adj m,,birka-
150,bakrano mas,n phr,,juhhús
151,bakri,n f,,birka
152,bakro,n m,,birka
153,bal,n m,,"hajszal, szőrszál"
154,baľaari,n m,,kondás
155,balano,adj m,,sertés-
156,balano mas,n phr,,disznóhús
157,balevas,n m,,szalonna
158,baličho,n m,,malac
159,balogno,adj m,,bal
160,balval,n f,,szél
161,banďal,v itr,,sántít
162,banďarel,v tr,,"görbít, hajlít, ferdít"
163,banďol,v itr,,meggörbül
164,bango,adj m,,1. görbe 2. sánta
165,baraarel,v tr,,1. nevel 2. felnevel
166,baraarel upe,partv tr,,"felnevel, nevel"
167,baraari,n m,,1. kőműves 2. kertész
168,bařaari,n m,,1. kőműves 2. kertész
169,baraatkiňa,n f,,barátnő
170,baraato,n m,,barát
171,barbuľa,n f,,bőgő
172,baŕengero,n m,,kertész
173,barnavo,adj m,,barna
174,baro,adj m,,nagy
175,baŕol,v itr,,nő
176,baruno,adj m,,kő-
177,barvalipe,n m,,gazdagság
178,barvarel,v tr,,meggazdagít
179,bašaďi,n f,,"csengő, kolomp, hegedű"
180,bašavel,v tr,,"hegedül, hangszeren játszik"
181,bašno,n m,,kakas
182,bašol,v itr,,::::Parse Failure::::
183,bast,n f,,szerencse
184,bastalo,adj m,,szerencsés
185,baťuva,n f,,batyu
186,beeng,n m,,ördög
187,beero,n m,,hajó
188,belga,adj m,,selyp
189,berš,n m,,év
190,beršiko,adj m,,éves
191,beršuko,adj m,,éves
192,berveli,n f,,"méh, darász"
193,bešane,n pl,,szék
194,bešavel,v tr,,ültet
195,bešel,v itr,,1. ül 2. lakik
196,bešel upo gra,v phr itr,,lóra ül
197,beťaari,n m,,betyár
198,bi,prep,,nélkül
199,bianel,v tr,,1. szül 2. tojik
200,bibastalo,adj m,,szerencsétlen
201,biboldi,n f,,zsidó
202,biboldo,n m,,zsidó
203,bibuuťako,adj m,,munka nélkül
