Index,Entry Word,Part of Speech,Affix,Definition
1,abrako,n m,-i/-os-,Futter (tier.)
2,acélo,n m,-i/-os-,Stahl
3,áčhol,v itr,-íl-/-íl-,(zurück)bleiben
4,adá,pron dem m,,dieser (m.sg.)
5,aďa,pron dem f,,diese (f.sg.)
6,adá berš,adv phr temp,,dieses Jahr
7,adá jévend,adv phr temp,,in diesem Winter
8,adá línaj,adv phr temp,,in diesem Sommer
9,aďago,n m,-i/-os-,Ton (Material)
10,adaj,adv loc,,hier
11,adana,pron dem f pl,,diese (m.pl.)
12,adana,pron dem m pl,,diese (f.pl.)
13,adáthar,adv loc,,von hier
14,adó,n m,-óvi/-ós-,Pflicht
15,adóšágo,n m,-i/-os-,Schuld (Geld)
16,ága,n f,-i/-a-,"Ast, Zweig"
17,aganča,n f,-i/-a-,Geweih
18,agodalmašno,adj m,,besorgt
19,agodalmo,n m,-i/-os-,Besorgnis
20,agódimo,adj m,,unruhig
21,agódínel,v,-d-/-d-,sich sorgen
22,agódomno,adj m,,beunruhigt
23,ágor,n m,-a/-es-,Ende
24,águstuši,n m,-ivja/-is-,August
25,ajálínel,v tr,-d-/-d-,empfehlen
26,ajállato,n m,-i/-os-,Angebot
27,ajándéko,n m,-i/-os-,Geschenk
28,akadájo,n m,-i/-os-,Schwierigkeit
29,akadájozínel,v tr,-d-/-d-,verhindern
30,akán,adv temp,,"1. jetzt, gegenwärtig 2. heutzutage"
31,akána,adv temp,,"neulich, kürzlich, in letzter Zeit"
32,akának,adv temp,,1. jetzt 2. heutzutage
33,akár – akár,conj,,entweder – oder
34,akárkáj,adv indef,,wo auch immer
35,akárkháj,adv indef,,1. wohin auch immer 2. irgendwo
36,akárko,pron indef,,"ingendeiner, irgendwer, wer auch immer"
37,akármerre,adv indef,,irgendwo
38,akársar,adv indef,,wie auch immer
39,akársavo,pron indef,,"welcher auch immer, was auch immer"
40,akárso,pron indef,,"was auch immer, irgendetwas"
41,akastínel,v tr,-d-/-d-,hängen
42,akcijó,n m,-óvi/-ós-,Handlung
43,akhárel,v tr,-d-/-d-,1. rufen 2. einladen
44,akharípe,n m,—/-ípes-,"Einladung, Ruf"
45,ákhor,n m,-a/-es-,"Nuss, Walnuss"
46,akhoráno,adj m,,Nuss-
47,akhoraskro kašt,n phr m,,Nussbaum
48,ál,v itr,,1. kommen 2. ankommen
49,alákhel,v tr,-l-/-l-,finden
50,alakítínel,v tr,-d-/-d-,"bilden, darstellen"
