Index,Entry Word,Part of Speech,Affix,Definition
1,abrako,n m,-i/-os-,forage
2,acélo,n m,-i/-os-,steel
3,acélošno,adj m,,steely
4,áčhel,v tr,,"stand, sustain"
5,áčhol,v itr,-íl-/-íl-,"stay, remain"
6,adá,pron dem m,,this (m.)
7,aďa,pron dem f,,this (f.)
8,adá berš,adv phr temp,,this year
9,adá beršiko,adj m,,this year's
10,adá jévend,adv phr temp,,this winter
11,adá línaj,adv phr temp,,this summer
12,aďago,n m,-i/-os-,clay
13,adaj,adv loc,,here
14,adaj ánde,adv loc,,indoors
15,adaj nášel,v itr,-t-/-t-,dash over
16,adana,pron dem m pl,,these (f.)
17,adana,pron dem f pl,,these (m.)
18,adáthar,adv loc,,from here
19,aďďa,pron dem f,,this
20,adó,n m,-óvi/-ós-,duty
21,adóšágo,n m,-i/-os-,debt
22,afrika,n f,-i/-a-,Afrika
23,ága,n f,-i/-a-,"bough, branch"
24,aganča,n f,-i/-a-,antler
25,agodalmašno,adj m,,worrying
26,agodalmo,n m,-i/-os-,concern
27,agódimo,adj m,,anxious
28,agódínel,v,-d-/-d-,worry
29,agódomno,adj m,,worried
30,ágor,n m,-a/-es-,end
31,águstuši,n m,-ivja/-is-,August
32,águstušiko,adj m,,of august
33,ajálínel,v tr,-d-/-d-,recommend
34,ajállato,n m,-i/-os-,offer
35,ajándéko,n m,-i/-os-,gift
36,ajándékozáši,n m,-ivja/-is-,giving presents
37,ájulínel,v itr,-d-/-d-,collapse
38,ák hi,part foc,,take that
39,akáciko kašt,n m,-a/-es-,locust-tree
40,akadájo,n m,-i/-os-,difficulty
41,akadájozínel,v tr,-d-/-d-,prevent
42,akán,adv temp,,"1. now, currently 2. nowaday"
43,akána,adv temp,,"recently, lately"
44,akának,adv temp,,1. now 2. nowaday
45,akár – akár,conj,,either – or
46,akárkáj,adv indef,,wherever
47,akárkana,adv indef,,anytime
48,akárkanak,adv indef,,anytime
49,akárkáthar,adv indef,,from anywhere
50,akárkháj,adv indef,,1. wherever 2. anywhere
51,akárkiťi,pron indef,,any number of
52,akárko,pron indef,,"anyone, anybody, whoever"
53,akármerre,adv indef,,anywhere
54,akársar,adv indef,,however
55,akársavo,pron indef,,"whatever, whichever"
56,akárso,pron indef,,"whatever, anything"
57,akastínel,v tr,-d-/-d-,hang
58,akcijó,n m,-óvi/-ós-,action
59,áke,adv temp,,1. immediately 2. right
60,akhárel,v tr,-d-/-d-,1. call 2. invite
61,akharípe,n m,—/-ípes-,"invitation, call"
62,akharkérel,v tr,-d-/-d-,call
63,ákhor,n m,-a/-es-,1. nut 2. walnut
64,akhoráno,adj m,,"nut-, of nut"
65,akhoraskro kašt,n phr m,,walnut tree
66,akhorengro,adj m,,"nut, of nut"
67,akhoriko,adj m,,"nut-, of nut"
68,akhoriko kašt,n m,-a/-es-,walnut tree
69,akhorin,n f,"-a, -ja/-a-, -ja-",walnut tree
70,akibor,pron dem,,that
71,akibor,adj,,as big
72,akiťa,adv qual,,so much
73,akiťi,adv qual,,so much
74,ako,adv temp,,at that time
75,ako,part narr,,then
76,ako,conj,,then
77,akor,part narr,,then
78,akor,conj,,then
79,akor,adv temp,,at that time
80,ál,v itr,,1. come 2. arrive
81,ála,n f,-i/-a-,chin
82,alákhel,v tr,-l-/-l-,1. find 2. get
83,alakítínel,v tr,-d-/-d-,form
84,alako,n m,-i/-os-,"form, figure"
85,alapítínel,v tr,-d-/-d-,establish
86,álav,n m,-a/-es-,word
87,albérleto,n m,-i/-os-,rent
88,áldáši,n m,-ivja/-is-,mercy
89,áldínel,v tr,-d-/-d-,bless
90,alig,part gen,,hardly
91,alkalmašno,adj m,,able
92,alkalmatlamno,adj m,,unable
93,alkalmazínel,v tr,-d-/-d-,employ
94,alkotínel,v tr,-d-/-d-,create
95,államo,n m,-i/-os-,state
96,állandómno,adj m,,regular
97,álláši,n m,-ivja/-is-,job
98,állato,n m,-i/-os-,animal
99,állítólag,adv,,"allegedly, supposedly"
100,állítólagošno,adj m,,supposed
101,állomáši,n m,-ivja/-is-,station
102,általába,adv,,generally
103,általánošni iškola,n phr f,,elementary school
104,általánošno,adj m,,general
105,ám,part narr,,indeed
106,amáro,pron poss 1 sg m,,our
107,amen,pron pers 1 pl,,we
