Index,Entry Word,Part of Speech,Affix,Definition
1,abrako,n m,-i/-os-,abrak
2,acélo,n m,-i/-os-,acél
3,acélošno,adj m,,acél-
4,áčhel,v tr,,"bír, kibír"
5,áčhol,v itr,-íl-/-íl-,"marad, fennmarad, megmarad [«áčhov dévleha» - goodbye]"
6,adá,pron dem m,,ez (m.)
7,aďa,pron dem f,,ez (f.)
8,adá berš,adv phr temp,,idén
9,adá beršiko,adj m,,idei
10,adá jévend,adv phr temp,,idén télen
11,adá línaj,adv phr temp,,idén nyáron
12,aďago,n m,-i/-os-,agyag
13,adaj,adv loc,,"itt, ide, emide"
14,adaj ánde,adv loc,,idebenn
15,adaj nášel,v itr,-t-/-t-,odarohan
16,adana,pron dem m pl,,ezek (f.)
17,adana,pron dem f pl,,ezek (m.)
18,adáthar,adv loc,,innen
19,aďďa,pron dem f,,ez
20,adó,n m,-óvi/-ós-,adó
21,adóšágo,n m,-i/-os-,adósság
22,afrika,n f,-i/-a-,Afrika
23,ága,n f,-i/-a-,"gally, ág"
24,aganča,n f,-i/-a-,agancs
25,agodalmašno,adj m,,aggodalmas
26,agodalmo,n m,-i/-os-,aggodalom
27,agódimo,adj m,,aggódó
28,agódínel,v,-d-/-d-,aggódik
29,agódomno,adj m,,aggódó
30,ágor,n m,-a/-es-,vég
31,águstuši,n m,-ivja/-is-,augusztus
32,águstušiko,adj m,,augusztusi
33,ajálínel,v tr,-d-/-d-,ajánl
34,ajállato,n m,-i/-os-,ajánlat
35,ajándéko,n m,-i/-os-,ajándék
36,ajándékozáši,n m,-ivja/-is-,ajándékozás
37,ájulínel,v itr,-d-/-d-,"ájul, elájul"
38,ák hi,part foc,,nesze
39,akáciko kašt,n m,-a/-es-,akácfa
40,akadájo,n m,-i/-os-,"nehézség, akadály"
41,akadájozínel,v tr,-d-/-d-,"akadályoz, megakadályoz"
42,akán,adv temp,,"1. most, jelenleg 2. manapság"
43,akána,adv temp,,mostanában
44,akának,adv temp,,1. most 2. manapság 3. jelenleg
45,akár – akár,conj,,"vagy – vagy, akár – akár"
46,akárkáj,adv indef,,bárhol
47,akárkana,adv indef,,akármikor
48,akárkanak,adv indef,,akármikor
49,akárkáthar,adv indef,,"akárhonnan, bárhonnan"
50,akárkháj,adv indef,,"1. akárhol, bárhol 2. akárhová, bárhová"
51,akárkiťi,pron indef,,"akármennyi, bármennyi"
52,akárko,pron indef,,"bárki, akárki"
53,akármerre,adv indef,,"akármerre, bármerre"
54,akársar,adv indef,,"akárhogy, bárhogy"
55,akársavo,pron indef,,"1. akármilyen, bármilyen 2. akármelyik, bármelyik"
56,akárso,pron indef,,"bármi, akármi"
57,akastínel,v tr,-d-/-d-,akaszt
58,akcijó,n m,-óvi/-ós-,akció
59,áke,adv temp,,1. azonnal 2. mindjárt
60,akhárel,v tr,-d-/-d-,1. hív 2. meghív 3. odakiált 4. felhív 5. telefonál
61,akharípe,n m,—/-ípes-,"meghívás, hívás, telefonálás"
62,akharkérel,v tr,-d-/-d-,hívogat
63,ákhor,n m,-a/-es-,dió
64,akhoráno,adj m,,diós
65,akhoraskro kašt,n phr m,,diófa
66,akhorengro,adj m,,diós
67,akhoriko,adj m,,diós
68,akhoriko kašt,n m,-a/-es-,diófa
69,akhorin,n f,"-a, -ja/-a-, -ja-",diófa
70,akibor,pron dem,,1. ekkora 2. akkora
71,akibor,adj,,ekkora
72,akiťa,adv qual,,annyi
73,akiťi,adv qual,,annyi
74,ako,adv temp,,akkor
75,ako,conj,,akkor
76,ako,part narr,,1. hát 2. akkor
77,akor,adv temp,,akkor
78,akor,part narr,,1. hát 2. akkor
79,akor,conj,,akkor
80,ál,v itr,,"1. jön, megjön 2. érkezik, megérkezik"
81,ála,n f,-i/-a-,áll
82,alákhel,v tr,-l-/-l-,"1. talál, megtalál 2. szerez"
83,alakítínel,v tr,-d-/-d-,alakít
84,alako,n m,-i/-os-,"alak, forma, ábra"
85,alapítínel,v tr,-d-/-d-,alapít
86,álav,n m,-a/-es-,szó
87,albérleto,n m,-i/-os-,albérlet
88,áldáši,n m,-ivja/-is-,áldás
89,áldínel,v tr,-d-/-d-,áld
90,alig,part gen,,alig
91,alkalmašno,adj m,,alkalmas
92,alkalmatlamno,adj m,,alkalmatlan
93,alkalmazínel,v tr,-d-/-d-,alkalmaz
94,alkotínel,v tr,-d-/-d-,alkot
95,államo,n m,-i/-os-,állam
96,állandómno,adj m,,állandó
97,álláši,n m,-ivja/-is-,állás
98,állato,n m,-i/-os-,állat
99,állítólag,adv,,állítólag
100,állítólagošno,adj m,,állítólagos
101,állomáši,n m,-ivja/-is-,állomás
102,általába,adv,,általában
103,általánošni iškola,n phr f,,"általános iskola, elemi"
104,általánošno,adj m,,általános
105,ám,part narr,,ám
106,amáro,pron poss 1 sg m,,miénk
107,amen,pron pers 1 pl,,mi
108,amerika,n f,-i/-a-,Amerika
109,án,part vb,,be-
110,aňago,n m,-i/-os-,anyag
111,anál,v tr,,hozat
112,ánav,n m,-a/-es-,név
113,anável,v tr,-d-/-d-,hozat
114,ánd,part vb,,be-
115,and odá múkel,v tr,-l-/-l-,1. abbahagy 2. befejez
116,anďala,n f,-i/-a-,angyal
117,andar,prep,,"-ból, -ből"
118,andar o maškar,adv loc,,középről
119,andar o ništa,adv loc,,sehonnan
120,andar o vicco,adv phr,,viccből
121,ande,prep,,"1. -ban, -ben 2. -ba, -be 3. belsejében, belül, benne"
122,ánde,part vb,,be-
123,ánde,adv loc,,"1. be, befelé 2. bent"
124,ande – maškar,prep,,középen
125,ánde astárel,v tr,-d-/-d-,befog
126,ánde ável,v itr,-d-/-d-,bejön
127,ánde bizoňítínel,partv tr,-d-/-d-,bebizonyít
128,ánde borulimo,adj m,,beborult
129,ánde čhínel,v tr,-d-/-d-,"bevág, belevág"
130,ánde čhível,v tr,-d-/-d-,1. betesz 2. bevet
131,ánde čomagolínel,partv tr,-d-/-d-,becsomagol
132,ánde dugínel,partv tr,-d-/-d-,bedug
133,ánde džal,partv itr,-n-/-n-,bemegy
134,ánde fejezimo,adj phr m,,befejezett
135,ánde fejezínel,partv tr,-d-/-d-,befejez
136,ánde fojášolínel,partv tr,-d-/-d-,befolyásol
137,ánde gombolínel,v tr,-d-/-d-,begombol
138,ánde híjel,v itr,,"beszarik, bekakil"
139,ánde hohável,v phr tr,,"becsap, megtéveszt"
140,ánde ikrel,v tr,-d-/-d-,betart
141,ánde írisajol,v itr,-íl-/-íl-,beérik
142,ánde jelentínel,partv tr,-d-/-d-,jelent
143,ánde kapčolínel,v tr,-d-/-d-,bekapcsol
144,ánde kédel,partv tr,"-ind-, -l-/-ind-, -l-",1. betakarít 2. beszed
145,ánde kerdo,adj phr m,,"zárt, bezárt"
146,ánde kérel,partv tr,-d-/-d-,"bezár, becsuk"
147,ánde kerisajol,v itr,-íl-/-íl-,bekerül
148,ánde kerítínel,v tr,-d-/-d-,bekerít
149,ánde khósel,v tr,-t-/-t-,beletöröl
150,ánde kormozínel,v tr,-d-/-d-,bekormoz
151,ánde lel,v tr,-d-/-d-,bevesz
152,ánde lípínel,partv itr,-d-/-d-,belép
153,ánde lojárel,v tr,-d-/-d-,bepirosít
154,ánde lójol,partv itr,-íl-/-íl-,"elvörösödik, pirosodik, elpirosodik"
155,ánde mákhel,partv tr,-l-/-l-,"beken, bemázol"
156,ánde máťol,v itr,-íl-/-íl-,becsíp
157,ánde mejanďol,partv itr,-íl-/-íl-,bekoszolódik
158,ánde mejánel,partv tr,-d-/-d-,"bepiszkít, bemocskol"
159,ánde múkel,v tr,-l-/-l-,beenged
160,ánde mutrel,v itr,-d-/-d-,"bevizel, bepisil"
161,ánde nášel,v itr,-t-/-t-,"befut, beszalad"
162,ánde óvel,partv itr,-d-/-d-,részt vesz
