Index,Entry Word,Part of Speech,Affix,Definition
1,ačhel,v itr,,"1. bleiben 2. wohnen, (an einem Ort) leben"
2,ada,pron dem m,,dieser
3,adathar,adv loc,,von hier
4,adathar,adv loc,,"von hier, daher"
5,adi,adv temp,,heute
6,ado,pron dem m,,dieser
7,aga,n f,,"Ast, Zweig"
8,aja,pron dem f,,diese
9,akan,adv temp,,jetzt
10,akarkon,pron indef,,wer auch immer
11,akarsar,adv mod,,wie auch immer
12,akarso,pron indef,,was auch immer
13,akastinel,v tr,,hängen
14,akharel,v tr,,"rufen, holen"
15,akhor,n m,,Nuss
16,akor,adv temp,,"dann, damals"
17,al,v itr,,"1. kommen 2. sein (Futur, Imperativ, Konditional) 3. werden (Vergangenheitszeiten uja)"
18,alato,n m,,Tier
19,amaro,pron poss 1 sg m,,unser
20,amen,pron pers 1 pl,,wir
21,anav,n m,,Name
22,anavel,v tr,,"bringen lassen, bestellen"
23,and',prep,,1. in (vor Vokalen) 2. nach (vor Vokalen)
24,andar,adv loc,,"1. davon, daraus 2. von innen"
25,andar,prep,,"von, aus"
26,ande,part vb,,hinein-
27,ande,prep,,"1. in, hinein 2. nach"
28,ande,adv loc,,"innen, darin, innerhalb, hinein"
29,ande kerel,v tr,,schließen
30,ande lonďarel,partv tr,,einsalzen
31,ande mukel,partv tr,,hereinlassen
32,ande paruvel,partv tr,,"umtauschen, eintauschen"
33,ande perel,partv itr,,hineinfallen
34,ande phenel ,partv tr,,anzeigen
35,anel,v tr,,"herbringen, mitbringen, mitnehmen"
36,anǧal,adv loc,,"1. vorne, voran 2. erstmals"
37,anǧal,prep,,vor
38,angali,n f,,"Schoß, Umarmung"
39,angle,prep,,vor
40,angle,part vb,,"vor-, hervor-"
41,angrusti,n f,,Ring
42,angušto,n m,,Finger
43,angušto,n f,,Finger
44,ar,pron indef,,"anderer, andere, anderes"
45,ar,part vb,,"hinaus-, aus-"
46,ar,adv loc,,draußen
47,ari,adv loc,,draußen
48,ari,part vb,,"hinaus-, aus-"
49,ari akharel,partv tr,,hinausrufen
50,ari kerel,v tr,,öffnen
51,ari mukel,partv tr,,freilassen
52,ari paruvel,partv tr,,"austauschen, auswechseln"
53,ari perel,partv itr,,herausfallen
54,ari phenel,partv tr,,"aussprechen, verlautbaren, ausplaudern"
55,ari pravel,partv tr,,öffnen
56,arto di,adj phr,,"nächster Tag, folgender Tag"
57,asavo,pron dem,,"so ein, solch ein"
58,asel,v itr,,lachen
59,asel ari,v tr,,auslachen
60,astarel,v tr,,"nehmen, ergreifen, fangen"
61,asva,n m pl,,Tränen
62,ať,n f,,Auge
63,aťh,n f,,Auge
64,athar,adv loc,,"von hier, daher"
65,aťi,adj,,so viel
66,atkozinel,v tr,,"verfluchen, verwünschen"
67,avďin,n f,,Honig
68,aver,pron indef,,"anderer, andere, anderes"
69,avgun,adv temp,,"das erste Mal, zum ersten Mal"
70,avka,adv mod,,"so, dadurch"
71,avral,adv loc,,"außen, von außen"
72,azdel,v tr,,"heben, aufheben"
73,azdel upre,partv tr,,"heben, aufheben"
74,azdingerel,v tr,,"wiederholt aufheben, immer wieder aufheben"
75,azir,adv caus,,deshalb
76,bakrano,adj m,,Schaf-
77,bakrano mas,n phr m,,Schaffleisch
78,bakri,n f,,Schaf
79,bakro,n m,,Schafsbock
80,bal,n m,,Haar
81,baľari,n m,,Schweinehirt
82,balevas,n m,,Speck
83,baličho,n m,,Ferkel
84,balo,n f,,Schwein
85,balo mas,n phr m,,Schweinefleisch
86,balutno,adj m,,"linker, linke"
87,balutno,adv loc,,links
88,balvas,n m,,Speck
89,banďarel,v tr,,"krumm machen, verbiegen"
90,banďol,v itr,,krumm werden
91,bango,adj m,,"krumm, gebeugt, lahm"
92,bango hi,v phr,,"lahm sein, hinken"
93,bar,n f,,Stein
94,bar,n f,,Garten
