Index,Entry Word,Part of Speech,Affix,Definition
1,ačhel,v itr,,1. remain 2. live somewhere
2,ada,pron dem m,,this
3,adathar,adv loc,,"from here, hence"
4,adathar,adv loc,,"from here, here"
5,adi,adv temp,,today
6,ado,pron dem m,,this
7,aga,n f,,branch
8,aja,pron dem f,,this (fem.)
9,akan,adv temp,,now
10,akarkon,pron indef,,whoever
11,akarsar,adv mod,,"anyhow, however"
12,akarso,pron indef,,whatever
13,akastinel,v tr,,hang
14,akharel,v tr,,"call, summon"
15,akhor,n m,,nut
16,akor,adv temp,,then
17,al,v itr,,"1. come 2. be (future tense, imperative, conditional) 3. become (past tenses uja)"
18,alato,n m,,animal
19,amaro,pron poss 1 sg m,,our
20,amen,pron pers 1 pl,,we
21,anav,n m,,name
22,anavel,v tr,,"let bring, order"
23,and',prep,,"1. in (before vowels) 2. into (before vowels), to (before vowels)"
24,andar,adv loc,,"1. from it, out of it 2. from inside"
25,andar,prep,,"from, out of"
26,ande,adv loc,,"in, inside, within, into"
27,ande,prep,,"1. in, into 2. to"
28,ande,part vb,,in
29,ande kerel,v tr,,close
30,ande lonďarel,partv tr,,salt down
31,ande mukel,partv tr,,let in
32,ande paruvel,partv tr,,exchange
33,ande perel,partv itr,,fall into
34,ande phenel ,partv tr,,denounce
35,anel,v tr,,"bring here, fetch"
36,anǧal,adv loc,,"1. ahead, in front 2. first time"
37,anǧal,prep,,"in front of, before"
38,angali,n f,,"lap, embrace"
39,angle,part vb,,forward
40,angle,prep,,"in front of, before"
41,angrusti,n f,,ring
42,angušto,n m,,finger
43,angušto,n f,,finger
44,ar,pron indef,,other
45,ar,part vb,,out
46,ar,adv loc,,outdoors
47,ari,adv loc,,outdoors
48,ari,part vb,,out
49,ari akharel,partv tr,,call to the door
50,ari kerel,v tr,,open
51,ari mukel,partv tr,,set free
52,ari paruvel,partv tr,,exchange
53,ari perel,partv itr,,fall out
54,ari phenel,partv tr,,"speak out, declare, blab out"
55,ari pravel,partv tr,,open
56,arto di,adj phr,,next day
57,asavo,pron dem,,"such, so"
58,asel,v itr,,laugh
59,asel ari,v tr,,laugh at so.
60,astarel,v tr,,"take, seize, catch"
61,asva,n m pl,,tears
62,ať,n f,,eye
63,aťh,n f,,eye
64,athar,adv loc,,"from here, hence"
65,aťi,adj,,so many
66,atkozinel,v tr,,"damn, curse"
67,avďin,n f,,honey
68,aver,pron indef,,other
69,avgun,adv temp,,for the first time
70,avka,adv mod,,"so, thus"
71,avral,adv loc,,"outside, from outside"
72,azdel,v tr,,lift up
73,azdel upre,partv tr,,lift up
74,azdingerel,v tr,,lift repeatedly up
75,azir,adv caus,,therefore
76,bakrano,adj m,,"of a sheep, sheep-"
77,bakrano mas,n phr m,,mutton
78,bakri,n f,,sheep
79,bakro,n m,,sheep
80,bal,n m,,hair
81,baľari,n m,,swine herd
82,balevas,n m,,"lard, bacon"
83,baličho,n m,,piglet
84,balo,n f,,pig
85,balo mas,n phr m,,pork
86,balutno,adj m,,left
87,balutno,adv loc,,left
88,balvas,n m,,"lard, bacon"
89,banďarel,v tr,,"make crooked, bend"
90,banďol,v itr,,get crooked
91,bango,adj m,,"crooked, bent, lame"
92,bango hi,v phr,,"be lame, hobble"
93,bar,n f,,stone
94,bar,n f,,garden
95,bar,n m,,stone
96,bař,n f,,stone
97,bař,n m,,stone
98,barari,n m,,1. bricklayer 2. gardener
99,bařari,n m,,1. bricklayer 2. gardener
100,barati,n m,,friend
101,baravel,v tr,,"1. make great, increase 2. bring up, educate"
102,barďol,v itr,,grow
103,baro,adj m,,"great, big"
104,baro raj,n phr m,,mighty person
105,barvalipe,n m,,"wealth, riches"
106,bašel,v itr,,make a noise (animals and instruments)
107,bašno,n m,,cock
108,bast,n f,,luck
109,bavjal,n f,,wind
110,beng,n m,,1. devil 2. police man
111,berš,n m,,year
112,bešel,v itr,,sit
113,bi,prep,,without
114,bijav,n m,,wedding
115,bijavel,v tr,,"melt, thaw"
116,biknel,v tr,,sell
117,bil,v itr,,"melt, thaw"
118,bilondo,adj m,,unsalted
119,biol,v itr,,"melt, thaw"
120,birinel,v mod,,"can, be able"
121,biš,num card,,twenty
122,bišengi,n f,,twenty Forint note (Hungarian banknote)
123,bisori,n f,,pearl
124,bišto,num ord,,twentieth
125,bistrel,v tr,,forget
126,bistrel,v tr,,forget
127,bloko,n f,,window
128,boba,n m,,maize
129,boba,n f,,maize
130,bobo,n m,,peas
131,bočkora,n f,,shoe
132,bok,n f,,hunger
133,bokh,n f,,hunger
134,bokhajol,v itr,,"hunger, go hungry"
135,bokhalo,adj m,,hungry
136,boldines,adv mod,,"upside down, inside out"
137,börtön,n f,,prison
138,bota,n f,,shop
139,božiťa,n f,,Christmas
140,brišind,n m,,rain
141,brižinel,v itr,,"sorrow, be grieved"
142,bučol ,v itr,,be called (1.p.sg. bučuvav)
143,bučuma,n f,,"stump, block"
144,bujharel,v tr,,widen
145,buko,n m,,liver
146,bul,n f,,"buttocks, arse"
147,burňik,n f,,a handful
148,but,adj,,"much, many"
149,buteder,adj,,more
150,buter,adj,,more
151,buti,n f,,"1. work, job 2. matter"
152,ča,adv mod,,only
153,čačipe,n m,,truth
154,čačo,adj m,,"right, true"
155,čajol,v itr,,"eat one's fill, be sated"
156,cajt,n f,,time
157,čak,adv mod,,only
158,čalado,n m,,1. family 2. children
159,čalal,v tr,,beat
160,čalal,v tr,,"1. hit, beat, strike 2. shoe"
161,čang,n f,,1. knee 2. leg
162,čar,n f,,grass
163,čarda,n f,,"inn, tavern"
164,čarel,v tr,,lick
165,čavri,n f,,chicken
166,čekat,n m,,forehead
167,čeňi,n f,,earrings
168,cerha,n f,,tent
169,cerhaki beli,n phr f,,tent pole
170,Cerhari,n m,,"Cerhari (Gypsy group), tent Gypsies (Gypsy group)"
171,čerhin,n f,,star
172,češinako,n m,,garlic
173,čhaj,n f,,"girl, daughter (Gypsy)"
174,čhandel,v itr,,vomit
175,čhandel ari,v itr,,vomit
176,čhavo,n m,,"son (Gypsy), boy (Gypsy)"
177,čhej,n f,,"girl, daughter (Gypsy)"
178,čhib,n f,,1. tongue 2. language
179,čhidel,v tr,,1. throw 2. imprison
180,čhidingerel,v tr,,throw about
181,čhinďol,v itr,,"break, tear"
182,čhinel,v tr,,cut
183,čhingerďol,v itr,,get torn
184,čhingerel,v tr,,tear
185,čhivel,v tr,,1. throw 2. put 3. imprison
186,čhivel,v tr,,put
187,čhivel pe,v itr,,elope
188,čhivel pe tele,partv,,undress
189,čhivel tele,partv tr,,put off
190,čhora,n f,,"beard, moustache"
191,čhorďol,v itr,,flow
192,čhorďol ari,v itr,,"overflow, pour out"
193,čhorel,v tr,,pour
194,čhorel ari,v tr,,pour out
195,čhučho,adj m,,empty
196,čhungarel,v tr,,spit
197,čhungarel tele,partv tr,,spit on so.
198,čhuri,n f,,knife
199,cidel,v tr,,"play (an instrument, the fiddle)"
200,cidel,v tr,,"draw, pull"
201,cidingerel,v tr,,pull (frequentative)
202,čik,n f,,mud
203,čikajisarel,v itr,,sneeze
204,čikalo,adj m,,muddy
205,ciǩel,v itr,,suck
206,čiknipe,n m,,"fat, grease"
207,čikno,adj m,,fat
208,čila,adv temp,,"since long, long ago"
209,cilo,pron indef,,whole
210,čiluno,adj m,,"old, earlier"
211,cipa,n f,,"leather, skin"
212,cipa,n f,,"skin, leather"
213,čiriǩano,adj m,,of a bird
214,čirikli,n f,,"bird, sparrow"
215,Colari,n m,,"Colari (Gypsy group), tent Gypsies (Gypsy group)"
216,colo,n m,,blanket
217,čorel,v tr,,steal
218,čořipe,n m,,poverty
219,čoro,adj m,,"1. poor 2. orphan 3. vile (utensils, animals)"
220,čořo,adj m,,"1. poor 2. orphan 3. vile (utensils, animals)"
221,čuči,n f,,female breast
222,čučo,adj m,,empty
223,cuj,part vb,,"to, towards"
224,cuj,adv loc,,"to, towards"
225,cuj astarel,partv,,touch
226,cuj kerel,partv,,close
227,cukri,n f,,sugar
228,cukro,n m,,sugar
229,čulo,adj,,"a few, a little"
230,cum,part vb,,together
231,cum kedel,partv,,"collect, gather"
232,cum perel,partv,,meet
233,čumidel,v tr,,to kiss
234,čumikerel,v itr,,kiss one another
235,čumnik,n f,,whip
236,čurindel,v tr,,"stab, prick"
237,dad,n m,,father
238,daj,n f,,mother
239,ďalo,adj m,,raw
240,dand,n m,,tooth
241,danderel,v tr,,bite
242,dar,n f,,fear
243,ďara,n f,,factory
244,daral,v tr,,"fear, be afraid"
245,ďaro,n m,,flour
246,de,conj,,"but, however"
247,deci,n f,,decilitre
248,ďed,n m,,winter
249,del,v tr,,give
250,Del,n m,,God
251,ďerni,n m,,rasp
252,deš,num card,,ten
253,deš šel,num card,,thousand
254,ďevende,adv temp,,in winter
255,di,n m,,day
256,dikhel,v tr,,"1. see, look 2. visit"
257,dikhel ari,partv,,look like
258,dikhel cuj,partv,,begin
259,ďilal,v tr,,sing
260,ďilazinel,v itr,,sing songs
261,ďili,n f,,song
262,dilino,adj m,,"mad, fool, foolish"
263,ďinel,v tr,,count
264,dis,n f,,castle
265,diťhol,v itr,,1. be seen 2. seem
266,ďiv,n m,,snow
267,ďiv,n m,,wheat
268,ďivend,n m,,winter
269,divese,adv temp,,"during the day, in the daytime"
270,dokle,adv temp,,until then
271,dombo,n m,,mountain
272,dond,part vb,,dis-
273,dond dikel,partv itr,,look around
274,dondmoržolinel,partv tr,,crumble
275,dont,part vb,,dis-
276,dosta,adv mod,,fairly
277,drab,n m,,"drug, herb"
278,drakh,n f,,1. grape 2. vineyard
279,drom,n m,,"road, way"
280,dudum,n m,,pumpkin
281,dudumešťi,n m,,Vlah Gypsy clan
282,dugo,adj m,,long
283,duhano,n m,,tobacco
284,duj,num card,,two
285,dujto,num ord,,second
286,dukhal,v tr,,ache
287,dukle,adv temp,,until then
288,dumo,n m,,back
289,ďupa,n f,,blouse
290,dur,adv loc,,far
291,dur,adv temp,,"for long, for a long time"
292,dural,adv loc,,from afar
293,durutno,adj m,,foreigner
294,duvar,num mult,,twice
295,edej,adv loc,,"here, at this place"
296,edej,adv loc,,"here, at this place"
297,efta,num card,,seven
298,efta šerengero,adj phr,,seven-headed
299,ek,art indef sg,,"a, an"
300,ek,num card,,one
301,ekhavres,adv,,"each other, one another"
302,eňa,num card,,nine
303,epaš,num fract,,half
304,epašoneg,adv mod,,"partly, halfway"
305,erďavo,adj m,,bad
306,esej,pron dem,,such
307,ezbe lel,v phr,,notice
308,ezera,num card,,thousand
309,ezero,num card,,thousand
310,falo,n m,,wall
311,faťu,n m,,"son, boy"
312,feder,adv mod,,better
313,fene,n,,devil
314,fer,part vb,,away
315,fermukal,prefv,,abandon
316,ferterďol,prefv,,stop
317,ficko,n m,,nest
318,flok,n m,,"sake, pale"
319,forinto,n m,,Forint (Hungarian money)
320,foro,n m,,town
321,foti,n pl,,clothes
322,foto,n m,,clothes
323,fraj,adj,,free
324,furt,part vb,,away
325,furtžal,prefv itr,,go away
326,gad,n m,,shirt
327,gada,n pl,,clothes
328,gadži,n f,,"non-Gypsy, peasant"
329,gadžo,n m,,"non-Gypsy, peasant"
330,garuvel,v itr,,conceal oneself
331,garuvel,v tr,,hide
332,gav,n m,,1. village 2. town
333,gazda,n m,,"master (of a servant, of an animal, of estates)"
334,gažikani čhej,n phr f,,"girl (non-Gypsy), daughter (non-Gypsy)"
335,genel,v tr,,count
336,ger,n f,,"itch, mange"
337,geralo,adj m,,"scabby, mangy"
338,germinel,v,,it is thundering
339,gilal,v tr,,sing
340,gizdavo,adj m,,"arrogant, proud"
341,gledalo,n f,,looking-glass
342,glista,n f,,earthworm
343,goca,n f,,duck
344,goca,n f,,duck
345,goďar,adj,,clever
346,goďi,n f,,"wits, brains"
347,goj,n f,,sausage
348,goja,n pl,,bowels
349,gra,n m,,horse
350,grobo,n m,,"grave, tomb"
351,gulo,adj m,,1. sweet 2. dear
352,gurumni,n f,,cow
353,gurumňi,n f,,cow
354,guruv,n m,,"bull, ox"
355,guruvňi,n f,,cow
356,Gurvari,n m,,Gurvari (a Gypsy group)
357,ha,conj,,if
358,habe,n m,,food
359,haboruvo,n m,,"war, battle"
360,hahavel,v tr,,feed
361,hajnel,v tr,,"repent, regret"
362,hajnel,v tr,,"repent, regret"
363,hajol,v tr,,1. understand 2. feel
364,hajol,v tr,,"understand, feel"
365,hal,v tr,,eat
366,ham,conj,,but
367,hanďol,v itr,,itch
368,hanel,v tr,,dig
369,hanel,v tr,,dig
370,haňig,adv mod,,well
371,hap,v,,"seize, grasp"
372,harkum,n f,,"copper, brass"
373,harkumitiko,adj m,,of copper
374,harkumo,adj m,,of copper
375,harno,adj m,,short
376,haruvel,v tr,,scratch
377,hat,part narr,,"well, why, then"
378,haveri,n m,,friend
379,haveri,n m,,friend
380,hev,n f,,hole
381,hi,v cop,,is
382,hibo,n m,,loft
383,hibo,n m,,loft
384,hil,v itr,,shit
385,hiro,n m,,news
386,hoď,conj,,that
387,hoď te,conj,,"so that, in order to"
388,hohal,v tr,,"tell a lie, deceive"
389,hoho,interj,,oho
390,hokono,n m,,axe
391,holev,n f,,trousers
392,humer,n m,,"noodles, pasta"
393,hurdo,adj m,,small
394,hušnel,v tr,,knead
395,hušnel,v tr,,knead
396,i,art def f sg,,the
397,ič,adv temp,,"last night, gestern"
398,ič,adv temp,,yesterday
