Index,Entry Word,Part of Speech,Affix,Definition
1,ačhel,v itr,,1. marad 2. lakik
2,ada,pron dem m,,ez
3,adathar,adv loc,,"innen, itt"
4,adathar,adv loc,,innen
5,adi,adv temp,,ma
6,ado,pron dem m,,ez
7,aga,n f,,ág
8,aja,pron dem f,,ez
9,akan,adv temp,,most
10,akarkon,pron indef,,akárki
11,akarsar,adv mod,,akárhogy
12,akarso,pron indef,,akármi
13,akastinel,v tr,,akaszt
14,akharel,v tr,,hív
15,akhor,n m,,dió
16,akor,adv temp,,akkor
17,al,v itr,,"1. jön 2. lenni (a lenni ige jövő idejét, felszólító és feltételes módját pótolja) 3. "
18,alato,n m,,állat
19,amaro,pron poss 1 sg m,,mienk
20,amen,pron pers 1 pl,,mi
21,anav,n m,,név
22,anavel,v tr,,hozat
23,and',prep,,"1. -ban (általában magánhangzók előtt), -ben (általában magánhangzók előtt) 2. -ba (általában magánhangzók előtt), -be (általában magánhangzók előtt)"
24,andar,adv loc,,1. belőle 2. belülről
25,andar,prep,,"-ból, -ből"
26,ande,part vb,,be-
27,ande,prep,,"1. -ban, -ben 2. -ba, -be"
28,ande,adv loc,,"bent, be"
29,ande kerel,v tr,,bezár
30,ande lonďarel,partv tr,,besóz
31,ande mukel,partv tr,,beereszt
32,ande paruvel,partv tr,,becserél
33,ande perel,partv itr,,beleesik
34,ande phenel ,partv tr,,feljelent
35,anel,v tr,,hoz
36,anǧal,adv loc,,1. elöl 2. először
37,anǧal,prep,,előtt
38,angali,n f,,öl
39,angle,part vb,,elő-
40,angle,prep,,előtt
41,angrusti,n f,,gyűrű
42,angušto,n f,,ujj
43,angušto,n m,,ujj
44,ar,pron indef,,más
45,ar,part vb,,ki
46,ar,adv loc,,kint
47,ari,part vb,,ki
48,ari,adv loc,,kint
49,ari akharel,partv tr,,kihív
50,ari kerel,v tr,,kinyit
51,ari mukel,partv tr,,kienged
52,ari paruvel,partv tr,,kicserél
53,ari perel,partv itr,,kiesik
54,ari phenel,partv tr,,"mond, megmond"
55,ari pravel,partv tr,,kinyit
56,arto di,adj phr,,másnap
57,asavo,pron dem,,"olyan, ilyen"
58,asel,v itr,,nevet
59,asel ari,v tr,,kinevet
60,astarel,v tr,,"fog, megfog, hozzányúl"
61,asva,n m pl,,könny
62,ať,n f,,szem
63,aťh,n f,,szem
64,athar,adv loc,,innen
65,aťi,adj,,annyi
66,atkozinel,v tr,,átkoz
67,avďin,n f,,méz
68,aver,pron indef,,más
69,avgun,adv temp,,először
70,avka,adv mod,,"így, úgy"
71,avral,adv loc,,kívülról
72,azdel,v tr,,"emel, felemel"
73,azdel upre,partv tr,,"emel, felemel"
74,azdingerel,v tr,,emelget
75,azir,adv caus,,azért
76,bakrano,adj m,,birka-
77,bakrano mas,n phr m,,juhhús
78,bakri,n f,,birka
79,bakro,n m,,birka
80,bal,n m,,"hajszal, szőrszál"
81,baľari,n m,,kondás
82,balevas,n m,,szalonna
83,baličho,n m,,malac
84,balo,n f,,disznó
85,balo mas,n phr m,,disznóhús
86,balutno,adv loc,,bal
87,balutno,adj m,,bal
88,balvas,n m,,szalonna
89,banďarel,v tr,,"görbít, hajlít, ferdít"
90,banďol,v itr,,meggörbül
91,bango,adj m,,"görbe, sánta"
92,bango hi,v phr,,sántít
93,bar,n f,,kő
94,bar,n f,,kert
95,bar,n m,,kő
96,bař,n f,,kő
97,bař,n m,,kő
98,barari,n m,,1. kőműves 2. kertész
99,bařari,n m,,1. kőműves 2. kertész
100,barati,n m,,barát
101,baravel,v tr,,1. nevel 2. felnevel
102,barďol,v itr,,nő
103,baro,adj m,,nagy
104,baro raj,n phr m,,nagy úr
105,barvalipe,n m,,gazdagság
106,bašel,v itr,,::::Parse Failure::::
107,bašno,n m,,kakas
108,bast,n f,,szerencse
109,bavjal,n f,,szél
110,beng,n m,,1. ördög 2. rendőr
111,berš,n m,,év
112,bešel,v itr,,ül
113,bi,prep,,nélkül
114,bijav,n m,,"esküvő, lakodalom"
115,bijavel,v tr,,olvaszt
116,biknel,v tr,,elad
117,bil,v itr,,olvad
118,bilondo,adj m,,sótlan
119,biol,v itr,,olvad
120,birinel,v mod,,"bír, tud"
121,biš,num card,,húsz
122,bišengi,n f,,huszas
123,bisori,n f,,gyöngy
124,bišto,num ord,,huszadik
125,bistrel,v tr,,elfelejt
126,bistrel,v tr,,elfelejt
127,bloko,n f,,ablak
128,boba,n f,,kukorica
129,boba,n m,,kukorica
130,bobo,n m,,borsó
131,bočkora,n f,,cipő
132,bok,n f,,éhség
133,bokh,n f,,éhség
134,bokhajol,v itr,,éhezik
135,bokhalo,adj m,,éhes
136,boldines,adv mod,,fordítva
137,börtön,n f,,"fogság, börtön"
138,bota,n f,,bolt
139,božiťa,n f,,karácsony
140,brišind,n m,,eső
141,brižinel,v itr,,bánkódik
142,bučol ,v itr,,hívják vhogy (1.p.sg. bučuvav)
143,bučuma,n f,,"tőke, tönk"
144,bujharel,v tr,,"szélesit, kiterít"
145,buko,n m,,máj
146,bul,n f,,"fenék, far"
147,burňik,n f,,marék
148,but,adj,,sok
149,buteder,adj,,több
150,buter,adj,,több
151,buti,n f,,1. munka 2. dolog
152,ča,adv mod,,csak
153,čačipe,n m,,igazság
154,čačo,adj m,,igaz
155,čajol,v itr,,jóllakik
156,cajt,n f,,idő
157,čak,adv mod,,csak
158,čalado,n m,,1. család 2. gyerekek
159,čalal,v tr,,üt
160,čalal,v tr,,1. üt 2. megpatkol
161,čang,n f,,1. térd 2. lábszár
162,čar,n f,,fű
163,čarda,n f,,"kocsma, csárda"
164,čarel,v tr,,nyal
165,čavri,n f,,csirke
166,čekat,n m,,homlok
167,čeňi,n f,,fülbevaló
168,cerha,n f,,sátor
169,cerhaki beli,n phr f,,sátorfa
170,Cerhari,n m,,sátoros (egy cigány csoport)
171,čerhin,n f,,csillag
172,češinako,n m,,foghagyma
173,čhaj,n f,,leány (cigány)
174,čhandel,v itr,,"bány, okádik"
175,čhandel ari,v itr,,"bány, okádik"
176,čhavo,n m,,fiú (cigány)
177,čhej,n f,,leány (cigány)
178,čhib,n f,,::::Parse Failure::::
179,čhidel,v tr,,"1. dob, vet 2. börtönbe"
180,čhidingerel,v tr,,dobál
181,čhinďol,v itr,,"szakad, hasad"
182,čhinel,v tr,,vág
183,čhingerďol,v itr,,szakad
184,čhingerel,v tr,,szakít
185,čhivel,v tr,,"1. dob 2. rak, tesz, helyez 3. börtönbe zár"
186,čhivel,v tr,,"rak, tesz, helyez"
187,čhivel pe,v itr,,megszökik
188,čhivel pe tele,partv,,levetkőzik
189,čhivel tele,partv tr,,leveti a ruháját
190,čhora,n f,,"szakáll, bajusz"
191,čhorďol,v itr,,ömlik
192,čhorďol ari,v itr,,kiömlik
193,čhorel,v tr,,önt
194,čhorel ari,v tr,,kiönt
195,čhučho,adj m,,üres
196,čhungarel,v tr,,köp
197,čhungarel tele,partv tr,,leköp
198,čhuri,n f,,kés
