Index,Entry Word,Part of Speech,Affix,Definition
1,aabeesiba,n m,,Alphabet
2,aabiskiinesko vaalpi,n phr pl,,Zeigestock (zum Buchstabieren-Lernen)
3,aabisliin ,n m,,ABC-Buch
4,aabisliinesko baxno,n phr m,,der Hahn auf dem Umschlag des ersten ABC-Buchs
5,aadur,num card,,tausend
6,aadur berexxeskiero ,adj m,,1. tausend Jahre alt 2. tausend Jahre dauernd
7,aadurtes,num mult,,tausend mal
8,aadurtesko dielos,num ord,,1. tausendst- 2. Tausendstel
9,aadurtesko drabiba,n phr m,,1. tausend 2. Jahrtausend
10,aaftako ring,n phr f,,Westen
11,aagavela,v tr,,jagen
12,aagiba,n m,,Jagd
13,aagila,v tr,,jagen
14,aakni,n,,1. Ruhm 2. Ruf 3. Gerücht
15,aanavela,v tr,,"1. fragen nach, fordern 2. gierig sein auf"
16,aanela,v tr,,bringen
17,aanela naal ,partv,,herausbringen
18,aaniba,n m,,"1. Import, Einfuhr 2. Wunsch, Sehnsucht 3. Gier"
19,aaniboskero,n m,,1. Bringer 2. gieriger Mensch 3. geiziger Mensch
20,aanibosko guosos,n phr m,,Importgüter
21,aanibosko niekiba,n phr m,,Importverbot
22,aanila,v tr,,"1. fragen nach, fordern 2. gierig sein auf"
23,aavakiiro,n m,,"Denker, nachdenklicher Mensch, Grübler, Nachdenkender"
24,aavavela,v tr,,"eine Vorahnung haben, vorhersehen"
25,aavela,v itr,,kommen
26,aaviba,n m,,1. Beginn 2. Ankunft 3. Vorahnung
27,aaviboskero,n m,,Prophet
28,aavila,v tr,,"eine Vorahnung haben, vorhersehen"
29,aaxtiba,n m,,Umstände
30,aaxxela,v cop itr,,1. sein 2. bleiben
31,aaxxiba,n m,,"1. Gesundheit 2. Lebensbedingungen, Lebensumstände"
32,aaxxibosko dujtu,n phr f,,Wohnzimmer
33,aaxxibosko maneera,n phr f,,"Lebensweise, Gewohnheit"
34,aaxxibosko stedos,n phr m,,"Verbleib (von Dingen), Aufenthaltsort, Wohnsitz"
35,abboris,n m,,Flussbarsch
36,ablatiivos,n m,,Ablativ
37,ada,pron dem,,"dieser, diese, dieses"
38,adauva,pron dem,,"dieser, diese, dieses"
39,adjektiivos,n m,,Adjektiv
40,ado,pron dem,,"1. der, die, das 2. dieser, diese, dieses"
41,adoj,adv loc,,"da, dort, dorthin"
42,adouva,pron dem,,es
43,adverbiaalos,adj,,adverbial
44,adverbos,n m,,Adverb
45,afta,n,,Heiligabend
46,aftako diives,n phr m,,Abend
47,aftako kvella,n phr f,,Abend
48,aftiba,n m,,"bunter Abend, Gesellschaftsabend"
49,agor,n,,Ende
50,agurvela,v tr,,"1. beenden 2. aufbrauchen, ablaufen"
51,aha,interj,,ja
52,Ahvenasko phuu,n phr f,,die Åland Inseln
53,aj,interj,,ah! oh!
54,aja,adv mod,,"so, auf diese Art und Weise"
55,ajadissi,conj,,"bis, so lange"
