Index,Entry Word,Part of Speech,Affix,Definition
1,aabeesiba,n m,,alphabet
2,aabiskiinesko vaalpi,n phr pl,,stick used to point at letters when learning to spell
3,aabisliin ,n m,,ABC-book
4,aabisliinesko baxno,n phr m,,the cock on the cover of the first ABC-reader
5,aadur,num card,,thousand
6,aadur berexxeskiero ,adj m,,1. thousand-year-old 2. that lasts thousand years
7,aadurtes,num mult,,thousand times
8,aadurtesko dielos,num ord,,thousandth
9,aadurtesko drabiba,n phr m,,1. thousand 2. millennium
10,aaftako ring,n phr f,,west
11,aagavela,v tr,,chase
12,aagiba,n m,,chase
13,aagila,v tr,,chase
14,aakni,n,,"1. fame, reputation 2. rumor"
15,aanavela,v tr,,"1. ask, request 2. be greedy for"
16,aanela,v tr,,bring
17,aanela naal ,partv,,bring out
18,aaniba,n m,,"1. bringing (in) 2. import, importation 3. desire, greediness"
19,aaniboskero,n m,,"1. bringer 2. greedy, grasping"
20,aanibosko guosos,n phr m,,import goods
21,aanibosko niekiba,n phr m,,import prohibition
22,aanila,v tr,,"1. ask, request 2. be greedy for"
23,aavakiiro,n m,,"thinker, meditator, contemplator"
24,aavavela,v tr,,"have a presentiment or feeling, foresee"
25,aavela,v itr,,come
26,aaviba,n m,,"1. coming, arrival 2. presentiment"
27,aaviboskero,n m,,1. comer 2. prophet
28,aavila,v tr,,"have a presentiment or feeling, foresee"
29,aaxtiba,n m,,circumstances
30,aaxxela,v cop itr,,1. be 2. stay
31,aaxxiba,n m,,"1. health 2. conditions of life, circumstances"
32,aaxxibosko dujtu,n phr f,,living room
33,aaxxibosko maneera,n phr f,,"habit, manner"
34,aaxxibosko stedos,n phr m,,"whereabouts, (place of) residence"
35,abboris,n m,,perch
36,ablatiivos,n m,,ablative
37,ada,pron dem,,this
38,adauva,pron dem,,this
39,adjektiivos,n m,,adjective
40,ado,pron dem,,1. it 2. that
41,adoj,adv loc,,"there, thither"
42,adouva,pron dem,,it
43,adverbiaalos,adj,,adverbial
44,adverbos,n m,,adverb
45,afta,n,,Christmas Eve
46,aftako diives,n phr m,,eve
47,aftako kvella,n phr f,,eve
48,aftiba,n m,,social evening
49,agor,n,,end
50,agurvela,v tr,,1. end 2. wear out
51,aha,interj,,yes
52,Ahvenasko phuu,n phr f,,The Åland islands
53,aj,interj,,ah! oh!
54,aja,adv mod,,so
55,ajadissi,conj,,"until, as long as"
56,ajasaavo,adj indef m,,"such, like that, of that kind"
57,aka,pron dem,,this
58,aka diives,adv temp,,today
59,akaana,conj,,when
60,akoori,adv loc,,there
61,Alavuudaki phuu,n phr f,,Alavus (town in Finland)
62,aldriboskiero,adj m,,"constant, perpetual, continual, unceasing"
63,alma,n,,alms
64,almuua,n,,"people, folks, common people"
65,almuuna,n,,"people, folks, common people"
66,alsavela,v tr,,"1. propose, suggest 2. begin, start"
67,alsiba,n m,,"proposition, proposal, suggestion, initiative"
68,alsila,v tr,,"1. propose, suggest 2. begin, start"
69,alsimen,n,,candidate
70,alsimen,adj,,proposed
71,alsindaag,adv mod,,"1. eternal, life long 2. for ever, eternally"
72,alsindaag,adj,,"1. eternal, life long 2. for ever, eternally"
73,alsindaagakiero,adj m,,"eternal, perpetual"
74,alsindaagako,adj m,,"life long, perpetual, eternal, everlasting"
75,alsindaagavela,v tr,,1. perpetuate 2. immortalize
76,alsindaagiba,n m,,eternity
77,alsindaagiboskiero,adj m,,"1. everlasting, eternal 2. lifelong, for life"
78,alsindaagibosko,adj,,"everlasting, eternal"
79,alsindaagila,v tr,,1. perpetuate 2. immortalize
80,alsindaagimes,adv temp,,for ever
81,alsindaagino,adj m,,"everlasting, eternal"
