Index,Entry Word,Part of Speech,Affix,Definition
1,aabeesiba,n m,,aakkonen
2,aabiskiinesko vaalpi,n phr pl,,aapistikku
3,aabisliin ,n m,,aapinen
4,aabisliinesko baxno,n phr m,,aapiskukko
5,aadur,num card,,tuhat
6,aadur berexxeskiero ,adj m,,tuhatvuotinen
7,aadurtes,num mult,,tuhannesti
8,aadurtesko dielos,num ord,,tuhannesosa
9,aadurtesko drabiba,n phr m,,tuhatluku
10,aaftako ring,n phr f,,länsi (oikeastaan: illan puoli tai suunta)
11,aagavela,v tr,,"ajaa takaa, vainota"
12,aagiba,n m,,takaa-ajo
13,aagila,v tr,,"ajaa takaa, vainota"
14,aakni,n,,1. maine 2. huhu
15,aanavela,v tr,,"1. pyytää, haluta 2. ahnehtia"
16,aanela,v tr,,tuoda
17,aanela naal ,partv,,esiintuoda
18,aaniba,n m,,"1. tuonti, tuominen 2. halu 3. ahneus"
19,aaniboskero,n m,,1. tuoja 2. ahnehtija
20,aanibosko guosos,n phr m,,tuontitavara
21,aanibosko niekiba,n phr m,,tuontikielto
22,aanila,v tr,,"1. pyytää, haluta 2. ahnehtia"
23,aavakiiro,n m,,mietiskelijä
24,aavavela,v tr,,aavistaa
25,aavela,v itr,,tulla
26,aaviba,n m,,1. tulo 2. aavistus
27,aaviboskero,n m,,1. tulija 2. ennustaja
28,aavila,v tr,,aavistaa
29,aaxtiba,n m,,olo
30,aaxxela,v cop itr,,"olla, oleskella, jäädä, viipyä"
31,aaxxiba,n m,,"1. olo, vointi 2. olosuhteet"
32,aaxxibosko dujtu,n phr f,,ologuone
33,aaxxibosko maneera,n phr f,,"tapa, tottumus"
34,aaxxibosko stedos,n phr m,,olinpaikka
35,abboris,n m,,ahven
36,ablatiivos,n m,,ablatiivi
37,ada,pron dem,,tämä
38,adauva,pron dem,,tämä
39,adjektiivos,n m,,adjektiivi
40,ado,pron dem,,"se, tuo"
41,adoj,adv loc,,"siellä, siinä, sinne, siihen"
42,adouva,pron dem,,se
43,adverbiaalos,adj,,adverbiaali
44,adverbos,n m,,adverbi
45,afta,n,,"(joulu)aatto, jouluilta"
46,aftako diives,n phr m,,aattopäivä
47,aftako kvella,n phr f,,aattoilta
48,aftiba,n m,,iltamat
49,agor,n,,loppu
50,agurvela,v tr,,"loppua, kulua"
51,aha,interj,,kyllä
52,Ahvenasko phuu,n phr f,,Ahvenanmaa
53,aj,interj,,ah! oh!
54,aja,adv mod,,niin
55,ajadissi,conj,,"1. kunnes, saakka, asti 2. niin kauan kuin"
56,ajasaavo,adj indef m,,"sellainen, tällainen"
57,aka,pron dem,,tämä
58,aka diives,adv temp,,"tänä päivänä, tänään"
59,akaana,conj,,kun
60,akoori,adv loc,,tuonne
61,Alavuudaki phuu,n phr f,,Alavus
62,aldriboskiero,adj m,,"alituinen, lakkaamaton"
63,alma,n,,almu
64,almuua,n,,"väki, rahvas"
65,almuuna,n,,"väki, rahvas"
66,alsavela,v tr,,1. ehdottaa 2. aloittaa
67,alsiba,n m,,"ehdotus, aloite"
68,alsila,v tr,,1. ehdottaa 2. aloittaa
69,alsimen,adj,,ehdokas
70,alsimen,n,,ehdotettu
71,alsindaag,adv mod,,"1. ikuinen, iankaikkinen, katoamaton 2. elinkautinen 3. ikuisesti"
72,alsindaag,adj,,"1. ikuinen, iankaikkinen, katoamaton 2. elinkautinen 3. ikuisesti"
73,alsindaagakiero,adj m,,"ikuinen, iankaikkinen"
74,alsindaagako,adj m,,"ikuinen, elinikäinen, elinkautinen"
75,alsindaagavela,v tr,,ikuistaa
76,alsindaagiba,n m,,ikuisuus
77,alsindaagiboskiero,adj m,,"elinkautinen, -ikäinen"
78,alsindaagibosko,adj,,"ikuinen, iankaikkinen, elinikäinen, elinkautinen"
79,alsindaagila,v tr,,ikuistaa
80,alsindaagimes,adv temp,,ikuisesti
81,alsindaagino,adj m,,1. ikuinen 2. elinkautinen
82,altaris,n,,alttari
83,alti,adv indef,,aina
84,alunis,n,,aluna
85,amaaro,pron poss 1 sg m,,meidän
86,amboris,n,,ahven
87,ame,pron pers 1 pl,,meidän
88,amerikaano,adj m,,amerikkalainen
89,amerikaano,n m,,amerikkalainen
90,Amerikasko finitiko,n phr,,amerikansuomalainen
91,amsakiiresko sikjiba,n phr m,,kohteliaisuudenosoitus
92,amsakiiresko staaviba,n phr m,,kohteliaisuuskäynti
93,amsakiiro,adj m,,kohtelias
94,amsakires,adv mod,,kohteliaasti
95,amsavela,v tr,,kohdella
96,amsiba,n m,,kohtelu
97,amsila,v tr,,kohdella
98,andre,prep,,"sisälle, sisään"
99,angal,n,,(korva)rengas
100,angali,n,,1. syli (pituusmitta) 2. syli 3. syleily
