Index,Entry Word,Part of Speech,Affix,Definition
1,aabeesiba,n m,,bokstav
2,aabiskiinesko vaalpi,n phr pl,,sticka som använts vid inlärning  av alfabet
3,aabisliin ,n m,,abc-bok
4,aabisliinesko baxno,n phr m,,tuppen i abc-boken
5,aadur,num card,,tusen
6,aadur berexxeskiero ,adj m,,tusen  år gammal
7,aadurtes,num mult,,tusen tiden
8,aadurtesko dielos,num ord,,tusende
9,aadurtesko drabiba,n phr m,,tusental
10,aaftako ring,n phr f,,väster
11,aagavela,v tr,,jaga
12,aagiba,n m,,jatk
13,aagila,v tr,,jaga
14,aakni,n,,rykte
15,aanavela,v tr,,"1. fråga, anhålla om 2. vara glupsk"
16,aanela,v tr,,komma med
17,aanela naal ,partv,,bringa for dagen
18,aaniba,n m,,1. bringande 2. import 3. önskan 4. glupskhet
19,aaniboskero,n m,,1. hämtare 2. som snålas efter ngt
20,aanibosko guosos,n phr m,,importartikel
21,aanibosko niekiba,n phr m,,importförbud
22,aanila,v tr,,"1. fråga, anhålla om 2. vara glupsk"
23,aavakiiro,n m,,tänkare
24,aavavela,v tr,,ana
25,aavela,v itr,,komma
26,aaviba,n m,,1. komst 2. aning
27,aaviboskero,n m,,1. den som kommer 2. siare
28,aavila,v tr,,ana
29,aaxtiba,n m,,tillvaro
30,aaxxela,v cop itr,,1. bli 2. stanna
31,aaxxiba,n m,,1. tillvaro 2. befinnande 3. omständigheter
32,aaxxibosko dujtu,n phr f,,vardagsrum
33,aaxxibosko maneera,n phr f,,vana
34,aaxxibosko stedos,n phr m,,någonstans
35,abboris,n m,,abbore
36,ablatiivos,n m,,ablativ
37,ada,pron dem,,den här
38,adauva,pron dem,,den här
39,adjektiivos,n m,,adjektiv
40,ado,pron dem,,1. den 2. så pass
41,adoj,adv loc,,där
42,adouva,pron dem,,den
43,adverbiaalos,adj,,adverbial
44,adverbos,n m,,adverb
45,afta,n,,(jul)afton
46,aftako diives,n phr m,,afton
47,aftako kvella,n phr f,,afton
48,aftiba,n m,,soaré
49,agor,n,,slut
50,agurvela,v tr,,1. sluta 2. förflyta
51,aha,interj,,ja
52,Ahvenasko phuu,n phr f,,Åland
53,aj,interj,,å
54,aja,adv mod,,så
55,ajadissi,conj,,"till, så lång så"
56,ajasaavo,adj indef m,,"sådan, som det, av så pass slag"
57,aka,pron dem,,den här
58,aka diives,adv temp,,idag
59,akaana,conj,,när
60,akoori,adv loc,,där
61,Alavuudaki phuu,n phr f,,Alavus
62,aldriboskiero,adj m,,"ständig, oavbruten"
63,alma,n,,allmosa
64,almuua,n,,folk
65,almuuna,n,,folk
66,alsavela,v tr,,1. föreslå 2. börja
67,alsiba,n m,,1. förslag 2. initiativ
68,alsila,v tr,,1. föreslå 2. börja
69,alsimen,n,,kandidat
70,alsimen,adj,,kandidat
71,alsindaag,adj,,"evig, oändlig"
72,alsindaag,adv mod,,"oändlig, evig"
73,alsindaagakiero,adj m,,"oändlig, ständig"
74,alsindaagako,adj m,,"livslång, ständig, oändlig, evig"
75,alsindaagavela,v tr,,föreviga
76,alsindaagiba,n m,,evighet
77,alsindaagiboskiero,adj m,,"1. evig, oändlig 2. livslång, for livet"
78,alsindaagibosko,adj,,"evig, oändlig"
79,alsindaagila,v tr,,föreviga
80,alsindaagimes,adv temp,,evigt
81,alsindaagino,adj m,,"evig, oändlig"
82,altaris,n,,altare
83,alti,adv indef,,alltid
84,alunis,n,,alun
85,amaaro,pron poss 1 sg m,,vår
86,amboris,n,,abbore
87,ame,pron pers 1 pl,,vi
88,amerikaano,adj m,,amerikansk
89,amerikaano,n m,,amerikan
90,Amerikasko finitiko,n phr,,amerikafinne
91,amsakiiresko sikjiba,n phr m,,artighetsbevis
92,amsakiiresko staaviba,n phr m,,artighetsvisit
93,amsakiiro,adj m,,artig
94,amsakires,adv mod,,artigt
95,amsavela,v tr,,behandla
96,amsiba,n m,,behandling
97,amsila,v tr,,behandla
98,andre,prep,,"i, in i"
99,angal,n,,örhänge
100,angali,n,,1. famn 2. omfamning
101,angar,n,,kol
102,angarengero,n m,,som kolar
103,angle,adv loc,,"framför, till framsida, till framträda"
104,angle,prep,,"framför, till framsida, till framträda"
105,angle ta paale,adv loc,,fram och tillbaka
106,angliboskiero,n m,,metare
107,anglibosko čermo,n phr m,,metmaks
108,anglibosko hasda,n phr f,,flöte
109,anglibosko stedos,n phr m,,metesplats
110,Anglkaano them,n phr m,,England
111,anglo,n m,,"1. metspö, metkrok 2. örhänge"
112,anglos,n m,,örhänge
113,angluno,adj m,,"första, främst"
114,angnaal,adv temp,,"från framför, på förhand"
115,angriisto,n m,,metspö
116,angrusjakkiro,n m,,1. fästman 2. förlovad 3. ringsmed
117,angrustavela,v tr,,förlova
118,angrusti,n,,ring
119,angrusti bongiere,n phr,,förlovning
120,angrustiako kaali,n phr f,,förlovningskaffe
121,angrustiengo angrus,n phr,,förlovningsring
122,angrustiengo juula,n phr,,förlovning
123,angrustila,v tr,,förlova
124,anguš,n,,finger
125,angustrengero,n m,,tillverkare av ringar
126,angustri,n,,ring
127,anjavela,v tr,,bada i bastu
128,anjiboskero,n m,,badkvast
129,anjibosko dujtu,n phr f,,badrum
130,anjibosko gara,n phr f,,badkar
131,anjibosko khossiboskiero,n phr m,,badhanduk
132,anjila,v tr,,bada i bastu
133,anniboskero,n m,,badlkvast
134,ansixta,n,,ansikte
135,ansixtengo khossiboskiero,n phr m,,handduk
136,ansixtengo makkiba,n phr m,,ansiktskräm
137,ansixtengo paani,n phr f,,vatten för tvättning av ansiktet
138,ansixtengo sapunis,n phr m,,toaletttvål
139,ansixtengo taagiba,n phr m,,ansiktsförlamning
140,ape,prep,,"på, ovanför"
141,api,prep,,"på, ovanför"
142,apinjara,n,,apa
143,apo ,prep,,på
144,apraal,adv loc,,från över
145,apravela,v tr,,lyfta
146,apre,adv loc,,"upp, hög"
147,apreaaxxiba,n m,,Uppståndelse
148,apreaaxxibosko diives,n phr m,,dag av Uppståndelsen
149,apreaaxxibosko džiiviba,n phr m,,liv efter Uppståndelsen
150,apreaaxxibosko haaga,n phr f,,hopp om Uppståndelsen
151,apreaaxxibosko kruppos,n phr,,oändlig kropp efter Uppståndelsen
