Index,Entry Word,Part of Speech,Affix,Definition
1,abažuro,n m,"-ja, -ija/-os-",Lampenschirm
2,abortiriba,n m,-ba/-bas-,Abtreibung
3,absin,n f,-a/-a-,Stahl
4,ačavdipa,n m,-pa/-pas-,"1. Bremse 2. Unterbrechung, Pause"
5,ačavela,v tr,-ǧ-/-d-,verbannen
6,ačavutno,n m,-e/-es-,Schalter
7,ačhavela,v tr,-ǧ-/-d-,"1. löschen, abschalten 2. anhalten"
8,ačhola,v itr,-il-/-il-,bleiben
9,ačovipe,n m,-pa/-pas-,Rest
10,adaja,pron dem f,,"diese, jene"
11,adala,pron dem pl,,jene (pl.)
12,adaptiriba,n m,-ba/-bas-,Anpassung
13,adaptirinela,v tr,-ǧ-/-mo,adaptieren
14,adari,adv loc,,hier
15,adathar,adv loc,,von hier
16,adathe,adv loc,,hier
17,adava,pron dem m,,"das, dieser [«adava so phirela kheral» - Pendler]"
18,adava,pron dem f,,jene
19,adéti,n m,"-ja, -ija/-es-","Brauch, Gewohnheit"
20,adeto,n m,"-ja, -ija/-os-","Brauch, Gewohnheit"
21,adresa,n f,-e/-a-,Adresse
22,advokati,n m,"-ja, -ija/-es-",Anwalt
23,adžikerela,v itr,-ǧ-/-d-,1. warten 2. erwarten
24,adžiǩerela,v itr,-ǧ-/-d-,warten
25,adžikeriba,n m,-ba/-bas-,Erwartung
26,adžikeribaskero than,n phr m,-a/-es-,Warteraum
27,adžikerutno,adj m,,wartend
28,aerodromi,n m,"-ja, -ija/-es-",Flughafen
29,afiǩerela,v tr,-ǧ-/-d-,1. verzeihen 2. entschuldigen
30,afiniteti,n m,"-ja, -ija/-es-",Neigung
31,afioneskoro sumb,n m,"-ja, -ija/-os-",Mohnsamen
32,afioni,n m,"-ja, -ija/-es-",Mohn
33,aǧaar,adv mod,,so
34,aǧaar so,conj,,1. sodass 2. wodurch
35,agalari,n m,"-ja, -ija/-es-",vornehmer Herr
36,agaluko,n m,-ja/-os-,herrschaftliches Verhalten
37,agencija,n f,-e/-a-,Agentur
38,agonija,n f,-e/-a-,Agonie
39,agor,n m,-a/-es-,Ende
40,agor e eftadivipe,n phr m,-a/-es-,Wochenende
41,agoripa,n m,-pa/-pas-,Ejakulation
42,agoripa e studijenge,n phr m,-pa/-pas-,Studienabschluss
43,agresija,n m,,Aggression
44,ajba,n m,-ba/-bas-,Ankunft
45,ajgaar,adv mod,,so
46,ajgaara,adv mod,,so
47,ajkula,n f,-e/-a-,Hai
48,ajmalija,n f,-e/-a-,Amulett
49,akaja,pron dem f,,diese
50,akala,pron dem pl,,diese (pl.)
51,akana,adv temp,,"1. jetzt 2. sofort, unmittelbar"
52,akanutno,adj m,,gegenwärtig
53,akarela,v itr,-ǧ-/-d-,wählen (Nummer)
54,akari,adv loc,,"hier, hierher, dort"
55,akarin,n f,-a/-a-,Einladung
56,akatar,adv loc,,von hier
57,akate,adv loc,,"hier, hierher [«Akate i ov/oj/ola!» - Da ist/sind er/sie!]"
58,akava,pron dem m,,dieser
59,akcija,n f,-e/-a-,Aktie (Börse)
60,akcija,n f,-e/-a-,"Aktion, Handlung"
61,ake,adv,,1. hier 2. schon
62,akharela,v tr,-ǧ-/-d-,"1. rufen, nennen 2. anfeuern"
63,akhariba,n m,-ba/-bas-,Herausforderung
64,akharipe,n m,-pa/-pas-,Verlangen
65,akhor,n m,-a/-es-,Nuss
66,akhoresoro,adj m,,Nuss-
67,akhoresro kaš,n phr m,,Nussbaum
68,akor,n m,-a/-es-,Nussbaum
69,akošela,v itr,-t-/-t-,schwören
70,akošibe,n m,-ba/-bas-,"1. Fluchwort 2. Konflikt, Streit"
71,akšami,n m,"-ja, -ija/-es-",Abend
72,akterka,n f,-e/-a-,Gummi [«akterka kosibaske» - Radiergummi]
73,akti,n m,"-ja, -ija/-es-",Tat
74,aktiviba,n m,,Aktivität
75,aktivnikano,adj m,,interaktiv
76,aktivnikano,n m,-e/-es-,Aktivität
77,aktivno,adj,,aktiv
78,akušela,v tr/itr,-l-/-l-,"1. schimpfen, streiten 2. beschimpfen"
79,alarmirinela,v tr,-ǧ-/-mo,alarmieren
80,alergija,n f,-e/-a-,Allergie
81,alergikano,adj m,,allergisch
82,alimentacija,n f,-e/-a-,Alimente
83,alka,n m,-e/-a-,Armband
84,alkoholi,n m,"-ja, -ija/-es-",Alkohol
85,alusaribe,n m,-ba/-bas-,Wahl
86,alusarin,n f,-a/-a-,Auswahl
87,alva,n f,-e/-a-,Halva (Süßspeise)
88,ama,conj,,aber
89,amal,n m,-a/-es-,1. Freund 2. Kamerad 3. Partner
90,amalin,n f,-a/-a-,Freundin
91,amalipe,n m,-pa/-pas-,1. Freundschaft 2. Gesellschaft 3. Partnerschaft
92,amalkeriba,n m,-ba/-bas-,Verabredung
93,amaro,pron poss 1 sg m,,unser
94,ambiciozno,adj,,ehrgeizig
95,amblemi kerela,v phr itr,-ǧ-/-d-,ein Zeichen sein für
96,ambrela,n f,-e/-a-,Regenschirm
97,ambrol,n f,-a/-a-,Birne
98,ambrolin,n f,-a/-a-,Birnbaum
99,ambulanta,n f,-e/-a-,"Ambulanz, Rettung"
100,amen,pron pers 1 pl,,wir
101,amuni,n m,"-ja, -ija/-es-",Amboss
102,aňa,n f,-e/-a-,Spiegel
103,analiza,n f,-e/-a-,Analyse
104,analizirinela,v tr,-ǧ-/-mo,analysieren
105,ananaso,n m,-e/-es-,Ananas
106,anav,n m,-a/-es-,"1. Name [«anglal o anav» - Motto, Slogan] 2. Nachname"
107,anavkeriba,n m,-ba/-bas-,Verabredung
108,ando,prep,,in
109,andoleba,n m,-ba/-bas-,Viehbestand
110,andolela,prefv tr,-ǧ-/-d-,bekommen
111,andral,adv loc,,1. innen 2. von innen
112,andre,adv loc,,"innen, hinein [«andre ko» - innerhalb, in]"
113,andrunipe,n m,-pa/-pas-,"das Innere, Intereur"
114,anela,v tr,-ǧ-/-d-,"tragen, bringen"
115,anestezija,n f,-e/-a-,Anästhesie
116,angali,n m,"-ja, -ija/-es-",1. Schoß 2. Umarmung
117,angar,n m,-a/-es-,1. Kohle 2. Glut
118,angarno,adj m,,Kohlen-
