Index,Entry Word,Part of Speech,Affix,Definition
1,abažuro,n m,"-ja, -ija/-os-",lampshade
2,abortiriba,n m,-ba/-bas-,abortion
3,absin,n f,-a/-a-,steel
4,ačavdipa,n m,-pa/-pas-,"1. brake 2. break, pause, interruption"
5,ačavela,v tr,-ǧ-/-d-,"abandon, forsake"
6,ačavutno,n m,-e/-es-,switcher
7,ačhavela,v tr,-ǧ-/-d-,1. switch off 2. stop
8,ačhola,v itr,-il-/-il-,stay
9,ačovipe,n m,-pa/-pas-,"rest, remainder"
10,adaja,pron dem f,,"this (f.), that (f.)"
11,adala,pron dem pl,,those
12,adaptiriba,n m,-ba/-bas-,adjustment
13,adaptirinela,v tr,-ǧ-/-mo,adapt
14,adari,adv loc,,here
15,adathar,adv loc,,from here
16,adathe,adv loc,,here
17,adava,pron dem m,,"this (m.), that (m.) [«adava so phirela kheral» - commuter]"
18,adava,pron dem f,,that (f.)
19,adéti,n m,"-ja, -ija/-es-","custom, tradition"
20,adeto,n m,"-ja, -ija/-os-","use, habit, usage"
21,adresa,n f,-e/-a-,address
22,advokati,n m,"-ja, -ija/-es-","lawyer, attorney"
23,adžikerela,v itr,-ǧ-/-d-,"1. wait 2. require, expect"
24,adžiǩerela,v itr,-ǧ-/-d-,wait
25,adžikeriba,n m,-ba/-bas-,"expectation, anticipation"
26,adžikeribaskero than,n phr m,-a/-es-,waiting room
27,adžikerutno,adj m,,waiting
28,aerodromi,n m,"-ja, -ija/-es-",airport
29,afiǩerela,v tr,-ǧ-/-d-,1. forgive 2. apologise
30,afiniteti,n m,"-ja, -ija/-es-",affinity
31,afioneskoro sumb,n m,"-ja, -ija/-os-",poppyseed
32,afioni,n m,"-ja, -ija/-es-",poppy
33,aǧaar,adv mod,,"so, this way"
34,aǧaar so,conj,,"1. so that 2. thereby, thus"
35,agalari,n m,"-ja, -ija/-es-",noble man
36,agaluko,n m,-ja/-os-,noble behaviour
37,agencija,n f,-e/-a-,agency
38,agonija,n f,-e/-a-,agony
39,agor,n m,-a/-es-,end
40,agor e eftadivipe,n phr m,-a/-es-,weekend
41,agoripa,n m,-pa/-pas-,ejaculation
42,agoripa e studijenge,n phr m,-pa/-pas-,degree
43,agresija,n m,,aggression
44,ajba,n m,-ba/-bas-,arrival
45,ajgaar,adv mod,,so
46,ajgaara,adv mod,,so
47,ajkula,n f,-e/-a-,shark
48,ajmalija,n f,-e/-a-,amulet
49,akaja,pron dem f,,this
50,akala,pron dem pl,,these
51,akana,adv temp,,1. now 2. immediately
52,akanutno,adj m,,current
53,akarela,v itr,-ǧ-/-d-,dial a number
54,akari,adv loc,,"here, there"
55,akarin,n f,-a/-a-,invitation
56,akatar,adv loc,,from here
57,akate,adv loc,,here [«Akate i ov/oj/ola!» - There he/she/they is/are!]
58,akava,pron dem m,,this
59,akcija,n f,-e/-a-,"stock, shares"
60,akcija,n f,-e/-a-,action
61,ake,adv,,1. here 2. already
62,akharela,v tr,-ǧ-/-d-,"1. call, name 2. urge, cheer"
63,akhariba,n m,-ba/-bas-,challenge
64,akharipe,n m,-pa/-pas-,urge
65,akhor,n m,-a/-es-,"nut, walnut"
