Index,Entry Word,Part of Speech,Affix,Definition
1,abažuro,n m,"-ja, -ija/-os-",абажур
2,abortiriba,n m,-ba/-bas-,абортус
3,absin,n f,-a/-a-,челик
4,ačavdipa,n m,-pa/-pas-,"1. кочница 2. прекинување, пауза, одмор"
5,ačavela,v tr,-ǧ-/-d-,напушта
6,ačavutno,n m,-e/-es-,прекинувач
7,ačhavela,v tr,-ǧ-/-d-,"1. гаси, исклучува 2. запрува"
8,ačhola,v itr,-il-/-il-,останува
9,ačovipe,n m,-pa/-pas-,остаток
10,adaja,pron dem f,,"таа, оваа"
11,adala,pron dem pl,,тие
12,adaptiriba,n m,-ba/-bas-,прилагодување
13,adaptirinela,v tr,-ǧ-/-mo,адаптира
14,adari,adv loc,,таму
15,adathar,adv loc,,од таму
16,adathe,adv loc,,таму
17,adava,pron dem m,,тоа [«adava so phirela kheral» - патнички]
18,adava,pron dem f,,тоа
19,adéti,n m,"-ja, -ija/-es-","адет, навика"
20,adeto,n m,"-ja, -ija/-os-",обичај
21,adresa,n f,-e/-a-,адреса
22,advokati,n m,"-ja, -ija/-es-",адвокат
23,adžikerela,v itr,-ǧ-/-d-,1. чека 2. побарува
24,adžiǩerela,v itr,-ǧ-/-d-,чека
25,adžikeriba,n m,-ba/-bas-,очекување
26,adžikeribaskero than,n phr m,-a/-es-,чекална
27,adžikerutno,adj m,,чекајќи
28,aerodromi,n m,"-ja, -ija/-es-",аеродром
29,afiǩerela,v tr,-ǧ-/-d-,1. простува 2. извинува
30,afiniteti,n m,"-ja, -ija/-es-",афинитет
31,afioneskoro sumb,n m,"-ja, -ija/-os-",семе од афион
32,afioni,n m,"-ja, -ija/-es-",маак
33,aǧaar,adv mod,,така
34,aǧaar so,conj,,1. да би 2. така што
35,agalari,n m,"-ja, -ija/-es-","благородник, аристократ"
36,agaluko,n m,-ja/-os-,благородно држење
37,agencija,n f,-e/-a-,агенција
38,agonija,n f,-e/-a-,агонија
39,agor,n m,-a/-es-,крај
40,agor e eftadivipe,n phr m,-a/-es-,викенд
41,agoripa,n m,-pa/-pas-,еакулација
42,agoripa e studijenge,n phr m,-pa/-pas-,научен степен
43,agresija,n m,,агресија
44,ajba,n m,-ba/-bas-,пристигнување
45,ajgaar,adv mod,,така
46,ajgaara,adv mod,,така
47,ajkula,n f,-e/-a-,ајкула
48,ajmalija,n f,-e/-a-,амајлија
49,akaja,pron dem f,,оваа
50,akala,pron dem pl,,овие
51,akana,adv temp,,1. сега 2. веднаш
52,akanutno,adj m,,"сегашно, сегашен"
53,akarela,v itr,-ǧ-/-d-,јавува
54,akari,adv loc,,"ваму, овде"
55,akarin,n f,-a/-a-,покана
56,akatar,adv loc,,оттука
57,akate,adv loc,,"тука [«Akate i ov/oj/ola!» - Ене го/ја/ги!, Ете го/ја/ги!]"
58,akava,pron dem m,,овој
59,akcija,n f,-e/-a-,акција
60,akcija,n f,-e/-a-,акција (на берза)
61,ake,adv,,1. еве 2. веќе
62,akharela,v tr,-ǧ-/-d-,"1. повикува 2. наговара, инспирира"
63,akhariba,n m,-ba/-bas-,предизвик
64,akharipe,n m,-pa/-pas-,потреба
65,akhor,n m,-a/-es-,орев
66,akhoresoro,adj m,,оревово
67,akhoresro kaš,n phr m,,Оревоводрво
68,akor,n m,-a/-es-,орев
69,akošela,v itr,-t-/-t-,колне
70,akošibe,n m,-ba/-bas-,"1. пцовка, пцуење 2. расправија, спор"
71,akšami,n m,"-ja, -ija/-es-",вечеp
72,akterka,n f,-e/-a-,гума [«akterka kosibaske» - гума за бришење]
73,akti,n m,"-ja, -ija/-es-",акт
74,aktiviba,n m,,активност
75,aktivnikano,adj m,,интерактивен
76,aktivnikano,n m,-e/-es-,активност
77,aktivno,adj,,активно
78,akušela,v tr/itr,-l-/-l-,"1. пцује, се кара 2. злоупотребува, се дере"
79,alarmirinela,v tr,-ǧ-/-mo,алармира
80,alergija,n f,-e/-a-,алергија
81,alergikano,adj m,,алергичен
82,alimentacija,n f,-e/-a-,алиментација
83,alka,n m,-e/-a-,брезлетна
84,alkoholi,n m,"-ja, -ija/-es-",алкохол
