Index,Entry Word,Part of Speech,Affix,Definition
1,"a..., a...",conj,,ob…oder ob
2,ača,prep,,"wegen, aufgrund"
3,ačavla,v tr,-dž-/-d-,"1. hinterlassen 2. aufhalten, anhalten 3. löschen (Feuer)"
4,ačhal,prep,,1. für 2. wegen
5,ačhavdzola,v itr,-j-/-il-,"1. aufgehalten werden 2. ausgehen, verlöschen"
6,ačhavla,v tr,-dž-/-d-,"1. hinterlassen 2. aufhalten, aufhören machen, jem. anhalten 3. löschen (Feuer) 4. hindern 5. ablassen"
7,ačhjola,v itr,-j-/-il-,1. bleiben 2. werden 3. schweigen
8,ačhola,v itr,-j-/-il-,1. bleiben 2. werden 3. schweigen
9,ačojbe,n m,—/-as-,"Anhaltung, Haft"
10,ačola,v itr,-j-/-il-,1. bleiben 2. werden 3. schweigen 4. sich aufhalten
11,adariga,adv loc,,1. hier (von Kindern oder scherzhaft gebrauchte Form) 2. hierher
12,adeci,n m,-ja/-es-,"Sitte, Gewohnheit"
13,adresa,n f,-es/-a-,Adresse
14,advokaci,n m,-a/-es-,Anwalt
15,advokati,n m,-ja/-jes-,Rechtsanwalt
16,adža,adv,,noch
17,adžaribe,n m,—/-as-,Erwartung
18,adžarla,v tr,-dž-/-d-,1. warten 2. erwarten 3. empfangen
19,adžiǩerla,v itr,-dž-/-d-,warten
20,afioneskoro čakrdako,n m,"-ja, -ija/-os-",Mohnsamen
21,ahajela,v itr,-∅-/-nil-,1. verstehen 2. sich fühlen [«Sar ahajasa tut?» - Wie fühlst du dich?]
22,ahajela pe,v phr itr,-∅-/-nil-,"übereinkommen, zustimmen, sich einverstanden erklären"
23,ahajipe,n m,—/-as-,"Einverständnis, Einigung"
24,ahajola,v itr,-j-/-il-,erkennen
25,ahajpe,n m,—/-as-,"Einverständnis, Einigung"
26,ahajzla,v itr,-∅-/-d-,1. verstehen 2. fühlen
27,ahari,n m,-ja/-jes-,Stall
28,ahmimo,adj m,,gemischt
29,ahmizla,v itr,-∅-/-d-,"1. stören, sich einmischen 2. sich auflösen"
30,ahri,n m,-ja/-jes-,Stall
31,aindž,n f,-a/-a-,Feld
32,ajkula,n f,-e/-a-,Hai
33,akaja,pron dem f,,diese
34,akala,pron dem pl,,diese
35,akana,adv temp,,"1. jetzt 2. gerade, eben 3. sofort"
36,akanake,adv temp,,jetzt (bei einem Sprecher)
37,akanarla,adv temp,,von jetzt an
38,akanaske,adv temp,,jetzt (bei einem Sprecher)
39,akanutno,adj m,,kurz zurückliegend
40,akarig,adv loc,,hierher
41,akariga,adv loc,,hierher
42,akaringa,adv loc,,hierher
43,akatar,prep,,entlang
