Index,Entry Word,Part of Speech,Affix,Definition
1,"a..., a...",conj,,if…or if
2,ača,prep,,"because of, due to"
3,ačavla,v tr,-dž-/-d-,"1. leave behind 2. hold up, stop so. 3. extinguish (fire)"
4,ačhal,prep,,"1. for 2. because of, due to"
5,ačhavdzola,v itr,-j-/-il-,"1. be held up, be stopped 2. go out (light, fire)"
6,ačhavla,v tr,-dž-/-d-,"1. leave behind 2. hold up, stop so. 3. extinguish (fire) 4. block, obstruct, hinder, stymie 5. withdraw, take out"
7,ačhjola,v itr,-j-/-il-,1. stay 2. become 3. be silent
8,ačhola,v itr,-j-/-il-,1. stay 2. become 3. be silent
9,ačojbe,n m,—/-as-,"custody, detention, detainment, hold"
10,ačola,v itr,-j-/-il-,1. stay 2. become 3. be silent 4. stop os.
11,adariga,adv loc,,"1. here (expression used by children) 2. here to, hither"
12,adeci,n m,-ja/-es-,"custom, habit"
13,adresa,n f,-es/-a-,address
14,advokaci,n m,-a/-es-,"lawyer, attorney"
15,advokati,n m,-ja/-jes-,lawyer
16,adža,adv,,"still, yet"
17,adžaribe,n m,—/-as-,"expectation, anticipation"
18,adžarla,v tr,-dž-/-d-,1. wait 2. expect 3. welcome so.
19,adžiǩerla,v itr,-dž-/-d-,wait
20,afioneskoro čakrdako,n m,"-ja, -ija/-os-",poppyseed
21,ahajela,v itr,-∅-/-nil-,1. understand 2. feel [«Sar ahajasa tut?» - How do you feel?]
22,ahajela pe,v phr itr,-∅-/-nil-,agree
23,ahajipe,n m,—/-as-,agreement
24,ahajola,v itr,-j-/-il-,"realize, recognize"
25,ahajpe,n m,—/-as-,agreement
26,ahajzla,v itr,-∅-/-d-,1. understand 2. feel
27,ahari,n m,-ja/-jes-,stable
28,ahmimo,adj m,,mixed
29,ahmizla,v itr,-∅-/-d-,"1. disturb, interrupt, interfere 2. dissolve"
30,ahri,n m,-ja/-jes-,stable
31,aindž,n f,-a/-a-,field
32,ajkula,n f,-e/-a-,shark
33,akaja,pron dem f,,this
34,akala,pron dem pl,,these
35,akana,adv temp,,1. now 2. just 3. immediately
36,akanake,adv temp,,now
37,akanarla,adv temp,,from now on
38,akanaske,adv temp,,now
39,akanutno,adj m,,recent
40,akarig,adv loc,,"here, here to, hither"
41,akariga,adv loc,,"here, here to, hither"
42,akaringa,adv loc,,"here, here to, hither"
43,akatar,prep,,along
44,akatar,adv loc,,this way
45,akava,pron dem m,,this
46,akava nilaj,adv temp,,this summer
47,akcija,n f,-es/-a-,"1. action 2. stock, shares"
48,ake,adv,,already
49,ake,interj,,there is
50,akhardipe,n m,—/-as-,reception
51,akharla,v tr,-dž-/-d-,dial a number
52,akhor,n m,-a/-es-,"nut, walnut"
53,ako,part quot,,"1. for my sake, for my part 2. why not?"
54,ako,conj,,in case
55,akor,n m,-a/-es-,"nut, walnut"
56,akorengero kaš,n phr m,-a/-es-,"nut tree, walnut tree"
57,akoreskoro,adj m,,"nut-, walnut- [«akorengero kaš» - nut tree, walnut tree]"
58,akšameskoro,adv temp,,in the evening [«avzijes akšameskoro» - tonight]
59,akšami,n m,-ja/-jes-,evening
60,akteri,n m,-ja/-es-,actor
61,akterka,n f,-e/-a-,actress
62,aktivnost,n,,activity
63,alaci,n m,-ja/-es-,tool
64,Alah,n m,—/-es-,Allah
65,alati,n m,-ja/-jes-,tool
66,alav,n m,-a/-es-,1. name [«čil o alav» - to name] 2. surname
67,ale,interj,,Here you are!
68,alergisano,adj m,,allergic
69,ali,conj,,but
70,alosaripa,n m,—/-as-,"taste, preference"
71,alosaripe,n m,—/-as-,"selection, excerpt"
72,altija,n f,-es/-a-,"gun, pistol"
73,alusaribe,n m,—/-as-,"election, vote"
74,ama,conj,,but
75,amajn,n f,-a/-ja-,friend
76,amal,n m,-a/-es-,"friend, comrade [«ovel amal» - to become friends with so.]"
77,amalikano,adj m,,mutual
78,amalin,n f,-a/-ja-,friend
79,amalipe,n m,—/-as-,1. friendship 2. companionship [«kerla amalipe» - to accompany so.] 3. partnership
80,amaneci,n m,-ja/-es-,"1. pawn, deposit [«dela amaneci» - to entrust so. with sth., to order sth.] 2. present"
81,amaro,pron poss 3 sg m,,our
82,ambari,n m,-ja/-is-,barn
83,ambrol,n f,-a/-a-,pear
84,ambrolakoro kaš,n phr m,,pea tree
85,ambulantno vordon,n phr m,-ja/-es-,ambulance
86,amen,pron pers 1 pl,,we
87,amnioni,n m,-ja/-es-,amniotic sac
88,amrol,n f,-a/-a-,pear
89,amuni,n m,-ja/-jes-,anvil
90,an,prep,,"1. in, inside, within 2. into (directional)"
91,anaglal,adv loc,,"forward, ahead"
92,ananas,n m,-ja/-es-,pineapple
