Index,Entry Word,Part of Speech,Affix,Definition
1,"a..., a...",conj,,дали
2,ača,prep,,заради
3,ačavla,v tr,-dž-/-d-,"1. остава, заборава 2. задржува, спречува 3. изгасува"
4,ačhal,prep,,1. за 2. поради
5,ačhavdzola,v itr,-j-/-il-,1. е спречен 2. се изгаснува
6,ačhavla,v tr,-dž-/-d-,"1. остава, заборава 2. задржува, спречува 3. изгасува 4. блокира, попречува 5. исклучува, повлекува"
7,ačhjola,v itr,-j-/-il-,1. останува 2. станува 3. ќути
8,ačhola,v itr,-j-/-il-,1. останува 2. станува 3. ќути
9,ačojbe,n m,—/-as-,засржување во притвор
10,ačola,v itr,-j-/-il-,"1. останува 2. станува 3. ќути 4. се спречува, се задржува"
11,adariga,adv loc,,"1. овде, тука, ваму 2. наваму"
12,adeci,n m,-ja/-es-,"традиција, навика"
13,adresa,n f,-es/-a-,адреса
14,advokaci,n m,-a/-es-,адвокат
15,advokati,n m,-ja/-jes-,адвокат
16,adža,adv,,уште
17,adžaribe,n m,—/-as-,"очекување, исчекување"
18,adžarla,v tr,-dž-/-d-,1. чека 2. очекува 3. дочекува
19,adžiǩerla,v itr,-dž-/-d-,чека
20,afioneskoro čakrdako,n m,"-ja, -ija/-os-",афионово семе
21,ahajela,v itr,-∅-/-nil-,1. разбира 2. се чувствува [«Sar ahajasa tut?» - Како си?]
22,ahajela pe,v phr itr,-∅-/-nil-,се согласува
23,ahajipe,n m,—/-as-,сложување
24,ahajola,v itr,-j-/-il-,"реализира, признава, препознава"
25,ahajpe,n m,—/-as-,сложување
26,ahajzla,v itr,-∅-/-d-,1. разбира 2. се чувствува
27,ahari,n m,-ja/-jes-,штала
28,ahmimo,adj m,,мешан
29,ahmizla,v itr,-∅-/-d-,"1. пречи, се меша 2. раствори"
30,ahri,n m,-ja/-jes-,штала
31,aindž,n f,-a/-a-,"поле, нива"
32,ajkula,n f,-e/-a-,ајкула
33,akaja,pron dem f,,оваа
34,akala,pron dem pl,,овие
35,akana,adv temp,,1. сега 2. пред малку 3. веднаш
36,akanake,adv temp,,сега
37,akanarla,adv temp,,од сега
38,akanaske,adv temp,,сега
39,akanutno,adj m,,сегашен
40,akarig,adv loc,,наваму
41,akariga,adv loc,,наваму
42,akaringa,adv loc,,наваму
43,akatar,prep,,"покрај, вдолж"
44,akatar,adv loc,,"наваму, во овој правец"
45,akava,pron dem m,,овој
46,akava nilaj,adv temp,,ова лето
47,akcija,n f,-es/-a-,"1. делување, дејствување 2. акции"
48,ake,adv,,веќе
49,ake,interj,,еве
50,akhardipe,n m,—/-as-,прием
51,akharla,v tr,-dž-/-d-,врти на телефон
52,akhor,n m,-a/-es-,орев
53,ako,conj,,ако
54,ako,part quot,,зошто да не
55,akor,n m,-a/-es-,орев
56,akorengero kaš,n phr m,-a/-es-,оревово дрво
57,akoreskoro,adj m,,оревов [«akorengero kaš» - оревово дрво]
58,akšameskoro,adv temp,,вечерва [«avzijes akšameskoro» - вечерва (денес)]
59,akšami,n m,-ja/-jes-,вечер
60,akteri,n m,-ja/-es-,актер
61,akterka,n f,-e/-a-,актерка
62,aktivnost,n,,активност
63,alaci,n m,-ja/-es-,алат
64,Alah,n m,—/-es-,Алах
65,alati,n m,-ja/-jes-,алат
66,alav,n m,-a/-es-,1. име [«čil o alav» - му давам име] 2. презиме
67,ale,interj,,еве земи
68,alergisano,adj m,,алергичен
69,ali,conj,,ама
70,alosaripa,n m,—/-as-,"вкус, пристрасност"
71,alosaripe,n m,—/-as-,"селекција, избор"
72,altija,n f,-es/-a-,пиштол
73,alusaribe,n m,—/-as-,"избори, гласање"
74,ama,conj,,ама
75,amajn,n f,-a/-ja-,другарка
76,amal,n m,-a/-es-,"другар, камарад [«ovel amal» - се спријателува]"
77,amalikano,adj m,,заеднички
78,amalin,n f,-a/-ja-,другарка
79,amalipe,n m,—/-as-,1. придружба 2. другарство [«kerla amalipe» - правам друштво] 3. партнерство
80,amaneci,n m,-ja/-es-,"1. залог, зачувување [«dela amaneci» - доверување, давање аманет] 2. подарок"
81,amaro,pron poss 3 sg m,,наш
82,ambari,n m,-ja/-is-,амбар
83,ambrol,n f,-a/-a-,крушка
84,ambrolakoro kaš,n phr m,,крушкино дрво
85,ambulantno vordon,n phr m,-ja/-es-,амбулантно возило
86,amen,pron pers 1 pl,,ние
87,amnioni,n m,-ja/-es-,амнион
88,amrol,n f,-a/-a-,крушка
89,amuni,n m,-ja/-jes-,ковано
90,an,prep,,"во, внатре"
91,anaglal,adv loc,,напред
92,ananas,n m,-ja/-es-,ананас
93,andar,prep,,1. од (локално) 2. низ [«džava andar o gav» - одам низ селото]
94,andaripe,n m,—/-as-,прилагодба
95,andihramozla,v tr,-∅-/—,потпишува
96,ando,prep,,во
97,ando linea,adj,,онлајн
98,andr,prep,,1. од (локално) 2. низ [«džava andar o gav» - одам низ селото]
99,andral,adv loc,,од внатре
100,andraldan,adv loc,,одвнатре
101,andre,adv loc,,внатре [«čhil pe andre» - влегува внатре]
102,andre ko,prep,,внатре во
103,andruno,adj m,,внатрешно
104,andzarla,v tr,,"дотера, средува"
105,angar,n m,-a/-es-,јаглен
106,angaralo,adj m,,јагленов
107,angeli,n m,-ja/-is-,анѓел
108,angl,prep,,1. (ис)пред [«angl o vudar» - пред вратата] 2. пред (темпорално) 3. преку (нпр. преку река)
109,anglal,adv temp,,"пред, порано"
110,anglal,prep,,1. (ис)пред 2. пред (темпорално) 3. преку (нпр. преку река)
111,anglal,adv loc,,1. в предната страна 2. напред 3. надвор
112,anglaldan,adv loc,,однапред
113,anglalvakeribe,n m,—/-as-,"вовед, презентација"
114,angle,adv temp,,"пред, порано"
115,angleder,adv loc,,напред
116,angleder,adv temp,,претходно
117,angleder,prep,,пред
118,angleder,conj,,пред да
119,angleder but vakci,adv temp,,пред многу време
120,angleder o paluno berš,adv temp,,пред минатата година
121,angleder pocinibe,n phr m,—/-as-,"влог, депозит"
122,angli jak lino,adj m,,внимателен
123,anglo nilaj,adv temp,,на пролет
124,angluni rig,n phr f,-a/-a-,предна страна
125,angluno,adj m,,1. преден 2. поранешен
126,anglutikano,adj m,,прогресивен
127,anglutno,n m,-e/-es-,водство
128,angruci,n f,-a/-a-,прстен
129,angrusci,n f,-ja/-es-,прстен
130,anla,v tr,-dž-/-d-,"1. носи, донесе 2. предаде, испрати"
131,antisemitizmo,n m,—/-os-,антисемитизам
132,apacaibe,n m,—/-as-,1. суеверие 2. верување
133,apacarla,v tr,-dž-/-d-,"признава, акредитира"
134,apcin,n m,-∅/-es-,челик
135,april,n m,,април
136,aprilo,n m,—/-os-,април
137,apsolutno,adj,,апсулутно
138,apsolutno,adv mod,,апсолутно
139,apsolvenci,n m,-ja/-es-,дипломец
140,apteka,n f,-e/-a-,аптека
