Index,Entry Word,Part of Speech,Affix,Definition
1,aba,part,,emphatic particle
2,abaj,n f,-ja/-ja,eldest sister-in-law
3,aborkha,adj indef,,"so much, so many"
4,aborkhisa,adj indef,,"so much, so many (dim.)"
5,aborkhorisa,adj indef,,"so much, so many (dim.)"
6,abralderdijel,v tr,-ď/-îmê,scare
7,abraldijel,v itr,-ď/-îmê,be frightened
8,ačhavel,v tr,-ď/-d,make sb. leave
9,aćhol,v itr,-iľ/—,stay
10,ada,pron dem m,,that one
11,adadijel,v tr,-ď/-îmê,promise
12,adaŕaing,adv loc,,from that side
13,adaŕainga,adv loc,,from that side
14,adarin,adv loc,,to that side
15,adarina,adv loc,,to that side
16,adaring,adv loc,,to that side
17,adaringa,adv loc,,at that side
18,adasavko,adj indef,,like this
19,adava,pron dem m,,that one
20,adavkha,pron dem,,that one here
21,aďeti,n m,-ja/-es,temper
22,afrondijel,v itr,-ď/-îmê,recover
23,agural,adv loc,,around
24,agural,prep,,around
25,agurutno,adj m,,neighbouring
26,aj,conj,,but
27,aj,interj,,ouch
28,aj,part,,"and, but"
29,ajaderdijel,v tr,-ď/-îmê,make sb. feel sorry
30,ajadijel,v tr,-ď/-îmê,feel sorry
31,ajakha,adv mod,,so
32,ajinderdijel,v tr,-ď/-îmê,sober sb.
33,ajindijel,v itr,-ď/-îmê,sober up
34,ajinîki,adj,,sober
35,ajmilaj,adv temp,,this summer
36,ajŕani,n m,-ês/-es,sour clotted milk
37,ajŕat,adv temp,,this night
38,ajvên,adv temp,,this winter
39,ajxîri,n m,-ja/-es,stallion
40,aka,pron dem m,,this one
41,akajakha,adj indef,,like this here
42,akana,adv temp,,now
43,akankha,adv temp,,now
44,akaŕaina,adv loc,,from this side
45,akaŕainga,adv loc,,from this side
46,akarin,adv loc,,to this side
47,akaring,adv loc,,to this side
48,akaringa,adv loc,,to this side
49,akasavko,adj indef,,like this
50,akava,pron dem m,,this one
51,akavkha,pron dem,,this one here
52,akê,part,,"here, there"
53,akê,interj,,here it is
54,akhor,n m,-ês/-a,walnut
55,akhorin,n f,-a/-ês,tree of walnut
56,akšamda,adv temp,,in the evening
57,akšami,n m,-ja/-es,evening
58,akšamxairuson,interj,,good evening
59,alaji,pron indef,,everything
60,alas,adj m,,multicoloured (colour of horses)
61,alati,n m,-ja/-es,stature
62,alavďarel,v tr,-ď/-d,make sb. burn sth.
63,alavel,v tr,-ď/-d,kindle sth.
64,Alax,n m,,Allah
65,Alaxi,n m,,Allah
66,alčaki,adj,,"not good, worthless (about a person)"
67,alê,part,,"here it is, take that"
68,aľol,v itr,-iľ/—,"1. must, have to 2. belong to (kinship, e.g. belong to a family)"
69,ama,part,,"well, look"
70,ama,interj,,"well, here it is"
71,amal,n m,-ês/-a,friend
72,amalinka,n f,-ês/-as,friend (female)
73,amalipe,n m,-imatês/-os,friendship
74,amaro,pron poss 1 sg m,,our
75,ame,pron pers 1 pl,,we
76,amoni,n m,-ja/-es,anvil
77,an,prep,,in
78,anav,n m,-ês/-a,name
79,anav anaveste,adv phr mod,,name by name
80,andar,prep,,"from, because of, via"
81,andar,adv loc,,from inside
82,anďarel,v tr,-ď/-d,make sb. bring sth.
83,ande,adv loc,,inside
84,ande,prep,,in
85,ande inati,adv phr mod,,by principle
86,anderdijel,v tr,-ď/-îmê,make sb. remember sth.
87,andijel,v tr,-ď/-îmê,recollect
88,anel,v tr,-ď/-d,bring sth.
89,angal,adv loc,,from the front
90,angal,prep,,in front of
91,angali,n f,-ja/-ja,armful
92,angaluno,adj m,,front
93,angar,n m,-ês/-a,piece of coal
94,angaruno,adj m,,coal
95,angle,adv loc,,ahead
96,angrusti,n f,-ja/-ja,ring (jewelery)
97,ankha,adv temp,,now
98,apasizdan,adv mod,,suddenly
99,apuvi,n m,-ja/-es,"pardon, forgiveness"
100,aradijel,v itr,-ď/-îmê,be fit
101,arakhel,v tr,-ď/-d,find
102,arakhľol,v itr,-iľ/—,1. be situated 2. be born
103,aravďol,v tr,-iľ/—,"deteriorate, become worse"
104,aravel,v tr,-ď/-d,1. exchange (money) 2. deprive of virginity 3. spoil 4. bring down (a tent)
105,arîkladijel,v tr,-ď/-îmê,exhaust sb.
106,arman,n f,-ja/-ja,"damnation, imprecation"
107,armandindo,adj pp m,,damned
108,artîki,adj,,the best
109,artîki,adv mod,,better
110,asal,v itr,-ľ/-l,laugh
111,asape,n m,-atês/-as,laugh
112,asavkerel,v tr,-îm/-îmê,make sb. laugh
113,asavkerno,adj m,,funny
114,asavko,adj indef,,such
115,askeŕa,n pl,,"1. soldiers, troop 2. crowd"
116,askeri,adj indef,,numerous
117,askeri,n m,-ja/-es,soldier
118,ašlanderdijel,v tr,-ď/-îmê,make sb. arrange matters
119,ašlandijel,v tr,-ď/-îmê,"arrange matters, make arrangemnts"
120,aslîja,n f,-a/-ês,"old affair, old event"
121,aslîten,adv temp,,"all the time, constantly"
122,astarďarel,v tr,-ď/-d,make sb. hold on
123,astarďol,v itr,-iľ/—,hold on
124,astarel,v tr,-ď/-d,"1. detain, hold 2. hire"
125,aťal,adv mod,,so
126,athar,adv loc,,from here
127,athe,adv loc,,here
128,athkha,adv loc,,this is here
129,athkhar,adv loc,,this is from here
130,athkharutno,adj m,,"local, of this place"
131,atlîs,adv loc,,astride
132,atlîs,adj pp m,,riding
133,avdes,adv temp,,today
134,avdesutno,adj m,,"today 's, contemporary"
135,avdželîki,n m,-ja/-es,game animal
136,avel,v itr,-ď/-d,come
137,aver,adj indef,,another
138,avgos,adv temp,,"earlier, before"
139,avgutnes,adv mod,,in an antiquated way
140,avgutno,adj m,,"ancient, old"
141,avi,n m,-ja/-es,fly (of trousers)
142,avŕal,adv loc,,outside
143,avri,adv loc,,outside
144,avśalo,adj m,,tearful
145,avśaskerel,v tr,-ď/-d,make sb. cry
146,avśazel,v itr,-ď/-d,water (about eyes)
147,avsi,n f,-ja/-ja,tear
148,axčas,n m,-adês/-as,money
149,axerzamani,n m,-ja/-es,1. time of misfortune and unhappiness 2. natural calamity
150,axtardijel,v tr,-ď/-îmê,"1. turn over 2. stir up, turn up"
151,azbari,n m,-ja/-es,farmstead
152,aždaxas,n m,-adês/-as,winged serpent (fairy-tale character)
153,ba,part,,emphatic particle
154,baba,n f,-ja/-ja,grand mother
155,baj,n f,-a/-a,sleeve
156,baji,n m,-ja/-es,eldest brother in law
157,bajildijel,v tr,-ď/-îmê,"choke (from crying, laughing etc.)"
158,bajŕami,n m,-ja/-es,"holiday, feast"
159,bakrano,adj m,,ram-
160,bakŕano,adj m,,sheep-
161,bakri,n f,-ja/-ja,sheep
162,bakro,n m,-ê/-ês,ram
163,bal,n m,-a/-ês,hair
164,balakadijel,v itr,-ď/-îmê,"creep, crawl"
165,balaki,n m,-ja/-es,trouser-leg
166,balalo,adj m,,hairy
167,balaľol,v itr,-iľ/—,bristle up
168,balandźas,n m,-adês/-as,"hair on the man's face (moustache, whisker and beard)"
169,balano,adj m,,pig-
170,balasto,adj m,,hairy
171,balastuno,adj m,,"hairy, shaggy"
172,baleski burli,n phr f,-ja/-ja,bee
173,bali,n m,-ja/-es,"honey, mead"
174,balo,n m,-ê/-ês,"fat, lard"
175,balval,n f,-a/-ês,wind
176,balvaľol,v itr,-iľ/—,blow (about wind)
177,balvaľutno,adj m,,windy
178,bamburas,n m,-adês/-as,spider
179,banǧarel,v tr,-ď/-d,bend
180,banges,adv mod,,"crookedly, walk limping"
181,bango,adj m,,"crooked, lame"
182,banǧol,v itr,-iľ/—,"bend, become crooked"
183,bar,n f,-a/-ês,1. fence 2. yard
184,bar,n m,-a/-ês,stone
185,baŕakerel,v tr,-ď/-d,bring up
186,baŕarel,v tr,-ď/-d,"increase, grow"
187,bares,adv mod,,"like a big one, like the eldest one"
188,bari,n f,-ja/-ja,chief
189,baro,adj m,,1. big 2. eldest
190,baro,n m,-ê/-ês,1. chief 2. policeman
191,baŕol,v itr,-iľ/—,grow
192,baruno,adj m,,stone
193,barvaľakerel,v tr,-ď/-d,enrich sb.
194,barvales,adv mod,,rich
195,barvalo,adj m,,rich
