Index,Entry Word,Part of Speech,Affix,Definition
1,aba,part,,- ка
2,abaj,n f,-ja/-ja,старшая золовка
3,aborkha,adj indef,,столько
4,aborkhisa,adj indef,,столечко
5,aborkhorisa,adj indef,,столечко
6,abralderdijel,v tr,-ď/-îmê,пугать
7,abraldijel,v itr,-ď/-îmê,испугаться
8,ačhavel,v tr,-ď/-d,оставлять
9,aćhol,v itr,-iľ/—,оставаться
10,ada,pron dem m,,вот то
11,adadijel,v tr,-ď/-îmê,"обещать, давать обет"
12,adaŕaing,adv loc,,с той стороны
13,adaŕainga,adv loc,,с той стороны
14,adarin,adv loc,,в ту сторону
15,adarina,adv loc,,в ту сторону
16,adaring,adv loc,,в ту сторону
17,adaringa,adv loc,,в той стороне
18,adasavko,adj indef,,вот такой
19,adava,pron dem m,,вот тот
20,adavkha,pron dem,,вот вот тот
21,aďeti,n m,-ja/-es,характер
22,afrondijel,v itr,-ď/-îmê,"приходить в себя (после болезни, обморока)"
23,agural,adv loc,,"вокруг, окрест"
24,agural,prep,,вокруг
25,agurutno,adj m,,окрестный
26,aj,interj,,ай
27,aj,part,,а
28,aj,conj,,"а, но"
29,ajaderdijel,v tr,-ď/-îmê,вызывать жалость
30,ajadijel,v tr,-ď/-îmê,жалеть
31,ajakha,adv mod,,так
32,ajinderdijel,v tr,-ď/-îmê,вытрезвлять
33,ajindijel,v itr,-ď/-îmê,трезветь
34,ajinîki,adj,,трезвый
35,ajmilaj,adv temp,,этим летом
36,ajŕani,n m,-ês/-es,простокваша
37,ajŕat,adv temp,,этой ночью
38,ajvên,adv temp,,этой зимой
39,ajxîri,n m,-ja/-es,жеребец
40,aka,pron dem m,,вот этот
41,akajakha,adj indef,,вот вот так
42,akana,adv temp,,теперь
43,akankha,adv temp,,"вот теперь, сейчас"
44,akaŕaina,adv loc,,с этой стороны
45,akaŕainga,adv loc,,с этой стороны
46,akarin,adv loc,,в эту сторону
47,akaring,adv loc,,в эту сторону
48,akaringa,adv loc,,в этой сороне
49,akasavko,adj indef,,вот такой
50,akava,pron dem m,,вот этот
51,akavkha,pron dem,,вот вот тот
52,akê,interj,,вот
53,akê,part,,вот
54,akhor,n m,-ês/-a,грецкий орех
55,akhorin,n f,-a/-ês,дерево грецкого ореха
56,akšamda,adv temp,,вечером
57,akšami,n m,-ja/-es,вечер
58,akšamxairuson,interj,,добрый вечер
59,alaji,pron indef,,"всё, всё"
60,alas,adj m,,"пестрый, в яблочко (масть лошадей)"
61,alati,n m,-ja/-es,"стать, фигура"
62,alavďarel,v tr,-ď/-d,заставлять разжигать
63,alavel,v tr,-ď/-d,"зажигать, растапливать"
64,Alax,n m,,Аллах
65,Alaxi,n m,,Аллах
66,alčaki,adj,,"нехороший, негодный (о человеке)"
67,alê,part,,"вот (тебе, вам)"
68,aľol,v itr,-iľ/—,приходиться
69,ama,part,,ну смотри
70,ama,interj,,ну вот
71,amal,n m,-ês/-a,друг
72,amalinka,n f,-ês/-as,подруга
73,amalipe,n m,-imatês/-os,дружба
74,amaro,pron poss 1 sg m,,наш
75,ame,pron pers 1 pl,,мы
76,amoni,n m,-ja/-es,наковальня
77,an,prep,,в
78,anav,n m,-ês/-a,имя
79,anav anaveste,adv phr mod,,поименно
80,andar,adv loc,,изнутри
81,andar,prep,,"из, от, из-за, через"
82,anďarel,v tr,-ď/-d,заставлять принести
83,ande,prep,,в
84,ande,adv loc,,"внутрь, внутри"
85,ande inati,adv phr mod,,принципиально
86,anderdijel,v tr,-ď/-îmê,заставлять вспоминать
87,andijel,v tr,-ď/-îmê,вспоминать
88,anel,v tr,-ď/-d,"приносить, приводить"
89,angal,prep,,перед
90,angal,adv loc,,спереди
91,angali,n f,-ja/-ja,охапка
92,angaluno,adj m,,передний
93,angar,n m,-ês/-a,кусок угля
94,angaruno,adj m,,угольный
95,angle,adv loc,,"вперед, впереди"
96,angrusti,n f,-ja/-ja,кольцо (ювелирное изделие)
97,ankha,adv temp,,сейчас
98,apasizdan,adv mod,,"внезапно, неожиданно"
99,apuvi,n m,-ja/-es,"извинение, прощение"
100,aradijel,v itr,-ď/-îmê,быть годным
101,arakhel,v tr,-ď/-d,находить
102,arakhľol,v itr,-iľ/—,1. находиться 2. рождаться
103,aravďol,v tr,-iľ/—,портиться
104,aravel,v tr,-ď/-d,1. разменивать (деньги) 2. лишать (девственности) 3. портить 4. валить (палатку)
105,arîkladijel,v tr,-ď/-îmê,"истощать, изнурять"
106,arman,n f,-ja/-ja,проклятие
107,armandindo,adj pp m,,проклятый
108,artîki,adv mod,,лучше
109,artîki,adj,,лучший
110,asal,v itr,-ľ/-l,смеяться
111,asape,n m,-atês/-as,смех
112,asavkerel,v tr,-îm/-îmê,смешить
113,asavkerno,adj m,,смешной
114,asavko,adj indef,,такой
115,askeŕa,n pl,,"1. солдаты, толпа, войско 2. толпа"
116,askeri,n m,-ja/-es,солдат
117,askeri,adj indef,,многочисленный
118,ašlanderdijel,v tr,-ď/-îmê,заставить договориться
119,ašlandijel,v tr,-ď/-îmê,договориться
120,aslîja,n f,-a/-ês,"старое дело, старое событие"
121,aslîten,adv temp,,"всё время, постоянно"
122,astarďarel,v tr,-ď/-d,заставлять держать
123,astarďol,v itr,-iľ/—,держаться
124,astarel,v tr,-ď/-d,"1. задерживать, держать 2. нанимать"
125,aťal,adv mod,,так
126,athar,adv loc,,отсюда
127,athe,adv loc,,"здесь, сюда"
128,athkha,adv loc,,вот здесь
129,athkhar,adv loc,,вот отсюда
130,athkharutno,adj m,,здешний
131,atlîs,adj pp m,,верховой
132,atlîs,adv loc,,верхом
133,avdes,adv temp,,"этим днем, сегодня"
134,avdesutno,adj m,,сегодняшний
135,avdželîki,n m,-ja/-es,дичь
136,avel,v itr,-ď/-d,приходить
137,aver,adj indef,,другой
138,avgos,adv temp,,раньше
139,avgutnes,adv mod,,по-старинному
140,avgutno,adj m,,старинный
141,avi,n m,-ja/-es,ширинка брюк
142,avŕal,adv loc,,снаружи
143,avri,adv loc,,"снаружи, наружу"
144,avśalo,adj m,,слезливо
145,avśaskerel,v tr,-ď/-d,заставить слезиться
146,avśazel,v itr,-ď/-d,слезиться
147,avsi,n f,-ja/-ja,слеза
148,axčas,n m,-adês/-as,деньги
149,axerzamani,n m,-ja/-es,1. пора несчастий 2. стихийное бедствие
150,axtardijel,v tr,-ď/-îmê,1. переворачивать 2. ворошить
151,azbari,n m,-ja/-es,"подворье, усадьба"
152,aždaxas,n m,-adês/-as,крылатый змей (сказочный персонаж)
153,ba,part,,- ка
154,baba,n f,-ja/-ja,бабушка
155,baj,n f,-a/-a,рукав
156,baji,n m,-ja/-es,старший деверь
157,bajildijel,v tr,-ď/-îmê,"1. заходиться (от плача, смеха итд) 2. захлёбываться"
158,bajŕami,n m,-ja/-es,праздник
159,bakrano,adj m,,бараний
160,bakŕano,adj m,,овечий
161,bakri,n f,-ja/-ja,овца
162,bakro,n m,-ê/-ês,баран
163,bal,n m,-a/-ês,волос
164,balakadijel,v itr,-ď/-îmê,ползать
165,balaki,n m,-ja/-es,штанина
166,balalo,adj m,,волосатый
