Index,Entry Word,Part of Speech,Affix,Definition
1,a,art indef sg,,а
2,a ,conj,,1. и (малко противен) 2. но
3,abandžias,n m,,чужденец
4,aborkha,adv,,толкова
5,absin,n f,,стомана
6,absolutno,adj,,абсолютен
7,absolutno,adv,,абсолютно
8,ačhavel,v tr,,карам нкг. да остане
9,ačhel,v itr,,1. оставам 2. ставам 3. превръщам (се) във 4. оцелявам
10,ačhel maili,v phr itr,,влюбвам се
11,ačhjovel,v itr,,1. оставам 2. ставам 3. превръщам (се) във 4. оцелявам
12,ačoka,adv mod,,"така, по-този начин"
13,ačovel,v,,1. оставам 2. ставам
14,ačuka,adv mod,,"1. така, по такъв начин 2. по-този начин, след тов 3. така по този начин"
15,adalkheske,adv caus,,ето защо
16,adavka,pron dem m,,"този,  pron.dem.m."
17,adavkha,pron dem m,,"този,  pron.dem.m."
18,adekhi,adv,,толкова
19,adika,pron dem f,,"тази,  pron.dem.f."
20,adika rat,adv phr temp,,"тази вечер, довечера"
21,adikaa blel,adv phr mod,,довечера
22,adreso,n m,,адрес
23,advukati,n m,,адвокат
24,adžarel,v itr,,чакам
25,adžuka,adv mod,,"така, по-този начин"
26,adžukjardo,adj m,,очакван
27,adžukjarel,v,,1. очалвам 2. надявам се
28,adžukjarel pes,adv phr,,предполага се
29,aga,n m,,господар
30,agor,prep,,края на
31,agor,n m,,1. край 2. ръб 3. граница 4. ъгъл
32,agoral,adv loc,,1. около 2. приблизително
33,agoral,prep,,"покрай, из"
34,agorime,adj,,свъшен
35,agorinel,v,,"1. завършвам, свършвам 2. решавам 3. фалирам"
36,agoruno,adj m,,"последен, краен"
37,agorutno,adj m,,завършен
38,aiba,n m,,идване
39,ajnas,n m,,огледало
40,ajnjas,n m,,огледало
41,ajvanengere žuva,n phr pl,,бълха
42,ajvaneskoro mas,n phr m,,говеждо месо
43,ajvani,n f,,1. животно 2. говеда
44,akaja,pron dem f,,"тая,  pron.dem.f."
45,akaja bevel,adv phr,,тази вечер
46,akaja rat,adv phr,,тази вечер
47,akana,adv loc,,"1. сега, веднага 2. и сега"
48,akana,n m,,сега
49,akana,adj,,сегашен
50,akandel,v tr,,1. слугувам 2. помагам
51,akandiba,n m,,слугуване
52,akanutno,adj m,,"сегашен, съвременен"
53,akariga,adv loc,,"насам, тука"
54,akatar,adv loc,,"1. оттука, от тази страна 2. най-напред 3. никъде"
55,akate,adv loc,,тука
56,akathar ,adv loc,,"1. оттука, от тази страна 2. най-напред"
57,akatka ,adv loc,,"тук, на това място"
58,akava,pron dem m,,"това,  pron.dem.m."
59,akava berš,adv phr,,тази година
60,akava ivend,adv phr,,тази зима
61,akava nilaj,adv phr,,това  лято
62,akava thaj okova,adv phr,,освен това
63,akavka,pron dem m,,"този,  pron.dem.m."
64,akharel,v,,1. моля се 2. викам 3. поканвам 4. умолявам 5. моля се извиквам
65,akharipe,n m,,"1. викане, обаждане 2. обаждане"
66,akhjarel,v tr,,извиквам
67,akhor,n m,,орех
68,akhoralo kašt,n phr m,,орехово дърво
69,akika,pron dem f,,"тази,  pron.dem.f."
70,akšjamisti,n m,,вечер
71,aktiviteto,n m,,дейност
72,aktivno,adj,,подвижен
73,aktjori,n m,,"актъор, артист"
74,aktjorka,n f,,"актриса, артистка"
75,akto,n m,,действие
76,aktrisa,n f,,"актриса, артистка"
77,akula,n f,,акула
78,akušel,v tr,,псувам
79,akušiba,n m,,проклятие
80,akušlo,adj m,,"напсут, проклет"
81,ala,conj,,но
82,alašverišinel,v,,търгувам
83,alav,n m,,1. име 2. дума
84,ale,prep,,на
85,ali,conj,,или
86,alindž,n f,,нива
87,alkha disa,adv phr,,понастоящем
88,alosarel,v,,1. избирам 2. гласувам
89,alosaripe,n m,,1. избор 2. избор (политицески)
90,alro,n m,,яйце
91,ama,conj,,но
92,amal,n m,,"приятел, другар"
93,amalikano,adj m,,приятелски
94,amalin,n f,,"приятелка, другарка"
95,amalipe,n m,,приятелство
96,amaneti,n m,,наказание
97,amaro,pron poss 1 sg m,,"нашето, наши"
98,ambrol,n f,,круша
99,ambrola,n f,,круша
100,ambrolakoro kašt,n phr m,,крушово дърво
101,ambroli,n f,,крушево дърво
102,ambrolin,n f,,крушево дърво
103,ame,conj,,но
104,ame,pron pers 1 pl,,ние
105,amen,pron pers 1 pl,,ние
106,ami,conj,,но
107,amo,conj,,но
108,amuni,n m,,1. наковалня 2. ковачница
109,an,prep,,"в, във"
110,anav,n m,,име
111,and i javi,adv phr temp,,на сутринта
112,and i javin,adv phr temp,,на сутринта
113,and i tasjarin,adv phr temp,,на следващата сутрин
114,and-,prep,,"в, във, до, на, от, през"
115,andar,prep,,"из, от"
116,ande,prep,,"в, във, до, на, от, през"
117,ande aver rig,prep phr,,на другата страна на
118,andekhora ,adv temp,,"веднага, бързо"
119,ander,n m,,вътрешност на хляб
120,andi  bevel,adv phr,,вечерта
121,andi bangi rig,adv phr,,на ляво
122,andi pravo rig,adv phr,,на дясно
123,andi rat,adv phr,,през нощта
124,andi rig,adv phr,,"от страната, настрана"
125,andiba,n m,,споменаване
126,andijavin,n f,,сутрин
127,andijavinate,adv temp,,сутринта
128,andinel,v tr,,споменавам
129,ando,prep,,"във, до"
130,ando čučipe,adv phr,,безмислен
131,ando dives,adv phr,,през деня
132,ando maškar katar,adv phr,,по средата
133,ando maškar katar,prep phr,,в средата на
134,ando mesmeri,adv phr,,в следобяда
135,andral,adv loc,,1. отвътре 2. вътре
136,andre,adv loc,,"вътре, отвътре"
137,andrunipe,n m,,вътрешност
138,andruno,adj m,,вътрешен
139,anel,v tr,,1. донасям нещо тук 2. допринасям 3. задоволявам
140,anel andre,v phr itr,,довеждам вътре
141,anel andre,v tr,,"вкарвам вътре, нося вътре"
142,angali,n f,,"1. ръка, хватка 2. прегръдка 3. скут"
143,angalidebe,n m,,прегръщане
144,angalindende,adj pp,,прегърнати
145,angaljarel,v,,прегръщам
146,angar,n m,,"въглен, жарава"
147,angara,n m,,1. въглища 2. въглени
148,angaralo,adj m,,въглищен
149,angelčes,n m,,ангел
150,anglal,adv loc,,отпред
151,anglal,adv temp,,преди
152,anglal,prep,,пред
153,anglal i evend,n phr f,,есен
154,anglal ko,prep phr,,отпред на
155,anglal ko,prep phr,,отпред
156,anglal o nilaj,n phr f,,пролет
157,angle,prep,,преди
158,angleder,adv temp,,по-преди
159,anglune,adv temp,,рано
160,angluneste,adv temp,,1. по-рано 2. първо
161,anglunipe,n m,,предницa
162,angluno,n m,,победител
163,angluno,adj m,,преден
164,angluno,adj m,,"1. преден, пръв 2. правилен 3. предишен 4. бъдещ"
165,angluno dand,n phr m,,преден зъб
166,angrusti,n f,,"пръстен, халка"
167,angrustik,n m,,пръстен
168,angušt,n m,,1. пръст 2. пръст на крак
169,angušti,n f,,пръст
170,angustik,n m,,пръст
171,angušto,n m,,пръст
172,anidžarel,v,,присособявам
173,anolel,v tr/itr,,калайдисвам
174,anolima,n m,,калайдисване
175,anro,n m,,яйце
176,apakjaba,n m,,"вярване, вяра"
177,apakjaipe,n m,,"1. вяра, съдба 2. религия"
178,apakjel,v tr,,вярвам
179,apartament,n m,,апартамент
180,apcin,n f,,стомана
181,apcinjalo,adj m,,стоманен
182,aprasaba,n m,,критикуване
183,aprasal,v tr,,1. подигравам 2. критикувам
184,april,n m,,Април
185,aprili,n m,,април
186,arabadžis,n m,,"каруцар, кочияш"
187,arakel,v tr,,"1. намирам 2. пазя 3. охранявам, предпазвам, гража се 4. защитавам се 5. запазвам 6. намирам се"
188,arakhavno,adj m,,детегледач
189,arakhel,v tr,,"1. намирам 2. пазя 3. охранявам, предпазвам, гража се 4. защитавам 5. запазвам 6. намирам се"
190,arakhel maxana,v phr tr,,"намирам причина, намирам кусур"
191,arakhel nebeti,v phr itr,,стоя на пост
192,arakhel pes,v itr,,пазя себе си
193,arakhibe,n m,,1. грижа 2. запазване
194,arakhipe,n m,,1. грижа 2. запазване
195,arakhljovel,v itr,,намира се
196,arakhlo,adj m,,1. намерен 2. запазен
197,arakhlo,adj m,,запазено
198,aravdo,adj m,,1. развален 2. строшен
199,aravel,v tr,,"развалям, разрушавам, развалям се"
200,aravel pes,v itr,,развалям се
201,baba,n m,,"татко, татко ми (обръщение, израз на уважение към други лица)"
202,badali,n m,,1. облак 2. небе
203,bahtalo,adj m,,щастлив
204,baj,n f,,ръкав
205,bakari,n m,,мед
206,bakrano,adj m,,агнешки
207,bakrano mas,n phr m,,овнешко месо
208,bakrišni,n f,,овца
209,bakro,n m,,"агне, овен, овца"
210,bakšiš,n m,,"1. подарък 2. бакшиш, компенсация"
211,bakšiši,n m,,"1. подарък 2. бакшиш, компенсация"
212,bal,n m,,1. коса 2. козина
213,bala,n pl,,"косми, коса от главата"
214,balalo,adj m,,космат
215,balani,n f,,"кофа, ведро"
216,baličhni,n f,,свиня
217,baličhni,n f,,свиня
218,baličho,n m,,прасе
219,baličho,n m,,прасе
220,baličkano,adj m,,"свински, свинско (месо)"
221,baličkano,n m,,свинско
222,balični,n f,,свиня
223,baličo,n m,,1. прасе 2. нерез
224,baličoro,n m,,прасило
225,balval,n f,,вятър
226,banani,n f,,банан
227,bangeste,adj,,накриво
228,bangi rig,n phr f,,запад
229,bangi rig,adj phr,,успешен
230,bangipe,n m,,1. неправда 2. грешка
231,bangjardo,adj m,,"наведен, изкривен"
232,bangjardo,adj m,,извит
233,bangjarel,v tr,,1. изкривявам 2. усуквам 3. затварям
234,bangjarel pes,v itr,,"1. мръщя се, плезя се 2. извивам се"
235,bangjaripe,n m,,нарушение
236,bangjol,v itr,,навеждам се
237,bangjovel,v itr,,1. навеждам се 2. куцане
238,bango,adj m,,"1. крив, изкривен 2. куц"
239,Bango Vasili,n phr m,,ромcкa нова година
240,banja,n f,,баня
241,banka,n f,,банка
242,bar,n m,,камък
243,bar,n m,,двор
244,bara,n f,,граница
245,barabani,n m,,барабан
246,baraka,n f,,"барака, колиба"
247,baralo,adj m,,каменлив
248,bare ,adv temp,,поне
249,bare-buljakoro,adj phr,,гъзест
250,bare-nakheskoro,adj phr,,дългоноско
251,barem,adv temp,,поне
252,bari beruli,n f,,оса
253,bari diz,n phr f,,столица
254,bari luludi,n phr f,,едра шарка
255,Bari parastuj,n phr m,,"велики петък, разпети петък"
256,bari pila,n f,,пила
257,bari roj,n f,,дървенa лъжица
258,barikanipe,n m,,"1. горделивост, високомерие, гордост 2. доверие, самочувствие"
259,barikano,adj m,,"горделив, надменен"
260,baripe,n m,,1. горделивост 2. величие
261,barište,n m,,бъркотия
262,barištimo,adj,,шумен
263,barjarel,v tr,,"1. възпитавам, отглеждам 2. повишавам 3. хваля 4. пресилвам"
264,barjol,v itr,,"пораствам, отглеждам"
265,barjovel,v itr,,"пораствам, отглеждам"
266,barli,n f,,пчела
267,baro,n m,,директор
268,baro,adj m,,1. голям 2. възрастен
269,baro biršim,n phr m,,проливен дъжд
270,baro dand,n phr f,,кътен зъб
271,baro kurmuso,n phr m,,плъх
272,baro masek,n phr m,,януари
273,baro naj,n phr f,,палец
274,baro pani,n phr m,,"езеро, изкуствено езеро"
275,baro-baro,adj m,,огромен
276,baruno,adj m,,каменен
277,barvalikano,adj m,,богаташки
278,barvalipe,n m,,"1. богатство, имущество 2. ценност"
279,barvaljovel,v itr,,1. забогатявам 2. спечелвам 3. печеля
280,barvalo,adj m,,"богат, имотен"
281,barvalo,adj m,,богат
282,baš,adv mod,,точно
283,bašalel,v itr,,"свиря, пея"
284,bašaliba,n m,,музика
285,bašalipe,n m,,1. свирка 2. празник
286,bašalni,n f,,музикантка
287,bašalno,n m,,музикант
288,bašalno,n m,,музикант
289,bašalno,adj m,,музикален
290,basamak,n m,,стъпало на стълба
291,basamaki,n m,,стъпало (на стълбище)
292,baše,adv loc,,близо
293,bašel,v tr/itr,,"1. шумя 2. тръшвам (врата), кукуригам (петел), кудкудякам (кокошка), лая (куче)"
294,basi,n m,,"бас, облог"
295,bašiba,n m,,кукуригане
296,bašiliba,n m,,музика
297,basizno,adj,,обикновен
298,bašladinel,v tr,,"прощавам, извинявам"
299,basma,n f,,плат
300,bašno,n m,,петел
301,basvaljovel,v itr,,разболявам се
302,batinel,v itr,,"изчезвам, потъвам"
303,baval,n f,,вятър
304,bavno,adj,,бавно
305,bax,n f,,"късмет, щастие"
306,baxča,n f,,"1. долина 2. пролом, клисура"
307,baxt,n f,,щастие
308,baxtake,adv,,за щастие
309,baxtaljarel,v,,"1. приветствам, поздравявам 2. благославям 3. ръкувам, здрависвам се"
310,baxtaljarel,v itr,,честитя
311,baxtaljaripe,n m,,поздрав
312,baxtalo,adj m,,щастлив
313,bažaki,n m,,бедро
314,bazikano,adj m,,основен
315,bazisno,adv,,обикновено
316,bazisno,adj,,обикновен
317,bêbreki,n m,,бъбрек
318,Bêdni večer,n phr f,,Бъдни вечер
319,bedžiti,part,,липсва
320,beljake,adv temp,,"1. вечерта 2. тази вечер, довечера"
321,beljate,adv temp,,вечерта
322,belka,n f,,бeлка
323,beng,n m,,дявол
324,bengalo,adj m,,епилептичен
325,bengipe,n m,,"дяволък, хитрост"
326,bengjalo,adj m,,дяволски
327,benzin,n m,,бензин
328,beraber ,adv mod,,заедно (strenghtens the suffix -sa)
329,beranda,n f,,"стълб, колона"
330,bêrk,n m,,"гръден кош, гърди (на мъж или жена)"
331,bêrkinel,v tr,,бъркам
332,berljakoro kher,n phr m,,пчелен кошер
333,berš,n m,,"1. година 2. години, възраст"
334,beršalo,adj m,,годишен
335,bertime,adj,,изкълчен
336,bertinel,v tr,,изкълчвам
337,berulengoro koši,n phr f,,пчелен кошер
338,beruli,n f,,пчела
339,beruljakoro,adj m,,пчелен
340,bes,prep,,без
341,bešel,v itr,,1. сядам 2. живея 3. оставам 4. седя 5. настанявам се 6. садя
342,bešel peske,v itr,,сядам
343,bešendos,adj pp,,седешком
344,bešiba,n m,,сядане
345,bešljarel,v tr,,1. забивам 2. казвам на нкг. да седне 3. установявам
346,bešnja,n f,,клякане
347,beti,adj,,"неудобно, неловко"
348,bez,prep,,без
349,bez te,conj,,без да
350,bezeti,part mod,,1. мечта 2. желание 3. копнея
351,bezex,n f,,1. грях 2. съжаление 3. милост
352,bezexalipe,n m,,греховност
353,bezexalo,adj m,,"грешен, греховен"
354,bêzi,n m,,бъз
355,bezimeno,n m,,безименен
356,bi,prep,,"без, навън на"
357,bi avazeskoro,adv phr,,безшумно
358,bi gogjakoro,adv phr,,"без значение, ненужно"
359,bi lovengoro,adv phr,,безплатно
360,bi te mangav,v phr,,случайно
361,bi ulavipaskoro,adv phr,,несъмнено
362,bi-avipe,n m,,отсъствие
363,bi-koro,prep,,без
364,biadžardo,adj m,,неочаквано
365,biagorutno,adj m,,безкраен
366,biamal,n m,,неприятел
367,biando,adj m,,роден
368,bianel,v tr,,раждам
369,biapakjando,adj pp m,,невероятен
370,bibax,n f,,"лош късмет, нещастие"
371,bibaxt,n f,,1. нещастие 2. съжаление
372,bibaxtake,adv,,за нещастие
373,bibezexalo,adj m,,безгрешен
374,bibi,n f,,1. баба (обръщение към баба) 2. леля
375,bibica,n f,,пуйка
376,bibukjarno,adj m,,безработен
377,bičačuni phen,n phr f,,мащеха сестра
378,bičačuno phral,n phr m,,мащех брат
379,bičalo,adj m,,"ненаситен, алчен"
380,bičhalel,v tr,,изпращам
381,bičhaliba,n m,,изпращане
382,bičhavdo,adj m,,изпратен
383,bidexaipe,n m,,омраза
384,bidikhutno,adj m,,невиждано
385,bidžando,adj pp m,,непознат
386,bidžanglipe,n m,,нeвежество
387,bidžardo,adj m,,неочакван
