Index,Entry Word,Part of Speech,Affix,Definition
1,a,art indef sg,,ein
2,a ,conj,,"1. und (leicht entgegensetzend) 2. aber, im Gegensatz dazu"
3,abandžias,n m,,Fremder
4,aborkha,adv,,"so viel, so viele"
5,absin,n f,,Stahl
6,absolutno,adj,,absolut
7,absolutno,adv,,absolut
8,ačhavel,v tr,,zum Bleiben bewegen
9,ačhel,v itr,,"1. bleiben 2. werden, sein 3. sich verwandeln in 4. am Leben bleiben, überleben"
10,ačhel maili,v phr itr,,sich verlieben
11,ačhjovel,v itr,,"1. bleiben 2. werden, sein 3. sich verwandeln in 4. am Leben bleiben, überleben"
12,ačoka,adv mod,,"so, auf diese Art"
13,ačovel,v,,1. bleiben 2. werden (zu)
14,ačuka,adv mod,,"1. so, auf diese Art 2. danach, dann 3. dabei"
15,adalkheske,adv caus,,deshalb
16,adavka,pron dem m,,"jener,  pron.dem.m."
17,adavkha,pron dem m,,"jener,  pron.dem.m."
18,adekhi,adv,,"so viel, so viele"
19,adika,pron dem f,,"jene,  pron.dem.f."
20,adika rat,adv phr temp,,"diese Nacht, heute Nacht"
21,adikaa blel,adv phr mod,,heute Abend
22,adreso,n m,,Adresse
23,advukati,n m,,Anwalt
24,adžarel,v itr,,warten
25,adžuka,adv mod,,"so, auf diese Art"
26,adžukjardo,adj m,,angeblich
27,adžukjarel,v,,1. erwarten 2. hoffen
28,adžukjarel pes,adv phr,,angeblich
29,aga,n m,,"Meister, Herr"
30,agor,n m,,1. Ende 2. äußerer Rand 3. Grenze 4. Ecke
31,agor,prep,,am Ende von
32,agoral,adv loc,,"1. um, herum 2. ungefähr"
33,agoral,prep,,um
34,agorime,adj,,beendet
35,agorinel,v,,"1. vervollständigen, beenden, fertig machen 2. (auf)lösen, entscheiden 3. misslingen 4. scheitern"
36,agoruno,adj m,,letzter
37,agorutno,adj m,,vollständig
38,aiba,n m,,"Kommen, Ankunft"
39,ajnas,n m,,Spiegel
40,ajnjas,n m,,Spiegel
41,ajvanengere žuva,n phr pl,,Floh
42,ajvaneskoro mas,n phr m,,Rindfleisch
43,ajvani,n f,,1. Tier 2. Rind
44,akaja,pron dem f,,"diese,  pron.dem.f."
45,akaja bevel,adv phr,,heute abend
46,akaja rat,adv phr,,diese Nacht
47,akana,adv loc,,"1. jetzt, sofort 2. und so"
48,akana,adj,,gegenwärtig
49,akana,n m,,Gegenwart
50,akandel,v tr,,1. dienen 2. helfen
51,akandiba,n m,,Bedienung
52,akanutno,adj m,,"jetzig, gegenwärtig"
53,akariga,adv loc,,hier
54,akatar,adv loc,,"1. von hier, von dieser Seite 2. zuerst 3. nirgendwo"
55,akate,adv loc,,hier
56,akathar ,adv loc,,"1. von hier, von dieser Seite 2. zuerst"
57,akatka ,adv loc,,"hier, an diese Stelle"
58,akava,pron dem m,,"dieser,  pron.dem.m."
59,akava berš,adv phr,,dieses Jahr
60,akava ivend,adv phr,,in diesem Winter
61,akava nilaj,adv phr,,in diesem Sommer
62,akava thaj okova,adv phr,,ansonsten
63,akavka,pron dem m,,"jener,  pron.dem.m."
64,akharel,v,,"1. beten 2. rufen 3. einladen 4. erbitten, erfragen 5. herausfordern"
65,akharipe,n m,,"1. Schrei, Ruf 2. Einladung"
66,akhjarel,v tr,,"rufen, ausrufen"
67,akhor,n m,,"Nuss, Walnuss"
68,akhoralo kašt,n phr m,,Nussbaum
69,akika,pron dem f,,"jene,  pron.dem.f."
70,akšjamisti,n m,,Abend
71,aktiviteto,n m,,Tätigkeit
72,aktivno,adj,,beweglich
73,aktjori,n m,,"Schauspieler, Artist"
74,aktjorka,n f,,"Schauspielerin, Artistin"
75,akto,n m,,"Handlung, Tat"
76,aktrisa,n f,,"Schauspielerin, Artistin"
77,akula,n f,,Hai
78,akušel,v tr,,fluchen
79,akušiba,n m,,Fluch
80,akušlo,adj m,,verflucht
81,ala,conj,,aber
82,alašverišinel,v,,handeln
83,alav,n m,,1. Name 2. Wort
84,ale,prep,,1. auf 2. von
85,ali,conj,,oder
86,alindž,n f,,(Weizen)Feld
87,alkha disa,adv phr,,heutzutage
88,alosarel,v,,"1. aussuchen, auswählen 2. wählen (polit.)"
89,alosaripe,n m,,"1. Wahl, Auswahl 2. Wahl (polit.)"
90,alro,n m,,Ei
91,ama,conj,,"aber, sondern"
92,amal,n m,,"Freund, Gefährte, Komplize"
93,amalikano,adj m,,freundlich
94,amalin,n f,,"Freundin, Gefährtin, Komplizin"
95,amalipe,n m,,Freundschaft
96,amaneti,n m,,Bestrafung
97,amaro,pron poss 1 sg m,,unser
98,ambrol,n f,,Birne
99,ambrola,n f,,Birne
100,ambrolakoro kašt,n phr m,,Birnbaum
101,ambroli,n f,,Birnbaum
102,ambrolin,n f,,Birnbaum
103,ame,pron pers 1 pl,,wir
104,ame,conj,,"aber, sondern"
105,amen,pron pers 1 pl,,wir
106,ami,conj,,"aber, sondern"
107,amo,conj,,"aber, sondern"
108,amuni,n m,,1. Amboss 2. Esse
109,an,prep,,in
110,anav,n m,,Name
111,and i javi,adv phr temp,,"am Morgen, bei der Morgendämmerung"
112,and i javin,adv phr temp,,"morgens, am Morgen"
113,and i tasjarin,adv phr temp,,am nächsten Morgen
114,and-,prep,,"in, an, am, auf, durch, (gemacht) aus"
115,andar,prep,,"aus heraus, außerhalb von, aus, inmitten von, quer durch, durch, hinter, auf der anderen Seite von"
116,ande,prep,,"in, an, am, auf, durch, (gemacht) aus"
117,ande aver rig,prep phr,,auf der anderen Seite von
118,andekhora ,adv temp,,"sofort, unverzüglich"
119,ander,n m,,das Innere von Brot
120,andi  bevel,adv phr,,abends
121,andi bangi rig,adv phr,,links
122,andi pravo rig,adv phr,,rechts
123,andi rat,adv phr,,nachts
124,andi rig,adv phr,,"zur Seite, daneben"
125,andiba,n m,,Erwähnung
126,andijavin,n f,,Morgen
127,andijavinate,adv temp,,"morgens, am Morgen"
128,andinel,v tr,,erwähnen
129,ando,prep,,"in, innerhalb von, in … hinein, zu nach"
130,ando čučipe,adv phr,,"umsonst, vergeblich"
131,ando dives,adv phr,,bei Tag
132,ando maškar katar,prep phr,,mitten in
133,ando maškar katar,adv phr,,1. in der Mitte 2. in die Mitte
134,ando mesmeri,adv phr,,am Nachmittag
135,andral,adv loc,,1. von innen 2. drinnen
136,andre,adv loc,,"hinein, innen"
137,andrunipe,n m,,das Innere
138,andruno,adj m,,"innen, innere"
139,anel,v tr,,"1. herbringen, mitbringen 2. beitragen 3. zufrieden stellen"
140,anel andre,v phr itr,,hereinlassen
141,anel andre,v tr,,hereinlassen
142,angali,n f,,"1. Arm, Armvoll 2. Umarmung 3. Schoß"
143,angalidebe,n m,,Umarmung
144,angalindende,adj pp,,umarmt
145,angaljarel,v,,umarmen
146,angar,n m,,Kohle
147,angara,n m,,1. Kohle 2. Glut
148,angaralo,adj m,,Kohlen-
149,angelčes,n m,,Engel
150,anglal,prep,,vor (zeitl.)
151,anglal,adv loc,,1. vorne 2. von vorne
152,anglal,adv temp,,"früher, vorher"
153,anglal i evend,n phr f,,Herbst
154,anglal ko,prep phr,,vor (lok.)
155,anglal ko,prep phr,,vorn
156,anglal o nilaj,n phr f,,Frühling
157,angle,prep,,vor
158,angleder,adv temp,,früher
159,anglune,adv temp,,früh
160,angluneste,adv temp,,1. vorher 2. erstens
161,anglunipe,n m,,Vorderseite
162,angluno,adj m,,"1. vorne, frontal, erste 2. rechte 3. vorig 4. zukünftig"
163,angluno,adj m,,"forderer, früherer"
164,angluno,n m,,Gewinner
165,angluno dand,n phr m,,Schneidezahn
166,angrusti,n f,,Ring (Fingerring)
167,angrustik,n m,,(Finger)Ring
168,angušt,n m,,1. Finger 2. Zehe
169,angušti,n f,,1. Finger 2. Zehe
170,angustik,n m,,Finger
171,angušto,n m,,Finger
172,anidžarel,v,,beherbergen
173,anolel,v tr/itr,,"verzinnen, kesselflicken"
174,anolima,n m,,Blechverarbeitung
175,anro,n m,,Ei
176,apakjaba,n m,,Glaube
177,apakjaipe,n m,,1. Glaube 2. Religion
178,apakjel,v tr,,glauben
179,apartament,n m,,Wohnung
180,apcin,n f,,Stahl
181,apcinjalo,adj m,,stählern
182,aprasaba,n m,,Kritik
183,aprasal,v tr,,1. sich lustig machen über 2. kritisieren
184,april,n m,,April
185,aprili,n m,,April
186,arabadžis,n m,,"Fuhrmann, Kutscher"
187,arakel,v tr,,"1. finden, entdecken 2. (gut oder schlecht) finden, beurteilen 3. schützen, beschützen, hüten, aufpassen 4. verteidigen 5. retten 6. sich ereignen, passieren, geschehen"
188,arakhavno,adj m,,zart
189,arakhel,v tr,,"1. finden 2. (gut oder schlecht) finden, beurteilen 3. schützen, beschützen, hüten 4. verteidigen 5. retten 6. sich ereignen, passieren 7. aufpassen"
190,arakhel maxana,v phr tr,,"einen Fehler finden, Grund zum Widerspruch finden"
191,arakhel nebeti,v phr itr,,Wache stehen
192,arakhel pes,v itr,,auf sich selbst aufpassen
193,arakhibe,n m,,1. Pflege 2. Schutz
194,arakhipe,n m,,1. Pflege 2. Schutz
195,arakhljovel,v itr,,sich befinden
196,arakhlo,adj m,,sicher
197,arakhlo,adj m,,1. gefunden 2. sicher
198,aravdo,adj m,,"1. zerstört, verdorben 2. ranzig"
199,aravel,v tr,,"beschädigen, zerstören, vernichten, verderben"
200,aravel pes,v itr,,"schlecht werden, zerfallen, verrotten, beschädigt werden, ruiniert werden"
201,baba,n m,,"Vater (meist im Vokativ, auch als respektvolle Anrede für andere Personen)"
202,badali,n m,,1. Wolke 2. Himmel (sichtbarer)
203,bahtalo,adj m,,glücklich
204,baj,n f,,Ärmel
205,bakari,n m,,Kupfer
206,bakrano,adj m,,"Schaf-, Lamm-"
207,bakrano mas,n phr m,,Schaffleisch
208,bakrišni,n f,,Schaf (w.)
209,bakro,n m,,"Widder, Schaf"
210,bakšiš,n m,,1. Geschenk 2. Entschädigung
211,bakšiši,n m,,1. Geschenk 2. Entschädigung
212,bal,n m,,"1. Haare 2. Pelz, Fell"
