Index,Entry Word,Part of Speech,Affix,Definition
1,a,art indef sg,,a
2,a ,conj,,"1. and (slightly opposing) 2. but, in contrast to"
3,abandžias,n m,,stranger
4,aborkha,adv,,"that much, that many"
5,absin,n f,,steel
6,absolutno,adj,,absolute
7,absolutno,adv,,absolutely
8,ačhavel,v tr,,"make so. stay, talk so. into staying"
9,ačhel,v itr,,"1. stay, remain 2. become, be 3. turn into, change into 4. stay alive, survive"
10,ačhel maili,v phr itr,,fall in love
11,ačhjovel,v itr,,"1. stay, remain 2. become, be 3. turn into, change into 4. stay alive, survive"
12,ačoka,adv mod,,"in this way, in that way"
13,ačovel,v,,1. stay 2. become
14,ačuka,adv mod,,"1. in this way, in that way 2. then, afterwards 3. thereby"
15,adalkheske,adv caus,,therefore
16,adavka,pron dem m,,"that,  pron.dem.m."
17,adavkha,pron dem m,,"that,  pron.dem.m."
18,adekhi,adv,,"that much, that many"
19,adika,pron dem f,,"that,  pron.dem.f."
20,adika rat,adv phr temp,,"this night, tonight"
21,adikaa blel,adv phr mod,,tonight
22,adreso,n m,,address
23,advukati,n m,,lawyer
24,adžarel,v itr,,wait
25,adžuka,adv mod,,"in this way, in that way"
26,adžukjardo,adj m,,supposed
27,adžukjarel,v,,"1. expect, await 2. hope"
28,adžukjarel pes,adv phr,,"allegedly, supposedly"
29,aga,n m,,master
30,agor,n m,,1. end 2. edge 3. border 4. corner
31,agor,prep,,in the end of
32,agoral,prep,,around
33,agoral,adv loc,,1. around 2. approximately
34,agorime,adj,,finished
35,agorinel,v,,"1. complete, finish, end 2. solve, resolve 3. decide 4. fail 5. "
36,agoruno,adj m,,"last, final"
37,agorutno,adj m,,complete
38,aiba,n m,,"coming, arrival"
39,ajnas,n m,,mirror
40,ajnjas,n m,,mirror
41,ajvanengere žuva,n phr pl,,flea
42,ajvaneskoro mas,n phr m,,beef
43,ajvani,n f,,1. animal 2. cattle
44,akaja,pron dem f,,"this,  pron.dem.f."
45,akaja bevel,adv phr,,this evening
46,akaja rat,adv phr,,tonight
47,akana,adv loc,,"1. now, immediately 2. and so"
48,akana,n m,,present
49,akana,adj,,present
50,akandel,v tr,,1. serve 2. help
51,akandiba,n m,,service
52,akanutno,adj m,,"present, contemporary"
53,akariga,adv loc,,here
54,akatar,adv loc,,"1. from here, from this region 2. first 3. nowhere"
55,akate,adv loc,,here
56,akathar ,adv loc,,"1. from here, from this region 2. first"
57,akatka ,adv loc,,"here, in this place"
58,akava,pron dem m,,"this,  pron.dem.m."
59,akava berš,adv phr,,this year
60,akava ivend,adv phr,,this winter
61,akava nilaj,adv phr,,this summer
62,akava thaj okova,adv phr,,besides
63,akavka,pron dem m,,"that,  pron.dem.m."
64,akharel,v,,1. pray 2. call 3. invite 4. request 5. challenge
65,akharipe,n m,,"1. shout, call 2. invitation"
66,akhjarel,v tr,,"shout, cry out"
67,akhor,n m,,"nut, walnut"
68,akhoralo kašt,n phr m,,walnut tree
