Index,Entry Word,Part of Speech,Affix,Definition
1,absolutno,adv mod,,absolut
2,ačhavela,v tr,-dž-/-d-,bewahren
3,ačhola,v itr,-il-/-il-,(zurück)bleiben
4,ačhovela,v itr,-dž-/-d-,ausruhen
5,adeti,n f,-ja/-ja-,"Brauch, Sitte"
6,adresa,n f,-e/-a-,Adresse
7,adreza,n f,-e/-a-,Adresse
8,advokati,n m,-ija/-es-,Rechtsanwalt
9,adžahare,adv mod,,"so, auf diese Art"
10,adžičerdo,adj m,,abwartend
11,adžičerela,v tr,-dž-/-d-,warten
12,adžuhare,adv mod,,"so, auf diese Art"
13,aerodromi,n m,-ija/-es-,Flughafen
14,afera,n f,-e/-a-,"Affäre, Verhältnis, Liebesbeziehung"
15,agencija,n f,-e/-a-,Agentur
16,aglal ko,prep,,vor (lokal)
17,agrikulturno,adj,,landwirtschaftlich
18,ajbe,n m,-ba/-bas-,Ankunft
19,akaja,pron dem f,,diese
20,akaja rat,adv temp,,heute abend
21,akala,pron dem pl,,diese
22,akana,adv temp,,"jetzt, gegenwärtig"
23,akatar,adv loc,,von hier
24,akate,adv loc,,1. hier 2. hierher
25,akava,pron dem m,,dieser
26,akava berš,adv temp,,"dieses Jahr, heuer"
27,akava drumo,adv temp,,"diesmal, dieses Mal"
28,akava jevend,adv temp,,in diesem Winter
29,akava nilaj,adv temp,,in diesem Sommer
30,akava puti,adv temp,,"dieses Mal, diesmal"
31,akcija,n f,-e/-a-,Handlung
32,akcije,n f pl,,Aktien
33,akhor,n m,-a/-es-,"Nuss, Walnuss"
34,akhorengoro,adj m,,Nuss-
35,akhoresro kaš,n phr m,-a/-es-,Nussbaum
36,ako,conj,,wenn
37,akošela,v itr,-t-/-t-,fluchen
38,akšami,n m,-ija/-es-,Abend
39,aktivnost,n m,,Tätigkeit
40,alat,n m,,Werkzeug
41,alavo,adj,,gierig
42,alergično,adj,,allergisch
43,ali,conj,,aber
44,alkoholno,adj,,alkoholisch
45,amal,n m,-a/-es-,Freund
46,amalikano,adj m,,freundlich
