Index,Entry Word,Part of Speech,Affix,Definition
1,absolutno,adv mod,,absolutely
2,ačhavela,v tr,-dž-/-d-,retain
3,ačhola,v itr,-il-/-il-,1. remain 2. stay
4,ačhovela,v itr,-dž-/-d-,rest
5,adeti,n f,-ja/-ja-,"use, habit, usage"
6,adresa,n f,-e/-a-,address
7,adreza,n f,-e/-a-,address
8,advokati,n m,-ija/-es-,lawyer
9,adžahare,adv mod,,"in this way, thus"
10,adžičerdo,adj m,,waiting
11,adžičerela,v tr,-dž-/-d-,wait
12,adžuhare,adv mod,,"in this way, thus"
13,aerodromi,n m,-ija/-es-,airport
14,afera,n f,-e/-a-,"affair, intimacy, liaison"
15,agencija,n f,-e/-a-,agency
16,aglal ko,prep,,in front of
17,agrikulturno,adj,,agricultural
18,ajbe,n m,-ba/-bas-,arrival
19,akaja,pron dem f,,this
20,akaja rat,adv temp,,this evening
21,akala,pron dem pl,,these
22,akana,adv temp,,"now, currently"
23,akatar,adv loc,,from here
24,akate,adv loc,,here
25,akava,pron dem m,,this
26,akava berš,adv temp,,this year
27,akava drumo,adv temp,,this time
28,akava jevend,adv temp,,this winter
29,akava nilaj,adv temp,,this summer
30,akava puti,adv temp,,this time
31,akcija,n f,-e/-a-,action
32,akcije,n f pl,,"stock, shares"
33,akhor,n m,-a/-es-,"nut, walnut"
34,akhorengoro,adj m,,"nut-, of nut"
35,akhoresro kaš,n phr m,-a/-es-,walnut tree
36,ako,conj,,if
37,akošela,v itr,-t-/-t-,curse
38,akšami,n m,-ija/-es-,evening
39,aktivnost,n m,,activity
40,alat,n m,,tool
41,alavo,adj,,greedy
42,alergično,adj,,allergic
43,ali,conj,,but
44,alkoholno,adj,,alcoholic
45,amal,n m,-a/-es-,friend
46,amalikano,adj m,,friendly
47,amalin,n f,,friend
48,amalipe,n m,-pa/-pas-,friendship
49,amaro,pron poss 1 sg m,,our
50,ambari,n m,-ija/-es-,barn
51,amen,pron pers 1 pl,,we
52,anav,n m,-a/-es-,name
53,anbalaža,n f,-e/-a-,package
54,ando,prep,,in
55,ando tedani,conj,,since
56,andral,prep,,within
57,andre,prep,,into
58,andre,adv loc,,inside
59,andro,prep,,"1. among 2. from 3. on, upon"
60,andro akana,adv temp,,from now on
61,andro andral,adv loc,,from inside
62,andro avdije,adv temp,,from today
63,andro irati,adv temp,,since yesterday
64,andro keda,adv int,,since when
65,andro tedani,adv temp,,since then
66,andruno,adj m,,"inner, internal, interior"
67,andruno organi,n m,-ija/-es-,"entrails, inner organ"
68,anela,v tr,-dž-/-d-,bring
69,angaresoro,adj m,,"coal-like, coal-"
70,anglal,adv loc,,1. in front 2. before 3. further 4. forwards
71,anglal ko,prep,,in front of
72,anglal ko šero,n phr m,,forehead
73,anglalipe,n m,-pa/-pas-,future
74,anglune,adv temp,,1. first 2. firstly 3. previously
75,angluno,num ord,,first
76,angluno,adj m,,1. previous 2. future
77,angluno dand,n phr m,,incisor
78,angrustik,n f,,ring (for finger)
79,antičko,adj,,ancient
80,april,n m,,April
81,arakela,v tr,-l-/-l-,find
82,arakhela,v tr,,"guard, look after"
83,arogantno,adj,,arrogant
84,asajbe,n m,-ba/-bas-,1. laughter 2. smile
85,asala,v itr,-j-/-andil-,1. laugh 2. smile
86,astali,n m,-ija/-es-,1. table 2. desk
87,asvi,n f,-ja/-ja-,tear
88,autobusi,n m,-ija/-es-,bus
89,automatsko,adj,,automatic
90,autoriteti,n m,-ija/-es-,authority
91,avdije,adv temp,,today
92,avdisutno dive,adv temp,,nowadays
93,avdžin,n m,-a/-es-,honey
94,avela,v itr,-dž-/-d-,1. come 2. arrive 3. approach
95,aver,adv mod,,else
96,aver,adj,,other
97,aver dive,adv temp,,the next day
98,aver vakti,adv temp,,another time
99,avgust,n m,,August
100,avioni,n m,-ija/-es-,plane
101,avri,adv loc,,outside
102,avri kotar,prep,,"outside, out of [«avri kotar čer» - outside of the house]"
