Index,Entry Word,Part of Speech,Affix,Definition
1,absolutno,adv mod,,absolutisht
2,ačhavela,v tr,-dž-/-d-,"mbaj, ruaj"
3,ačhola,v itr,-il-/-il-,"1. mbetem mbrapa 2. rri, qëndroj"
4,ačhovela,v itr,-dž-/-d-,pushoj
5,adeti,n f,-ja/-ja-,"adet, zakon"
6,adresa,n f,-e/-a-,adresë
7,adreza,n f,-e/-a-,adresë
8,advokati,n m,-ija/-es-,"jurist, avokat"
9,adžahare,adv mod,,kështu
10,adžičerdo,adj m,,pritur
11,adžičerela,v tr,-dž-/-d-,pres
12,adžuhare,adv mod,,kështu
13,aerodromi,n m,-ija/-es-,aeroport
14,afera,n f,-e/-a-,marrëdhënie
15,agencija,n f,-e/-a-,agjenturë
16,aglal ko,prep,,"para, përpara"
17,agrikulturno,adj,,bujqësor
18,ajbe,n m,-ba/-bas-,"ardhje, mbërritje"
19,akaja,pron dem f,,kjo (këtu)
20,akaja rat,adv temp,,sonte mbrëma
21,akala,pron dem pl,,"këta (këtu), këto (këtu)"
22,akana,adv temp,,"tani, momentalisht, për momentin"
23,akatar,adv loc,,nga këtu
24,akate,adv loc,,këtu
25,akava,pron dem m,,ky (këtu)
26,akava berš,adv temp,,"këtë vit, sivjet"
27,akava drumo,adv temp,,këtë herë
28,akava jevend,adv temp,,këtë dimër
29,akava nilaj,adv temp,,këtë verë
30,akava puti,adv temp,,këtë herë
31,akcija,n f,-e/-a-,"ngjarje, ndodhi"
32,akcije,n f pl,,aksionet
33,akhor,n m,-a/-es-,arrë
34,akhorengoro,adj m,,prej arre
35,akhoresro kaš,n phr m,-a/-es-,"arrë, druri i arrës"
36,ako,conj,,"nëse, në qoftë se, po qe se"
37,akošela,v itr,-t-/-t-,mallkoj
38,akšami,n m,-ija/-es-,mbrëmje
39,aktivnost,n m,,"aktivitet, organizim"
40,alat,n m,,"vegël pune, mjet pune"
41,alavo,adj,,i pangopur
42,alergično,adj,,alergjik
43,ali,conj,,por
44,alkoholno,adj,,alkoolik
45,amal,n m,-a/-es-,"mik, shok"
46,amalikano,adj m,,"miqësor, i shoqërueshëm"
47,amalin,n f,,"mikeshë, shoqe"
48,amalipe,n m,-pa/-pas-,miqësi
49,amaro,pron poss 1 sg m,,ynë
50,ambari,n m,-ija/-es-,haur
51,amen,pron pers 1 pl,,ne
52,anav,n m,-a/-es-,emër
53,anbalaža,n f,-e/-a-,"ngarkesë, bagazh"
54,ando,prep,,në
55,ando tedani,conj,,qekurse
56,andral,prep,,"brenda, në mes të"
57,andre,prep,,në
58,andre,adv loc,,brenda
59,andro,prep,,"1. ndër, në mes 2. prej, nga 3. mbi"
60,andro akana,adv temp,,"prej tashit, menjëherë"
