Index,Entry Word,Part of Speech,Affix,Definition
1,absolutno,adv mod,,"потпуно, апсолутно"
2,ačhavela,v tr,-dž-/-d-,задржати
3,ačhola,v itr,-il-/-il-,остати
4,ačhovela,v itr,-dž-/-d-,"одморити, ослањати се"
5,adeti,n f,-ja/-ja-,обичај
6,adresa,n f,-e/-a-,адреса
7,adreza,n f,-e/-a-,адреса
8,advokati,n m,-ija/-es-,адвокат
9,adžahare,adv mod,,"тако, овако"
10,adžičerdo,adj m,,чекајући
11,adžičerela,v tr,-dž-/-d-,чекати
12,adžuhare,adv mod,,"тако, овако"
13,aerodromi,n m,-ija/-es-,аеродром
14,afera,n f,-e/-a-,афера
15,agencija,n f,-e/-a-,агентура
16,aglal ko,prep,,пред
17,agrikulturno,adj,,пољопривредни
18,ajbe,n m,-ba/-bas-,"долазак, стизање"
19,akaja,pron dem f,,ова
20,akaja rat,adv temp,,вечерас
21,akala,pron dem pl,,ови
22,akana,adv temp,,"сада, актуално"
23,akatar,adv loc,,одавде
24,akate,adv loc,,1. овде 2. овамо
25,akava,pron dem m,,овај
26,akava berš,adv temp,,ове године
27,akava drumo,adv temp,,оваj пут
28,akava jevend,adv temp,,ове зиме
29,akava nilaj,adv temp,,овог лета
30,akava puti,adv temp,,оваj пут
31,akcija,n f,-e/-a-,"радња, дело"
32,akcije,n f pl,,акције
33,akhor,n m,-a/-es-,орах
34,akhorengoro,adj m,,орахов
35,akhoresro kaš,n phr m,-a/-es-,орах (дрво)
36,ako,conj,,ако
37,akošela,v itr,-t-/-t-,опсовати
38,akšami,n m,-ija/-es-,вечер
39,aktivnost,n m,,"активност, делатност"
40,alat,n m,,алат
41,alavo,adj,,похлепан
42,alergično,adj,,алергичан
43,ali,conj,,али
44,alkoholno,adj,,алкохоличарски
45,amal,n m,-a/-es-,"пријатељ, друг"
46,amalikano,adj m,,"пријатељски, пријазан"
47,amalin,n f,,пријатељица
48,amalipe,n m,-pa/-pas-,пријатељство
49,amaro,pron poss 1 sg m,,наш
50,ambari,n m,-ija/-es-,"амбар, житница"
51,amen,pron pers 1 pl,,ми
52,anav,n m,-a/-es-,име
53,anbalaža,n f,-e/-a-,пакет
54,ando,prep,,"у, на"
55,ando tedani,conj,,откада
56,andral,prep,,у (унутра)
