Index,Entry Word,Part of Speech,Affix,Definition
1,aberi,n m,,Nachricht
2,aboka,adv,,"so sehr, so viele"
3,ačhavkerela,v itr,,"aufhalten, veranlassen zu bleiben"
4,ačhela,v itr,,"1. bleiben, wohnen, sich aufhalten 2. werden"
5,adaki,n m,,Gelübde
6,adava,pron dem m,,dieser
7,adeti,n m,,"Brauch, Gewohnheit, Sitte"
8,adikas,adv,,so
9,adives,adv temp,,heute
10,adže,adv,,noch (ein)
11,adželes,adv,,eilig
12,adžidinela,v tr,,1. bemitleiden 2. jmd mögen
13,adžikano,n m,,Fremde(r)
14,agor,n m,,"Seite, Rand"
15,agoral,adv loc,,von der Seite
16,agore,adv,,seitlich
17,agri,adj,,"grün, unreif"
18,ajde,interj,,"los, komm(t)"
19,ajlevi,n m,,Wohnung
20,ajni,adv,,"gleich, dasselbe"
21,ajris,adv,,getrennt
22,ajvani,n m,,Tier
23,akana,adv temp,,jetzt
24,akaring,prep,,"in Richtung, hin zu"
25,akaring,adv loc,,hier(her)
26,akatar,adv loc,,von hier
27,akate,adv loc,,hier
28,akathe,adv loc,,hier
29,akava,pron dem m,,dieser
30,ake,interj,,da ist es!
31,akhardarela,v tr,,tragen lassen
32,akharela,v tr,,"tragen (Lasten, Kleidungsstücke)"
33,akhor,n m,,Walnuss
34,akhorilin,n f,,Nußbaum
35,akrabas,n f,,weibliche Verwandte
36,akrabas,n m,,männlicher Verwandter
37,akšami,n m,,Abend
38,akšamiste,adv temp,,heute abend
39,akuji,n m,,"Verleumdung, üble Nachrede, Rufmord"
40,ala (GR),conj,,"aber, denn"
41,aladžakoro,adj m,,"aus Flachs, Leinen-"
42,alavela,v tr,,anfachen
43,alavkerela,v tr,,anfachen lassen
44,alazandivola,v itr,,"in Flammen geraten, entflammen"
45,alazas,n m,,Flamme
46,altîni,n m,,Gold
47,altînja,n m pl,,"Geld, Schätze"
48,ama,conj,,"aber, doch, auch, und"
49,amaksa,n f,,Fiaker
50,amal,n m,,"Freund, Gefährte"
51,amalin,n f,,"Freundin, Gefährtin"
52,amalipe,n m,,Freundschaft
53,amami,n m,,öffentliches Dampfbad
54,aman,interj,,o weh!
55,amaro,pron poss 1 sg m,,unser
56,ambari,n m,,"Silo, Speicher"
57,ambrol,n m,,Birne
58,ambrolilin,n f,,Birnbaum
59,ambrolin,n f,,Birnbaum
60,ameljati,n m,,Operation
61,amen,pron pers 1 pl,,wir
62,amsis,n m,,Sardelle
63,anav,n m,,Name
64,andarela,v tr,,(her)bringen lassen
65,andral,adv loc,,von innen
66,andre,adv loc,,"innen, hinein"
67,anela,v tr,,(her)bringen
68,angali,n f,,1. Umarmung 2. Schoß
69,angar,n m,,Kohle
70,anglal,adv,,1. (von) vorne 2. zuerst
71,angle,adv loc,,1. vorne 2. vorwärts
72,anglunes,adv temp,,zuerst
73,angluni,n f,,die Erste
74,angluno,n m,,der Erste
75,angoni,n m,,Enkel(in)
76,angrušni,n f,,Ring
77,anguni ,n m,,1. Enkel(in) 2. 
78,anlatiskerela,v tr,,"jem. veranlassen etwas zu erklären, etwas erklären lassen"
79,anlatînela,v tr,,"erklären, verständlich machen"
80,apo,adv,,je
81,apo čoral,adv mod,,heimlich
82,apo jek,adv,,je eines
83,apuša,n f,,Innenseite des Schenkels
84,arabas,n m,,"Wagen, Auto"
85,arakhavela,v tr,,"hüten, behüten, schützen"
86,arakhela,v tr,,1. finden 2. treffen
87,arati,adv temp,,"gestern abend, letzte Nacht"
88,aratinela,v itr,,übernachten
89,arativola,v itr,,"dämmern, Abend werden"
90,arginela,v itr,,"1. verlangsamen 2. sich verspäten, trödeln"
91,arman,n f,,"Fluch, Verwünschung, Lästerei"
92,armanajis (GR),n m,,August
93,armandino,adj m,,"verflucht, unter Bann"
94,Arnauti,n m,,Albaner
95,Arnavuti,n m,,Albaner
96,artîk,adv,,"nun, endlich"
97,asajipe,n m,,"Lachen, Gelächter"
98,asala,v itr,,lachen
99,asavela,v tr,,zum Lachen bringen
100,asavkerela,v tr,,zum Lachen bringen
101,asavko,adj,,"so einer, ein solcher"
102,asi,n m,,Träne
103,ašîrdinela,v itr,,erbrechen
104,askeri,n m,,Soldat
105,askerlîki,n m,,Militärdienst
106,aslani,n m,,"Löwe, Held"
107,astanes,n m,,Spital
108,astardivola,v itr,,"sich anlegen mit, aneinandergeraten"
109,astarela,v tr,,"greifen, fangen"
110,astarela,v itr,,sich anlegen mit jmd.
111,astarela oruči,v phr,,fasten
112,ašundo,adj m,,"1. bekannt, berühmt, angesehen 2. berüchtigt"
113,athar,adv loc,,von hier
114,athe,adv loc,,"hier, da"
115,avdžis,n m,,Jäger
116,avdžîluki,n m,,Jagd
117,avela,v itr,,1. kommen 2. werden 3. sein
118,avela godjate,v phr,,"einfallen, sich entsinnen, sich erinnern"
119,avgin,n f,,Honig
120,avlin,n f,,Hof
121,avri,adv loc,,"außen, hinaus"
122,avrjal,adv loc,,von draußen
123,axadindivola,v itr,,"verstanden werden, verständlich sein"
124,axajimaskoro,n m,,kluger Mensch
125,axajipe,n m,,Verständigkeit
126,axavela,v tr,,"1. verstehen, begreifen 2. kennen 3. empfinden, fühlen"
127,axavkerela,v tr,,"verständlich machen, zu verstehen geben"
128,axor,adv,,tief
129,azom...kazom,adv,,soviel…wie
130,baba,n f,,Großmutter
131,babalandivola,v itr,,"auskeimen, austreiben"
132,babalanela,v itr,,"eine Gänsehaut haben, erschauern"
133,babas,n m,,Marabutheiliger
134,badžas,n m,,Kamin
135,baj,n f,,Ärmel
136,bajrami,n m,,Bajram-Fest
137,bajtoni,n m,,Fiaker
138,bakali,n m,,Geschäft
139,bal,n m,,Haar
140,balalivola,v itr,,1. mit Haaren bedeckt sein 2. Haare bekommen
141,balamanipe,n m,,Griechenland
142,balamano gi,n phr,,mitleidloser / rücksichtsloser Mensch
143,balamli,n f,,Griechin
144,balamlo,n m,,Grieche
145,balamni,n f,,Griechin
146,balamno ,n m,,Grieche
147,balanipe,n m,,Griechenland
148,baljas,n m,,Ballen
149,bangjola,v itr,,sich biegen
150,bango,adj m,,"krumm, verbogen, verkrüppelt"
151,bar,n m,,"Stein, Fels"
152,barang,n m,,Zeltmittelpfosten
153,barima,adv,,"wenigstens, zumindest"
154,barjola,v itr,,"groß werden, aufwachsen"
155,baro,adj m,,"groß, großartig, mächtig"
156,baro papus,n phr,,Urgroßvater
157,bašavela,v itr,,furzen
158,bašela,v itr,,"lärmen, laut sein"
159,bašela (o bašno),v itr,,krähen (Hahn)
160,basma,n f,,Kattunstoff
161,bašno,n m,,Hahn
162,basti,n m,,Wette
163,bastuni,n m,,Stock
164,bax,n f,,"1. Glück, Freude 2. Nutzen, Vorteil"
165,baxčes,n m,,Garten
166,baxčivani,n m,,Gärtner
167,baxt,n f,,"1. Glück, Freude 2. Nutzen, Vorteil"
168,baxtalo,adj m,,"glücklich, zufrieden"
169,bazi,adv,,manchmal
170,bedava,adv,,"vergeblich, umsonst"
171,bejendinela,v tr/itr,,"Gefallen finden, mögen"
172,bejti,n m,,"Beyit, Spruch"
173,bekari,n m,,Junggeselle
174,bekletinela,v tr,,"warten, erwarten"
175,bekletiskerela,v tr,,jem. warten lassen
176,belki,adv,,vielleicht
177,beng,n m,,Teufel
178,berberi,n m,,"Barbier, Friseur"
179,beri,adv,,seit
180,bešavkerela,v tr,,veranlassen zu sitzen
181,bešela,v itr,,"1. sitzen 2. wohnen, bleiben, sich aufhalten"
182,bešimaskoro,n m,,Stubenhocker
183,bešindos,adj pp,,"sitzend, im Sitzen"
184,bešlarela ,v tr,,veranlassen zu sitzen
185,beza,n f pl,,1. Sünde 2. Unschicklichkeit
186,beza,adv,,"leider, schade"
187,bezendinela,v itr,,"ähnlich sein, ähneln"
188,bi,prep,,ohne
189,bi-,prep,,"un-, -los"
190,bibaxtalo,adj m,,"unglücklich, glücklos"
191,bibi,n f,,Tante
192,bičhavela,v tr,,schicken
193,bičhavkerela,v tr,,schicken lassen
194,bijandimaskoro dives,n phr,,Geburtstag
195,bijandjola,v itr,,"geboren werden, auf die Welt kommen"
196,bijanela,v tr/itr,,"gebären, zur Welt bringen"
197,bijanimaskoro dives,n m,,Geburtstag
198,bijanipe,n m,,"Geburt, Entstehung"
199,bijav,n m,,"Fest, Feierlichkeit (anlässlich einer Hochzeit oder Beschneidung)"
200,biknela,v tr,,verkaufen
201,bilačhipe,n m,,"Schlechtigkeit, schlechte Angelegenheit, Fehler"
202,bilačho,adj m,,"schlecht, verrucht, liederlich, unanständig"
203,biladžavno,adj m,,schamlos
204,bile,adv,,"sogar, nicht einmal"
205,biljavela,v tr,,schmelzen
206,biljola,v itr,,"schmelzen, zerfließen"
207,bilondo,adj m,,"unpassend, schlecht"
208,biršim,n m,,Regen
209,biršimeskoro,n m,,Regenwurm
210,bistardivola,v itr,,"in Vergessenheit geraten, vergessen werden"
211,bistardivola ,v itr,,"in Vergessenheit geraten, vergessen werden"
212,bistrela,v tr,,"vergessen, verzeihen"
213,bitinela,v tr,,aufhören
214,bitiskerela,v tr,,beenden
215,bixalo,adj m,,"stur, starrköpfig, uneinsichtig"
216,bobotakoro varo,n phr,,Maismehl
217,boja,n f,,Farbe
218,boji,n m,,"Höhe, Wuchs"
219,bokh,n f,,"1. Hunger, Appetit 2. Gier"
220,bokhajlivola,v itr,,"hungrig werden, hungern"
221,bokhalo,adj m,,"1. hungrig 2. gierig, unersättlich, habsüchtig"
222,bokoli,n f,,rundes Weißbrot
223,boldela,v tr,,"1. umdrehen, wenden 2. zurückgeben"
224,boldo,adj m,,"1. gebogen, gekrümmt 2. getauft 3. eingetaucht"
225,bolela,v tr,,1. eintauchen 2. taufen
226,bordži,n m,,Schulden
227,boro,n m,,"Fähre, Überfuhr"
228,brako,n m,,"Schaf, Lamm"
229,brekh ,n m,,1. Brust 2. Achsel
230,breš,n m,,Jahr
231,brešandivola,v itr,,"in die Jahre kommen, reifen"
232,brešuko,adj m,,einjährig (bei Kindern)
233,brlanta,n f,,Brillant
234,brokh,n m,,"Bereich zwischen Hemd und Brust(korb), Achsel"
235,brunda,n f,,"Furunkel, Ausschlag"
236,brundalivola,v itr,,"verkrätzen, Ausschlag bekommen"
237,budžando,adj m,,"gerissen, schlau"
238,buko,n m,,Leber
239,bul,n f,,"Gesäß, Hosenboden"
240,buldipe,n m,,Beischlaf
241,bule,adv,,"im Arsch, in den Arsch"
242,buledini,n f,,Hure
243,buljakoro,adj m,,durch Essensduft ungeduldig und hungrig geworden
244,buljola,v itr,,"breit werden, sich verbreitern"
245,bumbalos,n m,,Made
246,bumbaraki,n m,,Küchenschabe
247,bundžarela,v tr,,aufkrempeln
248,buništa,n f,,Misthaufen
249,bur,n m,,"Strauch, Gebüsch"
250,buri,adv,,vielleicht
251,burmalo,adj m,,gedreht
252,bursa,n f,,Seide
253,buruli,n f,,Biene
254,bušaladinela,v itr,,1. kriechen 2. stolpern
255,but,adj,,"viel, viele"
256,but,adv,,sehr
257,buti,n f,,"1. Arbeit, Beschäftigung, Mühe, Plage 2. Pflicht 3. Angelegenheit, Sache"
258,butipe,n m,,"Menge, Vielheit"
259,butjarno,adj m,,fleißig
260,buxlarela,v tr,,"verbreitern, erweitern"
261,buxljola,v itr,,"breit werden, sich verbreitern"
262,buxlo,adj m,,"breit, weit, geräumig"
263,buzaki,n m,,Kalb
264,buzni,n f,,Ziege
265,buzno,n m,,Bock
266,čačes,adv,,"wahr, richtig"
267,čačikano,adj m,,"wahr, echt"
268,čačipe,n m,,"1. Wahrheit, Wirklichkeit 2. Recht"
269,čačo,adj m,,"1. wahr, richtig 2. ehrlich"
270,čadîri,n m,,Zelt
271,čaj,n m,,Tee
272,čajlaki,n m,,"Milan, Weihe"
273,čalgadžis,n m,,Musiker
274,čalindos,adv mod,,zur Genüge
275,čaljarela,v itr,,"1. sättigen, satt machen 2. zufriedenstellen"
276,čaljola,v itr,,"satt werden, sich sättigen"
277,čalo,adj m,,"satt, zufrieden"
278,čamaširi,n m,,Wäsche
279,čami,n m,,Konifere
280,čang,n f,,"Bein, Schenkel"
281,čanta,n f,,Tasche
282,čapa,n f,,Hacke
283,čar,n f,,"Gras, Kraut, Heilpflanze"
284,čaran,n f,,1. Stirn 2. Stern
285,čardaki,n m,,"Laube, Vordach"
286,čardarela,v tr,,"auf die Weide führen, weiden (lassen)"
287,čarduni,n f,,Hure
288,čarduno,n m,,"Weidender, Weidegänger"
289,čarela,v tr,,lecken
290,čarja,n f pl,,"Wiese, Weide"
291,čarjola,v itr,,grasen
292,čaro,n m,,1. Schüssel 2. Teller
293,čaršamba,adv temp,,mittwochs
294,čaršamba,n f,,Mittwoch
295,čaršija,n f,,Wochenmarkt
296,čavka,n f,,Rabe
297,čedos,n m,,1. kleiner Bub 2. Bengel
298,čeni,n f,,Ohrring
299,češma,n f,,"Quelle, Brunnen"
300,čhadela,v itr,,erbrechen
301,čhaj,n f,,"1. Mädchen (Roma-), Tochter (Roma-) 2. Jungfrau"
302,čham,n f,,"Wange, Backe"
303,čhamčik,n f,,Kaugummi
304,čhavo,n m,,"Bursche (Roma-), Sohn (Roma-)"
305,čhe,interj,,liebe…
306,čhel,n f,,Pocken
307,čhibalo,adj m,,"dreist, vorlaut"
308,čhinavela,v tr,,"geloben, versprechen"
309,čhinela,v tr,,"1. schneiden, abschneiden, trennen 2. beschneiden"
310,čhingjarela,v tr,,"klein schneiden, zerschnipseln"
311,čhip,n f,,1. Sprache 2. Zunge 3. Rede
312,čhol,n f,,Pfiff
313,čhol dela,v phr,,pfeifen
314,čhor,n m,,Barthaar
315,čhora,n pl,,Bart
316,čhorajipe,n m,,Jungfräulichkeit
317,čhorela,v tr,,"1. ausschütten, verschütten 2. ausleeren"
318,čhorvalo,adj m,,bärtig
319,čhorvalo,n m,,"Bärtiger, Bartträger"
320,čhumut,n m,,Mond
321,čhungar,n m,,"Speichel, Spucke"
322,čhungarela,v itr,,spucken
323,čhuvela,v tr,,"setzen, legen, stellen"
324,čhuvela basti,v phr,,wetten
325,čičimas,adj,,splitternackt
326,čičivi,n m,,"1. Stachel, Dorn 2. Dornengeflecht"
327,čidakerela,v tr,,"leiden lassen, quälen"
328,čidarela ,v tr,,"leiden lassen, quälen"
329,čidela,v tr/itr,,1. leiden 2. ziehen
330,čifuti,n m,,Jude
331,čigara ,n f,,Zigarette
332,čik,n f,,"1. Dreck 2. Lehm, Schlick 3. Verputz"
333,čikalivola,v itr,,verdrecken
334,čikna,n f,,Geruch nach Angebranntem
335,čilibika,n f,,Schmetterling
336,čimla,n f,,Augendrüsenschleim
337,čimlandivola,v itr,,Schlafbrösel in den Augen haben
338,čipa,n f,,1. Schale 2. Rinde
339,čipinija,n f,,Rindenschnitzel (Unterzündmaterial)
340,čirikli,n f,,"1. Vogel 2. Spatz, Sperling"
341,čiriklo,n m,,"1. Vogel 2. Spatz, Sperling"
342,čîkîs,n m,,kleines Bündel
343,čobani,n m,,Schafhirte
344,čor,n m,,"Dieb, Räuber"
345,čorba,n f,,Suppe
346,čorela,v tr,,"stehlen, rauben"
347,čori,n f,,"Arme, Waise"
348,čoripe,n m,,Diebstahl
349,čoro,n m,,"Armer, Waise"
350,čoro,adj m,,"1. arm, elend, hilflos 2. verwaist"
351,čorolo,adj m,,"1. arm, elend, hilflos 2. verwaist"
352,čučarela,v tr,,"ausleeren, leeren"
353,čuči,n f,,"Brust, Busen"
354,čučjola,v itr,,"sich entleeren, leer sein"
355,čučka-pučka romni,n phr,,seniles altes Weib
356,čučo,adj m,,"1. wüst 2. leer, hohl"
357,čučuvali,adj f,,"milchgebend, die Brust gebend"
358,čukni,n f,,ein brennender Schlag
359,čuknida,n f,,Brennessel
360,čumidela,v tr,,küssen
361,čumidindivola,v itr,,geküsst werden
362,čumidini,n f,,"Geliebte, Angebetete, Kussfreundin"
363,čumidipe,n m,,Küsserei
364,čumuri,n m,,1. Hundefloh 2. Zeck
365,čünki,conj,,"weil, da"
366,čurni,n f,,Zopf
367,da,adv,,auch
368,daha,adv,,"auch, mehr"
369,daha angle,adv temp,,früher
370,daj,n f,,Mutter
371,dakikas,n m,,Minute
372,dalgas,n m,,"Spott, Scherz"
373,dali,n m,,"Zweig, Rute (zum Körbeflechten bestimmte Rute)"
374,damaškila,n f,,Pfirsich
375,dami,n m,,1. Stall 2. Dach
376,damladinela,v itr,,"tropfen, rinnen"
377,dan,n m,,Zahn
378,dand,n m,,Zahn
379,dandakerela,v tr,,"beißen lassen, zum Beißen veranlassen"
380,dandarela,v tr,,beißen
381,dandarimaskoro,adj m,,bissig
382,dandarimaskoro,n m,,Beißer
383,dap,n f,,"Schlag, Stoß, Prügel"
384,dapdela,v tr,,verprügeln
385,dapela,v tr,,1. schlagen 2. verprügeln
386,dar,n f,,Angst
387,darano,adj m,,furchtsam
388,daravela,v tr,,"jem. in Angst versetzen, jem. ängstigen"
389,darela,v itr,,"1. Angst haben, sich fürchten 2. sich sorgen"
390,dat,n m,,Vater
391,datar bijando,adj m,,splitternackt
392,davuldžis,n m,,Trommler
393,davuli,n m,,Trommel
394,daxtabiti,n f,,Wanze
395,dela,v tr,,1. geben 2. schenken
396,dela angali,v phr,,umarmen
