Index,Entry Word,Part of Speech,Affix,Definition
1,aberi,n m,,message
2,aboka,adv,,"so much, so many, that much"
3,ačhavela,v itr,,1. stop 2. make so. stay
4,ačhavkerela,v itr,,"stop, make so. stay"
5,ačhela,v itr,,"1. stay, remain, dwell 2. become"
6,adaki,n m,,vow
7,adava,pron dem m,,this
8,adeti,n m,,"custom, habit"
9,adikas,adv,,"like this, thus"
10,adives,adv temp,,today
11,adže,adv,,"in addition, (one) more"
12,adželes,adv,,in haste
13,adžidinela,v tr,,1. pity 2. like so.
14,adžikano,n m,,foreigner
15,agor,n m,,"edge, side"
16,agoral,adv loc,,"on the edge, on the side"
17,agore,adv,,aside
18,agri,adj,,"green, immature"
19,ajde,interj,,come on
20,ajlevi,n m,,(family) home
21,ajni,adv,,the same
22,ajris,adv,,separately
23,ajvani,n m,,animal
24,akana,adv temp,,now
25,akaring,prep,,"to, in the direction of"
26,akaring,adv loc,,"here, hither"
27,akatar,adv loc,,from here
28,akate,adv loc,,here
29,akathe,adv loc,,here
30,akava,pron dem m,,this
31,ake,interj,,there it is!
32,akhardarela,v tr,,"make so. carry sth., let so. carry sth."
33,akharela,v tr,,"carry, wear"
34,akhor,n m,,walnut
35,akhorilin,n f,,nut-tree
36,akrabas,n f,,female relative
37,akrabas,n m,,male relative
38,akšami,n m,,evening
39,akšamiste,adv temp,,"tonight, this evening"
40,akuji,n m,,"calumny, slander"
41,ala (GR),conj,,but
42,aladžakoro,adj m,,"made from flax, linnen"
43,alavela,v tr,,"ignite, kindle"
44,alavkerela,v tr,,make so. kindle sth.
45,alazandivola,v itr,,flash
46,alazas,n m,,flame
47,altîni,n m,,gold
48,altînja,n m pl,,"money, valuables"
49,ama,conj,,"but, and"
50,amaksa,n f,,cab
51,amal,n m,,"friend, companion"
52,amalin,n f,,friend
53,amalipe,n m,,friendship
54,amami,n m,,Turkish bath
55,aman,interj,,oh God!
56,amaro,pron poss 1 sg m,,our
57,ambari,n m,,"silo, tank"
58,ambrol,n m,,pear
59,ambrolilin,n f,,pear-tree
60,ambrolin,n f,,pear-tree
61,ameljati,n m,,operation
62,amen,pron pers 1 pl,,we
63,amsis,n m,,sardella
64,anav,n m,,name
65,andarela,v tr,,"send for, order"
66,andral,adv loc,,from inside
67,andre,adv loc,,"inside, into"
68,anela,v tr,,bring
69,angali,n f,,1. embrace 2. lap
70,angar,n m,,coal
71,anglal,adv,,1. in front 2. firstly
72,angle,adv loc,,1. in front 2. forward
73,anglunes,adv temp,,at first
74,angluni,n f,,the first
75,angluno,n m,,the first
76,angoni,n m,,grandchild
77,angrušni,n f,,ring
78,anguni ,n m,,grandchild
79,anlatiskerela,v tr,,"make sb. explain sth., have sth. explained"
80,anlatînela,v tr,,explain
81,apo,adv,,one each
82,apo čoral,adv mod,,secretly
83,apo jek,adv,,one by one
84,apuša,n f,,the inside of the leg
85,arabas,n m,,car
86,arakhavela,v tr,,"guard, protect"
87,arakhela,v tr,,1. find 2. meet
88,arati,adv temp,,last night
89,aratinela,v itr,,spend the night
90,arativola,v itr,,"grow dusky, night is coming in"
91,arginela,v itr,,"1. slow down 2. be late, doodle around"
92,arman,n f,,curse
93,armanajis (GR),n m,,August
94,armandino,adj m,,cursed
95,Arnauti,n m,,Albanian
96,Arnavuti,n m,,Albanian
97,artîk,adv,,eventually
98,asajipe,n m,,laughter
99,asala,v itr,,laugh
100,asavela,v tr,,make so. laugh
101,asavkerela,v tr,,make so. laugh
102,asavko,adj,,"such a …, one like this"
103,asi,n m,,tear
104,ašîrdinela,v itr,,vomit
105,askeri,n m,,soldier
106,askerlîki,n m,,military service
107,aslani,n m,,"lion, hero"
108,astanes,n m,,hospital
109,astardivola,v itr,,"start a fight with so., tangle with"
110,astarela,v itr,,start a fight with
111,astarela,v tr,,"grab, catch"
112,astarela oruči,v phr,,fast
113,ašundo,adj m,,"1. known, famous 2. ill-famed"
114,athar,adv loc,,from here
115,athe,adv loc,,here
116,avdžis,n m,,hunter
117,avdžîluki,n m,,hunt(ing)
118,avela,v itr,,1. come 2. become 3. be
119,avela godjate,v phr,,come into so.'s mind
120,avgin,n f,,honey
121,avlin,n f,,yard
122,avri,adv loc,,"out, outside"
123,avrjal,adv loc,,from outside
124,axadindivola,v itr,,"be understood, be understandable"
125,axajimaskoro,n m,,sensible person
126,axajipe,n m,,prudence
127,axavela,v tr,,1. understand 2. know 3. feel
128,axavkerela,v tr,,to make so. understand sth.
129,axor,adv,,deeply
130,azom...kazom,adv,,as much…as
131,baba,n f,,grandmother
132,babalandivola,v itr,,sprout
133,babalanela,v itr,,shudder
134,babas,n m,,Marabut-saint
135,badžas,n m,,chimney
136,baj,n f,,sleeve
137,bajrami,n m,,Bajram-festival
138,bajtoni,n m,,cab
139,bakali,n m,,store
140,bal,n m,,hair
141,balalivola,v itr,,1. be covered with hair 2. become hairy
142,balamanipe,n m,,Greece
143,balamano gi,n phr,,ruthless person
144,balamli,n f,,Greek woman
145,balamlo,n m,,Greek man
146,balamni,n f,,Greek woman
147,balamno ,n m,,Greek man
148,balanipe,n m,,Greece
149,baljas,n m,,"bale, pack"
150,bangjola,v itr,,bend
151,bango,adj m,,"crooked, bent"
152,bar,n m,,"stone, rock"
153,barang,n m,,middle stake of a tent
154,barima,adv,,at least
155,barjola,v itr,,"grow, grow up"
156,baro,adj m,,"big, mighty"
157,baro papus,n phr,,great-grandfather
158,bašavela,v itr,,fart
159,bašela,v itr,,"make noise, be noisy"
160,bašela (o bašno),v itr,,crow (cock)
161,basma,n f,,calico
162,bašno,n m,,cock
