Index,Entry Word,Part of Speech,Affix,Definition
1,a doua,num ord,,zweite
2,abažuros,n m pl,-urja/-es-,Lampenschirm
3,abďes,adv temp,,heute
4,aborkha,adj indef,,"so viel, so viele [«aborkha vreme so» - solange (bis)]"
5,absenca,n f,-es/-a-,Abwesenheit
6,absoluto,adj,,absolut
7,absoluto,adv mod,,absolut
8,absolventos,n m,-urja/-es-,Absolvent
9,aburos,n m,-urja/-os-,Dampf
10,abuzos,n m,-urja/-os-,Beschimpfung
11,ačhjol,v itr,-iľ-/-il-,bleiben
12,ačido,adj,,sauer (chemisch)
13,ačidos,n m,-urja/-os-,Säure
14,acîcozel,v tr,,schüren
15,adajkha,pron dem f,,diese
16,adalkha,pron dem pl,,diese
17,adaukha,pron dem m,,dieser
18,adaukha,adj indef,,gleich
19,adavǩatar,adv,,davon
20,adekvato,adj,,"angemessen, gerecht"
21,adînčimja,n f,-es/-a-,Tiefe
22,adînčizel,v tr,,tiefer machen
23,admirizel,v tr,,bewundern
24,adoptizel,v tr,,adoptieren
25,adresa,n f,-es/-a-,Adresse
26,adulteri,n m,-ja/-es-,Erwachsenenalter
27,adžencija,n f,-es/-a-,Agentur
28,aeroportos,n m,-urja/-es-,Flughafen
29,aeros,n m,-urja/-os-,Luft
30,afačeŕa,n f,-es/-a-,"Handel, Geschäft"
31,afina,n f,-es/-ja-,Schwarzbeere
32,aglomeracija,n f,-es/-ja-,Gedränge
33,agrikolo,adj,,landwirtschaftlich
34,agrikultura,n f,-es/-ja-,1. Landwirtschaft 2. Ackerbau
35,agriša,n f,-es/-ja-,Stachelbeere
36,aha,part,,ja
37,ajakha,adv mod,,"1. so, auf diese Art [«ajakha de but» - so sehr, so viel] [«ajakha jekh» - so ein] [«kam ajakha» - ungefähr] 2. deshalb, dadurch"
38,ajŕat,adv temp,,1. diese Nacht 2. am Abend
39,ajuŕa,adv loc,,anderswo
40,akajkha,pron dem f,,diese [«andar akajkha» - dadurch]
41,akalkha,pron dem pl,,diese
42,akana,adv temp,,jetzt
43,akanak,adv temp,,"jetzt [«de akanara angle» - ab sofort, von jetzt an] [«ži akanak» - bis jetzt, bisher]"
44,akatar,adv loc,,von hier
45,akate,adv loc,,1. hier 2. hierher
46,akaukha,pron dem m,,dieser
47,akaukha drom,adv loc,,hier lang
48,akčeso,n m,-urja/-os-,Zugang
49,akčidentos,n m,-urja/-os-,Unfall
50,akcionizel,v itr,,"handeln, agieren"
51,akcjuňa,n f,-es/-a-,Handlung
52,akcjunes,n f pl,,Aktien
53,akhor,n m,-a/-es-,"Nuss, Walnuss"
54,akhoreskoro,adj m,,Nuss-
55,akhorin,n f,-a/-a-,"Nussbaum, Walnussbaum"
56,akomodizel,v tr,,beherbergen
57,akoperiši,n m,-ja/-es-,Dach
58,aktivitate,n f,,Tätigkeit
59,aktori,n m,-ja/-es-,Schauspieler
60,aktos,n m,-urja/-os-,Tat
61,aktrica,n f,-es/-a-,Schauspielerin
62,al činčeľa,num ord,,fünfte
63,al dojleja,num ord,,zweite
64,al douozečelea,num ord,,zwanzigste
65,al nouoľa,num ord,,neunte
66,al opteľa,num ord,,achte
67,al patruľa,num ord,,vierte
68,al šapteľa,num ord,,siebente
69,al šaseľa,num ord,,sechste
70,al trejľa,num ord,,dritte
71,al trejšpeľa,num ord,,dreißigste
72,al zečeľa,num ord,,zehnte
73,alama,n f,-es/-ja-,Messing
74,alau,n m,,Wort
75,Alax,n m,—/-es-,Allah
76,albastrizel,v tr/itr,,"1. blau werden 2. bläuen, blau färben, blau machen"
77,albastro,adj,,blau
78,albina,n f,-es/-ja-,Biene
79,albumina,n f,-es/-ja-,Eiweiß
80,aledžeŕa,n f,-es/-a-,Wahl (polit.)
81,alerdžija,n m,-es/-a-,Allergie
82,alerdžiko,adj,,allergisch
83,aležizel,v tr,,"1. auswählen, aussuchen 2. sortieren"
84,alimentaŕa,n f,-es/-a-,Ernährung
85,alimentara pensija,n phr m,-es/-a-,Alimente
86,alinozel,v itr,,lindern
87,alkooliko,adj m,,alkoholisch
88,alkoolos,n m,-urja/-os-,Alkohol
89,altaros,n m,-urja/-os-,Altar
90,aluna,n f,-es/-ja-,"1. Nuss, Haselnuss 2. Erdnuss"
91,amal,n m,-a/-es-,"1. Freund, Partner 2. Gefährte, Kamerad"
92,amalikano,adj m,,freundlich
93,amalin,n f,-a/-a-,Freundin
94,amalipe,n m,-imata/-imas-,"1. Freundschaft 2. Zusammenarbeit, Partnerschaft 3. Beziehung 4. Solidarität"
95,amanuntos,n m,-urja/-os-,Detail
96,amaro,pron poss 1 sg m,,unser
97,ambrol,n m,-a/-es-,Birne
98,ambrolin,n f,-a/-a-,Birnbaum
99,ambulanca,n f,-es/-ja-,1. Rettung 2. Ambulanz
100,ambutejažos,n m,-urja/-os-,"Stau, Autostau"
101,ame,pron pers 1 pl,,wir
102,amecime,adj,,benommen
103,amênaŕa,n f,-es/-a-,Aufschub
104,amenda,n f,-es/-ja-,Strafe
105,amenincizel,v tr,,bedrohen
106,amidonos,n m,-urja/-os-,Stärke
107,amniotiko gono,n phr m,-oja/-ja-,Fruchtblase
108,amoni,n m,-ja/-es-,Amboss
109,ananasos,n m pl,-urja/-os-,Ananas
110,anau,n m,-a/-es-,Name
111,anav,n m,-a/-es-,Name [«del anav» - nennen]
112,andar,prep,,"1. von, aus, von [«som andar e Konstanza» - ich bin aus Konstanza] [«našti traizesas andar jekhe salarjeste» - von einem Gehalt haben wir nicht leben können] 2. für, zugunsten 3. aus"
113,andar jekh parťa,adv loc,,von der Seite
114,andar o čentros,adv loc,,aus der Mitte
115,andar sare thana,adv loc,,von überall
116,ande,prep,,"1. in, im, innerhalb (von) [«on nas akhta amende, sas ande Moldova» - sie waren nicht hier bei uns, sie waren in Moldawien] [«sas ande familja lende šou phral» - sie waren sechs Brüder in der Familie] [«ando čentros» - in die Mitte] 2. in 3. auf [«Haj thode la ande jekhe dromeste katar nakhel.» - Und sie stellten sie auf eine Straße, von der sie wegläuft.] 4. während"
117,ande adajkha vreme,adv temp,,"währenddessen, unterdessen"
118,ande dŕapta,adv loc,,rechts
119,ande paluni vremja,adv temp,,"neulich, kürzlich, in letzter Zeit"
120,ande pirende,adv mod,,zu Fuß
121,ande primavara,adv temp,,im Frühling
122,ande stînga,adv loc,,links
123,ande tomna,adv temp,,im Herbst
124,ande xoli,prep,,"trotz, gegen"
125,ando žuros,adv loc,,herum
126,andral,adv loc,,"von drinnen, von innen heraus"
127,andre,part vb,,Verbalpartikel basierend auf dem Adverb 'andre' [«žal andre» - hineingehen]
128,andre,adv loc,,"1. hinein, nach drinnen [«An la andre te das la li ame te xal.» - Bring sie hinein, damit wir ihr zu essen geben können.] 2. innen, drinnen"
129,andrutno,adj m,,"innerer, Innen-"
130,aneksa,n f,-es/-ja-,"Anbau, Ausbau"
131,anel,v tr,,bringen [«anel pale» - zurückbringen]
132,anel aminte,v phr itr,,"sich erinnern, jem. erinnern"
133,anestezija,n f,-es/-a-,Anästhesie
134,anestizel,v tr,,betäuben (mit Medikamenten)
135,angar,n m,-a/-es-,1. Kohle 2. Glut
136,angareskoro,adj m,,"Kohlen-, aus Kohle"
137,angarestar,adv mod,,Kohle-
138,angažarea,n f,,Anstellung
139,angažatos,n m,—/-os-,Angestellter
140,angažizel,v tr,,"anstellen, beschäftigen"
141,anglal,adv temp,,"1. früher, vorher, zuerst 2. ursprünglich"
142,anglal,conj,,bevor
143,anglal,part vb,,Verbalpartikel basierend auf dem Adverb 'anglal'
144,anglal,adv loc,,"1. vorne, davor 2. vorwärts, voraus 3. von vorne"
145,anglal ,prep,,"1. vor (räumlich), vor (zeitlich) 2. über (z.B. über den Fluss) 3. gegenüber"
146,anglalo anao,n phr m,-a/-es-,Vorname
147,angle,adv loc,,"vorwärts, nach vorne"
148,angle,part vb,,Verbalpartikel basierend auf dem Adverb 'angle'
