Index,Entry Word,Part of Speech,Affix,Definition
1,a doua,num ord,,second
2,abažuros,n m pl,-urja/-es-,lampshade
3,abďes,adv temp,,today
4,aborkha,adj indef,,"so much, so many [«aborkha vreme so» - as long as]"
5,absenca,n f,-es/-a-,absence
6,absoluto,adv mod,,absolutely
7,absoluto,adj,,absolute
8,absolventos,n m,-urja/-es-,graduate
9,aburos,n m,-urja/-os-,steam
10,abuzos,n m,-urja/-os-,abuse
11,ačhjol,v itr,-iľ-/-il-,remain
12,ačido,adj,,acid
13,ačidos,n m,-urja/-os-,acid
14,acîcozel,v tr,,stoke
15,adajkha,pron dem f,,this
16,adalkha,pron dem pl,,these
17,adaukha,pron dem m,,this
18,adaukha,adj indef,,same
19,adavǩatar,adv,,there from
20,adekvato,adj,,"just, equitable"
21,adînčimja,n f,-es/-a-,depth
22,adînčizel,v tr,,deepen
23,admirizel,v tr,,admire
24,adoptizel,v tr,,adopt
25,adresa,n f,-es/-a-,address
26,adulteri,n m,-ja/-es-,adultery
27,adžencija,n f,-es/-a-,agency
28,aeroportos,n m,-urja/-es-,airport
29,aeros,n m,-urja/-os-,air
30,afačeŕa,n f,-es/-a-,"trade, deal, business"
31,afina,n f,-es/-ja-,blackberry
32,aglomeracija,n f,-es/-ja-,"crush, jam, press"
33,agrikolo,adj,,agricultural
34,agrikultura,n f,-es/-ja-,1. agriculture 2. tillage
35,agriša,n f,-es/-ja-,gooseberry
36,aha,part,,yes
37,ajakha,adv mod,,"1. in this way, thus [«ajakha de but» - so much] [«ajakha jekh» - such a] [«kam ajakha» - approximately] 2. therefore"
38,ajŕat,adv temp,,1. tonight 2. in the evening
39,ajuŕa,adv loc,,elsewhere
40,akajkha,pron dem f,,this [«andar akajkha» - thereby]
41,akalkha,pron dem pl,,these
42,akana,adv temp,,now
43,akanak,adv temp,,"now [«de akanara angle» - from now on] [«ži akanak» - until now, so far]"
44,akatar,adv loc,,from here
45,akate,adv loc,,here
46,akaukha,pron dem m,,this
47,akaukha drom,adv loc,,this way
48,akčeso,n m,-urja/-os-,access
49,akčidentos,n m,-urja/-os-,accident
50,akcionizel,v itr,,act
51,akcjuňa,n f,-es/-a-,action
52,akcjunes,n f pl,,"stock, shares"
53,akhor,n m,-a/-es-,"nut, walnut"
54,akhoreskoro,adj m,,nut-
55,akhorin,n f,-a/-a-,"nut tree, walnut tree"
56,akomodizel,v tr,,accommodate
57,akoperiši,n m,-ja/-es-,roof
58,aktivitate,n f,,activity
59,aktori,n m,-ja/-es-,actor
60,aktos,n m,-urja/-os-,act
61,aktrica,n f,-es/-a-,actress
62,al činčeľa,num ord,,fifth
63,al dojleja,num ord,,second
64,al douozečelea,num ord,,twentieth
65,al nouoľa,num ord,,ninth
66,al opteľa,num ord,,eighth
67,al patruľa,num ord,,fourth
68,al šapteľa,num ord,,seventh
69,al šaseľa,num ord,,sixth
70,al trejľa,num ord,,third
71,al trejšpeľa,num ord,,thirteenth
72,al zečeľa,num ord,,tenth
73,alama,n f,-es/-ja-,brass
74,alau,n m,,word
75,Alax,n m,—/-es-,Allah
76,albastrizel,v tr/itr,,"1. turn blue 2. blue, make sth. blue"
77,albastro,adj,,blue
78,albina,n f,-es/-ja-,bee
79,albumina,n f,-es/-ja-,protein
80,aledžeŕa,n f,-es/-a-,election
81,alerdžija,n m,-es/-a-,allergy
82,alerdžiko,adj,,allergic
83,aležizel,v tr,,"1. choose, select 2. sort"
84,alimentaŕa,n f,-es/-a-,feeding
85,alimentara pensija,n phr m,-es/-a-,alimony
86,alinozel,v itr,,soothe
87,alkooliko,adj m,,alcoholic
88,alkoolos,n m,-urja/-os-,alcohol
89,altaros,n m,-urja/-os-,altar
90,aluna,n f,-es/-ja-,"1. nut, hazelnut 2. peanut, goober"
91,amal,n m,-a/-es-,"1. friend, partner 2. comrade"
92,amalikano,adj m,,friendly
93,amalin,n f,-a/-a-,female friend
94,amalipe,n m,-imata/-imas-,"1. friendship 2. cooperation, partnership 3. relationship 4. solidarity"
95,amanuntos,n m,-urja/-os-,detail
96,amaro,pron poss 1 sg m,,our
97,ambrol,n m,-a/-es-,pear
98,ambrolin,n f,-a/-a-,pear tree
99,ambulanca,n f,-es/-ja-,ambulance
100,ambutejažos,n m,-urja/-os-,jam
101,ame,pron pers 1 pl,,we
102,amecime,adj,,dizzy
103,amênaŕa,n f,-es/-a-,extension
