Index,Entry Word,Part of Speech,Affix,Definition
1,a doua,num ord,,a doua
2,abažuros,n m pl,-urja/-es-,abajur
3,abďes,adv temp,,astăzi
4,aborkha,adj indef,,atât [«aborkha vreme so» - atâta vreme cât]
5,absenca,n f,-es/-a-,absenţă
6,absoluto,adv mod,,absolut
7,absoluto,adj,,absolut
8,absolventos,n m,-urja/-es-,absolvent
9,aburos,n m,-urja/-os-,abur
10,abuzos,n m,-urja/-os-,"abuz, insultă"
11,ačhjol,v itr,-iľ-/-il-,a rămâne
12,ačido,adj,,acid (chemic)
13,ačidos,n m,-urja/-os-,acid
14,acîcozel,v tr,,a aţăţa (focul)
15,adajkha,pron dem f,,aceasta
16,adalkha,pron dem pl,,"aceştia, acestea"
17,adaukha,adj indef,,acelaşi
18,adaukha,pron dem m,,acesta
19,adavǩatar,adv,,de la asta
20,adekvato,adj,,"adecvat, potrivit"
21,adînčimja,n f,-es/-a-,adâncime
22,adînčizel,v tr,,a adânci
23,admirizel,v tr,,a admira
24,adoptizel,v tr,,a adopta
25,adresa,n f,-es/-a-,adresă
26,adulteri,n m,-ja/-es-,adulter
27,adžencija,n f,-es/-a-,agenţie
28,aeroportos,n m,-urja/-es-,aeroport
29,aeros,n m,-urja/-os-,aer
30,afačeŕa,n f,-es/-a-,afacere
31,afina,n f,-es/-ja-,"afină, mură"
32,aglomeracija,n f,-es/-ja-,"aglomeraţie, îmbulzeală"
33,agrikolo,adj,,agricol
34,agrikultura,n f,-es/-ja-,agricultură
35,agriša,n f,-es/-ja-,agrişă
36,aha,part,,da
37,ajakha,adv mod,,"1. astfel [«ajakha de but» - atât] [«ajakha jekh» - aşa o, aşa un] [«kam ajakha» - aproximativ] 2. de aceea, astfel"
38,ajŕat,adv temp,,1. la noapte 2. deseară
39,ajuŕa,adv loc,,aiurea
40,akajkha,pron dem f,,aceasta [«andar akajkha» - de aceea]
41,akalkha,pron dem pl,,"aceştia, acestea"
42,akana,adv temp,,acum
43,akanak,adv temp,,acum [«de akanara angle» - de acum încolo] [«ži akanak» - până acum]
44,akatar,adv loc,,de aici
45,akate,adv loc,,aici
46,akaukha,pron dem m,,acesta
47,akaukha drom,adv loc,,pe aici
48,akčeso,n m,-urja/-os-,acces
49,akčidentos,n m,-urja/-os-,accident
50,akcionizel,v itr,,a acţiona
51,akcjuňa,n f,-es/-a-,acţiune
52,akcjunes,n f pl,,acţiuni
53,akhor,n m,-a/-es-,nucă
54,akhoreskoro,adj m,,din nucă
55,akhorin,n f,-a/-a-,nuc
56,akomodizel,v tr,,a acomoda
57,akoperiši,n m,-ja/-es-,acoperiş
58,aktivitate,n f,,activitate
59,aktori,n m,-ja/-es-,actor
60,aktos,n m,-urja/-os-,act
61,aktrica,n f,-es/-a-,actriţă
62,al činčeľa,num ord,,al cincelea
63,al dojleja,num ord,,al doilea
64,al douozečelea,num ord,,al douăzecelea
65,al nouoľa,num ord,,al nouălea
66,al opteľa,num ord,,al optulea
67,al patruľa,num ord,,al patrulea
68,al šapteľa,num ord,,al şaptelea
69,al šaseľa,num ord,,al şaselea
70,al trejľa,num ord,,al treilea
71,al trejšpeľa,num ord,,al treisprezecelea
72,al zečeľa,num ord,,al zecelea
73,alama,n f,-es/-ja-,alamă
74,alau,n m,,cuvânt
