Index,Entry Word,Part of Speech,Affix,Definition
1,a,adv int,,wie
2,aber,conj,,"aber, jedoch"
3,abrilo,n m,,April
4,acel,v tr,-∅-/-d-,finden
5,ačel,v tr,-∅-/-d-,finden
6,ačel ,v itr,"-j-, -∅-/-d-",1. bleiben 2. stehen
7,acla,n f,,Elster
8,adlari,n m,,Adler
9,adrin,adv loc,,"1. drinnen, innen 2. hinein"
10,afo,n m,,Affe
11,afokato,n m,,"Anwalt, Rechtsanwalt, Advokat"
12,afrel pre,partv,-∅-/—,"aufheben, sammeln, versammeln"
13,agaci,n pl,,Akazie
14,agati,n pl,,Akazie
15,aglan,adv loc,,"voran, vorne"
16,aglan,prep,,vor
17,ago,n m,,Bauer
18,aj,interj,,"ach, oh [«Aj čovali, šundan šon amol sau kova?» - Ach Kinder, habt ihr so etwas schon einmal gehört?]"
19,ajgeno,adj m,,eigener
20,ajla,n f,,Eule
21,ajmera,n f,,Eimer
22,ajmero,n m,,Eimer
23,ajnsidlaraca,n f,,Einsiedlerin
24,ajso,n m,,Eisen
25,ajso pani,n phr,,Eis
26,ajxla,n f,,Eichel (bot. und anat.)
27,ajzebana,n f,,Eisenbahn
28,ajzo,n m,,Abszess
29,aka,adv loc,,"hier, da, dort"
30,akaj,adv loc,,"hier, da, dort"
31,akaj glan,adv temp,,vorher
32,akana,adv temp,,1. jetzt 2. denn
33,akari,n m,,"Acker, Feld"
34,akarkon,pron indef,,wer auch immer
35,akarsar,adv indef,,wie auch immer
36,akarso,pron indef,,was auch immer
37,akater,adv loc,,1. hier 2. hierher 3. von hier
38,ake,conj,,"wie, als, sobald als"
39,ake,part,,hier ist
40,ake,adv mod,,"so, ebenso"
41,ake,adv loc,,"hier, da, dort"
42,akeake,adv mod,,"so, ebenso"
43,aki,interj,,"He!, Oh! [«Aki! Ho ti vel kana kova?» - He, was soll denn das sein?]"
44,aki,adv loc,,"hier, da, dort [«Aki dik!» - Schau mal hier!]"
45,ako,adj indef,,"jeder, alle"
46,akoter,adv loc,,"dort, von dort, dorthin"
47,aksa,n f,,Achse
48,akun,pron indef,,jeder
49,ala,n f,,Ahle
50,alc,adv indef,,immer
51,ale vek,adv,,"sicherlich, sicher"
52,aleja,n f,,Allee
53,alemeti,n,,Zündholz
54,alojtre,adj indef,,"alle, sämtliche, ganz"
55,als,adv indef,,immer
56,als fort,adv,,"immer fort (nach dem Verb), ohne aufzuhören (nach dem Verb)"
57,amaro,pron poss 1 sg m,,unser
58,ambalavel pes,v itr,-d-/-emen,durchgehen (Pferd)
59,ambalel pes,v itr,-d-/-emen,durchgehen (Pferd)
60,ambhrol,n f,,Birne
61,ame,pron pers 1 pl,,wir
62,amen,pron pers 1 pl,,wir
63,amerikanari,n m,,Amerikaner
64,amola,n f,,1. Muttermal 2. Neid
65,ampra,n f,,"Eimer, Kübel, Kanne"
66,amšla,n f,,Amsel
67,amšlo,n m,,Amsel
68,amto,n m,,Amt
69,an,part vb,,Verbalpartikel
70,an,prep,,1. in 2. nach
71,an...dren,prep,,in…drinnen
72,anav,n m,,Wort
73,ancajgeba,n m,,"Ankündigung eines Todes, Anzeichen eines Todes"
74,ancajxepen,n m,,"Ankündigung eines Todes, Anzeichen eines Todes"
75,ancugo,n m,,Anzug
76,and,prep,,in
77,andalustiko,adj m,,andalusisch
78,andiklo,adj m,,"angesehen, respektiert"
79,andino,adj m,,"beschwipst, angeheitert"
80,anel,v tr,"-d-, -∅-/-dl-","bringen, tragen, führen"
81,anel durš,partv,"-d-, -∅-/-dl-","jmd. durch etwas durchbringen (Bach, Fluss) [«Andas les li i paxa durš.» - Sie bringt ihn durch den Bach.]"
82,anel fort,partv,"-d-, -∅-/-dl-","wegbringen, wegtragen"
83,anel ke rik,v,"-d-, -∅-/-dl-","etwas durchbringen, verschwenden"
84,anga,num card,,neun
85,angar,n m,,Kohle
86,angarengero,n m,,Köhler
87,angel,v tr,-d-/-d-,kämmen (Haar)
88,anger,n m,,Kohle
89,angerengero,n m,,Köhler
90,anglo,n m,,Angelhaken
91,angrel,v tr,-d-/-d-,kämmen (Haar)
92,angrel vri,partv,,entwirren
93,angšta,n f,,"Angst, Furcht"
94,angusterengero,n m,,"Goldschmied, Juwelier"
95,angusteri,n f,,"Ring, Reif"
96,angusterin,n f,,"Ring, Reif"
97,anhalta,n f,,"Umgang, Umlauf"
98,ano pral,adv,,in der Höhe
99,anpiksemen,adj,,"leicht betrunken, beschwippst, angeheitert"
100,anpilemen,adj m,,betrunken
101,anpilo,adj m,,betrunken
102,anpliksemen,adj,,"leicht betrunken, beschwippst, angeheitert"
103,antre,prep,,unter [«Šenken pen le vri antre pen te pien le.» - ]
104,antvorta,n f,,Antwort
105,anvakseba,n m,,Schmalbrüstigkeit (Kinderkrankheit)
106,anvaksemen,adj m,,"schmalbrüstiges Kind mit Atembeschwerden, Kind das nicht zunimmt und eine Art von Bronchitis hat"
107,anvaksepa,n m,,Schmalbrüstigkeit (Kinderkrankheit)
108,anvejlego,adj m,,"1. weich, schwach (Charakter) 2. angeekelt"
109,ap,prep,,"auf, nach, zu [«Nijala dschah mengi ap i rajza.» - Immer Sommer gehen wir auf die Reise.]"
110,ap o džipen,adv phr,,lebenslänglich
111,ap o pral,adv,,auf die hohe See
112,ap rat,adv phr,,heute abend
113,aparato,n m,,Apparat
114,apetita,n f,,Appetit
115,apla,n f,,Apfel
116,aplema,n f,,"1. bei Kindern auftretende Krankheit von alten Leuten 2. Johanniskraut (Pflanze zur Heilung von aplema/apnema), Hohlzahn (Pflanze zur Heilung von aplema/apnema)"
117,apnema,n f,,"1. bei Kindern auftretende Krankheit von alten Leuten 2. Johanniskraut (Pflanze zur Heilung von aplema/apnema), Hohlzahn (Pflanze zur Heilung von aplema/apnema)"
118,apral,adv loc,,"oben, droben, empor, darüber"
119,apre,prep,,auf
120,apšajvego,adj m,,"1. abstoßend, widerwärtig 2. bedauerlich"
121,arbajtarel,v itr,,arbeiten
122,argedar,adv mod,,"schlechter, ärger [«Hi lo argedar har o vavar.» - Er ist ärger als der andere.]"
123,armentiko,adj m,,armenisch
124,armentiko them,n phr,,Armenien
125,armizeli,n f,,arme Seele
126,armzelo,n m,,arme Seele
127,arpsa,n f,,Erbse
128,arš,n f,,Arsch
129,aša,n f,,Asche
130,asta,n f,,"Ast, Zweig"
131,asvin,n m,,Stahl
132,aua,part,,ja
133,augacimla,n f,,Augenwimper
134,ava,part,,ja
135,avan,prep,,bevor [«avan te džal lo fort» - bevor er weggeht]
136,avel,v aux itr,,"werden (in der Passivkonstruktion) [«Deh jak ti vehs nit diklu!» - Pass auf, dass du nicht gesehen wirst!]"
137,avel,v cop itr,,1. sein [«Tu kreh hir ti vel tuki či.» - Du tust als wäre es belanglos für dich.] 2. werden
138,avel ,v itr,,kommen
139,avel  rasni,v phr,,tauen
140,avelen,part,,"ja doch, doch"
141,avo,adj int,,welcher
142,avo,adj indef,,welch ein
143,avri,adv loc,,"1. draussen 2. hinaus, heraus"
144,avrin,adv loc,,"1. draussen 2. hinaus, heraus"
145,ax!,interj,,ach!
146,babi,n f,,"Sabber, Geifer"
147,bagalo,n m,,Löwe
148,baj,n f,,Ärmel
