Index,Entry Word,Part of Speech,Affix,Definition
1,a,adv int,,how
2,aber,conj,,"but, however"
3,abrilo,n m,,april
4,acel,v tr,-∅-/-d-,find
5,ačel,v tr,-∅-/-d-,find
6,ačel ,v itr,"-j-, -∅-/-d-",1. stay 2. stand
7,acla,n f,,magpie
8,adlari,n m,,eagle
9,adrin,adv loc,,"1. within, inside 2. into"
10,afo,n m,,monkey
11,afokato,n m,,"lawyer, barrister, advocate"
12,afrel pre,partv,-∅-/—,"lift, collect, gather"
13,agaci,n pl,,acacia
14,agati,n pl,,acacia
15,aglan,prep,,in front of
16,aglan,adv loc,,"ahead, at the front"
17,ago,n m,,farmer
18,aj,interj,,"alas [«Aj čovali, šundan šon amol sau kova?» - Alas children, have you ever heard something like that?]"
19,ajgeno,adj m,,own
20,ajla,n f,,owl
21,ajmera,n f,,bucket
22,ajmero,n m,,bucket
23,ajnsidlaraca,n f,,anchoress
24,ajso,n m,,iron
25,ajso pani,n phr,,ice
26,ajxla,n f,,1. acorn 2. glans
27,ajzebana,n f,,railway
28,ajzo,n m,,abscess
29,aka,adv loc,,"here, there"
30,akaj,adv loc,,"here, there"
31,akaj glan,adv temp,,before
32,akana,adv temp,,"1. now 2. because, for"
33,akari,n m,,field
34,akarkon,pron indef,,whoever
35,akarsar,adv indef,,"anyhow, however"
36,akarso,pron indef,,whatever
37,akater,adv loc,,1. here 2. hither 3. from here
38,ake,part,,there is
39,ake,adv mod,,"so, that way, the same way"
40,ake,conj,,"as, when, as soon as"
41,ake,adv loc,,"here, there"
42,akeake,adv mod,,"so, that way, the same way"
43,aki,interj,,"Hey!, Ho! [«Aki! Ho ti vel kana kova?» - Hey! What's that supposed to be?]"
44,aki,adv loc,,"here, there [«Aki dik!» - Look here!]"
45,ako,adj indef,,"each, every"
46,akoter,adv loc,,"there, from there, thither"
47,aksa,n f,,axis
48,akun,pron indef,,everybody
49,ala,n f,,awl
50,alc,adv indef,,always
51,ale vek,adv,,"certainly, sure"
52,aleja,n f,,avenue
53,alemeti,n,,match
54,alojtre,adj indef,,"all, entire, whole"
55,als,adv indef,,always
56,als fort,adv,,"continuously, without interruption"
57,amaro,pron poss 1 sg m,,our
58,ambalavel pes,v itr,-d-/-emen,shy (horse)
59,ambalel pes,v itr,-d-/-emen,shy (horse)
60,ambhrol,n f,,pear
61,ame,pron pers 1 pl,,we
62,amen,pron pers 1 pl,,we
63,amerikanari,n m,,American (person)
64,amola,n f,,"1. birth mark, mole 2. envy"
65,ampra,n f,,"bucket, jug"
66,amšla,n f,,blackbird
67,amšlo,n m,,blackbird
68,amto,n m,,"office, department, agency"
69,an,prep,,"in, into, to"
70,an,part vb,,verbal particle
71,an...dren,prep,,in
72,anav,n m,,word
73,ancajgeba,n m,,"announcement of a death, sign of a death"
74,ancajxepen,n m,,"announcement of a death, sign of a death"
75,ancugo,n m,,suit
76,and,prep,,in
77,andalustiko,adj m,,Andalusian
78,andiklo,adj m,,respected
79,andino,adj m,,tipsy
80,anel,v tr,"-d-, -∅-/-dl-","bring, carry, transport"
81,anel durš,partv,"-d-, -∅-/-dl-",bring sb. through sth. [«Andas les li i paxa durš.» - She brings him through the stream.]
82,anel fort,partv,"-d-, -∅-/-dl-","take away, carry away"
83,anel ke rik,v,"-d-, -∅-/-dl-","blow sth., waste sth."
84,anga,num card,,nine
85,angar,n m,,coal
86,angarengero,n m,,charburner
87,angel,v tr,-d-/-d-,comb (hair)
88,anger,n m,,coal
89,angerengero,n m,,charburner
90,anglo,n m,,fish hook
91,angrel,v tr,-d-/-d-,comb (hair)
92,angrel vri,partv,,"entangle, disentangle"
93,angšta,n f,,fear
94,angusterengero,n m,,"goldsmith, jeweller"
95,angusteri,n f,,"ring, circlet"
96,angusterin,n f,,"ring, circlet"
97,anhalta,n f,,breeching (of a horse harness)
98,ano pral,adv,,aloft
99,anpiksemen,adj,,"tipsy, slightly drunk"
100,anpilemen,adj m,,drunk
101,anpilo,adj m,,drunk
102,anpliksemen,adj,,"tipsy, slightly drunk"
103,antre,prep,,among [«Šenken pen le vri antre pen te pien le.» - ]
104,antvorta,n f,,answer
105,anvakseba,n m,,narrow chest (childhood disease)
106,anvaksemen,adj m,,"child with narrow chest that has difficulties of breathing, child that does not gain weight and has a kind of bronchitis"
107,anvaksepa,n m,,narrow chest (childhood disease)
108,anvejlego,adj m,,"1. weak, weak in character 2. disgusted"
109,ap,prep,,"on, to [«Nijala dschah mengi ap i rajza.» - In summer we are travelling.]"
110,ap o džipen,adv phr,,lifelong
111,ap o pral,adv,,to main sea
112,ap rat,adv phr,,tonight
113,aparato,n m,,"device, machine"
114,apetita,n f,,appetite
115,apla,n f,,apple
116,aplema,n f,,"1. disease of old people that occurs with children 2. St. John's wort (plant used as a remedy for aplema/apnema), hemp nettle (plant used as a remedy for aplema/apnema)"
117,apnema,n f,,"1. disease of old people that occurs with children 2. St. John's wort (plant used as a remedy for aplema/apnema), hemp nettle (plant used as a remedy for aplema/apnema)"
118,apral,adv loc,,"above, up there, aloft, beyond"
119,apre,prep,,on
120,apšajvego,adj m,,1. repulsive 2. regrettable
121,arbajtarel,v itr,,work
122,argedar,adv mod,,worse [«Hi lo argedar har o vavar.» - He is worse than the other one.]
123,armentiko,adj m,,Armenian
124,armentiko them,n phr,,Armenia
125,armizeli,n f,,poor soul
126,armzelo,n m,,poor soul
127,arpsa,n f,,pea
128,arš,n f,,arse
129,aša,n f,,"ash, ashes"
130,asta,n f,,branch of a tree
131,asvin,n m,,steel
132,aua,part,,yes
133,augacimla,n f,,eyelash
134,ava,part,,yes
135,avan,prep,,before [«avan te džal lo fort» - before he leaves]
136,avel,v cop itr,,1. be [«Tu kreh hir ti vel tuki či.» - You act as if it were nothing for you.] 2. become
137,avel,v aux itr,,"become (in the passive construction) [«Deh jak ti vehs nit diklu!» - Watch out, that you are not seen by anyone.]"
138,avel ,v itr,,come
139,avel  rasni,v phr,,thaw
140,avelen,part,,"yes, all right, yes"
141,avo,adj indef,,what a
142,avo,adj int,,"which, wich kind of"
143,avri,adv loc,,1. outside 2. out
144,avrin,adv loc,,1. outside 2. out
145,ax!,interj,,alas!
146,babi,n f,,"drivel, slobber"
147,bagalo,n m,,lion
148,baj,n f,,sleeve
149,baja,n pl,,"1. coat 2. bodice, corsage, top"
150,bajri,n m,,Bavaria
151,bajšpilo,n m,,example
152,bakrengaro,n m,,shepherd
153,bakrengero,n m,,shepherd
154,bakrengo,n m,,shepherd
155,bakrengri vula,n phr,,sheep wool
156,bakrengur haltari,n phr,,shepherd
157,bakreno,adj m,,sheep- [«bakreno bal» - sheep wool]
158,bakreno mas,n phr,,mutton
159,bakreskero bal,n phr,,sheep wool
160,bakri,n f,,"sheep, ewe"
161,bakro,n m,,"sheep, ram, wether"
162,bal,n m,,1. hair 2. bristle
163,bala,n f,,1. ball (for playing) 2. ball (dance)
164,baľari,n m,,swineherd
165,balengaro,n m,,barber
166,balengaro mas,n phr,,pork
167,balengero,n m,,braid
168,balengero,n m,,swineherd
169,balengre kan,n phr,,dog's ears (for marking in old big books)
170,balengre matreli,n phr,,small potatoes
171,balengre ripi,n phr,,pork ribs
172,baleno,adj m,,pig- [«baleno mas» - pork]
173,baleno mas,n phr,,pork
174,bali,n f,,"pig, sow"
175,baliči,n f,,"pig, sow"
176,balka,n f,,beam
177,balko,n m,,beam
178,balno,adj m,,pig-
179,balo,n m,,"1. pig, boar, farrow 2. ace (card)"
180,baluna,n f,,pan
181,bana,n f,,"spell, curse"
182,bana,n f,,train
183,bandedo,n m,,bundle
184,bandel ,v tr,,1. bind 2. close
185,banderel,v tr,,bind
186,bandermaskero thav,n phr,,"string, twine"
187,banderpen,n m,,"band, bandage"
188,bandevel ,v tr,,bind
189,bando gib,n phr,,barley
190,banduk,n m,,"shotgun, gun"
191,banemen,adj,,"cursed, banned"
192,bangemenakero,n m,,hussar
193,bangi arš,n phr,,crooked arse
194,bangi sub,n phr,,fishhook
195,bangi suv,n phr,,fishhook
196,banglo,adj m,,"devilish, vicious"
197,bango,adj m,,"1. lame, crooked, bent 2. backwards, upside down, inside out"
198,bango jak,adj,,crosseyed
199,bango klidin,n phr,,picklock
200,bango rašaj,n phr,,lame priest
201,bangojakengero,adj m,,crosseyed
202,banhofo,n m,,station
203,banko,n m,,"bench, chair, seat"
204,banšengaro,n m,,Fiver (grade at school)
205,banškervel,v tr,,bend
206,bar,n m,,"1. garden, meadow, field 2. fence"
207,bar,n m,,"1. stone, rock 2. wall"
208,bar duxo,n phr,,"sigh, sighing"
209,baraka,n f,,"hut, shack"
210,barapen,n m,,"bigness, largeness"
211,barba,n f,,barbel (fish)
212,barbalo,adj m,,rich
213,barbaxt,n m,,luck
214,barblapen,n m,,"wealth, richness, riches"
215,bareder čačepaskero,n phr,,Roma captain
216,bareder krali,n phr,,king
217,bareder rašeni,n phr,,abbess
218,baremoskero,adj m,,"boastful, load-mouthed"
219,barengero,n,,"bricklayer, chiseller"
220,bareno,adj m,,"1. of stone, stoney 2. earthen"
221,bareno čaro,n phr,,earthen bowl
222,barepen,n m,,"bigness, largeness"
223,bareskaro,n m,,gardener
224,bareskero,n m,,gardener
225,bareskero drom,n phr,,"avenue, country road"
226,bareskreca,n f,,female traveller (rather condescending term)
227,bareskro,n m,,traveller (rather condescending term)
228,barevel,v itr,,"grow up, grow, become bigger, gain"
229,barexolivengero foro,n phr m,,Altenburg
230,barga,n f,,mountain
231,barga pre,n,,ascent
232,barga tele,n,,descent
233,bari bibi,n phr,,"grandaunt, great-aunt"
234,bari gaja,n f,,stork
235,bari gusteri,n,,"district  court, trial court"
236,bari jak,n phr,,flame
237,bari phup,n phr,,"trial, tribunal, court of justice, judgement"
238,bari šereskeri,n phr,,queen
239,barikambaňakero foro,n phr m,,Erfurt
240,barilel pre,partv,,grow up
241,barka,n f,,"barque, small boat"
242,baro,adj m,,1. big 2. wide 3. long 4. tall 5. important
243,baro ciro,n phr,,thunderstorm
244,baro čiro,n phr,,"assembly, gathering, meeting"
245,baro devel,n phr,,good Lord
246,baro foro,n phr,,Vienna
247,baro hox,n phr,,"judge, gentleman"
248,baro kova,n phr,,"big thing, event"
249,baro likêlo,n phr,,"fair, funfair"
250,baro lil,n phr,,"trade certificate, trade licence, travel documents, car documents"
251,baro pani,n phr,,sea
252,baro raj,n phr,,judge
253,baro rašaj,n phr,,"bishop, superintendent"
254,baro sap,n phr,,"dragon, daemon"
255,baro saster,n phr,,"anvil, ambos"
256,baro šereskero,n phr,,king
257,baronesaca,n f,,duchess
258,barvalo,adj m,,rich
259,barvelepen,n m,,"wealth, richness, riches"
260,barvelo,adj m,,rich
261,barvelpen,n m,,"wealth, richness, riches"
262,barvlapen,n m,,"wealth, richness, riches"
263,barvul,n f,,"air, wind"
264,bašapaskari,n f,,musical instrument
265,bašapaskero,n m,,musician
266,bašapaskraca,n f,,musician (female)
267,bašapen,n m,,music
268,bašel ,v itr,,1. bark 2. play music 3. make noise
269,bašemaskeri,n f,,musical instrument
270,bašemaskero,n m,,musician
271,bašemaskro,n m,,musician
272,bašepaskeri,n f,,1. violin 2. harp 3. guitar
273,bašepaskerica,n f,,musician (female)
274,bašepaskero,n m,,musician
275,bašepen,n m,,"music, sound"
276,baševel,v tr/itr,,1. bark 2. play music 3. make noise
277,bašlo,n m,,rooster
278,bašno,n m,,rooster
279,bašrel,v tr,,play an instrument
280,bašrel teli,partv,,play sth. (e.g. from a tape)
281,bašrepen,n m,,barking
282,baštardica,n f,,contemptuous treacherous woman
283,baštardo,n m,,"contemptuous treacherous guy, villain, bastard"
284,bašvel,v tr,,"fiddle, play an instrument"
285,batizel,v tr,,baptise
286,batizemen,adj,,1. baptised 2. converted Pentecotiste
287,bava,n f,,"drivel, slobber"
288,bavel,v itr,,"dribble, slobber"
289,bavevel,v itr,,"dribble, slobber"
290,bax,n f,,luck
291,baxa,n f,,"brook, stream"
292,baxt,n f,,luck
293,baxtali,n f,,bat
294,baxtalo,adj m,,"lucky, fortunate"
295,baxtelo,adj m,,"lucky, fortunate"
296,baxtjal,adv mod,,"luckily, fortunately"
297,beč,n f,,breast
298,beca,n f,,"slut, whore"
299,beča,n f,,axe
300,beda,n f,,"1. thing, serious affair 2. court, tribunal 3. factory 4. penis 5. whore"
301,bedaca,n f,,"slut, whore"
302,bedeca,n f,,"slut, whore"
303,bedinarel,v tr,,serve
304,bedo,n m,,"1. thing 2. thingy 3. genitals 4. bloke, bugger"
305,bedžina,n f,,"petrol, gasoline"
306,bekalo mas,n phr,,roasted meat
307,bekapaskaro bob,n phr,,oven
308,bekari,n m,,baker
309,bekel,v tr,,"roast, bake"
310,belxidi,n f,,"round things e.g. manadarin, shallot"
311,belzina,n f,,"petrol, gasoline"
312,bema,n f,,penny
313,bematiko,adj m,,Bohemian
314,bena,n f,,big round basket
315,beng,n m,,1. devil 2. dragon 3. thief
316,bengalo,adj m,,"devilish, vicious"
317,bengeskero drav,n phr,,weed
318,bengvelo,adj m,,"devilish, vicious"
319,benk,n m,,devil
320,benzina,n f,,"petrol, gasoline"
321,ber,n m,,beer
322,berakerel,prefv tr,,"talk about sth., discuss sth."
323,berga,n f,,mountain
324,bergari,n m,,"climber, mountaineer"
325,beri,n m,,bear
326,bero,n m,,bear
327,bero,n m,,ship
328,berš,n m,,year
329,berš šel,n,,century
330,beršerica,n f,,shepherd girl
331,beršero,n m,,shepherd
332,beršeskaro,adj m,,one year old
333,beršeskero,adj m,,one year old
334,beršiňa,n pl,,peaches (fruit)
335,berško,n m,,perch (fish)
336,berštiko,adj m,,year-
337,berštiko buxo,n phr,,year book
338,beršuno,adj m,,"annual, yearly"
339,besa,n f,,broom
340,besama,n m,,broom
341,bešapaskari,n f,,couch
342,bešel,v itr,,"1. sit down, sit 2. live"
343,bešel pes,v phr itr,,"sit down, take a seat"
344,bešemaskêri,n f,,couch
345,besepen,n m,,"1. thickness 2. lump, swelling"
346,čabo,n m,,son (Roma)
347,čačapaha,adv mod,,really
348,čačapaskaro murš,n phr,,"speaker, judge, lawyer"
349,čačapen,n m,,"1. truth 2. right, justice"
350,čačepaskero,adj m,,"genuine, of genuine origin, honourable"
351,čačepaskero,n m,,"1. lawyer, assessor at court 2. Rom from pure ancestry, Roma captain"
352,čačepen,n m,,"1. truth 2. right, justice 3. judgement 4. transcript, minutes"
353,čačes,adv mod,,"1. really, truly, certainly 2. right"
354,čačevo,adj m,,own
355,čači burika,n phr,,"prankster, loon"
356,čači randa,n phr,,right moment
357,čačo,adj m,,"1. right, genuine, valid, true, correct, certain, just 2. straight 3. right"
358,čačo vast,n phr,,right hand
359,čačopaskro murš,n phr,,"speaker, judge, lawyer"
360,čadel,v itr,,vomit
361,čadepen,n m,,"1. vomiting, sickness 2. feeling of sickness, nausea"
362,čadevel,v itr,,"spit, vomit"
363,čaj,n m,,tea
364,čaj,n f,,1. girl (Romni) 2. daughter (Romni) 3. child (Romni)
365,cajdigo,adj m,,ripe
366,čajerel,v tr,,"nourish, feed, satiate"
367,čajervel,v tr,,"nourish, feed, satiate"
368,cajgo,n m,,thing
369,cajgrel,v tr,-∅-/-emen,announce
370,cajgrel an,partv,-∅-/-emen,announce a death
371,cajrel,v tr,-∅-/—,excuse sth.
372,cajrel pes,v phr itr,-∅-/—,apologize
373,cajrel tele,partv,-∅-/—,forgive
374,cajtunga,n f,,newspaper
375,cajxel an,partv,,announce a death
376,cajxi,n pl,,signs/marks left on the road
377,cajxo,n m,,"sign, cross"
378,čakadi,n pl,,secret police
379,cakel cu,partv tr,,"cover, shelter, protect"
380,čakel cu,partv tr/itr,,"1. cover, shelter, protect 2. be covered"
381,čakel pes cu,partv itr,,"cover oneself, protect oneself"
382,čakel pre,partv,,uncover
383,čakerel,v tr,,cover
384,čakerel,v itr,,wait
385,čakerpaskero,n m,,"coverlet, tablecloth"
386,čakerpen,n m,,"blanket, cover"
387,čakervel,v tr,,"wait, expect"
388,čakervel,v tr,,"cover, cover up, wrap up"
389,čakevel,v tr,,"cover, cover up, wrap up"
390,čakrel cu,partv,,"cover, shelter, protect"
391,čalel,v tr,,touch
392,čalel an,partv,,touch
393,čalel pes,v phr itr,,"eat well, feast, regale oneself"
394,čalepen,n m,,"satiation, saturation"
395,čales,adv mod,,"enough, to satiation"
396,čalevel,v itr,,become full (food)
397,calo,adj m,,whole
398,čalo,adj m,,"1. sated, satisfied 2. generous"
399,čalo gadžo,n phr,,1. generous man (non-Gypsy) 2. generous farmer
400,cam,adj,,"1. cultured, cultivated 2. tame, tamed"
401,čam,n m,,1. leather 2. sole
402,čam,n f,,cheek
403,čamadini,n f,,slap in the face
404,čamado,n m,,1. tabacco 2. paper
405,čamalaxa,n f,,"jaw, maxilla,  lower part of the head of a horse"
406,čamdini,n f,,slap in the face
407,čamedel,v tr,,slap so.
408,čamedini,n f,,slap in the face
409,čamel,v tr,,chew
410,čamelaxa,n f,,maxilla
411,čamerdengero,n m,,"1. papermaker 2. bibliopegist, bookbinder"
412,čamerdo,n m,,paper
413,čamervel,v tr,,"1. chew 2. talk, chat"
414,čamevel,v tr,,"1. chew 2. talk, chat"
415,čamja,n pl,,"contenance, face"
416,čamrel ,v itr,,chat
417,čandela ,n f,,pipe (for tabacco)
418,čang,n f,,knee
419,canga,n f,,pliers
420,čangel,v tr/itr,,1. wake up 2. wake so. up
421,čangrel,v tr/itr,,1. wake up 2. wake so. up
422,čaplaro,n m,,"waiter, steward"
423,capo,n m,,sex (very impolite)
424,čar,n m,,ash
425,čar,n f,,grass
426,čar drab,n phr,,"spice, pepper"
427,čar drav,n phr,,pepper
428,cara,n f,,"chord, sinew, flax"
429,čarda,n f,,"inn, tavern"
430,cardari,n m,,starter (car)
431,cardel,v tr,,1. pull 2. shoot
432,cardel pre,partv,,"bring up (child), educate"
433,cardemaskro,n m,,"1. marksman, slingshot, catapult 2. draught animal"
434,cardemen,adj,,"1. exhausted, tired 2. be in a picture"
435,cardeno,adj m,,"1. exhausted, tired 2. be in a picture"
436,čarel ,v itr,,"1. graze, pasture 2. lick"
437,čarklo,n m,,"pidgeon, dove"
438,carla,n f,,morning
439,carlakro,adv temp,,in the morning
440,čaro,n m,,"bowl, plate, cup"
441,čauri,n f,,"chicken, hen"
442,čava!,n,,"Child!, Friend!"
443,čavari,n f,,"chicken, hen"
444,čavengro špilo,n phr,,children's game
445,čaveri,n f,,"chicken, hen"
446,čaverin,n f,,"chicken, hen"
447,čavi,n m pl,,children
448,čavo,n m,,1. son (Roma) 2. boy (Roma) 3. disciple
449,čavo šuslego,n phr,,scatterbrained boy
450,čavrijengaro čirklo,n phr,,"falcon, hawk"
451,ce,adj,,tough
452,cebo,n m,,toe
453,cefjakro,n m,,carp
454,ceka,n f,,tick
455,čekan,n m,,forehead
456,čekant,n m,,forehead
457,čekat,n m,,forehead
458,ceko,adj m,,"thin, narrow"
459,čel,v itr,"-j-, -∅-/-d-",1. stay 2. stand
460,čel,n f,,"people, community, tribe"
461,čel,v tr,,"put, place"
462,celel,v tr/itr,,count
463,čeles,adv mod,,entirely
464,celo,n m,,"row, rank, order"
465,celo,adj m,,whole
466,celo,n m,,"number, figure"
467,čelo,adj indef,,"whole, entire, all, every"
468,čelo dives,adv phr,,the whole day
469,celta,n f,,tent
470,cemblo,n m,,month
471,čemoni,pron indef,,"something, anything"
472,centra,n f,,ton
473,cepa,n f,,"skin, fur"
474,cepani,n f,,"wreath, crown, ring, bunch"
475,cephani,n f,,"1. wreath, ring, bunch 2. court"
476,čepni,n f,,lace
477,čepo,n m,,lace
478,cera,n f,,"chord, sinew, flax"
479,cerdel,v tr,,"pull, drag, pluck"
480,cerdemangero,adj m,,pull-
481,cerdepangeri,n f,,"chord, string"
482,cerdepaskaro dand,n phr,,rake
483,cerdepaskero dand,n phr,,rake
484,Cerhari,n m,,"Cerhari (Roma group), tent Roma"
485,cerka,n f,,cloth
486,cetla,n f,,banknote
487,cevjakero,n m,,carp
488,čevjakro,n m,,carp
489,čevjakro mačo,n phr,,carp
490,cevni,n f,,"flake, scale, cover, shell, skin, peel"
491,čevni,n f,,"flake, scale, cover, shell, skin, peel"
492,cevo,n m,,toe
493,čhaj,n f,,1. girl (Romni) 2. daughter (Romni)
494,čhardel,v itr,,vomit
495,čharo,n m,,"dish, plate"
496,čhavo,n m,,1. son (Roma) 2. boy (Roma)
497,čhel,v itr,,1. stay 2. stand
498,čhel pre,partv,,"get up, wake up"
499,čhinel,v tr,,cut
500,čhingrel,v tr,,tear
501,čhingrel pes,v phr itr,,quarrel with so.
502,čhivel,v tr,,"1. throw 2. put, place 3. push, squeeze into"
503,čhivrel,v tr,,"1. throw 2. put, place"
504,čhor,n f,,beard
505,čhovel,v tr,,wash
506,čhunger,n m,,"saliva, spittle"
507,čhungrel,v tr,,spit
508,čhuri,n f,,knife
509,či,part neg,,nothing
510,či čačo muj,n phr,,mask
511,čib,n m,,1. tongue 2. language
512,čibalo,n m,,"windbag, gossip"
513,čibelo,adj m,,"garrulous, curious (asking many questions)"
514,čiben,n m,,"bed, cushion"
515,ciblesup,n f,,onion soup
516,cibrun,n m,,draw well
517,čičeske,adv mod,,in vain
518,čičeskro,n m,,"deadbeat, sloth bear, sluggard, no-good"
519,čiči,pron indef,,nothing
520,čifo,n m,,Jew
521,cigla,n f,,brick
522,ciglari,n m,,brickworks worker
523,čik,n m,,"dirt, mud, loam, clay, earth"
524,čika,n f,,sneeze
525,čikeli perxa,n phr,,"dirty place, dirty spot"
526,čikelo,adj m,,"dirty, muddy"
527,čikelo bolepen,n phr,,cloudy/overcast sky
528,čiken,n m,,"fat, grease"
529,čiklepen,n m,,"1. dirtiness, filthiness 2. dirt, mud"
530,čiklevel,v itr,,get dirty
531,čiklevel,v itr,,sneeze
532,čiklo,n m,,bird
533,čikni,n f,,sneeze
534,čikore,n f,,endive
535,čilači,n f,,"slut, whore"
536,čilačo,adj m,,bad
537,čilačo,n m,,"womaniser, skirt chaser, lothario"
538,čilačo naslapen,n phr,,cancer
539,cilo,n m,,"1. goal, aim 2. gathering, meeting, meeting point"
540,cimla,n f,,eyebrow
541,cimli,n f,,eyelash
542,cimra,n f,,room
543,činakero,adj m,,worthless
544,činapaskari,n f,,"saw, scythe, sickle"
545,čindi,n pl,,chaff
546,dab,n m,,"blow, punch"
547,dad,n m,,father
548,dadeskaro,adj m,,fatherly
549,dadeskero čavo,n phr,,true Rom (of pure ancestry)
550,dadeskero phral,n phr,,uncle
551,dadeskero them,n phr,,native country
552,dadeskero vast,n phr,,pure ancestry
553,dadi!,interj,,exclamation
554,daj,n f,,mother
555,daja,pron dem f,,this
556,dajakero phral,n phr,,uncle
557,dajo,n,,address from for the mother
558,dakero per,n phr,,womb
559,dala,adv temp,,1. then 2. meanwhile
560,dale,pron dem pl,,these
561,damedira,n f,,apron
562,damo,n m,,thumb
563,damtiera,n f,,apron
564,damtira,n f,,apron
565,damuk,n m,,thumb
566,dand,n m,,tooth
567,dandapen,n m,,bite
568,dandarel ,v tr,,bite
569,dandengero gadžo,n phr,,dentist
570,danderel,v tr,,bite
571,danderpaskero,adj m,,"biting, acidic"
572,danderpaskero čik,n phr,,lime
573,danderpen,n m,,bite
574,dandervel,v tr,,bite
575,dandevel,v tr,,bite
576,dandreba,n m,,bite
577,dandredo,pron indef,,anybody
578,dandrel,v tr,,"bite, chew"
579,dandrel pre,v,,"bite open, open with teeth"
580,dandrepa,n m,,bite
581,ďanel,v tr,,1. know 2. think
582,danemen,adj,,damned
583,danka,n f,,thoughts
584,dant,n m,,tooth
585,dap,n f,,"blow, punch"
586,dar,n f,,"fear, anxiety, scare"
587,daralo,adj m,,"anxious, fearful"
588,daredo,adj m,,"anxious, fearful"
589,darel,v itr,,"fear, be afraid"
590,darelo,adj m,,"anxious, fearful"
591,darengero gadžo,n phr,,coward
592,darvel,v itr,,"go off, go bad"
593,darvredo,adj m,,"bad, off"
594,darvrel,v itr,,"go off, go bad"
595,dat,n m,,father
596,dati,adv loc,,there
597,dau,pron dem m,,this
598,dava,pron dem m,,this
599,daxa,n f,,roof
600,debel,n m,,God
601,debleskari jag,n phr,,"flash of lightning, lightning"
602,debleskre blumi,n phr,,blossoms of the hawthorn/whitethorn
603,debleskre brola,n phr,,fruits of the haw- or whitethorn
604,debleskre parne,n phr,,blossoms of the dog/wild rose
