Index,Entry Word,Part of Speech,Affix,Definition
1,a,adv int,,comment
2,aber,conj,,"mais, pourtant"
3,abrilo,n m,,avril
4,acel,v tr,-∅-/-d-,trouver
5,ačel,v tr,-∅-/-d-,trouver
6,ačel ,v itr,"-j-, -∅-/-d-",1. rester 2. être debout
7,acla,n f,,pie
8,adlari,n m,,aigle
9,adrin,adv loc,,"dedans, à l'intérieur"
10,afo,n m,,singe
11,afokato,n m,,avocat
12,afrel pre,partv,-∅-/—,ramasser
13,agaci,n pl,,acacias
14,agati,n pl,,acacias
15,aglan,prep,,devant
16,aglan,adv loc,,"devant, par-devant, en avant, en tête"
17,ago,n m,,"agriculteur, paysan"
18,aj,interj,,"hélas [«Aj čovali, šundan šon amol sau kova?» - ]"
19,ajgeno,adj m,,en propre
20,ajla,n f,,chouette
21,ajmera,n f,,seau
22,ajmero,n m,,seau
23,ajnsidlaraca,n f,,ermite (femme)
24,ajso,n m,,ferre
25,ajso pani,n phr,,glace
26,ajxla,n f,,gland (bot. et anat.)
27,ajzebana,n f,,chemin de fer
28,ajzo,n m,,abcès
29,aka,adv loc,,"ici, là"
30,akaj,adv loc,,"ici, là"
31,akaj glan,adv temp,,avant
32,akana,adv temp,,"maintenant, parce que, puisque"
33,akari,n m,,pré
34,akarkon,pron indef,,qui que
35,akarsar,adv indef,,de quelle manière que
36,akarso,pron indef,,quoi que
37,akater,adv loc,,1. ici (lieu et direction) 2. d'ici
38,ake,adv loc,,"ici, là"
39,ake,adv mod,,"ainsi, de cette manière"
40,ake,conj,,"quand, aussitôt que"
41,ake,part,,voici
42,akeake,adv mod,,"ainsi, de cette manière"
43,aki,adv loc,,"ici, là [«Aki dik!» - ]"
44,ako,adj indef,,"chaque, tout"
45,akoter,adv loc,,"là-bas (lieu et direction), de là-bas"
46,aksa,n f,,essieu
47,akun,pron indef,,chacun
48,ala,n f,,"alêne, alène"
49,alc,adv indef,,toujours
50,ale vek,adv,,certainement
51,aleja,n f,,allée
52,alemeti,n,,allumette
53,alojtre,adj indef,,"tout, tous, entier"
54,als,adv indef,,toujours
55,als fort,adv,,sans arrêt (après verbe)
56,amaro,pron poss 1 sg m,,notre
57,ambalavel pes,v itr,-d-/-emen,s'emballer (cheval)
58,ambalel pes,v itr,-d-/-emen,s'emballer (cheval)
59,ambhrol,n f,,poire
60,ame,pron pers 1 pl,,nous
61,amen,pron pers 1 pl,,nous
62,amerikanari,n m,,Américain
63,amola,n f,,1. tache sur la peau 2. envie
64,ampra,n f,,"seau, pot"
65,amšla,n f,,merle
66,amšlo,n m,,merle
67,amto,n m,,"service, administration"
68,an,part vb,,particule verbale
69,an,prep,,dans
70,an...dren,prep,,dans
71,anav,n m,,mot
72,ancajgeba,n m,,annonce d'un mort
73,ancajxepen,n m,,annonce d'un mort
74,ancugo,n m,,costume
75,and,prep,,dans
76,andalustiko,adj m,,Andalousie
77,andiklo,adj m,,considéré
78,anel,v tr,"-d-, -∅-/-dl-","amener, mener, porter"
79,anel durš,partv,"-d-, -∅-/-dl-",faire traverser [«Andas les li i paxa durš.» - Elle lui a fait traverser la rivière.]
80,anel fort,partv,"-d-, -∅-/-dl-",emporter
81,anel ke rik,v,"-d-, -∅-/-dl-","dépenser, gaspiller"
82,anga,num card,,neuf
83,angar,n m,,charbon
84,angarengero,n m,,charbonnier
85,angel,v tr,-d-/-d-,peigner
86,anger,n m,,charbon
87,angerengero,n m,,charbonnier
88,anglo,n m,,hameçon
89,angrel,v tr,-d-/-d-,peigner
90,angrel vri,partv,,démêler
91,angšta,n f,,grande peur
92,angusterengero,n m,,orfèvre
93,angusteri,n f,,"anneau, bague"
94,angusterin,n f,,"anneau, bague"
95,anhalta,n f,,avaloire
96,ano pral,adv,,en haut
97,anpiksemen,adj,,moitié-saoûl
98,anpilemen,adj m,,saoul
99,anpilo,adj m,,saoul
100,anpliksemen,adj,,moitié-saoûl
101,antre,prep,,entre [«Šenken pen le vri antre pen te pien le.» - Ils se sont servis entre eux à boire.]
102,antvorta,n f,,réponse
103,anvakseba,n m,,les côtes serrées (maladie d'enfant)
