Index,Entry Word,Part of Speech,Affix,Definition
1,a',adv loc,,"hinein, drinnen"
2,a',prep,,in
3,abia,n f,,Abtei
4,Abra,n f,,Abkürzung für walisische Ortsnamen mit Aber-
5,ačel,v itr,,"1. bleiben, übrig bleiben, an einem Ort bleiben, vorübergehend lagern, in einem Zustand bleiben 2. erwarten 3. anhalten, innehalten, unterbrechen, aufhören (Handlungen oder Bewegungen) 4. stehen, auf den Beinen sein, gestellt sein"
6,ačel,v itr,,"1. bleiben, übrig bleiben, an einem Ort bleiben, vorübergehend lagern, in einem Zustand bleiben 2. erwarten 3. anhalten, innehalten, unterbrechen, aufhören (Handlungen oder Bewegungen) 4. stehen, auf den Beinen sein, gestellt sein"
7,ačel,v itr,,"1. bleiben, übrig bleiben, an einem Ort bleiben, vorübergehend lagern, in einem Zustand bleiben 2. erwarten 3. anhalten, innehalten, unterbrechen, aufhören (Handlungen oder Bewegungen) 4. stehen, auf den Beinen sein, gestellt sein"
8,ačel opre,partv,,aufstehen
9,ačel påle,partv,,"zurücktreten, wegbleiben"
10,ačela,v itr,,"1. bleiben, übrig bleiben, an einem Ort bleiben, vorübergehend lagern, in einem Zustand bleiben 2. erwarten 3. anhalten, innehalten, unterbrechen, aufhören (Handlungen oder Bewegungen) 4. stehen, auf den Beinen sein, gestellt sein"
11,ačela,v itr,,"1. bleiben, übrig bleiben, an einem Ort bleiben, vorübergehend lagern, in einem Zustand bleiben 2. erwarten 3. anhalten, innehalten, unterbrechen, aufhören (Handlungen oder Bewegungen) 4. stehen, auf den Beinen sein, gestellt sein"
12,ačela,v itr,,"1. bleiben, übrig bleiben, an einem Ort bleiben, vorübergehend lagern, in einem Zustand bleiben 2. erwarten 3. anhalten, innehalten, unterbrechen, aufhören (Handlungen oder Bewegungen) 4. stehen, auf den Beinen sein, gestellt sein"
13,ačela opre,partv,,aufstehen
14,ačela påle,partv,,"zurücktreten, wegbleiben"
15,ačiben,n m,,"Anhalten, Unterbrechung, Verzögerung"
16,ačilo,adj m,,"stillstehend, stehend (Wasser)"
17,ačilo pani,n phr,,"stehendes Wasser, stehendes Gewässer"
18,ačimasko,adj m,,"Anhalte-, Halte-, Lager-"
19,ačimasko pani,n phr,,"stehendes Wasser, stehendes Gewässer"
20,ačimasko than,n phr,,"Halteplatz, Station"
21,ačimos,n m,,"Anhalten, Unterbrechung, Verzögerung"
22,Adi,n m,,Adam
23,adrålano,adj m,,"1. quer, querlaufend 2. sorgfältig, verläßlich"
24,agre,prep,,"ans Ende von, am Ende von"
25,agre,adv loc,,"am Ende, am äußersten Rand"
26,aj,interj,,Ausruf des Kummers oder der Überraschung
27,ajdlimen,adj,,faul
28,aǩa,adv mod,,"1. so, auf diese Weise 2. so, solcherart"
29,akadesařla,adv temp,,heute morgen
30,akadives,adv temp,,heute
31,akaj ,adv loc,,"hier, hierhin"
32,akaja,pron dem f,,dieser (adjektivisch)
33,akaja,pron dem f,,dieser (prädikativ)
34,akala,pron dem pl,,dieser (adjektivisch)
35,akala,pron dem pl,,dieser (prädikativ)
36,Akala Thema,n phr,,Britische Inseln
37,akana,adv temp,,"1. jetzt, im Augenblick, voläufig 2. noch, bis jetzt, bis heute"
38,akana-sig,adv temp,,"bald, mit der Zeit"
39,akarat,adv temp,,heute Abend
