Index,Entry Word,Part of Speech,Affix,Definition
1,a',adv loc,,"in, within, inside"
2,a',prep,,"in, within, into (with verbs of motion)"
3,abia,n f,,abbey
4,Abra,n f,,short form of any Walish place-name with Aber-
5,ačel,v itr,,"1. stay, remain, abide a place, dwell temporarily, adhere, continue in a state 2. wait, to rest in expectation 3. pause, stop, discontinue, cease from any motion or action, stand, be upon feet, be situated"
6,ačel,v itr,,"1. stay, remain, abide a place, dwell temporarily, adhere, continue in a state 2. wait, to rest in expectation 3. pause, stop, discontinue, cease from any motion or action, stand, be upon feet, be situated"
7,ačel,v itr,,"1. stay, remain, abide a place, dwell temporarily, adhere, continue in a state 2. wait, to rest in expectation 3. pause, stop, discontinue, cease from any motion or action, stand, be upon feet, be situated"
8,ačel opre,partv,,"arise, stand up"
9,ačel påle,partv,,"stand back, retire"
10,ačela,v itr,,"1. stay, remain, abide a place, dwell temporarily, adhere, continue in a state 2. wait, to rest in expectation 3. pause, stop, discontinue, cease from any motion or action, stand, be upon feet, be situated"
11,ačela,v itr,,"1. stay, remain, abide a place, dwell temporarily, adhere, continue in a state 2. wait, to rest in expectation 3. pause, stop, discontinue, cease from any motion or action, stand, be upon feet, be situated"
12,ačela,v itr,,"1. stay, remain, abide a place, dwell temporarily, adhere, continue in a state 2. wait, to rest in expectation 3. pause, stop, discontinue, cease from any motion or action, stand, be upon feet, be situated"
13,ačela opre,partv,,"arise, stand up"
14,ačela påle,partv,,"stand back, retire"
15,ačiben,n m,,"stop, stoppage, delay"
16,ačilo,adj m,,stagnant
17,ačilo pani,n phr,,stagnant water
18,ačimasko,adj m,,of the stopping
19,ačimasko pani,n phr,,stagnant water
20,ačimasko than,n phr,,"stopping place, station"
21,ačimos,n m,,"stop, stoppage, delay"
22,Adi,n m,,Adam
23,adrålano,adj m,,"1. transverse, joining two main ways 2. thorough, reliable"
24,agre,prep,,"to the end of, at the end of"
25,agre,adv loc,,"at the end, at the very furthest point"
26,aj,interj,,exclamation expressing grief or surprise
27,ajdlimen,adj,,"idle, lazy"
28,aǩa,adv mod,,"1. thus, in this manner, hoc modo 2. of this kind, like this, huius modo"
29,akadesařla,adv temp,,this morning
30,akadives,adv temp,,today
31,akaj ,adv loc,,"here, hither"
32,akaja,pron dem f,,this (adjective)
33,akaja,pron dem f,,this (predicative)
34,akala,pron dem pl,,this (adjective)
35,akala,pron dem pl,,this (predicative)
36,Akala Thema,n phr,,British Isles
37,akana,adv temp,,"1. now, at present, for the present 2. still, to the present day"
