Index,Entry Word,Part of Speech,Affix,Definition
1,abjav ,n m,,Hochzeit
2,adresa,n f,,Adresse
3,advokato,n m,,Rechtsanwalt
4,aǧes,adv temp,,heute
5,ajkula,n f,,Hai
6,akana,adv temp,,"jetzt, sofort"
7,akana,adj,,1. kurz zurückliegend 2. gegenwärtig
8,akatar,adv loc,,von hier
9,akate,adv loc,,1. hier 2. hierher
10,akcija,n f,,Tat
11,akharela,v tr,,"1. nennen, rufen 2. einladen"
12,akharela les te marel pe,v phr tr,,herausfordern
13,akharela pe,v itr,,heißen
14,akharela po telefono,v phr tr,,telefonieren
15,akharipe,n m,,Einladung
16,akhor,n m,,"Nuss, Walnuss"
17,akhoresko,adj m,,Nuss-
18,ako,conj,,wenn
19,ako na,conj,,außer
20,aktivnost,n f,,Tätigkeit
21,aktualno,adv temp,,gegenwärtig
22,alato,n m,,Werkzeug
23,ali,conj,,aber
24,amaro,pron poss 1 sg m,,unser
25,ambari,n m,,Scheune
26,ambola,n f,,Birne
27,ame,pron pers 1 pl,,wir
28,anagdata,adv mod,,überraschenderweise
29,anav,n m,,Name
30,andav,prep,,1. von 2. wegen
31,ande bari mera,adv mod,,zum größten Teil
32,ande kaja vŕama,adv temp,,heutzutage
33,ande kodža,adv mod,,tatsächlich
34,ande žoja,adv temp,,"am Donnerstag, donnerstags"
35,ande zore,adv temp,,am morgen
36,andekodža,adv caus,,deshalb
37,ando,adv loc,,1. herein 2. hinein
38,ando,prep,,"in, in…hinein, zu"
39,ando gor,adv mod,,ursprünglich
40,ando ivend,adv temp,,im Winter
41,ando kurko,adv temp,,"Sonntags, am Sonntag"
42,ando milaj,adv temp,,im Sommer
43,ando musmeri,adv temp,,"zu Mittag, mittags"
44,ando proleće,adv temp,,im Frühling
45,ando suno,adj,,schlafend
46,andral,adv loc,,von drinnen
47,andre,prep,,innerhalb von
48,andre,adv loc,,drinnen
49,andresko,adj m,,innere
50,andžeo,n m,,Engel
51,anela,v tr,,"beitragen, mitarbeiten"
52,angar,n m,,Kohle
53,angaresko,adj m,,Kohlen-
54,angerela,v tr,,1. bringen 2. tragen 3. ertragen
55,anglav,prep,,1. vor (lok.) 2. vor (zeitl.)
56,anglav e ŕat,n phr,,Abend
57,anglav mismeri,n phr,,Vormittag
58,angle,adv loc,,"voraus, vorwärts, nach vorn"
59,angre pujoske,n phr f,,Linse
60,angro,n m,,1. Ei 2. Hode
61,angrusti,n f,,(Finger-)Ring
62,ankalela,v tr,,"1. herausnehmen, herausziehen 2. reizen, erregen"
63,ankerela,v tr,,bewahren
64,ankerela ande vas,v phr tr,,halten
65,ankheripe,n m,,"Haltung, Verhalten"
66,anklel,v itr,,hinausgehen
67,anklimasta,n f,,Ausgang
