Index,Entry Word,Part of Speech,Affix,Definition
1,abjav ,n m,,wedding
2,adresa,n f,,address
3,advokato,n m,,lawyer
4,aǧes,adv temp,,today
5,ajkula,n f,,shark
6,akana,adv temp,,"now, immediately, at once"
7,akana,adj,,1. recent 2. present
8,akatar,adv loc,,from here
9,akate,adv loc,,here
10,akcija,n f,,act
11,akharela,v tr,,"1. name, call 2. invite"
12,akharela les te marel pe,v phr tr,,challenge
13,akharela pe,v itr,,be called
14,akharela po telefono,v phr tr,,phone
15,akharipe,n m,,invitation
16,akhor,n m,,"nut, walnut"
17,akhoresko,adj m,,"nut-, of nut"
18,ako,conj,,if
19,ako na,conj,,unless
20,aktivnost,n f,,activity
21,aktualno,adv temp,,currently
22,alato,n m,,tool
23,ali,conj,,but
24,amaro,pron poss 1 sg m,,our
25,ambari,n m,,barn
26,ambola,n f,,pear
27,ame,pron pers 1 pl,,we
28,anagdata,adv mod,,surprisingly
29,anav,n m,,name
30,andav,prep,,1. from 2. because of
31,ande bari mera,adv mod,,largely
32,ande kaja vŕama,adv temp,,nowadays
33,ande kodža,adv mod,,indeed
34,ande žoja,adv temp,,on Thursday(s)
35,ande zore,adv temp,,in the morning
36,andekodža,adv caus,,therefore
37,ando,adv loc,,in
38,ando,prep,,"in, into, to"
39,ando gor,adv mod,,originally
40,ando ivend,adv temp,,in winter
41,ando kurko,adv temp,,on Sunday(s)
42,ando milaj,adv temp,,in summer
43,ando musmeri,adv temp,,at noon
44,ando proleće,adv temp,,in spring
45,ando suno,adj,,asleep
46,andral,adv loc,,from inside
47,andre,prep,,within
48,andre,adv loc,,inside
49,andresko,adj m,,"inner, internal, interior"
50,andžeo,n m,,angel
51,anela,v tr,,contribute
52,angar,n m,,coal
53,angaresko,adj m,,"coal-like, of coal"
54,angerela,v tr,,1. bring 2. carry 3. bear
55,anglav,prep,,1. in front of 2. before
56,anglav e ŕat,n phr,,evening
57,anglav mismeri,n phr,,forenoon
58,angle,adv loc,,"ahead, forwards"
59,angre pujoske,n phr f,,lentil
60,angro,n m,,1. egg 2. testicle
61,angrusti,n f,,ring (for finger)
62,ankalela,v tr,,"1. take out, extract 2. provoke"
63,ankerela,v tr,,retain
64,ankerela ande vas,v phr tr,,hold
65,ankheripe,n m,,attitude
66,anklel,v itr,,go out
67,anklimasta,n f,,exit
68,antunćjal,adv mod,,otherwise
69,aprili,n m,,April
70,aprilo,n m,,April
71,arakhela,v tr,,1. find 2. discover 3. lure
72,araki,adv temp,,yesterday
73,aŕat,adv temp,,"this evening, tonight"
74,arisela,v itr,,"arrive, reach"
75,aro,n m,,flour
76,asaipe,n m,,smile
77,asala,v itr,,"laugh, smile"
78,aśarela,v tr,,repair
79,asavela,v itr,,mock
80,aśavela,v tr,,stop so.
81,aśela,v itr,,1. stand 2. stop 3. remain (back)
82,aśela,v itr,,1. stay 2. leave
83,aśela bi svatosko,v phr itr,,grow silent
84,aśela phari,v phr itr,,become pregnant
85,asimos,n m,,laughter
86,astarela,v tr,,1. catch 2. arrest
87,ašunela,v itr,,"hear, listen"
88,aśvim,adv mod,,quite
89,atunćiľal,adv temp,,"1. then, afterwards 2. since then"
90,autobuso,n m,,bus
91,autoriteto,n m,,authority
92,avela,v,,be
93,avela,v itr,,1. appear 2. happen 3. come
94,avela,v itr,,become
95,avela ande publika,v phr tr,,publish
96,avela bokhalo,v phr itr,,"be hungry, become hungry"
97,avela dosta,v phr itr,,suffice
98,avela hoľariko,v phr itr,,be angry
99,avela kalo ,v phr itr,,be black
100,avela phari,v phr itr,,"become pregnant, be pregnant"
101,avela trušalo,v phr itr,,get thirsty
102,avela tužno,v phr itr,,grow sad
103,avela uźilo,v phr tr,,owe
104,aver,adv mod,,else
105,aver  ,adj indef,,"1. next 2. another, a different one"
106,aver araki,adv temp,,the day before yesterday
107,aver data,adv temp,,another time
108,aver ges,adv temp,,the next day
109,aver thejara,adv temp,,the day after tomorrow
110,aver varikaj,adv loc,,elsewhere
111,averśandes,adv mod,,differently
112,avgusto,n m,,August
113,avijono,n m,,plane
114,avlija,n f,,yard
115,avlipe,n m,,arrival
116,avŕatno,adj m,,"external, outer"
117,avresko,adj m,,foreign
118,avri,prep,,"outside, out of"
119,avri,adv loc,,1. from outside 2. outside 3. out
120,avri andav o kher,adv loc,,out of the house
121,aźukarela,v tr,,"wait, expect, await"
122,aźukarela,v itr,,scratch
123,aźukarimos,n m,,expectation
124,aźutila,v tr,,help
125,ažutimasko sretstvo,n m,,resource
126,ažutimos,n m,,help
127,babica,n f,,midwife
128,bakarno,adj,,"copper-, of copper"
129,bakŕaki poršom,n phr f,,sheep wool
130,bakrano,n m,,mutton
131,bakri,n f,,sheep (m.)
132,bakro,n m,,sheep (f.)
133,bakro,n m,,copper
134,bakroro,n m,,lamb
135,bal,n f,,hair (of head)
136,balalo,adj m,,hairy
137,balano,n m,,pork
138,bale,n m,,snot
139,baleski pori,n phr f,,pigtail
140,bali,n f,,sow
141,balo,n m,,"boar, pig"
142,baloro,n m,,farrow
143,banana,n f,,banana
144,bandžarela pe,v itr,,thaw
145,banǧardo,adj m,,bent
146,banǧaripe,n m,,turn
147,bango,adj,,lame
148,banka,n f,,bank
149,bar,n m,,stone
150,bar ,n f,,garden
151,baŕalela,v tr,,increase
152,baŕalipe,n,,increase
153,bararo,adj m,,stony
154,bare bogiňe,n phr pl,,smallpox
155,bare buľasa,adj,,fat-bottomed
156,bare gijesa ,adj,,big-bellied
157,bare najenca,adj,,full-bosomed
158,bare nakhesa,adj,,big-nosed
159,bare nakhesa,adj,,long-nosed
160,bare pungenca,adj,,long-legged
161,bare zejanca,adj,,broad-shouldered
162,bari paraštuj,n phr f,,Good Friday
163,baripe,n m,,1. greatness 2. height
164,baro,adj m,,"1. big, great, large 2. long 3. high 4. huge 5. tall"
165,baro bar,n phr m,,rock
166,baro paj,n phr m,,sea
167,baro taxtaj,n phr m,,mug
168,baŕola,v itr,,"1. bloom, flourish 2. rise"
169,barvalela pe,v itr,,become rich
170,barvalipe,n m,,"1. wealth, richness 2. property"
171,barvalo,adj m,,"rich, wealthy"
172,bašavni,n f,,gun
173,bašno,n m,,"cock, rooster"
174,baštovani,n m,,gardener
175,bax,n f,,happiness
176,baxtalo,adj m,,"happy, lucky"
177,baxťasa,adv mod,,fortunately
178,bebe,n f,,baby
179,beda,n f,,misery
180,bejato,n m,,child
181,bendžalo,adj m,,bad
182,beng,n m,,1. devil 2. evil
183,bengalo,adj m,,1. devilish 2. evil 3. awful 4. violent 5. wild
184,bengeski sreća,n phr f,,bad luck
185,benzino,n m,,petrol
186,beš,adv mod,,even
187,bešela,v itr,,sit down
188,bešela,v itr,,sit
189,beskorisno,adj,,useless
190,bezbedno,n,,security
191,bezobrazno,adj,,impertinent
192,bi,prep,,without
193,bibax,n m,,pity
194,bibaxtalo,adj m,,1. unhappy 2. miserable
195,biberi,n m,,1. sweet pepper (spice) 2. pepper
196,bibi,n f,,aunt (father's sister)
197,bibuǩako,adj m,,unemployed
198,bićimos,n f,,sale
199,bićo,n m,,whip
200,bijandila,v tr,,give birth
201,bijandola,v itr,,be born
202,bijardipe,n m,,birth
203,bijardo ges,n phr m,,birthday
204,biǩarno,n m,,seller
205,bikheresko,adj,,homeless
206,bikinela,v tr,,"sell, deal, trade"
207,bikinela po pijaco,v phr itr,,"deal, trade"
208,biko,n m,,bull
209,bikoske šnga,n phr pl,,bull's horns
210,bilaśipe,n m,,impudence
211,biľka,n f,,"plant, herb(s)"
212,bilo ko,pron indef,,anybody
213,bilo savo,pron indef,,"any, anyone"
214,bilo so,pron indef,,anything
215,birto,n m,,"pub, inn"
216,biš,num card,,twenty
217,biśalela,v tr,,1. send 2. deliver
218,biseri,n m,,pearl
219,bišto,num ord,,twentieth
220,bistrela,v tr,,forget
221,bistro,adj m,,clever
222,bišvar,num mult,,twenty times
223,bledo,adj,,pale
224,blisko,adj m,,closed
225,blizko,adj m,,near
226,bo,n m,,oven
227,bogiňe,n pl,,pox
228,boja,n f,,colour
229,bokali,n f,,"jar, jug, mug"
230,bokh,n f,,hunger
231,bokhalo,adj m,,hungry
232,boldela,v tr,,"1. turn 2. overturn 3. return, give back"
233,boldela pe,v itr,,"return, come back"
234,boldimos,n m,,return
235,boldimos,n m,,break
236,boldino,adj m,,baptised
237,boldipe,n m,,baptism
238,bolničari,n m,,nurse (m.)
239,bolničarka,n f,,nurse (f.)
240,bolta,n f,,1. action 2. shop
241,bori,n f,,"1. daughter-in-law, sister-in-law 2. bride"
242,boro,n m,,pine (tree)
243,bostano,n m,,melon
244,božanstveno,adj,,divine
245,brako,n m,,marriage
246,branila pe,v itr,,protect
247,braon,adj,,brown
248,brava,n f,,lock
249,braval,n f,,wind
250,brbľivco,n m,,bigmouth
251,brdo,n m,,hill
252,breza,n f,,birch
253,briaŕa,n f,,beer
254,brijaći,n m,,razor
255,brodo,n m,,ship
256,brojo,n m,,number
257,brš ,n m,,year
258,brš nevo,n phr m,,New Year
259,bršeski vŕama,n phr f,,season
260,bršeški vŕama,n phr,,seasons
261,bršesko,adj m,,annual
262,bršind,n m,,rain
263,bruso,n m,,grindstone
264,buba,n f,,beetle
265,bubriško,n m,,kidney
266,bubuľičavo,adj m,,pimpled
267,bućarni,n f,,worker (f.)
268,bućarno,n m,,worker (m.)
269,bući,n f,,work
270,bućno,adj,,noisy
271,budućnost,n m,,future
272,budžavila pe,v itr,,get mouldy
273,budžavo,adj m,,rancid
274,buka,n f,,cheek
275,buki,n f,,"1. business 2. job, employment"
276,buko,n f,,liver
277,bukva,n f,,beech (tree)
278,bul,n f,,buttock
279,bulipe,n f,,width
280,bulo,adj m,,wide
281,bunari,n m,,well
282,bundeva,n f,,pumpkin
283,bunduva,n f,,bee
284,buranija,n f,,"French bean, green bean"
285,bure,n m,,cask
286,but,adj indef,,"very, much"
287,but,adj indef,,1. many 2. much
288,buto,n m,,thigh
289,buva,n f,,flea
290,buzni,n f,,goat
291,ćaces,adv mod,,"true, really"
292,ćaći,adj f,,right (direction)
293,ćaci rig,adv loc,,on the right (side)
294,ćaćimos,n m,,1. truth 2. reality
295,ćaćo,adj m,,real
296,ćajo,n m,,tea
297,čak i majbut,adv mod,,even more
298,ćamco,n m,,boat
299,ćang,n f,,knee
300,ćar,n f,,"grass, lawn"
301,cara,adj indef,,"1. a little, little 2. less, fewer"
302,cara,adv indef,,somewhat
303,carica,n f,,empress
304,caro,n m,,emperor
305,ćaro,n m,,1. cooking pot 2. bowl
306,ćarobňako,n m,,magician
307,čarobno,adj,,magical
308,carstvo,n m,,empire
309,ćaso,n m,,1. hour 2. clock
310,ćasto,n m,,honour
311,cavija,n f,,tube
312,će ,part fut,,will (future)
313,ćefalo,adj int,,"what a, which (one)"
314,ćefalo,adj indef,,whichever
315,ćefalo,pron rel,,which (rel.)
316,ćefalo ,conj,,that
317,ćelavo,adj m,,bald
318,cena,n f,,price
319,ćerain,n f,,star
320,ćerain,n f,,dish
321,ćermo,n m,,worm
322,ćerutno,adj,,monthly
323,često,adv temp,,"frequently, often"
324,cevanica,n f,,lower leg
325,čhavka,n f,,"daw, jackdaw"
326,ći jek,pron indef,,no
327,ći mekela,v phr tr,,forbid
328,ći źanglipe,n phr m,,ignorance
