Index,Entry Word,Part of Speech,Affix,Definition
1,abjav ,n m,,свадба
2,adresa,n f,,адреса
3,advokato,n m,,адвокат
4,aǧes,adv temp,,данас
5,ajkula,n f,,ајкула
6,akana,adv temp,,"сада, одмах"
7,akana,adj,,1. скорашњи 2. садашњи
8,akatar,adv loc,,одавде
9,akate,adv loc,,овде
10,akcija,n f,,"радња, акција"
11,akharela,v tr,,"наименовати, назвати, (по)звати, позвати"
12,akharela les te marel pe,v phr tr,,изазвати
13,akharela pe,v itr,,звати се
14,akharela po telefono,v phr tr,,телефонирати
15,akharipe,n m,,позив (на вечеру)
16,akhor,n m,,орах
17,akhoresko,adj m,,орахов
18,ako,conj,,ако
19,ako na,conj,,ако не
20,aktivnost,n f,,"активност, делатност"
21,aktualno,adv temp,,актуално
22,alato,n m,,алатка
23,ali,conj,,али
24,amaro,pron poss 1 sg m,,наш
25,ambari,n m,,"амбар, житница"
26,ambola,n f,,крушка
27,ame,pron pers 1 pl,,ми
28,anagdata,adv mod,,"неочекивано, изненада"
29,anav,n m,,име
30,andav,prep,,"1. од, из 2. због"
31,ande bari mera,adv mod,,у великој мери
32,ande kaja vŕama,adv temp,,у данашње време
33,ande kodža,adv mod,,у ствари
34,ande žoja,adv temp,,у четвртак
35,ande zore,adv temp,,ујутро
36,andekodža,adv caus,,"стога, ради тога"
37,ando,adv loc,,у
38,ando,prep,,"у, за, на, до"
39,ando gor,adv mod,,у почетку
40,ando ivend,adv temp,,у зиму
41,ando kurko,adv temp,,"у недељу, недељом"
42,ando milaj,adv temp,,у лето
43,ando musmeri,adv temp,,у подне
44,ando proleće,adv temp,,у прољеће
45,ando suno,adj,,у сну
46,andral,adv loc,,изнутра
47,andre,prep,,"унутра, у"
48,andre,adv loc,,унутра
49,andresko,adj m,,унутрашњи
50,andžeo,n m,,анђео
51,anela,v tr,,"приложити, допринети"
52,angar,n m,,угаљ
53,angaresko,adj m,,угљени
54,angerela,v tr,,"донети, носити, возити"
55,anglav,prep,,1. пред 2. испред
56,anglav e ŕat,n phr,,вече
57,anglav mismeri,n phr,,пре подне
58,angle,adv loc,,напред
59,angre pujoske,n phr f,,"лећа, сочиво"
60,angro,n m,,1. јаје 2. мудо
61,angrusti,n f,,прстен
62,ankalela,v tr,,"1. извадити, извући 2. провоцирати, изазвати"
63,ankerela,v tr,,задржати
64,ankerela ande vas,v phr tr,,држати (у рукама)
65,ankheripe,n m,,"став, држање"
66,anklel,v itr,,изићи
67,anklimasta,n f,,излаз
68,antunćjal,adv mod,,"иначе, другачије"
69,aprili,n m,,април
70,aprilo,n m,,април
71,arakhela,v tr,,"1. наћи, пронаћи 2. открити, пронаћи 3. примамити, довабити"
72,araki,adv temp,,јуче
73,aŕat,adv temp,,"вечерас, ноћас"
74,arisela,v itr,,"стићи, допрети, достићи"
75,aro,n m,,брашно
76,asaipe,n m,,осмех
77,asala,v itr,,"смејати се, осмехнти се"
78,aśarela,v tr,,поправити
79,asavela,v itr,,"ругати се, исмевати"
80,aśavela,v tr,,зауставити
81,aśela,v itr,,1. стајати 2. зауставити се 3. остати
82,aśela,v itr,,1. остати 2. оставити
83,aśela bi svatosko,v phr itr,,"занемити, умући"
84,aśela phari,v phr itr,,затруднети
85,asimos,n m,,смех
86,astarela,v tr,,"1. уловити, ухватити 2. ухапсити"
87,ašunela,v itr,,"чути, слушати"
88,aśvim,adv mod,,"сасвим, прилично"
89,atunćiľal,adv temp,,"1. онда, тада, затим, после 2. отада"
90,autobuso,n m,,аутобус
91,autoriteto,n m,,ауторитет
92,avela,v,,бити
93,avela,v itr,,"1. појавити се 2. десити се, догодити се 3. доћи"
94,avela,v itr,,постати
95,avela ande publika,v phr tr,,"издати, публиковати"
96,avela bokhalo,v phr itr,,"гладовати, бити гладан"
97,avela dosta,v phr itr,,бити доста
98,avela hoľariko,v phr itr,,бити љут
99,avela kalo ,v phr itr,,бити црн
100,avela phari,v phr itr,,остати у другом станю
101,avela trušalo,v phr itr,,бивати жедан
102,avela tužno,v phr itr,,разтужити се
103,avela uźilo,v phr tr,,"бити дужан, дуговати"
104,aver,adv mod,,"друго, још"
105,aver  ,adj indef,,1. следећи 2. други
106,aver araki,adv temp,,"прекјуче, дан пре тога"
107,aver data,adv temp,,други пут
108,aver ges,adv temp,,наредног дана
109,aver thejara,adv temp,,прекосутра
110,aver varikaj,adv loc,,"другде, било куда"
111,averśandes,adv mod,,"друкчије, разнолико"
112,avgusto,n m,,август
113,avijono,n m,,авион
114,avlija,n f,,двориште
115,avlipe,n m,,"долазак, стизање"
116,avŕatno,adj m,,"спољашњи, вањски, спољни"
117,avresko,adj m,,"иностран, туђ"
118,avri,prep,,"изван, ван"
119,avri,adv loc,,1. споља 2. напоље 3. ван
120,avri andav o kher,adv loc,,ван куће
121,aźukarela,v tr,,"чекати, очекивати"
122,aźukarela,v itr,,"огрепсти, чешати"
123,aźukarimos,n m,,очекивање
124,aźutila,v tr,,помоћи
125,ažutimasko sretstvo,n m,,помоћно средство
126,ažutimos,n m,,помоћ
127,babica,n f,,"бабица, примаља"
128,bakarno,adj,,"бакарни, бакрени"
129,bakŕaki poršom,n phr f,,овчија вуна (кожа)
130,bakrano,n m,,овчетина
131,bakri,n f,,ован
132,bakro,n m,,овца
133,bakro,n m,,бакар
134,bakroro,n m,,ја(г)ње
135,bal,n f,,коса
136,balalo,adj m,,"длакав, космат"
137,balano,n m,,свињетина
138,bale,n m,,слине
139,baleski pori,n phr f,,свињски реп
140,bali,n f,,крмача
141,balo,n m,,"брав, свиња"
142,baloro,n m,,"прасе, прасац"
143,banana,n f,,банана
144,bandžarela pe,v itr,,"топити се, кравити се"
145,banǧardo,adj m,,"крив, савијен"
146,banǧaripe,n m,,скретање
147,bango,adj,,хром
148,banka,n f,,банка
149,bar,n m,,камен
150,bar ,n f,,"врт, башта"
151,baŕalela,v tr,,повећати
152,baŕalipe,n,,повећање
153,bararo,adj m,,каменит
154,bare bogiňe,n phr pl,,велике богиње
155,bare buľasa,adj,,са дебелом задњицом
156,bare gijesa ,adj,,са великим трбухом
157,bare najenca,adj,,са великим прсима
158,bare nakhesa,adj,,са великом носом
159,bare nakhesa,adj,,са дугим носом
160,bare pungenca,adj,,дугоног
161,bare zejanca,adj,,плећат
162,bari paraštuj,n phr f,,велики петак
163,baripe,n m,,1. величина 2. висина
164,baro,adj m,,"1. велико, веће, наjвеће 2. дугачак 3. висок 4. огроман 5. висок (човек, дрво)"
165,baro bar,n phr m,,"стена, камен"
166,baro paj,n phr m,,море
167,baro taxtaj,n phr m,,кригла
168,baŕola,v itr,,"1. цветати 2. дићи се, расти"
169,barvalela pe,v itr,,обогатити
170,barvalipe,n m,,"1. имућност, богатство 2. својина, имовина"
171,barvalo,adj m,,"богат, имућан"
172,bašavni,n f,,"пушка, пиштољ"
173,bašno,n m,,петао
174,baštovani,n m,,"баштован, вртлар"
175,bax,n f,,срећа (осећање)
176,baxtalo,adj m,,срећан
177,baxťasa,adv mod,,срећом
178,bebe,n f,,"беба, новорођенце"
179,beda,n f,,"беда, патња"
180,bejato,n m,,дете
181,bendžalo,adj m,,"лош, рђав"
182,beng,n m,,1. ђаво 2. зло
183,bengalo,adj m,,"1. ђаволски 2. зао, рђав 3. страшан, ужасан 4. насилан, виолентан 5. дивљи"
184,bengeski sreća,n phr f,,зла срећа
185,benzino,n m,,бензин
186,beš,adv mod,,"чак и, баш"
187,bešela,v itr,,сести
188,bešela,v itr,,седети
189,beskorisno,adj,,бескористан
190,bezbedno,n,,"безбедност, сигурност"
191,bezobrazno,adj,,"безобразан, безочан"
192,bi,prep,,без
