Index,Entry Word,Part of Speech,Affix,Definition
1,a,conj,,"und, aber (dann), und dann, und doch"
2,abav,n m,,"1. Hochzeit 2. Bankett, Fest"
3,ačarav tu,v phr,,Ich verstehe dich
4,aćardol,v itr,,"bemerkt werden, verspürt werden, verstanden werden"
5,ačare li ma?,v phr,,verstehst du (mich)?
6,aćarel,v tr,,"verstehen, fühlen, wahrnehmen, spüren, bemerken"
7,aćaripe,n m,,"Gefühl, Wahrnehmung, Verständnis"
8,ačarol,v tr,,verstehen
9,ačhadipe,n m,,"Stehen, Stillstand, Halt, völliger Stillstand"
10,ačhadol,v itr,,"(an)halten, pausieren, eine Pause machen"
11,ačhav manďe,v phr,,ich schweige
12,ačhavipe,n m,,Zaumzeug
13,ačhavol,v tr/itr,,"1. aufhören, anhalten, stoppen 2. zudrehen (den Wasserhahn) 3. ausmachen (das Feuer) 4. ausschalten 5. aufschieben, unterbrechen 6. jmd. halten, zurückhalten 7. itr. aufhören, enden"
14,ačhel,v itr,,"1. bleiben, stehenbleiben, anhalten, weilen 2. kosten"
15,ačhen manďe,v phr,,"(sie) passen mir, (sie) stehen mir (z.B. Kleider)"
16,ačhipe,n m,,"Stehen, Bleiben, Rast, Dauerhaftigkeit"
17,ačhol,v itr,,"1. bleiben, dableiben, übrigbleiben 2. anhalten, aufhören 3. zum Stehen kommen, eine Pause machen 4. jmd. übrig bleiben, übrighaben 5. stehen, sein"
18,ačhol džuvdo ,v phr,,"überleben, etw. überlebt haben, am Leben bleiben"
19,ačhol khamni ,v phr,,::::Parse Failure::::
20,adeti ,n m,,"Brauch, Sitte, Gewohnheit, Tradition"
21,adeti si,n phr,,"es ist ein Brauch, es ist gebräuchlich"
22,aďive,adv temp,,heute
23,adresa,n f,,Adresse
24,aďučardol,v itr,,erwartet werden
25,aďućarol,v tr,,"1. warten (auf), erwarten 2. willkommen heißen, bewirten 3. erleben, erfahren"
26,aďučarol,v itr,,warten
27,advokato,n m,,"Rechtsanwalt, Jurist"
28,adžučaripe,n m,,"Warten, Erwartung"
29,agaći,adv,,"1. soviel, so viel 2. eine Menge, ein Haufen, (so) viele"
30,agači,adv,,so viele (da)
31,agaći drom,adv,,so viele Male
32,agaćoři,adv,,so wenig
33,agadibor,adv,,so groß
34,agadići,adv,,so viele (da)
35,agasavo,pron dem,,solch ein
36,agor,n m,,"1. Ende, Schluss 2. Boden"
37,agoral,adv loc,,"vomEnde hierher, am Rand, beiseite, getrennt"
38,agoreja,adv loc,,"am Rand, seitwärts"
39,agoresa,adv loc,,"am Rand, seitwärts"
40,agoresko,adj m,,letzte
41,agoreste,adv loc,,"neben, gegen Ende"
42,agoruno,adj m,,angrenzend
43,agorutno,adj m,,letzte
44,ajivendeja,adv temp,,"diesen Winter, letzten Winter"
45,ajnava,n f,,Spiegel
46,ajrat,adv temp,,"heute Abend, gestern Abend"
47,ajratutno,adj m,,"von heute Nacht, von gestern Nacht"
48,ajsar,adv mod,,"natürlich, sicherlich, tatsächlich"
49,ajso,adv mod,,"natürlich, sicherlich, tatsächlich"
