Index,Entry Word,Part of Speech,Affix,Definition
1,a,conj,,"and, but (then), and then, and yet"
2,abav,n m,,"1. wedding 2. celebration 3. feast, banquet"
3,ačarav tu,v phr,,I understand you
4,aćardol,v itr,,"be noticed, be felt, be understood"
5,ačare li ma?,v phr,,do you understand (me)?
6,aćarel,v tr,,"understand, feel, perceive, notice"
7,aćaripe,n m,,"feeling, perception, understanding"
8,ačarol,v tr,,"understand, comprehend"
9,ačhadipe,n m,,"stagnation, standstill, stop, deadlock"
10,ačhadol,v itr,,"1. (come to a) stop 2. (make a) pause, take a rest, make a halt"
11,ačhav manďe,v phr,,I remain silent
12,ačhavipe,n m,,"halter, bridle"
13,ačhavol,v tr/itr,,"1. stop, halt 2. turn off/out (the tap) 3. put out, extinguish (fire) 4. switch off, turn off 5. suspend, interrupt 6. keep (back), hold s.b. 7. itr. stop, cease"
14,ačhel,v itr,,"1. remain, stand, stop, dwell 2. cost"
15,ačhen manďe,v phr,,"(they) fit me, (they) suit me (e.g. about the clothes)"
16,ačhipe,n m,,"stand, remaining, rest, permanence"
17,ačhol,v itr,,"1. stay, remain (over) 2. stop, cease 3. (come to a) stop, (make a) pause 4. remain (to s.b.), have left 5. fit, be"
18,ačhol džuvdo ,v phr,,"survive, be a survivor (of), remain alive, live out"
19,ačhol khamni ,v phr,,"get/become pregnant, conceive"
20,adeti ,n m,,"custom, tradition"
21,adeti si,n phr,,"it is a custom, it is customary"
22,aďive,adv temp,,today
23,adresa,n f,,address
24,aďučardol,v itr,,be awaited
25,aďućarol,v tr,,"1. wait (for), await 2. expect 3. welcome, host 4. live to see, experience"
26,aďučarol,v itr,,wait
27,advokato,n m,,lawyer
28,adžučaripe,n m,,"wait, expectation"
29,agaći,adv,,"1. so much, this much, that much 2. a lot, a great deal, (so) many"
30,agači,adv,,so many (here)
31,agaći drom,adv,,so many times
32,agaćoři,adv,,so little
33,agadibor,adv,,so great
34,agadići,adv,,so many (here)
35,agasavo,pron dem,,such a
36,agor,n m,,"1. end, close, finish 2. bottom"
37,agoral,adv loc,,"from the end hither, on the edge, aside, apart"
38,agoreja,adv loc,,"on edge, sideways"
39,agoresa,adv loc,,"on edge, sideways"
40,agoresko,adj m,,last
41,agoreste,adv loc,,"beside, towards the end"
42,agoruno,adj m,,bordering
