Index,Entry Word,Part of Speech,Affix,Definition
1,a,conj,,"1. und 2. aber dann, und dann, und doch"
2,abav,n m,-a/-es-,"1. Hochzeit 2. Feier 3. Bankett, Fest"
3,abijav,n m,-a/-es-,"1. Hochzeit 2. Bankett, Fest"
4,abijavesko,adj m,,ehelich
5,aburo,n m,-uŕa/-es-,1. Dampf 2. Atem 3. schlechter Geruch
6,aćardol,v itr,—/-il-,"1. bemerkt werden, verspürt werden 2. verstanden werden"
7,aćarel,v tr,-d-/-d-,"verstehen, fühlen, wahrnehmen, spüren, bemerken"
8,aćaripe,n m,-imata/-imas-,"Gefühl, Wahrnehmung, Verständnis"
9,aćarno,adj m,,"1. beachtlich, wahrnehmbar, bemerkenswert 2. besonnen"
10,ačedo,n m,-uŕa/-os-,Salzsäure
11,ačhadijel,v itr,,"1. stehenbleiben, (an)halten 2. eine Pause machen, pausieren"
12,ačhadinajvol,v itr,-l-/-l-,"1. stehenbleiben, (an)halten 2. eine Pause machen, pausieren"
13,ačhadinipe,n m,-imata/-imas-,"1. Stehen, Stillstand, Halt 2. völliger Stillstand, toter Punkt"
14,ačhadipe,n m,-imata-/-imas-,"1. Stehen, Stillstand, Halt 2. völliger Stillstand, toter Punkt"
15,ačhadivel,v itr,,"1. stehenbleiben, (an)halten 2. eine Pause machen, pausieren"
16,ačhadol,v itr,,"1. stehenbleiben, (an)halten 2. eine Pause machen, pausieren"
17,ačhajvel,v itr,-l-/-l-,"1. stehenbleiben, (an)halten 2. eine Pause machen, pausieren 3. ruhen"
18,ačhav manďe,v phr itr,—/-il-,ich schweige
19,ačhavel,v tr,-d-/-d-,"1. anhalten, unterbrechen 2. hindern, verhindern 3. in den Streik treten"
20,ačhavipe,n m,-imata-/-imas-,"Stillstand, Streik"
21,ačhavol,v tr/itr,-d-/-d-,"1. anhalten, stoppen, stehen bleiben 2. zudrehen (den Wasserhahn) 3. ausmachen (das Feuer) 4. ausschalten 5. aufschieben 6. unterbrechen 7. jmd. halten, zurückhalten 8. enden, aufhören"
22,ačhel,v itr,—/-il-,"1. bleiben, verweilen [«ačhav manďe» - schweigen] 2. anhalten, stoppen, stehen bleiben 3. kosten 4. passen [«ačhen manďe» - (sie) passen mir, (sie) stehen mir]"
23,ačhipe,n m,-imata-/-imas-,"Stehen, Bleiben, Rast, Dauerhaftigkeit"
24,ačhol,v itr,—/-ime,"1. bleiben, dableiben, übrigbleiben 2. anhalten, aufhören 3. zum Stehen kommen, eine Pause machen 4. jmd. übrig bleiben, übrighaben 5. stehen, sein"
25,ačhol džuvdo,v phr itr,—/-il-,"überleben, etw. überlebt haben, am Leben bleiben"
26,ačhol khamni,v phr itr,—/-il-,"schwanger werden, Kind empfangen"
27,adabor,adj indef,,so groß
28,adaborořo,adj indef,,so klein
29,adaring,adv loc,,"1. hier, auf dieser Seite 2. hierher"
30,adaringa,adv loc,,"1. hier, auf dieser Seite 2. hierher"
31,adaringate,adv loc,,"1. hier, auf dieser Seite 2. hierher"
32,adaringořa,adv loc,,hierher
33,aďe,adv temp,,heute
34,aďes,adv temp,,heute
35,aďesno,adj m,,heutig
36,aďesutno,adj m,,heutig
37,adeti ,n m,-ja/-es-,"Brauch, Sitte, Gewohnheit, Tradition [«adeti si» - es ist ein Brauch, es ist gebräuchlich]"
38,aďive,adv temp,,heute
39,aďivesesko,adj m,,heutig
40,aďivesno,adj m,,heutig
41,aďivesutno,adj m,,heutig
42,adresa,n f,-e/-a-,Adresse
43,aďućarol,v tr,-d-/-d-,"1. warten (auf), erwarten 2. willkommen heißen 3. bewirten 4. erleben, erfahren"
44,advokato,n m,-uŕa/-os-,Rechtsanwalt
45,adźe,adv temp,,heute
46,adźestar,adv temp,,heutzutage
47,afera,n f,-e/-a-,"Affäre, Verhältnis, Liebesbeziehung"
48,aftopuzi,n m,-ja/-es-,Bus [«aftopuzesa» - mit dem Bus]
49,agabinono,adj indef,,so klein
50,agabinonořo,adj indef m,,1. so klein 2. so winzig
51,agabinořo,adj indef m,,so klein
52,agabor,adj indef,,so groß
53,agaborořo,adj indef m,,so klein
54,agaći ,adj indef,,"1. so viel 2. eine Menge, ein Haufen, (so) viele"
55,agaći drom,adv temp,,so viele Male
56,agaćinonoři,adj indef,,sehr wenig
57,agaćoři,adj indef,,so wenig
58,agadibor,adj indef,,so groß
59,agadiborono,adj indef,,1. so klein 2. so winzig
60,agadiborořo,adj indef m,,1. so klein 2. so winzig
61,agadići,adv mod,,so viele da
62,agadija,adv mod,,"so, auf diese Art und Weise"
63,agadijořa,adv mod,,"so, auf diese Art und Weise"
64,agaja,adv mod,,"so, auf diese Art und Weise"
65,agajći,adv mod,,so viele da
66,agajda,adv mod,,"so, auf diese Art und Weise"
67,agajořa,adv mod,,"so, auf diese Art und Weise"
68,agaring,adv loc,,"1. hier, auf dieser Seite 2. hierher"
69,agaringa,adv loc,,"1. hier, auf dieser Seite 2. hierher"
70,agaringate,adv loc,,"1. hier, auf dieser Seite 2. hierher"
71,agaringořa,adv loc,,hierher
72,agathar,adv loc,,von hier
73,agatharutno,adv loc,,"von hier, aus diesem Ort, aus dieser Nachbarschaft"
74,agathe,adv loc,,hier
75,agathoře,adv loc,,hier
76,agor,n m,-a/-es-,"1. Ende 2. Rand, Grenze"
77,agoral,adv loc,,"1. vom Ende hierher 2. am Rand, beiseite, abseits"
78,agore,adv loc,,1. daneben 2. gegen Ende
79,agoreja,adv loc,,"am Rand, seitlich"
80,agoresa,adv loc,,"am Rand, seitlich"
81,agoresko,adj m,,letzte
82,agoreste,adv loc,,1. daneben 2. gegen Ende
83,agoruno,adj m,,1. letzte 2. angrenzend
84,agorutno,adj m,,letzte
85,agresivno,adj,,"gewaltsam, aggressiv"
86,aj,part int,,"1. ob 2. in der Tat, wirklich, tatsächlich 3. und 4. ach ja"
87,ajićerel,v itr,-d-/-d-,warten
88,ajivend,adv temp,,1. diesen Winter 2. letzten Winter
89,ajivendeja,adv temp,,1. diesen Winter 2. letzten Winter
90,ajivendesko,adj m,,Winter- (dieser oder letzter)
91,ajkula,n f,-e/-a-,Hai
92,ajrat,adv temp,,"heute Abend, gestern Abend"
93,ajratno,adj m,,"von heute Nacht, von gestern Nacht"
94,ajratutno,adj m,,"von heute Nacht, von gestern Nacht"
95,ajsar,adv mod,,"1. natürlich, sicherlich 2. in der Tat, wirklich, tatsächlich"
96,ajsav,n m,-a/-es-,1. Mühle 2. Wassermühle
97,ajsavari,n m,-ja/-es-,Müller
98,ajsavarka,n f,-e/-a-,Frau des Müllers
99,ajsavesko ,n m,-e/-es-,Müller
100,ajsavesko bař,n phr m,-a/-es-,Mühlstein
101,ajso,adv mod,,"1. natürlich, sicherlich, tatsächlich 2. in der Tat, wirklich, tatsächlich"
102,ajva,n f,-e/-a-,Teil eines Spinnrades
103,ajvende,adv temp,,1. diesen Winter 2. letzten Winter
104,akabor,adj indef,,so groß
105,akaborořo,adj indef m,,so klein
106,akadibor,adj indef,,so groß
107,akadija,adv mod,,"so, auf diese Art und Weise"
108,akaj,adv loc,,hier
109,akaja,pron dem f,,diese
110,akana,adv temp,,"jetzt, sofort, sogleich"
111,akana sigate  ,adv temp,,"neulich, vor kurzer Zeit, nicht lange her"
112,akanate,adv temp,,"jetzt hier, in diesem Moment, genau jetzt"
113,akanořa,adv temp,,"jetzt, nun"
114,akanutno,adj m,,"derzeitzig, gegenwärtig, modern, heutig"
115,akarel,v tr,-d-/-d-,1. einladen [«akarel po ručko» - zum Essen einladen] 2. wählen (Telefon)
116,akari,adv loc,,1. hier 2. hierher
117,akaring,adv loc,,"hier, auf dieser Seite, hierher, in diese Richtung"
118,akaringa,adv loc,,"1. in diese Richtung, hierher 2. hier, an diesem Ort 3. auf dieser Seite"
119,akaringate,adv loc,,"hier, hierher"
120,akaringořa,adv loc,,hierher
121,akatar ,adv loc,,1. in diese Richtung 2. hierher 3. hier 4. auf dieser Seite 5. von da
122,akatarutno,adv loc,,"von hier, aus diesem Ort, aus dieser Nachbarschaft"
123,akate,adv loc,,hier
124,akate okote,adv loc,,"hier und da, überall"
125,akathe,adv loc,,hier
126,akatořal,adv loc,,"hier, hier vorbei"
127,akatoře,adv loc,,hier
128,akava,pron dem m,,dieser
129,akcije,n f pl,,Aktien
130,akhardinajvol,v itr,-l-/-l-,"genannt werden, heißen"
131,akhardino,adj m,,1. genannt 2. eingeladen
132,akhardo,adj m,,1. genannt [«Sar akhardo?» - Wie ist dein Name?] 2. eingeladen
133,akhardol,v itr,—/-il-,"1. genannt werden, heißen [«Sar akhardol-pe?» - Wie ist sein/ihr Name?] 2. gesagt werden 3. es ist zu sagen, das heißt"
134,akhardol-pe,v phr itr,—/-il-,"1. genannt werden, heißen [«Sar akhardol-pe?» - Wie ist sein/ihr Name?] 2. gesagt werden 3. es ist zu sagen, das heißt"
135,akharel,v tr,-d-/-d-,"1. nennen, rufen 2. aufschreien"
136,akharel o ďi,v phr itr,-d-/-d-,"seufzen, stöhnen"
137,akharen-pe,v phr,,"1. ihr Name ist, sie heißen 2. sie heißen (üblicherweise), die Leute nennen sie meistens 3. man sagt, dass sie … sind"
138,akharipe,n m,-imata/-imas-,"1. Einladung 2. Aufforderung, Appell 3. Ruf"
139,akharol,v tr,-d-/-d-,1. rufen 2. anrufen
140,akhor,n m,-a/-es-,"1. Walnuss (Frucht, Ingredient) 2. Gerstenkorn (Augenentzündung)"
141,akhorengo,adj m,,Walnuss-
142,akhoresko,adj m,,aus Walnuss
143,akhoresko mezo,n phr m,-uŕa/-os-,Walnusskern
144,akhorin,n f,-a/-a-,Walnussbaum
145,akhorinako kaš,n phr m,-a/-es-,Walnussholz
146,akhorořo,n m,-e/-es-,1. kleine Walnuss 2. Gerstenkorn (Augenentzündung)
147,ako,conj,,"wenn, falls"
148,akšamo      ,n m,-uŕa/-os-,Abend
149,akušavipe,n m,-imata/-imas-,"1. Schelte, Beschimpfung 2. Beleidigung"
150,akušavno,adj m,,1. streitsüchtig 2. verleumderisch
151,akušel,v tr,-l-/-l-,1. rupfen 2. pflücken
152,akušel,v tr,-l-/-l-,"1. schelten, beschimpfen 2. beleidigen, schmähen 3. verfluchen"
153,akušimasko,adj m,,"widerwärtig, tadelnswert"
154,akušipe,n m,-imata-/-imas-,"1. Schelte, Beschimpfung 2. Beleidigung"
155,akušlinajvol,v itr,-l-/-l-,beschimpft werden
156,akušľol,v itr,—/-il-,beschimpft werden
157,akušol,v tr,-l-/-l-,"1. fluchen 2. schelten, beschimpfen 3. tadeln, rügen 4. beleidigen, kränken"
158,akušol-pe ,v phr itr,-l-/-l-,"1. sich (mit jmd.) (zer)streiten, zanken 2. raufen"
159,Ala,n m,,"Allah, Gott (im Islam)"
160,Alaho,n m,—/-os-,Allah
161,alat,n m,,Werkzeug
162,alav,n m,-a/-es-,1. Wort 2. Name
163,alavalo,adj m,,geschwätzig
164,alavořo,n m,-e/-es-,Wörtchen
165,Albanija,n f,—/-a-,Albanien
166,albanijako,adj m,,"albanisch, aus Albanien"
167,ali,conj,,aber
168,alimentacija,n f,-e/-a-,"Alimente, Unterhalt"
169,Alla ,n m,,"Allah, Gott (im Islam)"
170,aloj,v tr,,"auswählen, aussuchen, aussortieren"
171,aľol,v tr,,"auswählen, aussuchen, aussortieren"
172,alome,adj,,gewählt
173,alope,n m,,"1. Auswahl, Wahl 2. Wahl (politisch)"
174,alosajvol,v itr,-l-/-l-,1. gewählt werden 2. gebraucht werden
175,alosardino,adj m,,gewählt
176,alosardo ,adj m,,gewählt
177,alosardol,v itr,—/-il-,1. gewählt werden 2. gewollt werden
178,alosarel,v tr,-d-/-d-,"1. wählen 2. auswählen, aussuchen, aussortieren"
179,alosaripe,n m,-imata/-imas-,"1. Auswahl, Wahl 2. Wahl (politisch)"
180,ama,conj,,aber
181,amal,n m,-a/-es-,"1. Freund 2. Gefährte, Kamerad"
182,amalesko,adj m,,"Freund-, Kamerad-"
183,amalikane,adv,,"auf eine freundliche Art und Weise, wie ein Freund"
184,amalikano,adj m,,"Freund-, Kamerad-"
185,amalin,n f,-a/-a-,Freundin
186,amalipe,n m,-imata/-imas-,1. Freunschaft 2. Gesellschaft 3. Umgang
187,amaľipe,n m,-imata-/-imas-,1. Freunschaft 2. Gesellschaft 3. Umgang
188,amaro,pron poss 1 sg m,,unser
189,ambiciozno,adj,,eifrig
190,ambrol,n m,-a/-es-,"Birne (Frucht, Ingredient)"
191,ambrolesko avďin,n phr m,-a/-es-,Birnenhonig
192,ambrolin,n f,-a/-a-,Birnenbaum
193,ambrul,n m,-a/-es-,Birne
194,amburi,adv mod,,vielleicht
195,amen,pron pers 1 pl,,wir
196,amilaj,adv temp,,1. diesen Sommer 2. letzten Sommer
197,amilaje,adv loc,,diesen Sommer
198,amilajesko,adj m,,von diesem Sommer
199,amilajutno,adj m,,von diesem Sommer
200,amilutno,adj m,,von diesem Sommer
201,babica,n f,-e/-a-,Hebamme
202,babo,n m,-uŕa/-os-,Papa (Koseform für Vater)
203,babosko,adj m,,"Papas, von Papa"
204,baćija,n f,-e/-a-,Hexe
205,baďi,adv mod,,"vorgetäuscht, angeblich, sogenannt"
206,badiava,adv mod,,"1. zwecklos, nutzlos 2. vergeblich, umsonst"
207,baďica,adv mod,,"vorgetäuscht, angeblich, sogenannt"
208,badihava,adv mod,,"1. zwecklos, nutzlos, vergeblich, umsonst 2. vergeblich, umsonst"
209,badijava,adv mod,,"1. zwecklos, nutzlos 2. vergeblich, umsonst"
210,badžo,n m,-uŕa/-os-,"Schwager (bádžos sind die Männer von zwei oder mehreren Schwestern, daher ist ein bádžo auch bádžo dem anderen)"
211,badžosko,adj m,,des Schwagers
212,bagremi,n m,-ja/-es-,Akazie
213,bahlav,n f,,"Wind, Luftzug"
