Index,Entry Word,Part of Speech,Affix,Definition
1,a,conj,,"1. and 2. but then, and then, and yet"
2,abav,n m,-a/-es-,"1. wedding 2. celebration 3. feast, banquet"
3,abijav,n m,-a/-es-,"1. wedding 2. feast, banquet"
4,abijavesko,adj m,,nuptial
5,aburo,n m,-uŕa/-es-,1. steam 2. breath 3. bad smell
6,aćardol,v itr,—/-il-,"1. be noticed, be felt 2. be understood"
7,aćarel,v tr,-d-/-d-,"understand, feel, perceive, notice"
8,aćaripe,n m,-imata/-imas-,"feeling, perception, understanding"
9,aćarno,adj m,,"1. sensible, perceptible, noticeable 2. prudent"
10,ačedo,n m,-uŕa/-os-,hydrochloric acid
11,ačhadijel,v itr,,"1. stop, make a halt 2. take a rest, make a pause"
12,ačhadinajvol,v itr,-l-/-l-,"1. stop, make a halt 2. take a rest, make a pause"
13,ačhadinipe,n m,-imata/-imas-,"1. stagnation, standstill, stop 2. deadlock"
14,ačhadipe,n m,-imata-/-imas-,"1. stagnation, standstill, stop 2. deadlock"
15,ačhadivel,v itr,,"1. stop, make a halt 2. take a rest, make a pause"
16,ačhadol,v itr,,"1. stop, make a halt 2. take a rest, make a pause"
17,ačhajvel,v itr,-l-/-l-,"1. stop, make a halt 2. take a rest, make a pause 3. rest"
18,ačhav manďe,v phr itr,—/-il-,I remain silent
19,ačhavel,v tr,-d-/-d-,"1. stop, interrupt 2. hinder, prevent 3. go on strike"
20,ačhavipe,n m,-imata-/-imas-,"stoppage, strike"
21,ačhavol,v tr/itr,-d-/-d-,"1. stop, halt 2. turn off (the tap) 3. extinguish (fire), put out 4. switch off, turn off 5. postpone, defer 6. interrupt 7. keep back, hold so. 8. cease, end"
22,ačhel,v itr,—/-il-,"1. remain, stand, dwell [«ačhav manďe» - I remain silent] 2. stop, halt 3. cost 4. fit [«ačhen manďe» - (they) suit me, (they) fit me]"
23,ačhipe,n m,-imata-/-imas-,"stand, remaining, rest, permanence"
24,ačhol,v itr,—/-ime,"1. stay, remain (over) 2. stop, cease 3. (come to a) stop, (make a) pause 4. remain (to so.), have left 5. fit, be"
25,ačhol džuvdo,v phr itr,—/-il-,"survive, be a survivor (of), remain alive, live out"
26,ačhol khamni,v phr itr,—/-il-,"become pregnant, conceive"
27,adabor,adj indef,,"so big, so great"
28,adaborořo,adj indef,,so little
29,adaring,adv loc,,"1. here, on this side 2. hither"
30,adaringa,adv loc,,"1. here, on this side 2. hither"
31,adaringate,adv loc,,"1. here, on this side 2. hither"
32,adaringořa,adv loc,,hither
33,aďe,adv temp,,today
34,aďes,adv temp,,today
35,aďesno,adj m,,today's
36,aďesutno,adj m,,today's
37,adeti ,n m,-ja/-es-,"custom, tradition [«adeti si» - it is a custom, it is customary]"
38,aďive,adv temp,,today
39,aďivesesko,adj m,,today's
40,aďivesno,adj m,,today's
41,aďivesutno,adj m,,today's
42,adresa,n f,-e/-a-,address
43,aďućarol,v tr,-d-/-d-,"1. wait (for), await, expect 2. welcome 3. host 4. live to see, experience"
44,advokato,n m,-uŕa/-os-,lawyer
45,adźe,adv temp,,today
46,adźestar,adv temp,,nowadays
47,afera,n f,-e/-a-,"affair, liaison, involvement"
48,aftopuzi,n m,-ja/-es-,bus [«aftopuzesa» - by bus]
49,agabinono,adj indef,,so little
50,agabinonořo,adj indef m,,1. so little 2. so tiny
51,agabinořo,adj indef m,,so little
52,agabor,adj indef,,"so big, so great"
53,agaborořo,adj indef m,,so little
54,agaći ,adj indef,,"1. as much, so much, that much 2. a lot, a great deal of, (so) many"
55,agaći drom,adv temp,,so many times
56,agaćinonoři,adj indef,,so very little
57,agaćoři,adj indef,,so little
58,agadibor,adj indef,,"so big, so great"
59,agadiborono,adj indef,,1. so little 2. so tiny
60,agadiborořo,adj indef m,,1. so little 2. so tiny
61,agadići,adv mod,,so many here
62,agadija,adv mod,,"so, thus, in this manner"
63,agadijořa,adv mod,,"so, thus, in this manner"
64,agaja,adv mod,,"so, thus, in this manner"
65,agajći,adv mod,,so many here
66,agajda,adv mod,,"so, thus, in this manner"
67,agajořa,adv mod,,"so, thus, in this manner"
68,agaring,adv loc,,"1. here, on this side 2. hither"
69,agaringa,adv loc,,"1. here, on this side 2. hither"
70,agaringate,adv loc,,"1. here, on this side 2. hither"
71,agaringořa,adv loc,,hither
72,agathar,adv loc,,from here
73,agatharutno,adv loc,,"of here, of this place, of this neighbourhood"
74,agathe,adv loc,,"here, in this place"
75,agathoře,adv loc,,"here, in this place"
76,agor,n m,-a/-es-,"1. end 2. edge, boundary, border"
77,agoral,adv loc,,"1. from the end hither 2. on the edge, aside, apart"
78,agore,adv loc,,1. beside 2. towards the end
79,agoreja,adv loc,,"on edge, sideways"
80,agoresa,adv loc,,"on edge, sideways"
81,agoresko,adj m,,last
82,agoreste,adv loc,,1. beside 2. towards the end
83,agoruno,adj m,,1. last 2. bordering
84,agorutno,adj m,,last
85,agresivno,adj,,violent
86,aj,part int,,"1. whether, if 2. indeed 3. and 4. oh yes"
87,ajićerel,v itr,-d-/-d-,wait
88,ajivend,adv temp,,1. this winter 2. last winter
89,ajivendeja,adv temp,,1. this winter 2. last winter
90,ajivendesko,adj m,,1. of this winter 2. of last winter
91,ajkula,n f,-e/-a-,shark
92,ajrat,adv temp,,"tonight, this evening, last night"
93,ajratno,adj m,,"tonight's, last night's"
94,ajratutno,adj m,,"tonight's, this evening's, last night's"
95,ajsar,adv mod,,"1. of course, certainly 2. indeed"
96,ajsav,n m,-a/-es-,1. mill 2. water-mill
97,ajsavari,n m,-ja/-es-,miller
98,ajsavarka,n f,-e/-a-,miller's wife
99,ajsavesko ,n m,-e/-es-,miller
100,ajsavesko bař,n phr m,-a/-es-,millstone
101,ajso,adv mod,,"1. of course, certainly 2. indeed"
102,ajva,n f,-e/-a-,part of a spinning-wheel
103,ajvende,adv temp,,1. this winter 2. last winter
104,akabor,adj indef,,"so big, so great"
105,akaborořo,adj indef m,,so little
106,akadibor,adj indef,,"so big, so great"
107,akadija,adv mod,,"so, thus, in this manner"
108,akaj,adv loc,,here
109,akaja,pron dem f,,this
110,akana,adv temp,,"now, immediately, at once"
111,akana sigate  ,adv temp,,"a little while ago, a short time ago"
112,akanate,adv temp,,"here now, at this moment, right now"
113,akanořa,adv temp,,now
114,akanutno,adj m,,"actual, present, modern"
115,akarel,v tr,-d-/-d-,1. invite [«akarel po ručko» - entertain to a meal] 2. dial a number
116,akari,adv loc,,1. here 2. hither
117,akaring,adv loc,,"here, on this side, hither, in this direction"
118,akaringa,adv loc,,"1. in this direction, hither 2. here, in this place 3. on this side"
119,akaringate,adv loc,,"here, hither"
120,akaringořa,adv loc,,hither
121,akatar ,adv loc,,"1. this way 2. in this direction, hither 3. here 4. on this side 5. from here"
122,akatarutno,adv loc,,"of here, of this place, of this neighbourhood"
123,akate,adv loc,,"here, in this place"
124,akate okote,adv loc,,"here and there, everywhere"
125,akathe,adv loc,,here
126,akatořal,adv loc,,"here, past here"
127,akatoře,adv loc,,here
128,akava,pron dem m,,this
129,akcije,n f pl,,"stock, shares"
130,akhardinajvol,v itr,-l-/-l-,"be named, be called"
131,akhardino,adj m,,"1. named, called 2. invited"
132,akhardo,adj m,,"1. named, called [«Sar akhardo?» - What's your name?] 2. invited"
133,akhardol,v itr,—/-il-,"1. be named, be called [«Sar akhardol-pe?» - What's his/her name?] 2. be said 3. it is to be said, it is to say"
134,akhardol-pe,v phr itr,—/-il-,"1. be named, be called [«Sar akhardol-pe?» - What's his/her name?] 2. be said"
135,akharel,v tr,-d-/-d-,"1. call, name 2. cry out"
136,akharel o ďi,v phr itr,-d-/-d-,"sigh, groan"
137,akharen-pe,v phr,,"1. their name is 2. they are (usually) called, the people usuallly call them 3. they are (to be) said"
138,akharipe,n m,-imata/-imas-,"1. invitation 2. summons 3. shout, cry"
139,akharol,v tr,-d-/-d-,"1. call 2. call (up), phone, ring up"
140,akhor,n m,-a/-es-,"1. walnut (fruit) 2. coll. walnut(s) (ingredient, substance) 3. sty (in the eye)"
141,akhorengo,adj m,,"walnut, of walnuts"
142,akhoresko,adj m,,of walnut
143,akhoresko mezo,n phr m,-uŕa/-os-,walnut kernel
144,akhorin,n f,-a/-a-,walnut tree
145,akhorinako kaš,n phr m,-a/-es-,walnut wood
146,akhorořo,n m,-e/-es-,1. little walnut 2. sty (in the eye)
147,ako,conj,,if
148,akšamo      ,n m,-uŕa/-os-,evening
149,akušavipe,n m,-imata/-imas-,"1. scolding, abuse (affront) 2. insult"
150,akušavno,adj m,,1. quarrelsome 2. slanderous
151,akušel,v tr,-l-/-l-,1. pluck 2. pick
152,akušel,v tr,-l-/-l-,"1. scold, abuse 2. insult, revile 3. curse"
153,akušimasko,adj m,,"odious, blameworthy"
154,akušipe,n m,-imata-/-imas-,"1. scolding, abuse (affront) 2. insult"
155,akušlinajvol,v itr,-l-/-l-,be scolded
156,akušľol,v itr,—/-il-,be scolded
157,akušol,v tr,-l-/-l-,"1. swear 2. scold, abuse 3. rebuke 4. offend"
158,akušol-pe ,v phr itr,-l-/-l-,"1. quarrel, fall out (with) 2. brawl"
159,Ala,n m,,"Allah, God (in Islam)"
160,Alaho,n m,—/-os-,Allah
161,alat,n m,,"tool, implement"
162,alav,n m,-a/-es-,1. word 2. name
163,alavalo,adj m,,"chattering, wordy"
164,alavořo,n m,-e/-es-,little word
165,Albanija,n f,—/-a-,Albania
166,albanijako,adj m,,"Albanian, from Albania"
167,ali,conj,,but
168,alimentacija,n f,-e/-a-,alimony
169,Alla ,n m,,"Allah, God (in Islam)"
170,aloj,v tr,,"choose, select, sort out"
171,aľol,v tr,,"choose, select, sort out"
172,alome,adj,,1. chosen 2. elected
173,alope,n m,,1. choice 2. election
174,alosajvol,v itr,-l-/-l-,1. be chosen 2. be needed
175,alosardino,adj m,,1. chosen 2. elected
176,alosardo ,adj m,,1. chosen 2. elected
177,alosardol,v itr,—/-il-,1. be chosen 2. be wanted
178,alosarel,v tr,-d-/-d-,"1. elect 2. choose, select, sort out"
179,alosaripe,n m,-imata/-imas-,1. choice 2. election
180,ama,conj,,but
181,amal,n m,-a/-es-,1. friend 2. comrade
182,amalesko,adj m,,"friend's, comrade's"
183,amalikane,adv,,"in a friendly manner, as a friend"
184,amalikano,adj m,,"friend's, comrade's"
185,amalin,n f,-a/-a-,"friend (female), girl-friend"
186,amalipe,n m,-imata/-imas-,"1. friendship 2. company 3. association, dealings"
187,amaľipe,n m,-imata-/-imas-,"1. friendship 2. company 3. association, dealings"
188,amaro,pron poss 1 sg m,,our
189,ambiciozno,adj,,eager
190,ambrol,n m,-a/-es-,"1. pear (fruit) 2. coll. pear(s) (ingredient, substance)"
191,ambrolesko avďin,n phr m,-a/-es-,pear honey
192,ambrolin,n f,-a/-a-,pear tree
193,ambrul,n m,-a/-es-,pear (fruit)
194,amburi,adv mod,,"perhaps, it is possible"
195,amen,pron pers 1 pl,,we
196,amilaj,adv temp,,1. this summer 2. last summer
197,amilaje,adv loc,,this summer
198,amilajesko,adj m,,of this summer
