Index,Entry Word,Part of Speech,Affix,Definition
1,ablaka,n f,,Fenster
2,ačel,v itr,,"1. bleiben 2. stehen bleiben, anhalten"
3,ačel opre,partv,,wach bleiben
4,ačhel,v itr,,"1. bleiben 2. stehen bleiben, anhalten"
5,aďa,adv loc,,"hierher, in diese Richtung"
6,adake,pron dem,,genau dies
7,adalehe,adv,,"danach, nach diesem, mit diesen Worten"
8,aďes,adv temp,,heute
9,adi,pron dem f,,dieser
10,adig,adv loc,,soweit
11,adig,adv temp,,solange
12,ado,pron dem m,,dieser
13,aga,n f,,"Ast, Zweig"
14,agor,n m,,"Rand, Ende"
15,akana,adv temp,,jetzt
16,akarkon,pron indef,,wer auch immer
17,akarsar,adv mod,,wie auch immer
18,akarso,pron indef,,was auch immer
19,akastinel,v tr,,"1. hängen 2. unterbrechen, hemmen, blockieren"
20,akharel,v tr,,"rufen, holen"
21,akharel avri,partv,,"herausrufen, zur Türe rufen"
22,akhor,n m,,Nuss
23,akor,adv temp,,"dann, damals"
24,alato,n m,,Tier
25,albaca,n f,,"grauer Star, Katarakt"
26,amaro,pron poss 1 sg m,,unser
27,ambrol,n m,,Birne
28,ambrolengo kašt,n phr,,Birnbaum
29,ame,pron pers 1 pl,,wir
30,anav,n m,,Name
31,anavel,v tr,,"bringen lassen, bestellen"
32,and',prep,,1. in (vor Vokalen) 2. nach (vor Vokalen)
33,and' odo,adv caus,,deshalb
34,andar,prep,,"1. von, aus 2. wegen"
35,ande,prep,,1. in 2. nach
36,ande,adv loc,,"innen, darin, innerhalb, hinein"
37,ande,part vb,,hinein-
38,ande kerel,partv,,schließen
39,ande pajkerel,partv,,"von draußen grüßen, hereingrüßen"
40,ande palikerel,partv,,"von draußen grüßen, hereingrüßen"
41,ande paruvel,partv,,"umtauschen, eintauschen"
42,ande pašjol,partv,,sich hineinlegen
43,ande perel,partv,,hineinfallen
44,andel sasra,prep phr,,in Handschellen
45,ando ňilaj,prep phr,,im Sommer
46,ando suno dikhel,v phr,,träumen
47,andre mukel,partv,,hereinlassen
48,andre sikavel,partv,,vorstellen
49,anel,v tr,,"herbringen, mitbringen, mitnehmen"
50,angali,n f,,"Schoß, Umarmung"
51,angalidel,v tr,,umarmen
52,angar,n m,,Kohle
53,angara,n m pl,,Kohle
54,angaruno,adj m,,Kohle-
55,angl',prep,,vor (vor Vokalen)
56,angla,prep,,vor
57,anglal,prep,,vor
58,anglal,part vb,,"vor-, hervor-"
59,anglal,adv loc,,"vorne, voran"
60,anglal teremtinel,partv,,produzieren
61,angle,prep,,vor
62,angluno,adj m,,"1. voraus, als erstes 2. Vorder-"
63,angrusňi,n f,,Ring
64,angrusťi,n f,,Ring
65,ani-ani,conj,,entweder…oder
66,aňira,adv,,"so viel, in solchem Ausmaß"
67,anral,adv loc,,"innen, von innen"
68,anre,part vb,,hinein-
69,anre,adv loc,,"innen, darin, innerhalb, hinein"
70,anro,n m,,Ei
71,anro xiňel,v phr,,ein Ei legen
72,apal,part narr,,"also, dann, gut"
73,apol,part narr,,"also, dann, gut"
74,arakel,v tr,,"1. finden 2. behüten, aufpassen"
75,arakel avri,partv,,"erraten, herausfinden"
76,arakhel,v tr,,"1. finden 2. behüten, aufpassen"
77,arčič,n m,,Blei
78,arčiči,n m,,Blei
79,arde,adv loc,,"hier, ungefähr hier (ungefähre Richtungsangabe)"
80,are,adv loc,,"innen, darin, innerhalb, hinein"
81,are,part vb,,hinein-
82,ari,adv loc,,draußen
83,ari,part vb,,"hinaus-, aus-"
84,ari marel rupuneha,v phr,,mit Silber einfassen
85,armi,n m,,Kohl
86,armin,n m,,Kohl
87,arno,n m,,Ei
88,aro,n m,,Ei
89,aro,n m,,Mehl
90,asajimo,n m,,Lachen
91,asal,v itr,,lachen
92,asal avri,partv,,auslachen
93,asalimo,n m,,Lachen
94,aso,pron dem m,,"so ein, solch ein"
95,aspin,n m,,Stahl
96,astači,n m,,"Pfanne, Kasserolle"
97,astala,n,,Tisch
98,ašunel,v tr,,"hören, zuhören"
99,asva,n m pl,,Tränen
100,atake,adv loc,,genau hier
101,ate,adv loc,,"1. hier, an diesem Ort 2. hierher, in diese Richtung"
102,athake,adv loc,,genau hier
103,athe,adv loc,,"1. hier, an diesem Ort 2. hierher, in diese Richtung"
104,aťi,adj,,so viel
105,avel,v itr,,"1. kommen 2. sein (Futur, Imperativ, Konditional) 3. werden (Vergangenheitszeiten)"
106,aver,pron indef,,"anderer, andere, anderes (kaver nach den Artikeln o/i)"
107,aver ďes,adv phr,,"am nächsten Tag, am folgenden Tag"
108,aver them,n phr,,Ausland
109,avka,adv mod,,"so, dadurch, auf diese Art und Weise"
110,avral,adv loc,,"außen, von außen"
111,avri,part vb,,"hinaus-, aus-"
112,avri,adv loc,,draußen
113,avri džanel,partv,,herausfinden
114,avri kerel,partv,,öffnen
