Index,Entry Word,Part of Speech,Affix,Definition
1,ablaka,n f,,window
2,ačel,v itr,,"1. remain 2. stand, stop"
3,ačel opre,partv,,keep awake
4,ačhel,v itr,,"1. remain 2. stand, stop"
5,aďa,adv loc,,"here, in this direction"
6,adake,pron dem,,just this
7,adalehe,adv,,"after this, with these words"
8,aďes,adv temp,,today
9,adi,pron dem f,,this
10,adig,adv temp,,as long as
11,adig,adv loc,,as far as
12,ado,pron dem m,,this
13,aga,n f,,branch
14,agor,n m,,"edge, end"
15,akana,adv temp,,now
16,akarkon,pron indef,,whoever
17,akarsar,adv mod,,"anyhow, however"
18,akarso,pron indef,,whatever
19,akastinel,v tr,,"1. hang, suspend 2. stop, block, check"
20,akharel,v tr,,"call, summon"
21,akharel avri,partv,,call to the door
22,akhor,n m,,nut
23,akor,adv temp,,then
24,alato,n m,,animal
25,albaca,n f,,"glaucoma, cataract"
26,amaro,pron poss 1 sg m,,our
27,ambrol,n m,,pear
28,ambrolengo kašt,n phr,,pear tree
29,ame,pron pers 1 pl,,we
30,anav,n m,,name
31,anavel,v tr,,"let bring, order"
32,and',prep,,"1. in (before vowels) 2. into (before vowels), to (before vowels)"
33,and' odo,adv caus,,therefore
34,andar,prep,,"1. from, out of 2. for, because of"
35,ande,prep,,"1. in 2. into, to"
36,ande,adv loc,,"in, in it, inside, within"
37,ande,part vb,,in
38,ande kerel,partv,,close
39,ande pajkerel,partv,,greet from outside
40,ande palikerel,partv,,greet from outside
41,ande paruvel,partv,,exchange
42,ande pašjol,partv,,lie down into
43,ande perel,partv,,fall into
44,andel sasra,prep phr,,in handcuffs
45,ando ňilaj,prep phr,,in summer
46,ando suno dikhel,v phr,,dream
47,andre mukel,partv,,let in
48,andre sikavel,partv,,"introduce, present"
49,anel,v tr,,"bring here, fetch"
50,angali,n f,,"lap, embrace"
51,angalidel,v tr,,embrace
52,angar,n m,,coal
53,angara,n m pl,,coal
54,angaruno,adj m,,"of coal, coaly"
55,angl',prep,,"in front of, before (before vowels)"
56,angla,prep,,"in front of, before"
57,anglal,part vb,,forward
58,anglal,prep,,"in front of, before"
59,anglal,adv loc,,"ahead, in front"
60,anglal teremtinel,partv,,produce
61,angle,prep,,"in front of, before"
62,angluno,adj m,,1. first 2. frontal
63,angrusňi,n f,,ring
64,angrusťi,n f,,ring
65,ani-ani,conj,,either-or
66,aňira,adv,,"so much, to such an extent"
67,anral,adv loc,,from inside
68,anre,part vb,,in
69,anre,adv loc,,"in, in it, inside, within"
70,anro,n m,,egg
71,anro xiňel,v phr,,lay eggs
72,apal,part narr,,"well, then"
73,apol,part narr,,"well, then"
74,arakel,v tr,,"1. find 2. guard, take care of"
75,arakel avri,partv,,"guess, make out"
76,arakhel,v tr,,"1. find 2. guard, take care of"
77,arčič,n m,,lead
78,arčiči,n m,,lead
79,arde,adv loc,,here (vague indication of the direction)
80,are,part vb,,in
81,are,adv loc,,"in, in it, inside, within"
82,ari,adv loc,,outdoors
83,ari,part vb,,out
84,ari marel rupuneha,v phr,,mount with silver
