Index,Entry Word,Part of Speech,Affix,Definition
1,ablaka,n f,,ablak
2,ačel,v itr,,1. marad 2. megáll
3,ačel opre,partv,,"fennmarad, virraszt"
4,ačhel,v itr,,1. marad 2. megáll
5,aďa,adv loc,,ide
6,adake,pron dem,,ez itt
7,adalehe,adv,,"azzal, ezután"
8,aďes,adv temp,,ma
9,adi,pron dem f,,ez
10,adig,adv loc,,addig
11,adig,adv temp,,addig
12,ado,pron dem m,,ez
13,aga,n f,,ág
14,agor,n m,,"vég, szél"
15,akana,adv temp,,most
16,akarkon,pron indef,,akárki
17,akarsar,adv mod,,akárhogy
18,akarso,pron indef,,akármi
19,akastinel,v tr,,1. akaszt 2. megakaszt
20,akharel,v tr,,hív
21,akharel avri,partv,,kihív
22,akhor,n m,,dió
23,akor,adv temp,,akkor
24,alato,n m,,állat
25,albaca,n f,,hályog
26,amaro,pron poss 1 sg m,,mienk
27,ambrol,n m,,körte
28,ambrolengo kašt,n phr,,körtefa
29,ame,pron pers 1 pl,,mi
30,anav,n m,,név
31,anavel,v tr,,hozat
32,and',prep,,"1. -ban (általában magánhangzók előtt), -ben (általában magánhangzók előtt) 2. -ba (általában magánhangzók előtt), -be (általában magánhangzók előtt)"
33,and' odo,adv caus,,azért
34,andar,prep,,"1. -ból, -ből 2. miatt"
35,ande,prep,,"1. -ban, -ben 2. -ba, -be"
36,ande,adv loc,,"bent, be"
37,ande,part vb,,be-
38,ande kerel,partv,,bezár
39,ande pajkerel,partv,,beköszön
40,ande palikerel,partv,,beköszön
41,ande paruvel,partv,,becserél
42,ande pašjol,partv,,belefekszik
43,ande perel,partv,,beleesik
44,andel sasra,prep phr,,bilincsben
45,ando ňilaj,prep phr,,nyáron
46,ando suno dikhel,v phr,,álmodik
47,andre mukel,partv,,beereszt
48,andre sikavel,partv,,bemutat
49,anel,v tr,,hoz
50,angali,n f,,öl
51,angalidel,v tr,,megölel
52,angar,n m,,szén
53,angara,n m pl,,szén
54,angaruno,adj m,,szén-
55,angl',prep,,előtt (általában magánhangzók előtt)
56,angla,prep,,előtt
57,anglal,part vb,,elő-
58,anglal,prep,,előtt
59,anglal,adv loc,,elöl
60,anglal teremtinel,partv,,előteremt
61,angle,prep,,előtt
62,angluno,adj m,,1. első 2. elülső
63,angrusňi,n f,,gyűrű
64,angrusťi,n f,,gyűrű
