Index,Entry Word,Part of Speech,Affix,Definition
1,a,conj,,1. und 2. aber
2,a kamo li,conj,,geschweige denn
3,aba,adv mod,,kaum
4,aba,adv mod,,schon
5,abcîn,n m,-a/-es-,Stahl
6,abcînalo,adj m,,"aus Stahl, stählern, Stahl-"
7,abêrš,adv temp,,"heuer, dieses Jahr"
8,abjan,n m,-a/-es-,Hochzeit
9,abjav,n m,-a/-es-,Hochzeit [«kêrêl abjav» - heiraten]
10,abjavesko,adj m,,Hochzeits-
11,abjavořo,n m,-e/-es-,kleine Hochzeit
12,ablakato,n m,—/-es-,Advokat
13,aburil,v itr,-isard-/-ime,dampfen
14,aburo,n m,-urja/-os-,1. Dampf 2. Geist
15,adaptacija,n f,-e/-a-,"Anpassung, Abgleich"
16,ades,adv temp,,heute
17,aďes,adv temp,,heute
18,adesuno,adj m,,"heutig, von heute"
19,adeto,n m,-urja/-os-,Brauch
20,adînko,adj,,tief
21,adoptiril,v tr,-isard-/-ime,adoptieren
22,adresa,n f,-e/-a-,Adresse
23,adžes,adv temp,,heute
24,afekto si pe,v phr itr,,"betreffen, Auswirkung haben auf"
25,afera,n f,-e/-a-,"Affäre, Verhältnis, Liebesbeziehung"
26,aǧes,adv temp,,heute
27,agor,n m,-a/-es-,"1. Rand 2. Extremität 3. Spitze 4. Ende, Schluss 5. Anfang, Beginn"
28,agoral,adv loc,,"am Ende, am Rand"
29,agoruno,adj m,,"1. Seiten-, Außen- 2. letzter"
30,agresivno,adj,,"gewaltätig, aggressiv"
31,agrikulturalno,adj,,landwirtschaftlich
32,aivend,adv temp,,in diesem Winter
33,aj,conj,,und
34,ajda,interj,,"auf!, gehen wir!"
35,ajkula,n f,-e/-a-,Hai
36,ajsar,interj,,warum denn nicht?
37,ajsar,adv caus,,"sicher, gewiss"
38,ajso,adv caus,,"sicher, gewiss"
39,ajzlogo,n m,-urja/-os-,"Schaufenster, Auslage"
40,akana,adv temp,,jetzt
41,akanaš,adv temp,,jetzt
42,akaring,adv loc,,1. hier 2. hierher
43,akatar,adv loc,,von hier
44,akate,adv loc,,hier
45,akathe,adv loc,,hier
46,akcija,n f,-e/-a-,Aktie
47,akê,interj,,1. da ist er/sie! 2. sieh hier!
48,akêta,interj,,1. da ist er/sie! 2. sieh hier!
49,akêvo,n m,-urja/-os-,"Fass, Schaff"
50,akharďol,v itr,-il-/-il-,"heißen, sich nennen"
51,akharel,v tr,-d-/-d-,1. rufen 2. einladen [«akharel po xabe» - zum Essen einladen]
52,akharimos,n m,-ata/-as-,Ruf
53,akhjarel,v tr,-d-/-d-,1. verstehen 2. fühlen
54,akhor,n m,-a/-es-,"1. Nuss, Walnuss 2. Gerstenkorn (medizinisch)"
55,akhoresko,adj m,,Nuss-
56,akhorin,n f,-a/-a-,Nussbaum
57,akhorinako,adj m,,Nuss-
58,ako,part foc,,1. meinetwegen 2. warum nicht?
59,ako,conj,,"wenn, falls"
60,akovari,n m,-ja/-es-,Böttcher
61,akovo,n m,-urja/-os-,"Fass, Schaff"
62,akušel,v tr,-l-/-l-,"1. schelten 2. beschimpfen, beleidigen"
63,akušêl,v tr,-l-/-l-,"anschreien, beschimpfen"
64,akušimos,n m,-ata/-as-,"1. Schelte 2. Beschimpfung, Beleidigung"
65,aľardol,v itr,-il-/-il-,verstanden werden
66,aľarel,v tr,-d-/-d-,verstehen
67,alaš,n m,-a/-es-,Herberge
68,aľbjaca,n f,-e/-a-,1. grüner Star (medizinisch) 2. grauer Star (medizinisch)
69,aldêmaš,n m,-a/-es-,Draufgabe (bei Handelsabschluss)
70,aldomaš,n m,-a/-es-,Draufgabe (bei Handelsabschluss)
71,alduisarel,v tr,-d-/-ime,segnen
72,ali,conj,,aber
73,alimenta,n f,-e/-a-,"Alimente, Unterhalt"
74,alkoholosko,adj m,,alkoholisch
75,alol pe,v itr,,verstehen
76,alomos,n m,-ata/-as-,"1. Wahl, Auswahl 2. Wahl (politisch)"
77,alosarel,v tr,-d-/—,"wählen, auswählen, wählen (politisch), an einer Wahl teilnehmen"
78,alosavel,v itr,-d-/-d-,verstehen
79,ama,conj,,1. aber 2. sobald
80,amal,n m,-a/-es-,"Freund, Gefährte, Kamerad"
81,amalin,n f,-a/-a-,Freundin
82,amalni,n f,-ja/-ja,Freundin
83,amaro,pron poss 1 sg m,,unser
84,ambari,n m,-ja/-es-,Scheune
85,amblaimos,n m,-ata/-as-,Hängen (Exekution)
86,amblajimata,n m pl,,Hängen (Exekution)
87,amblal,n m,-a/-es-,Holzscheit
88,amblavel,v tr,-d-/-d-,"1. hängen, erhängen 2. aufhängen"
89,amblavel pe,v itr,-d-/-d-,sich aufhängen
90,amblavimos,n m,-ata/-as-,"Hängen, Erhängen"
91,amboldel,v tr,,"1. drehen, umdrehen, wenden 2. zurückgeben 3. einwickeln"
92,amboldel pe,v phr itr,,"sich drehen, rotieren, kreisen"
93,amboldimos,n m,-ata/-as-,"1. Drehung, Wenden 2. Umkehr, Rückkehr"
94,amboldinari,n m,-ja/-es-,Locke
95,amboldino,adj m,,"gedreht, umgekehrt, umgedreht, gewendet"
96,amboldo,adj m,,"gedreht, umgekehrt, umgedreht, gewendet"
97,ambolďol,v itr,-il-/-il-,"1. sich drehen, rotieren, kreisen 2. sich umdrehen 3. zurückkommen 4. sich abwenden 5. sich winden (um) 6. sich einwickeln"
98,ambolil,v tr,-isard-/-ime,mit Messing überziehen
99,ambolimos,n m,-ata/-as-,Überziehen mit Messing
100,amborim,adv mod,,vielleicht
101,ambrol,n m,-a/-es-,1. Birne 2. Glühbirne
102,ambrol,n f,-a/-a-,Birne
103,ambrolengo,adj m,,Birnen-
104,ambrolin,n f,-a/-a-,Birnbaum
105,ame,pron pers 1 pl,,wir
106,amen,pron pers 1 pl,,wir
107,amilaj,adv temp,,diesen Sommer
108,aminte,n f,,"Gedächtnis, Erinnerung"
109,amjazo,n m,-urja/-os-,Mittag
110,amľal,v itr,-j-/—,ähneln
111,amňal,v itr,-j-/—,ähneln
112,amnari,n m,-ja/-es-,Feuerstein
