Index,Entry Word,Part of Speech,Affix,Definition
1,a,conj,,1. and 2. but
2,a kamo li,conj,,not to mention
3,aba,adv mod,,already
4,aba,adv mod,,hardly
5,abcîn,n m,-a/-es-,steel
6,abcînalo,adj m,,"steel-, of steel"
7,abêrš,adv temp,,this year
8,abjan,n m,-a/-es-,"wedding, marriage"
9,abjav,n m,-a/-es-,"wedding, marriage [«kêrêl abjav» - to marry]"
10,abjavesko,adj m,,"matrimonial, wedding-"
11,abjavořo,n m,-e/-es-,wedding (affective)
12,ablakato,n m,—/-es-,"lawyer, solicitor, attorney"
13,aburil,v itr,-isard-/-ime,steam
14,aburo,n m,-urja/-os-,1. steam 2. ghost
15,adaptacija,n f,-e/-a-,adjustment
16,ades,adv temp,,today
17,aďes,adv temp,,today
18,adesuno,adj m,,today's
19,adeto,n m,-urja/-os-,habit
20,adînko,adj,,deep
21,adoptiril,v tr,-isard-/-ime,adopt
22,adresa,n f,-e/-a-,address
23,adžes,adv temp,,today
24,afekto si pe,v phr itr,,"affect, impact, bear upon"
25,afera,n f,-e/-a-,"affair, affaire, intimacy, liaison, involvement"
26,aǧes,adv temp,,today
27,agor,n m,-a/-es-,"1. edge, border 2. extremity 3. top 4. end, ending 5. beginning, start"
28,agoral,adv loc,,"at the end, at the edge"
29,agoruno,adj m,,"1. side-, outside 2. last"
30,agresivno,adj,,"aggressive, violent"
31,agrikulturalno,adj,,agricultural
32,aivend,adv temp,,this winter
33,aj,conj,,and
34,ajda,interj,,"up!, let's go!"
35,ajkula,n f,-e/-a-,shark
36,ajsar,interj,,why not?
37,ajsar,adv caus,,"of course, certainly, naturally"
38,ajso,adv caus,,"of course, certainly, naturally"
39,ajzlogo,n m,-urja/-os-,"window,  window of a shop where wares are displayed"
40,akana,adv temp,,now
41,akanaš,adv temp,,now
42,akaring,adv loc,,here
43,akatar,adv loc,,from here
44,akate,adv loc,,here
45,akathe,adv loc,,here
46,akcija,n f,-e/-a-,"stock, shares"
47,akê,interj,,1. there she/he is! 2. see here!
48,akêta,interj,,1. there she/he is! 2. see here!
49,akêvo,n m,-urja/-os-,barrel
50,akharďol,v itr,-il-/-il-,be called
51,akharel,v tr,-d-/-d-,1. call 2. invite [«akharel po xabe» - entertain to a meal]
52,akharimos,n m,-ata/-as-,call
53,akhjarel,v tr,-d-/-d-,1. understand 2. feel
54,akhor,n m,-a/-es-,"1. nut, walnut 2. stye"
55,akhoresko,adj m,,"nut, with nuts"
56,akhorin,n f,-a/-a-,nut tree
57,akhorinako,adj m,,nut-
58,ako,conj,,if
59,ako,part foc,,1. I don't mind 2. why not?
60,akovari,n m,-ja/-es-,cooper
61,akovo,n m,-urja/-os-,barrel
62,akušel,v tr,-l-/-l-,"1. scold 2. insult, abuse"
63,akušêl,v tr,-l-/-l-,"abuse, shout at, abuse verbally"
64,akušimos,n m,-ata/-as-,"1. scolding 2. abuse, insult"
65,aľardol,v itr,-il-/-il-,be understood
66,aľarel,v tr,-d-/-d-,understand
67,alaš,n m,-a/-es-,inn
68,aľbjaca,n f,-e/-a-,1. glaucoma 2. cataract
69,aldêmaš,n m,-a/-es-,encore (after a good bargain)
