Index,Entry Word,Part of Speech,Affix,Definition
1,a,conj,,1. şi 2. dar
2,a kamo li,conj,,fără să mai vorbim de
3,aba,adv mod,,"cu greu, abia"
4,aba,adv mod,,deja
5,abcîn,n m,-a/-es-,oţel
6,abcînalo,adj m,,oţelit
7,abêrš,adv temp,,anul acesta
8,abjan,n m,-a/-es-,nuntă
9,abjav,n m,-a/-es-,"nuntă [«kêrêl abjav» - se căsători, se însura, se mărita]"
10,abjavesko,adj m,,de nuntă
11,abjavořo,n m,-e/-es-,nuntişoară
12,ablakato,n m,—/-es-,avocat
13,aburil,v itr,-isard-/-ime,a aburi
14,aburo,n m,-urja/-os-,"1. abur 2. spirit, duh"
15,adaptacija,n f,-e/-a-,ajustare
16,ades,adv temp,,"astăzi, azi"
17,aďes,adv temp,,"astăzi, azi"
18,adesuno,adj m,,de astăzi
19,adeto,n m,-urja/-os-,"obicei, datină"
20,adînko,adj,,"adânc, profund"
21,adoptiril,v tr,-isard-/-ime,a adopta
22,adresa,n f,-e/-a-,adresă
23,adžes,adv temp,,"astăzi, azi"
24,afekto si pe,v phr itr,,a se referi la
25,afera,n f,-e/-a-,aventură amoroasă
26,aǧes,adv temp,,"astăzi, azi"
27,agor,n m,-a/-es-,"1. margine 2. extremitate, membru 3. vârf, pisc 4. sfârşit 5. început"
28,agoral,adv loc,,"la sfârşit, la margine"
29,agoruno,adj m,,"1. exterior, lateral 2. ultim"
30,agresivno,adj,,"brutal, violent, agresiv"
31,agrikulturalno,adj,,agricol
32,aivend,adv temp,,iarna aceasta
33,aj,conj,,şi
34,ajda,interj,,haide
35,ajkula,n f,-e/-a-,rechin
36,ajsar,interj,,de ce nu?
37,ajsar,adv caus,,"sigur că da, bineînţeles, cum să nu"
38,ajso,adv caus,,"sigur că da, bineînţeles, cum să nu"
39,ajzlogo,n m,-urja/-os-,vitrină
40,akana,adv temp,,acum
41,akanaš,adv temp,,acum
42,akaring,adv loc,,1. aici 2. încoace
43,akatar,adv loc,,de aici
44,akate,adv loc,,aici
45,akathe,adv loc,,aici
46,akcija,n f,-e/-a-,acţiune
47,akê,interj,,"1. iată-l! / iat-o! 2. iacă!, iată!"
48,akêta,interj,,"1. iată-l! / iat-o! 2. iacă!, iată!"
49,akêvo,n m,-urja/-os-,butoi
50,akharďol,v itr,-il-/-il-,"a se numi, a se chema"
51,akharel,v tr,-d-/-d-,"1. a chema, a striga 2. a invita [«akharel po xabe» - a invita la masă]"
52,akharimos,n m,-ata/-as-,chemare
53,akhjarel,v tr,-d-/-d-,1. a înţelege 2. a simţi
54,akhor,n m,-a/-es-,1. nucă 2. urcior (la ochi)
55,akhoresko,adj m,,de nucă
56,akhorin,n f,-a/-a-,nuc
57,akhorinako,adj m,,de nuc
58,ako,conj,,dacă
59,ako,part foc,,"1. nu zic nu, mi-e egal 2. de ce nu?"
60,akovari,n m,-ja/-es-,dogar
61,akovo,n m,-urja/-os-,butoi
62,akušel,v tr,-l-/-l-,"1. a cicăli, a bombăni 2. a înjura, a insulta"
63,akušêl,v tr,-l-/-l-,"a insulta, a înjura"
64,akušimos,n m,-ata/-as-,"1. dojană 2. înjurătură, insultă"
65,aľardol,v itr,-il-/-il-,a fi înţeles
66,aľarel,v tr,-d-/-d-,a înţelege
67,alaš,n m,-a/-es-,"han, hotel pentru tineret"
68,aľbjaca,n f,-e/-a-,1. glaucom 2. cataractă
69,aldêmaš,n m,-a/-es-,aldămaş
70,aldomaš,n m,-a/-es-,aldămaş
71,alduisarel,v tr,-d-/-ime,a binecuvânta
72,ali,conj,,dar
73,alimenta,n f,-e/-a-,pensie alimentară
74,alkoholosko,adj m,,alcoolic
75,alol pe,v itr,,a înţelege
76,alomos,n m,-ata/-as-,1. alegere 2. vot
77,alosarel,v tr,-d-/—,"1. a alege, a selecta 2. a vota"
78,alosavel,v itr,-d-/-d-,a înţelege
79,ama,conj,,1. dar 2. îndată ce
80,amal,n m,-a/-es-,prieten
81,amalin,n f,-a/-a-,prietenă
82,amalni,n f,-ja/-ja,prietenă
83,amaro,pron poss 1 sg m,,nostru
84,ambari,n m,-ja/-es-,"hambar, magazie"
85,amblaimos,n m,-ata/-as-,spânzurare
86,amblajimata,n m pl,,spânzurare
87,amblal,n m,-a/-es-,retevei
88,amblavel,v tr,-d-/-d-,1. a spânzura 2. a agăţa
89,amblavel pe,v itr,-d-/-d-,a se spânzura
90,amblavimos,n m,-ata/-as-,spânzurare
91,amboldel,v tr,,"1. a întoarce 2. a reda, a da înapoi 3. a împacheta, a înfofoli"
92,amboldel pe,v phr itr,,"a se învărti, a se roti"
