Index,Entry Word,Part of Speech,Affix,Definition
1,a,conj,,а
2,a kamo li,conj,,не говоря уже о
3,aba,adv mod,,уже
4,aba,adv mod,,едва
5,abcîn,n m,-a/-es-,сталь
6,abcînalo,adj m,,стальной
7,abêrš,adv temp,,в этом году
8,abjan,n m,-a/-es-,свадьба
9,abjav,n m,-a/-es-,свадьба [«kêrêl abjav» - жениться]
10,abjavesko,adj m,,свадебный
11,abjavořo,n m,-e/-es-,свадебка
12,ablakato,n m,—/-es-,адвокат
13,aburil,v itr,-isard-/-ime,кипеть
14,aburo,n m,-urja/-os-,1. пар 2. дух
15,adaptacija,n f,-e/-a-,приспособление
16,ades,adv temp,,сегодня
17,aďes,adv temp,,сегодня
18,adesuno,adj m,,сегодняшний
19,adeto,n m,-urja/-os-,обычай
20,adînko,adj,,глубокий
21,adoptiril,v tr,-isard-/-ime,усыновлять
22,adresa,n f,-e/-a-,адрес
23,adžes,adv temp,,сегодня
24,afekto si pe,v phr itr,,"влиять, касаться"
25,afera,n f,-e/-a-,"любовная связь, отношения"
26,aǧes,adv temp,,сегодня
27,agor,n m,-a/-es-,1. край 2. конечность 3. вершина 4. конец 5. начало
28,agoral,adv loc,,на краю
29,agoruno,adj m,,"конечный, крайний"
30,agresivno,adj,,агрессивный
31,agrikulturalno,adj,,сельскохозяйственный
32,aivend,adv temp,,этой зимой
33,aj,conj,,"и, а"
34,ajda,interj,,"айда!, пошли!"
35,ajkula,n f,-e/-a-,акула
36,ajsar,adv caus,,"конечно, точно"
37,ajsar,interj,,"почему бы нет?, а как же!"
38,ajso,adv caus,,"конечно, точно"
39,ajzlogo,n m,-urja/-os-,витрина
40,akana,adv temp,,"теперь, сейчас"
41,akanaš,adv temp,,"теперь, сейчас"
42,akaring,adv loc,,сюда
43,akatar,adv loc,,отсюда
44,akate,adv loc,,"здесь, тут"
45,akathe,adv loc,,"здесь, тут"
46,akcija,n f,-e/-a-,акция
47,akê,interj,,вон там
48,akêta,interj,,вон там
49,akêvo,n m,-urja/-os-,бочка
50,akharďol,v itr,-il-/-il-,называться
51,akharel,v tr,-d-/-d-,"звать, приглашать"
52,akharimos,n m,-ata/-as-,зов
53,akhjarel,v tr,-d-/-d-,1. понимать 2. чувствовать
54,akhor,n m,-a/-es-,"1. грецкий орех, орех 2. ячмень (на глазу)"
55,akhoresko,adj m,,орех
56,akhorin,n f,-a/-a-,орешник (грецких орехов)
57,akhorinako,adj m,,ореховый (из грецких орехов)
58,ako,part foc,,пожалуй
59,ako,conj,,если
60,akovari,n m,-ja/-es-,бондарь
61,akovo,n m,-urja/-os-,бочка
62,akušel,v tr,-l-/-l-,"бранить, обижать"
63,akušêl,v tr,-l-/-l-,"кричать, ругать"
64,akušimos,n m,-ata/-as-,1. брань 2. обида
65,aľardol,v itr,-il-/-il-,быть понятым
66,aľarel,v tr,-d-/-d-,понимать
67,alaš,n m,-a/-es-,постоялый двор
68,aľbjaca,n f,-e/-a-,бельмо
69,aldêmaš,n m,-a/-es-,магарыч
70,aldomaš,n m,-a/-es-,магарыч
71,alduisarel,v tr,-d-/-ime,благословлять
72,ali,conj,,но
73,alimenta,n f,-e/-a-,алименты
74,alkoholosko,adj m,,алкогольный
75,alol pe,v itr,,понимать
76,alomos,n m,-ata/-as-,1. выбор 2. выборы
77,alosarel,v tr,-d-/—,"выбирать, голосовать"
78,alosavel,v itr,-d-/-d-,понимать
79,ama,conj,,"когда, как только"
80,amal,n m,-a/-es-,товарищ
81,amalin,n f,-a/-a-,подруга
82,amalni,n f,-ja/-ja,подруга
83,amaro,pron poss 1 sg m,,наш
84,ambari,n m,-ja/-es-,амбар
85,amblaimos,n m,-ata/-as-,"вешение, повешение"
86,amblajimata,n m pl,,повешение
87,amblal,n m,-a/-es-,"полено, плаха, колода"
88,amblavel,v tr,-d-/-d-,"1. вешать, казнить 2. вешать"
89,amblavel pe,v itr,-d-/-d-,повеситься
90,amblavimos,n m,-ata/-as-,повешение
91,amboldel,v tr,,"1. переворачивать, вертеть 2. возвращать 3. заворачивать"
92,amboldel pe,v phr itr,,"поворачиваться, крутиться, кружиться"
93,amboldimos,n m,-ata/-as-,"1. поворот, вращение 2. возвращение"
94,amboldinari,n m,-ja/-es-,локон
95,amboldino,adj m,,перевернутый
96,amboldo,adj m,,перевернутый
97,ambolďol,v itr,-il-/-il-,"1. возвращаться, оборачиваться, вертеться 2. возвращаться 3. отворачиваться 4. обвивать 5. заворачиваться"
98,ambolil,v tr,-isard-/-ime,покрывать латунью
99,ambolimos,n m,-ata/-as-,покрытие металла латунью
100,amborim,adv mod,,возможно
101,ambrol,n m,-a/-es-,1. груша 2. лампочка
